Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.98353,0.655241,70.363,7,2,0.171429,15,0,2,0,8,2,32
0.765976,0.41721,65.9,7,2,0.2,14,0,0,0,8,0,32
0.774063,0.682786,55.918,7,2,0.114286,9,0,0,0,6,3,28
0,19.5842,45.04,7,2,0.0285714,2,0,0,0,1,6,28
0.679528,0.348041,64.557,7,2,0.171429,14,0,1,0,7,2,33
0.975082,0.755261,59.536,7,2,0.142857,10,0,1,0,6,3,31
0.943516,9.07406,51.711,7,2,0.0857143,6,0,0,0,3,4,27
0.838899,3.04558,63.635,7,2,0.171429,14,0,2,0,9,1,31
0.834967,20.1352,59.745,7,2,0.142857,12,0,1,0,7,2,31
0.850322,16.4709,62.31,7,2,0.171429,14,0,2,0,8,0,31
0.900821,15.9935,58.254,7,2,0.142857,10,0,0,0,6,3,30
0.684185,5.53025,51.152,7,2,0.0857143,6,0,0,0,3,4,26
0.852703,0.0465393,58.797,7,2,0.142857,11,0,1,0,5,3,30
0.697962,0.237163,61.561,7,2,0.171429,13,0,1,0,6,1,30
0.909848,12.0704,67.577,7,2,0.2,14,0,0,0,8,0,34
0.766764,34.6015,59.137,7,2,0.142857,11,0,2,0,6,2,30
0.636449,0.64403,59.849,7,2,0.142857,11,0,1,0,6,3,32
0.799074,0.433136,55.875,7,2,0.114286,9,0,1,0,5,3,29
0.590552,50.6769,49.76,7,2,0.0571429,4,0,0,0,2,5,28
0.643603,49.9097,49.18,7,2,0.0571429,5,0,0,0,3,4,28
0.774277,33.3263,49.022,7,2,0.0571429,4,0,0,0,2,5,28
0.914869,3.3338,56.304,7,2,0.114286,8,0,0,0,5,3,29
0,6.85655,46.626,7,2,0.0285714,2,0,0,0,1,5,29
0.964666,1.43491,69.193,7,2,0.2,15,0,0,0,7,0,35
0.816985,7.24146,58.882,7,2,0.142857,11,0,1,0,6,2,31
0.961636,0.973912,67.287,7,2,0.2,14,0,0,0,8,1,32
0.893849,16.4086,50.828,7,2,0.0857143,6,0,1,0,3,4,29
0.975707,0.983957,66.811,7,2,0.2,15,0,2,0,8,0,32
0.800844,32.0835,54.721,7,2,0.114286,9,0,0,0,5,2,30
0.903456,15.5183,59.436,7,2,0.142857,11,0,1,0,6,2,31
0.565509,0.0614144,56.311,7,2,0.114286,9,0,1,0,4,3,29
0.772014,0.171922,60.844,7,2,0.142857,12,0,1,0,6,3,30
0.956067,1.34859,65.836,7,2,0.2,14,0,1,0,8,0,31
0.428923,7.81678,47.716,7,2,0.0571429,5,0,0,0,3,5,25
0.726876,0.613726,62.578,7,2,0.171429,14,0,2,0,7,1,31
0.692972,0.852282,66.067,7,2,0.2,15,0,2,0,8,0,33
0.7748,9.10272,49.917,7,2,0.0857143,6,0,0,0,3,4,28
0.56692,3.1373,52.099,7,2,0.0857143,7,0,2,0,3,5,28
0.962736,1.49837,76.402,8,2,0.2,18,0,2,0,8,0,37
