Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.919339,2.48802,819.553,7,13,3.51136,259,0,112,6,133,107,393
0.874512,1.43595,570.415,7,13,0.744322,71,0,22,2,44,101,345
0.801134,1.99644,829.031,7,13,2.9663,274,0,101,7,158,106,389
0.775055,5.14943,823.086,7,13,2.43516,232,0,84,6,136,105,423
0.834751,2.87352,848.547,7,13,4.04835,277,0,129,6,136,102,411
0.852646,2.01632,920.665,8,13,2.14679,259,0,85,7,161,114,482
0.857223,3.66523,871.213,7,13,4.53626,277,0,155,5,112,104,427
0.885442,2.35253,760.015,7,13,2.83223,212,0,89,5,114,101,385
0.939906,2.03727,809.167,8,13,1.49231,206,0,57,7,138,122,416
0.900804,2.16654,806.804,7,13,3.7033,244,0,119,5,114,103,400
0.819496,6.34159,741.725,7,13,1.82564,188,0,62,5,115,104,388
0.793488,6.19823,610.652,7,13,0.883516,80,0,31,2,46,103,373
0.850249,3.87252,907.251,8,13,4.42821,296,0,149,6,136,116,426
0.780645,5.33779,738.83,7,13,2.5663,186,0,85,4,92,105,386
0.830844,5.6574,732.633,7,13,2.24249,177,0,75,4,92,103,392
0.804588,3.97094,657.727,7,13,1.20366,117,0,42,3,69,102,381
0.706865,9.46544,589.477,7,13,0.859341,82,0,31,3,46,101,349
0.814782,5.85871,877.534,7,13,6.13114,333,0,181,7,141,104,374
0.558354,2.29657,961.924,8,13,3.66923,313,0,139,7,161,118,465
0.872692,3.88966,774.154,7,13,2.47326,213,0,85,5,115,103,397
0.908374,3.52549,890.562,8,13,1.98718,255,0,78,8,162,121,448
0.718746,4.70095,768.711,7,13,2.84835,220,0,95,5,116,101,386
0.85705,2.46255,841.032,7,13,4.56117,270,0,144,5,115,103,407
0.757021,6.04232,734.628,7,13,2.2696,175,0,75,4,92,103,396
0.838866,6.21055,696.759,7,13,1.68571,135,0,59,3,69,102,399
0.776889,5.6891,693.651,7,13,1.45275,154,0,52,4,92,102,381
0.760064,4.27898,737.698,7,13,1.86374,159,0,60,4,92,103,412
0.756337,5.08247,600.025,7,13,0.510623,72,0,21,2,47,102,372
0.7759,8.07972,704.305,7,13,2.40366,160,0,85,3,69,105,379
0.909374,2.41481,775.448,7,13,2.3619,208,0,81,5,115,106,400
0.839298,2.71315,823.955,7,13,3.72674,242,0,117,5,115,105,414
0.760508,7.19293,620.647,7,13,0.739194,77,0,26,3,46,104,380
0.868782,2.34588,812.406,7,13,3.07692,255,0,101,6,141,105,390
0.0156563,6.39548,610.105,7,13,0.685714,74,0,23,2,47,106,372
0.685646,5.44048,672.328,7,13,1.37802,126,0,49,3,70,103,387
0.101994,4.51809,594.567,7,13,1.06227,87,0,37,2,46,104,343
0.869706,6.11242,651.935,7,13,0.85641,110,0,35,3,69,107,377
0.784182,6.27711,677.926,7,13,1.8337,135,0,60,3,69,106,376
0.910782,2.84022,1238.43,10,13,3.66974,406,0,178,9,213,154,605
0.543257,11.9708,783.486,7,13,2.22711,201,0,72,5,119,108,412
0.888576,2.09569,785.67,7,13,2.72894,195,0,93,5,94,111,416
0.827275,4.79286,742.113,7,13,2.24982,179,0,77,4,94,108,392
0.864493,3.09627,783.056,7,13,2.57656,212,0,85,5,117,108,400
0.804311,3.0861,848.877,8,13,2.60449,196,0,96,4,92,125,463
0.591152,4.72716,860.013,8,13,2.78397,235,0,107,5,118,125,435
0.906112,2.46389,883.343,7,13,4.06081,261,0,133,5,115,108,449
0.903557,2.72826,766.728,7,13,2.49158,187,0,87,4,94,109,406
0.664624,5.83807,686.213,7,13,1.6315,107,0,57,2,47,109,410
0.709092,4.93546,876.604,7,13,3.40513,266,0,112,7,139,107,434
0.677104,3.74433,655.405,7,13,1.31282,123,0,47,3,70,108,362
0.855733,2.51655,901.411,7,13,4.01978,293,0,139,6,141,110,428
0.760791,7.18895,829.267,7,13,3.79341,232,0,129,4,92,110,425
0.812642,5.87429,718.807,7,13,1.67399,133,0,57,3,71,108,415
0.906958,1.06992,783.697,7,13,2.45788,211,0,82,5,117,106,402
0.752377,7.12041,622.243,7,13,1.06374,89,0,39,2,46,105,365
0.737722,4.78941,789.586,7,13,3.64615,216,0,114,4,94,108,400
0.921533,2.34967,726.102,7,13,1.75971,164,0,61,4,94,108,386
0.911599,2.83411,732.979,7,13,2.36777,201,0,71,5,119,110,357
0.83587,6.74542,818.835,7,13,3.77216,232,0,128,5,94,108,416
0.818071,4.9907,833.904,8,13,2.59423,198,0,96,4,92,122,452
0.833105,3.01323,831.826,7,13,2.80293,251,0,95,6,144,111,405
0.79709,4.07351,945.558,8,13,3.22564,282,0,127,7,142,125,470
0.682719,2.82634,704.853,7,13,1.57802,158,0,54,4,96,113,370
0.867276,5.6606,1090.28,8,13,6.21987,407,0,228,8,163,125,487
0.846922,3.51956,834.27,7,13,3.11575,236,0,105,7,118,112,420
0.748862,7.80354,759.555,7,13,1.41685,160,0,55,5,97,123,412
0.816064,5.20327,623.104,7,13,0.884982,83,0,32,2,47,121,360
0.737511,2.89355,1160.02,9,13,3.41538,372,0,154,8,199,166,550
0.811462,6.36801,946.67,7,13,4.65861,280,0,168,4,101,131,470
0.810394,4.91818,704.946,7,13,0.939927,114,0,34,3,73,123,409
0.885109,3.09659,933.058,7,13,3.38755,260,0,124,6,124,128,473
0.811346,4.52998,802.525,7,13,2.72308,201,0,93,4,98,128,411
0.63639,3.14596,877.412,7,13,2.7978,237,0,103,5,125,125,447
0.679147,5.78217,772.789,7,13,1.90769,173,0,67,4,96,125,414
0.843872,2.51018,796.134,7,13,2.29231,188,0,82,4,98,125,421
0.874986,1.38947,1248.56,10,13,2.76103,360,0,145,8,199,182,630
0.918574,3.40429,833.64,7,13,2.17509,212,0,79,7,122,125,430
0.768364,2.51151,779.321,7,13,1.93993,175,0,68,5,97,125,417
0.773336,6.61579,855.865,7,13,2.73626,231,0,97,5,124,125,434
0.923733,2.29301,842.471,7,13,2.30769,189,0,82,4,98,126,463
0.874256,1.56997,910.97,7,13,3.95824,297,0,135,6,149,125,420
0.828729,4.22596,889.936,7,13,3.38022,252,0,118,6,124,126,444
0.853492,1.03957,1103.89,8,13,4.43013,364,0,170,8,176,147,521
0.832393,2.31684,929.927,7,13,4.15604,278,0,140,6,126,129,454
0.826644,8.07871,778.07,7,13,2.09158,153,0,73,3,73,123,440
0.786242,6.41238,718.101,7,13,1.88864,147,0,68,3,72,123,386
0.860899,4.30972,814.081,7,13,2.67253,176,0,96,3,73,127,450
0.800537,6.36473,764.732,7,13,1.52601,179,0,49,5,121,122,398
0.883636,2.37395,1030.35,8,13,3.10192,308,0,119,8,173,146,510
0.623703,3.78883,794.232,7,13,1.81905,195,0,62,5,121,123,410
0.867603,2.64417,985.621,9,13,2.14188,272,0,85,7,172,163,479
0.826029,4.15324,847.317,7,13,2.82637,230,0,96,5,123,126,430
0.318307,7.50694,667.659,7,13,0.657143,103,0,24,3,72,120,386
0.694665,5.2823,929.502,8,13,2.48077,230,0,96,6,124,142,488
0.737741,5.68197,785.775,7,13,2.88571,194,0,88,5,98,124,402
0.812175,6.32736,924.373,7,13,4.5348,288,0,152,5,125,129,441
0.755952,2.15415,837.042,7,13,2.52015,216,0,84,5,121,125,432
0.380464,12.1437,710.411,7,13,2.52161,195,0,68,5,114,121,330
0.753913,6.03225,762.416,7,13,2.88132,177,0,98,3,74,125,403
0.731404,1.88736,912.902,7,13,2.6967,257,0,99,6,147,126,463
