Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.687211,1820.01,925.652,7,13,17.2,468,0,328,6,127,99,308
0.708988,1503.76,1005.64,7,13,20.0667,557,0,391,7,154,98,298
0.738533,1093.8,1296.58,9,13,20.0667,722,0,511,9,198,126,388
0.730222,1448.6,1000.42,7,13,20.0667,548,0,385,7,154,98,299
0.774066,1207.9,1017.91,7,13,20.0667,564,0,398,7,154,98,301
0.685067,1819.82,1010.03,7,13,20.0667,560,0,392,7,154,98,298
0.812985,853.297,1191.61,8,13,20.0667,677,0,486,8,177,113,346
0.739244,1176.96,1017.28,7,13,20.0667,569,0,402,7,154,98,296
0.759195,1299.25,1303.36,9,13,20.0667,730,0,514,9,199,130,385
0.69229,1543.17,1002.89,7,13,20.0667,546,0,379,7,155,101,302
0.588027,2348.56,1010.78,7,13,20.0667,558,0,389,7,155,100,299
0.590386,2241.39,1016.52,7,13,20.0667,557,0,388,7,155,101,304
0.821246,772.751,1159.11,8,13,20.0667,646,0,453,8,177,113,344
0.846242,750.509,1442.61,10,13,20.0667,803,0,562,10,221,141,432
0.648959,1655.15,1015.37,7,13,20.0667,558,0,388,7,157,105,301
0.781848,1038.07,1163.66,8,13,20.0667,637,0,441,8,180,120,348
0.752413,1296.28,1171.49,8,13,20.0667,647,0,453,8,180,120,347
0.731556,1395.89,1176.16,8,13,20.0667,654,0,459,8,182,120,347
0.687712,1583.22,1026.06,7,13,20.0667,565,0,396,7,160,105,300
0.802108,984.297,1175.52,8,13,20.0667,655,0,461,8,180,120,343
0.858914,640.355,1511.49,10,13,20.0667,855,0,608,10,231,150,440
0.664776,1863.1,1168.17,8,13,20.0667,646,0,449,8,183,120,345
0.797257,941.987,1497.15,10,13,20.0667,843,0,598,10,230,155,435
0.63727,1524.79,964.577,7,13,17.2,485,0,337,6,138,113,313
