Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.331618,0.916011,1226.1,7,31,0.142857,312,0,58,18,233,347,509
0.521198,0.905963,1278.38,7,31,0.142857,322,0,65,17,234,344,550
0.137323,4.06077,1700.05,9,31,0.177778,510,0,97,25,378,436,693
0.672187,3.12882,1652.91,9,31,0.155556,449,0,85,24,331,445,694
0.40771,0.856954,1311.39,7,31,0.171429,381,0,72,20,284,347,522
0.153939,11.2575,1082.39,7,31,0.0857143,191,0,34,10,142,360,479
0.00678371,3.30373,1126.86,7,31,0.0857143,189,0,34,11,142,347,533
0.579499,0.954788,1283.73,7,31,0.142857,320,0,60,18,236,344,559
0.473429,2.58085,1286.12,7,31,0.142857,317,0,57,17,238,342,566
0.196952,2.7599,1186.75,7,31,0.114286,253,0,46,13,190,347,530
0.343841,1.57554,1337.91,7,31,0.171429,381,0,67,21,287,343,550
0.289194,2.27052,1340.1,7,31,0.171429,381,0,68,22,286,341,554
0.195098,1.00433,1408.31,7,31,0.2,451,0,83,24,336,339,555
0.585468,1.15811,1139.86,7,31,0.0857143,192,0,36,9,143,353,541
0.402962,2.23553,1224.6,7,31,0.114286,254,0,46,12,191,348,560
0.145623,2.30374,1222.27,7,31,0.114286,258,0,47,15,191,345,561
0.480245,2.06277,1224.42,7,31,0.114286,258,0,45,14,192,345,560
0.560169,1.61872,1301.9,7,31,0.171429,384,0,73,21,286,339,517
0.00101616,15.2677,1054.61,7,31,0.0571429,128,0,22,8,96,351,518
0.227624,2.67801,1052.08,7,31,0.0571429,127,0,22,7,96,350,517
0.323846,5.76457,1199.46,7,31,0.114286,259,0,47,15,193,348,530
0.655869,2.44711,1469.19,8,31,0.15,387,0,70,20,291,393,622
0.423723,0.803347,1362.59,7,31,0.171429,386,0,70,20,290,342,567
0.89314,1.08674,1809.9,10,31,0.14,456,0,89,21,339,490,796
0.526155,0.746195,1397.43,7,31,0.171429,396,0,83,18,288,341,595
0.0425828,4.42394,1125.48,7,31,0.0857143,196,0,37,10,146,348,524
0.621889,1.26139,1365.82,7,31,0.171429,387,0,68,20,292,340,576
0.67277,1.49574,1289.77,7,31,0.142857,322,0,59,16,242,342,561
