Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.770732,5.86399,45.351,7,9,0.857143,9,0,3,0,5,6,15
0.818545,4.13237,31.25,7,9,1.71429,9,0,1,0,6,0,7
0.864663,4.24372,24.613,7,9,1.14286,4,0,0,0,4,0,7
0.926771,2.70042,32.723,7,9,2,12,0,3,0,7,0,7
0.812473,4.14847,35.323,8,9,2,12,0,2,0,8,0,8
0.928295,2.59402,34.933,8,9,1.75,11,0,3,0,6,1,8
0.375468,17.1763,24.907,7,9,0.857143,5,0,1,0,3,0,8
0.866895,3.65709,29.757,7,9,1.71429,9,0,1,0,6,0,8
0.89484,2.40291,34.227,8,9,1.75,9,0,2,0,7,1,8
0.886224,4.52731,22.33,7,9,0.857143,4,0,0,0,2,0,7
0.745422,6.02403,27.377,7,9,1.42857,7,0,1,0,5,0,8
0.446372,12.5987,22.387,7,9,0.571429,3,0,1,0,2,0,9
0.750317,6.31222,28.6,7,9,1.71429,7,0,1,0,5,1,7
0.799596,5.56705,36.745,10,9,1.2,7,0,0,0,5,0,12
0.786249,8.90007,23.992,7,9,0.857143,5,0,1,0,3,0,7
0.739897,6.4083,29.729,8,9,1,7,0,2,0,4,0,9
0.397777,33.3176,28.224,7,9,1.14286,7,0,2,0,4,0,8
0.923163,2.51151,33.16,8,9,1.75,9,0,2,0,7,0,8
0.577621,17.3882,29.268,7,9,1.71429,8,0,1,0,6,0,7
0.797146,4.90265,36.45,9,9,1.55556,8,0,0,0,7,0,10
0.888559,3.859,40.177,10,9,1.6,11,0,2,0,8,0,10
0.427574,14.7454,23.703,7,9,0.857143,6,0,0,0,3,1,7
0.897611,3.6188,25.454,7,9,1.14286,5,0,1,0,4,0,7
0.920634,2.593,27.69,7,9,1.14286,7,0,2,0,4,0,8
0.778931,6.61626,28.694,7,9,1.71429,8,0,0,0,5,0,7
0.514067,20.9145,25.22,7,9,1.14286,5,0,1,0,3,1,7
0.776427,5.47233,25.295,7,9,1.14286,5,0,0,0,4,1,7
0.943638,1.95466,36.182,8,9,2,12,0,2,0,8,0,9
0.728032,7.96927,32.325,9,9,1.11111,6,0,1,0,5,0,9
0.597471,8.18075,25.885,7,9,1.14286,7,0,1,0,4,1,7
0.80053,3.73292,30.39,7,9,1.71429,11,0,0,0,6,0,8
0.622114,9.05744,27.455,7,9,1.42857,7,0,1,0,4,0,7
0.97864,0.898115,28.131,7,9,1.42857,6,0,0,0,5,0,7
0.861377,5.91485,43.743,10,9,2,13,0,2,0,7,0,10
0.45649,15.6764,22.983,7,9,0.571429,4,0,1,0,2,1,7
0.915737,3.09145,30.923,7,9,2,10,0,1,0,6,0,7
0.866002,4.62338,33.628,7,9,2,12,0,4,0,6,0,8
0.769234,8.7834,26.246,7,9,1.14286,7,0,1,0,4,0,7
0.644896,8.01168,25.206,7,9,0.857143,4,0,0,0,3,1,7
0.885221,4.03944,31.142,7,9,1.71429,9,0,2,0,6,1,7
