Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.801119,6.13459,733.357,6,13,5.14872,265,0,142,5,109,86,325
0.611314,4.44768,635.809,6,13,1.89573,162,0,62,4,91,88,328
0.802263,1.9851,654.41,6,13,1.79829,185,0,63,5,114,89,323
0.773274,5.19021,600.682,6,13,1.41282,125,0,51,3,67,86,332
0.813854,3.2369,688.725,6,13,1.66496,214,0,64,6,138,88,327
0.326975,9.20933,552.704,6,13,0.593162,99,0,25,3,67,87,314
0.0446921,24.5237,583.645,6,13,1.08547,87,0,38,2,45,88,353
0.748114,5.17268,620.854,6,13,1.87179,162,0,63,4,91,88,311
0.826555,5.88006,555.147,6,13,0.808547,103,0,29,3,69,85,311
0.813332,4.07703,626.284,6,13,1.61453,153,0,54,4,92,88,329
0.851966,5.20084,679.921,6,13,2.27692,196,0,70,5,114,88,334
0.833531,4.99639,615.401,6,13,0.926496,139,0,38,4,92,88,330
0.748927,6.49269,747.127,6,13,4.09573,247,0,123,5,113,88,348
0.69849,7.33695,646.482,6,13,2.14872,146,0,72,3,68,88,354
0.726339,9.15256,647.575,6,13,1.34957,177,0,51,5,116,86,323
0.659562,6.91797,562.265,6,13,0.479487,94,0,19,3,69,87,324
0.852917,4.74936,596.031,6,13,1.02991,114,0,39,3,69,92,335
0.774453,7.13436,655.324,6,13,2.24872,169,0,70,4,92,88,338
0.665925,1.7372,701.132,6,13,2.33675,209,0,83,5,116,91,342
0.78353,6.61386,608.037,6,13,1.58034,131,0,56,3,69,87,332
0.823757,6.78131,688.307,6,13,1.94188,189,0,62,5,115,88,351
0.846604,2.5639,603.043,6,13,1.46496,151,0,50,4,93,89,309
0.684104,5.44183,545.015,6,13,0.684615,74,0,24,2,46,87,327
0.650367,8.69456,643.623,6,13,2.57778,177,0,77,4,92,87,320
0.915961,3.23912,640.257,6,13,1.59658,156,0,55,4,94,90,334
0.253233,19.0418,607.883,6,13,2.78291,157,0,83,3,68,91,305
0.72552,4.89504,574.366,6,13,1.65385,102,0,51,2,47,86,329
0.679211,6.6912,529.53,6,13,0.517094,69,0,19,2,46,86,319
0.593232,14.6656,617.139,6,13,1.53846,128,0,53,3,69,88,342
0.825155,4.65891,610.626,6,13,1.60256,155,0,53,4,92,94,304
0.824643,2.96057,578.541,6,13,0.760684,103,0,27,3,70,90,328
0.922612,2.32427,627.083,6,13,1.35726,147,0,45,4,92,90,328
0.722722,4.95709,619.84,6,13,1.33932,149,0,48,4,93,90,323
0,6.4972,492.165,6,13,0.153846,32,0,7,1,23,90,316
0.431403,9.84063,535.944,6,13,0.42735,69,0,18,2,47,91,322
0.477634,2.62815,616.771,6,13,0.868376,108,0,32,3,70,90,356
0.916551,3.9148,538.978,6,13,0.724786,101,0,23,3,71,88,291
0.720974,8.11554,681.261,6,13,2.74701,166,0,90,3,70,87,370
0.860558,4.43908,745.196,6,13,3.77265,250,0,124,5,116,91,343
0.683025,8.30764,640.23,6,13,2.55983,176,0,77,4,93,92,309
0.869834,2.44819,619.411,6,13,1.59231,129,0,54,3,69,91,338
0.731976,7.43729,578.312,6,13,0.706838,101,0,25,3,69,90,327
0.761505,5.44948,578.297,6,13,0.700855,104,0,28,3,71,93,324
0.71594,4.47975,647.244,6,13,0.962393,139,0,38,4,93,93,350
0.386137,7.09757,596.098,6,13,0.603419,129,0,29,4,93,91,315
0.466056,14.0122,622.717,6,13,0.862393,110,0,32,3,69,90,363
0.81487,5.23712,630.356,6,13,1.83761,137,0,61,3,69,90,343
0.478266,9.08212,557.247,6,13,0.816239,77,0,26,2,46,91,332
0.785689,3.63594,612.101,6,13,1.13162,115,0,40,3,70,90,345
0.531719,5.43022,634.955,6,13,3.80598,169,0,95,3,68,91,315
0.697257,5.28097,562.051,6,13,2.21026,112,0,61,2,47,91,298
0.871297,3.86791,654.386,6,13,2.07521,166,0,67,4,92,91,335
0.813942,5.83354,668.773,6,13,1.59487,181,0,54,5,117,93,330
0.583271,4.79211,574.858,6,13,0.599145,100,0,22,3,71,91,326
0.85805,4.0818,789.646,6,13,3.68889,257,0,126,6,115,97,373
0.802103,3.61376,553.555,6,13,0.57094,71,0,19,2,47,93,328
0.553964,13.3563,682.363,6,13,2.66752,191,0,90,4,92,95,332
0.761386,7.64989,592.627,6,13,0.904274,110,0,34,3,69,93,332
0.889909,4.52451,756.218,6,13,3.14444,237,0,110,5,117,93,359
0.816001,5.04749,645.159,6,13,1.63846,161,0,58,5,94,97,327
0.820995,3.23186,698.888,6,13,1.61111,209,0,55,6,143,96,331
0.756797,4.8824,644.117,6,13,1.82821,187,0,59,5,115,92,300
0.709334,2.58926,744.692,6,13,2.91111,229,0,101,5,118,94,356
0.924276,3.22958,672.092,6,13,1.55897,185,0,57,5,117,93,330
0,22.992,495.833,6,13,0.159829,32,0,7,1,23,92,314
0.758848,7.49327,674.87,6,13,1.85214,191,0,63,5,117,91,328
0.814375,5.25103,526.472,6,13,0.708547,78,0,27,2,46,90,299
0.751305,2.7415,674.661,6,13,1.40342,184,0,54,5,118,93,336
0.834583,5.58709,676.232,6,13,1.82991,168,0,66,4,93,93,353
0.778744,5.73914,589.198,6,13,0.758974,130,0,27,4,95,91,307
0.915964,2.26497,645.597,6,13,1.29145,148,0,45,4,93,92,337
0.710462,6.9524,666.62,6,13,1.98974,198,0,70,5,118,92,314
0.837001,1.41027,653.522,6,13,1.23761,147,0,44,4,95,91,351
0.905258,1.70736,633.438,6,13,1.41111,154,0,50,4,95,94,324
0.61893,6.12674,676.922,6,13,1.52308,186,0,57,5,119,95,336
0.749424,2.78503,690.636,6,13,1.58291,185,0,57,5,117,101,344
0.765142,9.81904,586.112,6,13,1.01966,86,0,35,2,47,95,346
0.63041,4.00727,630.821,6,13,1.14786,144,0,41,4,94,93,332
0.870891,3.7684,645.229,6,13,2.05128,169,0,66,4,95,92,322
0.900301,2.99749,753.532,6,13,2.76154,221,0,94,5,118,93,372
0.748854,3.13566,659.973,6,13,2.02137,171,0,71,4,94,95,332
0.785425,5.29443,674.023,6,13,3.16239,217,0,92,5,116,90,297
0.745437,1.80629,600.243,6,13,1.64017,128,0,53,3,70,92,319
0.364683,8.78201,611.612,6,13,2.50171,144,0,69,3,69,95,313
0.767927,10.8151,557.095,6,13,2.01282,105,0,54,2,46,94,300
0.850587,4.48214,665.971,6,13,1.36325,152,0,49,4,96,93,354
0.317766,21.1374,646.523,6,13,1.8453,123,0,71,2,46,92,371
0.713281,9.14902,613.416,6,13,2.26239,151,0,75,3,70,92,311
0.805326,3.97153,650.282,6,13,1.65043,159,0,58,4,93,93,337
0.441317,5.62523,632.766,6,13,0.782906,137,0,33,4,95,91,340
0.66127,6.76495,583.372,6,13,1.2094,116,0,40,3,69,91,318
0.809346,4.55151,576.355,6,13,1.11966,118,0,40,3,72,92,308
0.346063,7.20129,605.575,6,13,1.10598,142,0,39,4,94,94,310
0.565274,7.52076,606.14,6,13,1.01795,116,0,37,3,73,103,327
0.797498,4.38731,740.943,6,13,2.64957,195,0,88,4,97,105,375
0.70035,10.0945,688.624,6,13,2.52564,161,0,83,3,73,107,358
0.67304,2.886,685.788,6,13,1.2735,154,0,48,4,98,105,363
0.721181,5.46521,544.705,6,13,0.582906,73,0,22,2,47,98,315
0.829091,4.18943,707.149,6,13,1.87179,181,0,71,5,102,108,357
0.648843,2.46749,693.779,6,13,1.84786,169,0,63,4,98,104,357
