Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.181555,1.12167,1170.96,6,31,0.456452,343,0,89,18,230,297,473
0.370502,1.1911,1102.14,6,31,0.329032,272,0,67,14,186,300,471
0.499513,2.35588,1173.84,6,31,0.674731,376,0,121,16,232,297,445
0.731207,2.56551,1260.84,6,31,0.741935,438,0,131,19,279,296,468
0.209728,1.1434,1097.2,6,31,0.396774,275,0,71,12,187,300,466
0.574333,5.66383,1184.5,6,31,0.723656,375,0,118,18,233,297,456
0.624048,1.25053,1217.98,6,31,0.742473,389,0,131,16,236,297,475
0.554206,1.01222,1196.77,6,31,0.460215,354,0,94,17,235,299,484
0.667346,1.63042,1219.95,6,31,0.757527,387,0,129,17,234,297,478
0.0455611,3.2802,973.582,6,31,0.31129,155,0,52,6,94,304,462
0.457269,1.30318,1284.66,6,31,0.422043,399,0,89,19,282,301,522
0.487151,1.63819,1242.65,6,31,0.648387,387,0,125,18,237,299,494
0.188501,1.01256,1198.88,6,31,0.614516,371,0,112,16,235,291,477
0.723978,0.771148,1174.48,6,31,0.659677,371,0,113,16,236,292,452
0.621844,1.41596,1147.27,6,31,0.464516,297,0,87,14,190,295,495
0.408715,1.59434,1233.74,6,31,0.463978,352,0,93,15,237,295,528
0.48859,2.02965,1161.8,6,31,0.46828,295,0,86,14,191,296,507
0.389187,2.24799,1133.08,6,31,0.569892,305,0,95,14,189,303,470
0,15.2832,899.427,6,31,0.165054,78,0,26,3,48,304,463
0.405463,2.0614,1055.54,6,31,0.367204,223,0,65,11,143,303,470
0.0704792,7.92465,1136.75,6,31,0.483333,302,0,93,13,191,299,476
0.438999,3.98927,1115.84,6,31,0.47957,295,0,86,13,190,297,465
0.449723,0.767102,1184.17,6,31,0.373656,353,0,90,16,239,296,475
0.233459,7.79554,1035.05,6,31,0.216667,202,0,43,10,145,301,475
0.370784,0.990868,1237.71,6,31,0.460215,357,0,94,17,239,294,522
0.324616,3.12075,1230.29,6,31,0.682258,386,0,124,17,240,293,489
0.318575,2.27326,1318.97,6,31,0.907527,462,0,147,19,287,292,501
0.618264,1.74488,1225.07,6,31,0.588172,365,0,101,16,242,307,489
0.430802,1.82804,1239.35,6,31,0.501075,420,0,104,19,289,295,463
0.508812,0.930173,1215.38,6,31,0.452688,356,0,94,16,240,300,491
0.0193185,1.28579,1093.66,6,31,0.246237,270,0,58,13,194,303,461
