Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0,7.72031,2817.93,6,55,3.35,922,0,786,9,125,1294,527
0,16.5676,2862.95,6,55,3.35,958,0,822,9,125,1279,549
0.155208,6.21767,4728.25,6,55,10.05,2782,0,2372,27,380,1287,581
0.236689,6.64045,3620.11,6,55,6.7,1761,0,1487,18,254,1277,513
0.0230665,8.47259,3807.55,6,55,6.7,1882,0,1606,18,256,1271,573
0.010026,8.66989,3850.36,6,55,6.7,1984,0,1706,18,258,1280,499
0.819601,1.64681,6301.7,6,55,16.75,4424,0,3721,48,651,1251,556
0.813724,1.43784,6789.8,6,55,16.75,4865,0,4144,49,666,1232,608
0.526884,4.02671,5061.05,6,55,10.05,3078,0,2640,28,406,1265,626
0,15.0321,2878.68,6,55,3.35,956,0,809,11,136,1271,578
0.521367,4.17868,5065.03,6,55,10.05,3211,0,2717,30,459,1283,492
0.776651,5.40097,6430.59,6,55,13.4,4489,0,3824,40,620,1278,581
0.713868,2.3521,6450.94,6,55,13.4,4495,0,3841,40,610,1254,621
0.400982,8.54583,3967.15,6,55,6.7,2139,0,1812,20,304,1268,489
0,11.1978,3009.93,6,55,3.35,1026,0,863,10,152,1369,535
0,9.67459,3037.15,6,55,3.35,1084,0,919,10,154,1295,582
0.316982,8.8935,4073.35,6,55,6.7,2166,0,1840,20,304,1283,548
0.466533,4.80717,5373.71,6,55,10.05,3381,0,2890,30,458,1308,599
0.719685,2.94076,6223.31,6,55,13.4,4313,0,3654,40,613,1330,505
0.793881,1.51482,7588.19,6,55,16.75,5585,0,4766,50,764,1307,612
0.482023,3.99892,4182.86,6,55,6.7,2179,0,1848,20,308,1318,610
0,15.2637,2971.98,6,55,3.35,1065,0,900,10,153,1255,575
0.338404,6.27905,5203.7,6,55,10.05,3262,0,2770,30,458,1253,608
0.58307,2.88366,6297.22,6,55,13.4,4409,0,3757,41,609,1253,560
0,10.7235,2880.6,6,55,3.35,1054,0,890,10,153,1232,519
0.0122104,12.2825,4050.59,6,55,6.7,2157,0,1828,20,306,1263,553
0.229268,9.28161,4014.82,6,55,6.7,2156,0,1827,20,307,1271,515
0,19.8043,2913.78,6,55,3.35,1060,0,894,10,156,1289,486
0.751253,2.45508,7411.52,6,55,16.75,5479,0,4666,50,757,1270,586
0.138989,23.9798,6549.36,6,55,13.4,4633,0,3982,40,609,1259,575
0.583204,3.11932,6339.55,6,55,13.4,4414,0,3762,40,608,1270,577
0,18.1247,3116.63,6,55,3.35,1118,0,956,10,152,1297,623
0.270186,5.28471,5111.91,6,55,10.05,3190,0,2695,30,464,1280,561
0.168228,8.70049,3980.57,6,55,6.7,2159,0,1828,20,308,1254,500
0.793413,2.63749,7812.3,6,55,16.75,5886,0,5063,50,768,1233,605
0,8.58151,2987.55,6,55,3.35,1067,0,902,10,154,1263,582
0.531392,3.92492,6133.61,6,55,13.4,4219,0,3557,40,616,1298,542
