Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.101088,2.08574,394.852,6,13,1.23846,109,1,33,0,69,56,191
0,1.42635,314.973,6,13,0.270513,26,0,7,0,17,57,198
0.435288,1.31832,499.668,6,13,2.82949,187,1,71,1,103,60,213
0.338457,1.45041,459.17,6,13,2.35256,155,1,59,0,85,58,204
0.426893,1.08607,463.357,6,13,2.55769,158,0,61,1,86,58,207
0.187984,2.15325,413.585,6,13,1.37179,116,1,40,0,68,56,199
0.112807,3.30458,328.24,6,13,0.803846,56,0,18,0,34,58,181
0.123145,2.14518,358.706,6,13,1.10256,88,0,30,2,51,56,176
0.340918,0.966453,471.764,6,13,1.66795,164,1,47,1,104,56,208
0.338404,1.71122,419.359,6,13,1.49872,116,0,38,1,71,55,205
0.371053,0.901741,498.814,6,13,2.81667,188,0,70,2,104,59,211
0.538629,0.841227,450.708,6,13,1.74487,147,0,48,1,87,58,205
0.460462,0.841231,479.95,6,13,2.3859,176,0,58,1,104,56,207
0.521031,2.23312,321.858,6,13,1.01667,61,0,22,0,35,58,170
0.103497,2.17257,415.842,6,13,1.68205,123,0,44,1,68,56,197
0.240269,1.97368,381.84,6,13,1.22051,91,0,31,1,52,57,196
0.499268,1.00414,450.425,6,13,1.97949,149,0,52,3,87,55,204
0.416564,1.35359,484.475,6,13,2.72308,187,0,70,1,105,56,200
0.547721,2.31415,361.242,6,13,0.824359,77,1,19,0,51,57,191
0.0618802,2.32778,345.949,6,13,0.726923,58,1,19,0,35,58,194
0.485042,0.87485,495.029,6,13,2.59615,181,0,63,1,106,57,212
0,1.44529,307.576,6,13,0.344872,29,0,10,0,17,56,185
0.130916,2.02406,380.789,6,13,1.17179,90,1,30,0,54,59,194
0.573578,0.751867,491.492,6,13,2.37692,177,1,59,0,106,59,212
0,731.155,265.564,6,13,0.611538,29,0,9,1,17,59,151
0,848.318,267.99,6,13,0.620513,29,0,10,0,18,59,150
0.356029,1.83557,454.104,6,13,1.85897,151,1,52,3,88,56,205
0.488226,1.37134,457.175,6,13,2.03846,150,0,53,2,89,56,206
0.205199,1.18914,471.454,6,13,1.68205,164,0,44,0,107,55,209
0.455938,0.786091,452.965,6,13,1.77564,145,0,46,2,90,62,208
0.0163135,3.66683,337.738,6,13,1.10128,62,0,23,0,34,58,184
0.583369,0.805468,504.908,6,13,3.42051,200,1,81,2,107,58,206
0,33.5078,290.634,6,13,0.730769,32,0,13,0,17,57,170
0.437591,0.864401,483.247,6,13,2.37692,180,1,62,1,106,56,204
0.279428,3.05894,395.468,6,13,1.77179,117,0,37,0,71,57,185
0.109245,4.5428,341.565,6,13,1.17949,64,0,24,0,34,56,187
0.525118,1.10929,472.739,6,13,2.6859,164,1,65,2,90,60,209
0.397206,1.00017,444.238,6,13,1.47821,136,1,38,0,88,58,208
0.0558572,2.33954,389.238,6,13,1.2859,91,0,32,1,53,56,202
0.166593,2.38654,333.611,6,13,0.957692,62,1,22,1,35,57,179
0.231182,4.54562,383.326,6,13,2.41923,110,1,50,0,54,59,179
0.16004,3.11117,367.51,6,13,1.49103,90,0,30,0,53,59,183
