Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.989781,3.59904,83.252,7,2,4.77143,5.36,0.306,1.792,0.066,3.187,58.306,9.244
0.977203,0.573689,123.762,7,2,15.5714,8.023,0.504,3.153,0.116,4.24,100.835,9.234
0.956466,0.942585,120.974,10,2,11.92,9.105,0.613,3.367,0.156,4.962,91.354,13.404
0.881513,1.48298,73.016,8,2,18.2,8.042,0.546,3.34,0.127,4.02,48.529,10.58
0.835346,0.657272,121.643,7,2,16.1143,8.04,0.51,2.973,0.129,4.417,98.789,9.282
0.998471,0.336396,75.347,7,2,5.17143,4.189,0.258,1.35,0.061,2.514,56.953,9.252
0.789986,324.85,110.262,7,2,17,8.499,0.536,3.214,0.142,4.599,86.621,9.311
0.95218,2.65061,77.903,9,2,17.5111,9.49,0.644,3.806,0.145,4.884,49.606,12.03
0.718017,315.678,96.997,8,2,18.15,7.143,0.533,3.085,0.108,3.408,73.61,10.621
0.982837,13.585,144.434,8,2,17.1,8.373,0.562,3.301,0.142,4.359,119.597,10.517
0.624092,531.335,116.512,7,2,13.0571,5.107,0.384,2.088,0.077,2.552,97.017,9.333
0.833398,2.53427,79.835,7,2,18.5429,6.919,0.476,3.033,0.101,3.303,58.326,9.298
0.931831,0.0213439,70.246,10,2,7.72,11.626,0.688,3.825,0.131,6.967,37.318,13.41
0.882119,0.270952,137.304,10,2,12.2,10.693,0.648,3.827,0.15,6.053,105.873,13.319
0.985627,18.6608,93.1,8,2,21.825,9.116,0.731,3.865,0.144,4.369,66.515,10.546
0.977711,31.8344,57.829,7,2,26.7714,8.718,0.614,3.865,0.129,4.099,34.392,9.265
0.768081,1.21177,70.076,7,2,14.7429,7.203,0.525,2.713,0.104,3.851,48.01,9.269
0.953608,0.750073,88.14,7,2,10.1714,6.485,0.385,2.172,0.103,3.818,67.12,9.271
0.926099,38.5689,113.604,10,2,29.5,14.555,0.966,6.635,0.221,6.718,78.332,13.249
0.605453,294.876,105.814,7,2,9.97143,3.616,0.253,1.494,0.073,1.792,86.868,9.768
0.995457,6.54636,222.415,8,2,26.4,10.421,0.745,4.533,0.175,4.955,194.753,10.738
0.986246,4.04169,78.675,7,2,17.5429,6.743,0.449,2.863,0.104,3.32,57.151,9.521
0.909569,3.85738,163.665,8,2,21.575,8.861,0.617,3.975,0.148,4.11,137.307,11.142
0.988825,4.31623,94.192,7,2,9.91429,4.588,0.309,1.762,0.074,2.438,75.091,9.525
0.993967,1.13096,82.178,8,2,16.35,8.648,0.641,3.442,0.138,4.417,56.046,11.029
0.992824,1.32898,108.605,9,2,10.5333,8.792,0.557,3.043,0.13,5.051,80.765,12.451
0.947223,58.3016,117.388,9,2,22.4667,10.463,0.71,4.549,0.16,5.033,88.304,11.968
0.985031,5.03069,97.214,7,2,13.0286,6.121,0.405,2.426,0.088,3.194,76.481,9.348
0.730973,403.574,111.274,7,2,14.2286,6.842,0.449,2.66,0.123,3.602,89.893,9.218
0.726395,416.948,107.163,7,2,15.1714,6.3,0.428,2.542,0.106,3.218,85.861,9.324
0.890421,0.0763004,190.855,7,2,6,8.136,0.469,2.429,0.114,5.11,167.183,9.323
0.711972,0.231919,156.166,10,2,14.32,12.938,0.763,4.414,0.199,7.546,121.865,13.486
0.96833,7.96478,99.059,7,2,13.4571,5.213,0.344,2.083,0.089,2.692,78.969,9.721
0.957013,6.18758,87.319,7,2,20.4571,9.936,0.678,3.885,0.176,5.184,61.819,9.327
0.935645,1.08183,111.065,10,2,14.62,10.446,0.625,4.412,0.154,5.243,80.391,13.263
0.966857,1.07187,141.937,7,2,22.0571,9.526,0.644,3.771,0.182,4.917,117.08,9.333
0.904214,2.67927,130.085,7,2,13,5.117,0.348,2.141,0.097,2.526,110.349,9.311
0.958277,7.39391,119.963,7,2,15.6571,6.549,0.44,2.624,0.092,3.385,98.915,9.235
0.993328,2.66597,127.577,7,2,6.14286,4.445,0.274,1.549,0.055,2.559,108.7,9.308
0.990459,10.7053,90.867,7,2,28.5429,8.918,0.628,3.978,0.156,4.146,67.224,9.189
0.629334,382.713,87.891,7,2,21.5143,8.469,0.57,3.439,0.152,4.299,64.59,9.212
0.952927,2.69151,86.452,7,2,20.8,8.623,0.552,3.579,0.13,4.354,62.972,9.426
0.0841519,7.06193,78.762,8,2,8.85,3.556,0.254,1.567,0.051,1.679,58.724,11.023
0.984074,2.88941,92.326,8,2,17.6,7.03,0.489,3.005,0.115,3.413,68.27,11.226
0.994606,1.54904,156.582,10,2,22.26,13.622,0.89,5.662,0.218,6.841,121.596,13.4
0.683434,1.82373,76.492,9,2,15.9111,8.087,0.538,3.305,0.136,4.101,50.147,12.024
0.69083,479.728,113.737,7,2,10.4,4.789,0.31,1.797,0.088,2.588,94.546,9.389
0.894277,2.45808,101.598,7,2,18.6857,7.152,0.488,3.189,0.116,3.349,79.711,9.337
0.705124,141.989,130.226,9,2,18.1556,8.864,0.6,3.754,0.132,4.366,102.816,11.988
0.737194,404.007,100.772,7,2,12.5714,5.169,0.34,2.032,0.082,2.709,81.171,9.381
0.833648,214.599,134.218,10,2,20,13.663,0.852,5.353,0.195,7.249,99.265,13.39
