Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0,134.171,81.165,1,13,1.07179,30.673,0.508,4.846,1.329,23.987,11.924,0
0.978428,1.28886,768.472,8,13,1.04231,169.704,1.176,40.879,6.855,120.781,221.454,305.121
0.946924,2.80712,915.168,8,13,0.564744,125.796,0.814,23.618,5.094,96.258,414.583,304.645
0.924179,9.4896,716.138,7,13,0.558242,95.213,0.65,17.733,3.718,73.104,304.412,252.545
0,61.728,503.174,7,13,0.609524,41.995,0.68,16.391,1.297,23.624,101.374,295.129
0,65.1392,2097.29,7,13,0.975092,51.446,1.403,24.046,1.159,24.834,1735.31,250.451
0.895065,15.9706,708.739,7,13,1.68205,153.857,2.445,48.384,4.911,98.106,186.8,301.23
0.972142,2.67969,868.003,7,13,0.631502,99.532,0.98,21.729,3.66,73.153,441.106,262.064
0.915687,11.0043,785.849,7,13,1.56044,176.636,1.068,48.089,6.219,121.245,281.016,255.81
0.961851,3.92897,1591.85,7,13,1.2696,146.2,0.793,42.605,5.08,97.71,1107.06,269.752
0.61884,65.5307,669.805,7,13,0.984615,85.024,0.828,34.637,2.543,47.01,230.294,291.672
0.970911,4.13414,745.238,7,13,1.63004,158.679,1.299,54.544,5.567,97.258,231.572,287.947
0,146.434,2065.32,7,13,0.380952,38.005,0.604,11.344,1.204,24.851,1731.45,236.242
0,137.111,2067.72,7,13,0.380952,37.863,1.147,11.231,1.246,24.236,1735.41,236.362
0.881775,15.479,602.2,7,13,0.920147,84.086,1.794,30.841,2.475,48.973,154.833,298.819
0.914482,7.14643,734.979,7,13,1.22784,173.448,1.31,42.012,6.564,123.549,237.324,252.828
0,151.157,82.966,1,13,1.26667,32.067,0.48,5.604,1.215,24.765,12.48,0
0.8807,17.6711,740.491,7,13,0.782418,108.99,0.935,28.612,3.575,75.859,293.894,271.518
0.976852,1.18817,925.342,7,13,1.43004,158.934,1.21,52.56,5.871,99.282,420.531,277.02
0,160.657,2064.42,7,13,0.314286,36.908,0.397,9.892,1.343,25.274,1726.56,241.802
0.904611,14.6107,685.032,7,13,0.899634,112.015,1.203,32.698,3.642,74.463,234.796,272.007
0.976099,1.40897,1864.22,8,13,0.794872,165.395,1.309,34.844,6.634,122.594,1320.98,302.823
0.938706,6.22125,632.202,7,13,0.380952,66.072,0.517,13.222,2.664,49.664,237.538,266.917
0.966231,4.47341,603.433,7,13,0.709158,100.554,1.107,22.196,3.9,73.345,178.374,259.478
0.97553,3.83344,2236.45,8,13,1.43141,144.575,0.974,65.662,3.866,74.063,1682.89,338.351
0.900131,10.5172,962.51,7,13,1.67546,138.63,0.809,60.367,3.923,73.522,427.775,327.447
0.956031,4.92229,915.466,7,13,0.879121,139.429,1.237,32.168,4.99,101.021,444.994,264.437
0.950181,4.53277,1138.44,8,13,1.59936,215.945,1.338,58.418,7.762,148.41,525.392,318.821
0.935239,10.8138,740.713,7,13,0.769963,103.87,0.769,24.793,3.699,74.602,288.709,281.869
0.812289,19.9094,736.475,7,13,0.52381,99.931,0.959,19.997,3.757,75.211,311.758,257.321
0.344242,59.509,714.938,7,13,1.14799,91.051,0.885,39.161,2.626,48.374,263.76,297.554
0.673869,55.5383,790.783,8,13,0.796154,105.958,1.199,26.584,3.72,74.448,314.631,301.803
0.913078,6.42931,745.462,7,13,0.612454,99.097,0.775,20.943,3.794,73.576,330.271,248.242
0.917114,4.66738,645.163,7,13,0.476923,68.116,0.535,16.532,2.53,48.515,237.971,277.048
0.975893,1.78659,575.809,7,13,0.535531,98.514,1.193,19.061,3.815,74.435,140.363,269.012
0.930607,5.90604,764.855,7,13,1.60513,132.405,1.093,53.739,3.854,73.712,262.706,302.04
0.712363,52.8901,1423.07,7,13,6.49304,407.215,1.904,273.58,7.117,124.6,622.467,318.466
0.935107,8.43628,890.812,7,13,2.77436,245.509,1.52,86.22,8.162,149.591,310.309,259.924
0.889054,17.8164,670.677,7,13,0.824908,107.983,0.764,29.272,3.749,74.19,179.463,317.158
0.938817,7.48014,616.69,7,13,0.785348,106.199,1.037,26.726,3.777,74.651,173.579,270.357
0.851064,16.8964,864.996,7,13,0.533333,69.707,0.816,16.966,2.554,49.365,411.802,320.854
0.823561,19.5612,1035.1,7,13,1.08059,114.513,1.44,34.074,4.048,74.945,591.081,260.965
0.960952,3.53004,691.418,7,13,0.695238,133.461,1.168,27.63,5.112,99.538,181.643,303.266
0.969753,3.16186,1297.84,7,13,1.84103,174.301,1.259,68.221,5.073,99.736,699.35,353.942
0.614573,20.2399,667.387,7,13,0.8,104.457,1.072,25.147,3.777,74.454,205.242,286.093
0.913082,13.8127,623.316,7,13,0.342857,64.811,0.784,12.372,2.494,49.154,229.345,266.771
0.969939,4.32807,1701.67,7,13,1.36557,153.294,1.244,47.148,4.888,100.002,1180.3,297.459
0.971243,3.47972,1154.8,7,13,4.01172,326.947,1.643,167.687,7.756,149.848,411.115,340.936
0.308817,80.5032,674.532,7,13,1.25714,118.09,0.842,38.99,4.083,74.167,217.699,271.177
0.897557,7.37098,743.623,7,13,0.482051,96.588,0.931,17.837,3.679,74.132,314.72,266.462
0.941034,7.39498,861.645,7,13,1.19341,146.262,0.993,39.493,5.362,100.403,367.445,279.841
0.813282,28.5472,920.355,7,13,1.05641,142.877,1.073,36.992,5.266,99.533,433.708,274.685
0.984326,2.68494,1858.11,7,13,0.96044,112.944,0.865,34.241,3.711,74.119,1366.76,312.822
0.974449,1.60279,939.323,7,13,1.5641,157.971,0.905,52.48,4.962,99.615,414.956,296.95
0.969765,4.98444,1706,7,13,1.99414,147.529,0.95,68.517,3.761,74.294,1172.83,318.776
0.912112,10.0495,1064.11,7,13,3.75604,259.459,1.636,126.406,7.078,124.325,398.099,334.891
0,158.953,84.564,1,13,1.46667,33.873,0.56,6.751,1.325,25.234,12.606,0
0.888177,13.9833,1568.95,7,13,2.85421,271.563,1.586,112.249,7.597,150.114,920.089,300.309
0.866547,24.08,941.551,7,13,1.39927,152.459,0.969,46.761,4.945,99.777,434.169,284.757
0,110.674,2156.91,7,13,0.314286,36.934,0.606,9.801,1.147,25.376,1792.29,264.647
0.908946,5.74067,1100.61,7,13,1.04396,174.66,1.717,42.448,6.137,124.345,544.436,309.068
0.899122,9.46986,754.659,7,13,0.860073,110.979,0.692,31.037,4.088,75.153,284.552,292.077
0.939025,4.35193,639.274,7,13,0.380952,66.583,0.792,12.71,2.822,50.254,221.717,287.59
0.960737,6.44306,666.382,7,13,0.820513,108.268,1.046,27.737,4.114,75.363,199.527,290.335
0.948892,6.95052,854.449,7,13,0.928938,109.38,0.996,29.211,3.902,75.262,405.98,273.807
0.893336,12.9722,704.99,7,13,1.22271,146.189,1.162,39.151,5.649,100.217,217.133,270.631
0.380872,80.0051,642.049,7,13,0.863004,110.043,0.937,30.582,3.668,74.849,200.681,264.094
0.978765,1.14941,1165.63,9,13,2.21766,344.012,1.909,106.473,11.394,224.212,333.37,395.659
0.842198,27.3386,1257.86,10,13,0.633333,168.309,0.975,35.969,6.612,124.739,617.152,387.385
0.934356,6.93059,776.528,7,13,1.49524,220.606,1.145,60.368,8.353,150.723,176.038,301.974
0.809746,32.5678,655.032,7,13,0.635897,100.731,0.764,22.35,3.816,73.796,231.843,256.785
0.83902,14.9942,875.287,7,13,0.568498,98.881,0.924,19.324,3.886,74.741,394.319,312.822
0.943822,3.70522,1055.23,7,13,1.15751,114.678,1.102,35.633,3.413,74.522,609.352,265.695
0,59.9069,639.503,7,13,0.535531,42.428,0.761,15.05,1.288,25.326,233.518,298.752
0.884787,7.39967,2003.42,7,13,1.45714,97.66,1.661,41.916,2.621,51.455,1569.58,271.232
0.966233,2.19093,780.899,7,13,1.01099,140.451,1.19,33.748,5.768,99.732,304.635,267.089
0,178.625,2139.47,7,13,0.295238,35.275,0.598,8.747,1.196,24.731,1783.57,258.611
0,59.0266,2095.42,7,13,0.295238,36.199,1.108,8.463,1.169,25.456,1755.72,243.647
0.407941,72.1948,636.681,7,13,1.06081,89.485,1.803,37.257,2.473,47.947,181.873,299.807
0.951944,8.58129,957.548,8,13,1.88718,230.285,1.699,69.748,8.117,150.703,333.418,317.229
0.944397,3.32766,790.962,7,13,0.962637,140.55,0.927,33.24,5.411,100.96,309.289,269.292
0.788959,28.565,889.088,8,13,0.645513,130.06,0.796,24.052,5.123,100.083,374.705,312.525
0.935576,3.41743,695.783,7,13,0.769231,133.327,0.811,27.885,4.993,99.627,212.822,281.264
0.90665,8.65901,922.117,7,13,0.421978,66.648,0.786,14.277,2.414,49.166,513.136,279.67
0.794044,36.5325,617.399,7,13,0.490842,69.605,1.039,16.041,2.548,49.972,205.418,276.894
0.927996,11.6526,767.317,7,13,1.02711,115.268,1.116,35.659,4.006,74.479,323.077,263.665
0.750494,43.095,692.844,7,13,1.22418,91.295,0.821,39.748,2.472,48.249,238.732,299.991
0.666115,46.7921,811.278,7,13,1.92308,167.394,1.451,60.744,5.016,100.171,284.507,289.267
0.482794,41.6202,1265.69,7,13,0.637363,75.661,0.812,22.221,2.802,49.821,850.234,272.894
0.959436,3.18468,1574.99,7,13,1.71575,177.689,1.211,71.936,5.194,99.336,1018.29,310.715
0.864248,12.6418,771.737,7,13,1.29963,147.857,0.988,40.634,4.924,101.3,270.31,283.774
0.875455,15.0173,984.05,7,13,0.27619,63.863,0.764,10.665,2.66,49.767,527.422,328.708
0.662054,17.7766,713.219,7,13,1.55385,159.354,1.529,53.105,4.701,100.008,199.861,284.022
0.961767,4.37695,697.143,7,13,0.65348,100.615,0.908,20.764,3.754,75.18,272.76,258.138
0.924667,9.9549,625.864,7,13,0.709158,103.365,0.889,23.296,4.154,75.019,209.519,247.199
0.931461,11.9069,718.552,7,13,0.632967,99.731,0.866,21.58,3.509,73.771,287.427,265.557
0.928237,4.71877,853.328,7,13,0.432967,64.763,0.581,12.308,2.528,49.341,442.149,283.227
0.976598,2.65713,2040.21,7,13,0.631502,75.089,1.04,20.179,2.687,51.178,1593.11,309.311
0,104.139,86.086,1,13,1.26667,32.615,0.868,6.332,1.206,24.206,12.717,0
0.866473,9.63014,931.487,7,13,0.679853,105.969,1.272,26.84,3.621,74.23,486.503,270.278
