Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.178646,30.9198,562.87,9,13,0.812821,127.285,0.857,32.059,4.12,90.235,165.745,214.972
0.736602,12.1184,698.48,7,13,0.661538,79.994,0.344,22.4,2.606,54.636,405.351,167.66
0.821071,7.06845,472.101,7,13,1.57802,131.849,0.738,50.398,6.373,74.329,129.69,161.645
0.84482,6.29438,553.091,7,13,2.0022,183.613,0.742,68.021,4.85,109.986,149.976,167.49
0.433463,25.1594,427.031,7,13,0.597802,59.677,0.327,20.317,1.597,37.431,151.649,171.639
0.799455,8.15932,572.487,7,13,1.69011,195.927,0.915,59.744,5.938,129.31,157.251,166.753
0.282444,34.672,379.464,7,13,0.548352,77.192,0.368,19.127,2.229,55.462,97.566,159.091
0.655446,13.321,372.752,7,13,0.357143,50.789,0.469,12.636,1.461,36.218,123.606,152.652
0.728018,12.3761,424.465,7,13,0.757143,84.311,0.54,26.254,2.572,54.938,127.915,165.005
0.80188,8.64885,1178.26,7,13,0.828571,85.067,0.534,26.797,2.232,55.496,887.968,157.486
0,43.3247,1406.09,7,13,0.445055,32.87,0.354,13.793,0.742,17.979,1149.65,180.134
0.782774,9.07676,430.103,7,13,0.859341,107.804,1.141,30.77,2.704,73.178,101.384,172.71
0.774706,10.5198,523.036,7,13,1.01209,116.039,0.581,37.816,3.333,74.3,179.563,179.934
0.806401,9.57165,459.786,8,13,0.598077,80.662,0.532,23.183,1.88,55.059,144.397,186.317
0.577641,19.6637,420.306,7,13,0.871429,106.208,0.602,29.394,2.89,73.311,106.903,152.489
0.839808,6.86804,768.147,8,13,0.755769,92.724,0.534,33.006,2.309,56.866,407.387,217.746
0.618264,15.0946,451.089,7,13,1.05275,115.747,0.573,37.352,3.282,74.529,101.27,183.83
0.526265,21.0441,506.82,7,13,0.52967,59.193,0.506,19.718,1.563,37.401,240.075,161.54
0.345076,25.7345,515.77,8,13,0.6125,100.765,0.659,23.839,2.854,73.405,180.702,185.338
0.551185,18.9483,371,7,13,0.486813,76.864,0.412,18.39,2.334,55.721,85.678,160.63
0,39.374,1414.91,7,13,0.258242,31.389,0.369,11.292,0.84,18.886,1150.88,188.033
0.743915,11.6636,751.905,7,13,1.05824,97.035,1.273,37.76,2.203,55.791,451.148,156.403
0.404003,25.7239,398.852,7,13,0.787912,66.851,0.483,26.848,1.77,37.746,106.354,179.866
0.464649,23.1285,379.737,7,13,0.518681,59.026,0.599,19.801,1.536,37.075,107.649,167.078
0.828143,7.69397,371.338,7,13,0.675824,79.157,0.584,20.935,2.309,55.32,80.985,165.563
0.290187,33.9467,434.965,8,13,0.275,73.401,0.514,14.84,1.953,56.086,145.207,168.023
0.591925,15.8424,294.772,4,13,1.78846,114.991,0.499,37.998,2.772,73.712,54.35,85.543
0.772595,10.0814,711.459,7,13,1.46154,124.504,0.443,47.222,2.944,73.885,379.837,157.31
0.85198,6.41907,486.583,8,13,0.565385,85.945,0.627,26.581,2.716,56.012,157.297,192.243
0.664684,13.4882,637.699,7,13,0.543956,61.795,0.39,22.691,1.633,37.074,325.577,202.519
0.679633,15.0773,355.272,7,13,0.973626,74.528,0.903,34.996,1.708,36.917,72.067,161.973
0.461424,21.1801,423.652,7,13,1.23736,102.43,0.731,42.435,2.925,56.331,109.133,163.262
0.690898,13.2565,441.909,7,13,0.525275,57.456,0.451,17.776,1.5,37.725,166.687,173.776
0.815915,8.31667,533.726,7,13,1.85055,191.32,0.999,73.416,4.563,112.323,97.518,191.004
0.512736,23.4056,1156.31,7,13,0.889011,87.939,0.542,27.733,3.011,56.647,850.029,171.261
0.217282,33.5019,639.519,10,13,0.6,126.657,0.537,28.343,4.21,93.555,208.264,246.42
0.768119,10.6057,550.726,8,13,0.778846,114.016,0.486,34.579,3.144,75.799,195.54,188.214
0.540963,18.0701,542.394,7,13,0.91978,91.888,0.488,31,2.753,57.64,217.124,186.226
0.794795,9.03179,876.579,7,13,0.675824,62.272,0.587,22.711,1.641,37.327,605.27,161.769
0.685591,12.5587,408.57,7,13,1.11648,77.126,0.581,37.055,1.738,37.749,92.097,193.802
0.775219,10.2882,351.67,7,13,0.563736,56.726,0.683,16.957,1.609,37.47,98.402,151.319
0.634236,16.2034,423.789,7,13,0.405495,56.789,0.458,17.603,1.477,37.244,117.931,204.086
0.391667,32.934,378.556,7,13,0.476923,57.298,0.769,17.051,1.558,37.915,124.496,152.811
0.588848,18.0447,1306.33,7,13,0.301099,52.766,0.483,13.353,1.349,37.577,1021.6,186.281
0.761597,9.99792,499.402,7,13,1.5011,151.626,0.892,51.931,4.155,94.636,123.469,173.567
0,40.4755,1407.55,7,13,0.214286,25.796,0.282,6.07,0.915,18.527,1159.16,179.08
0.637267,16.8103,1077.3,7,13,0.921978,115.692,0.926,37.17,2.838,74.747,710.258,202.133
0.799921,8.09838,1084.18,7,13,1.74835,122.416,0.756,62.078,2.605,56.968,730.703,182.773
0,44.6177,314.11,7,13,0.632967,42.128,0.773,22.042,0.823,18.487,66.892,157.874
0.54337,20.1704,423.728,7,13,0.9,71.773,1.219,31.712,1.821,37.016,135.529,170.337
0.827539,8.33528,1262.63,8,13,0.354808,75.284,0.659,16.12,2.203,56.293,958.929,179.84
0.591899,17.752,1292.1,7,13,0.371429,53.577,0.342,13.842,1.559,37.827,1013.42,178.675
0.520951,21.122,370.717,7,13,0.451648,57.85,0.601,17.92,1.455,37.867,94.414,171.459
0.52717,19.225,464.272,7,13,0.523077,60.819,0.702,20.965,1.668,37.479,180.25,175.279
0.827633,7.84721,580.035,9,13,0.566667,107.357,0.713,27.534,3.501,75.598,196.474,222.988
0.500973,24.8537,486.495,8,13,0.4625,80.488,0.377,21.316,2.279,56.51,176.863,178.654
0.425262,21.3701,387.317,7,13,0.186813,48.266,0.262,10.219,1.222,36.559,95.478,198.051
0.739837,10.4704,808.348,8,13,0.799038,111.998,0.8,32.123,3.607,75.457,455.212,189.694
0.324995,29.0067,364.159,7,13,0.387912,52.224,0.319,13.471,1.408,37.022,108.653,157.476
0.609906,18.0777,418.534,7,13,0.587912,76.104,0.547,17.428,2.274,55.846,124.36,171.156
0.68374,14.4463,603.479,7,13,0.62967,80.46,0.557,20.833,2.396,56.666,319.487,155.886
0.626804,15.8416,425.069,7,13,0.487912,79.342,0.502,20.085,2.355,56.393,101.293,196.582
0.763037,9.75719,462.968,7,13,1.04066,118.293,0.737,39.247,2.981,75.319,112.264,182.155
0.685715,14.8228,428.495,7,13,1.01209,95.152,0.638,35.991,2.39,56.125,100.85,183.452
0.60119,16.1537,590.695,7,13,1.33736,176.128,1.298,58.974,5.891,109.947,145.582,211.857
0.832482,6.53261,992.136,7,13,0.807692,85.223,0.664,26.338,2.081,56.133,699.312,158.727
0.369691,26.7431,396.693,7,13,0.530769,61.703,0.423,18.486,2.309,40.48,138.463,151.155
0.634292,14.4648,1360.88,7,13,0.373626,57.707,0.51,17.107,2.311,37.775,1051.32,204.503
0.669038,13.1392,590.639,7,13,2.09451,172.948,1.25,72.617,4.153,94.909,169.155,194.689
0.560683,17.2074,612.253,7,13,0.734066,108.719,0.608,29.107,3.353,75.642,270.904,182.054
0.103839,41.9044,467.056,7,13,0.445055,54.673,0.456,15.954,1.449,36.809,179.886,184.272
0.649363,15.961,644.104,7,13,0.516484,57.735,0.612,16.656,2.113,38.349,345.968,192.658
0.533341,18.4372,449.386,7,13,0.950549,116.975,0.86,36.356,3.081,76.667,103.971,177.73
0.866223,5.8276,415.854,7,13,0.771429,86.995,0.55,28.107,2.683,55.647,105.385,175.539
0.827174,7.71789,726.845,10,13,1.25846,167.764,0.888,68.268,4.065,94.53,219.074,279.256
0.729774,10.7066,670.979,7,13,1.42747,135.774,0.62,56.322,3.337,75.485,287.071,194.137
0.604819,15.2592,452.786,7,13,1.26154,102.511,0.515,43.499,2.356,56.133,111.272,191.678
0.643575,14.2096,398.539,7,13,0.686813,65.428,0.739,26.024,1.408,37.253,91.048,196.711
0.811028,7.81717,707.062,7,13,0.66044,82.679,0.82,23.324,2.238,56.29,424.242,152.957
0.651468,15.631,1102.36,8,13,0.775,107.952,0.549,28.819,3.627,74.944,750.905,191.463
0.544713,17.8499,396.531,7,13,0.385714,54.167,0.265,14.78,1.645,37.472,114.654,182.564
0.7149,13.5132,658.218,7,13,0.956044,101.267,0.736,41.816,2.228,56.481,333.161,175.02
0.500618,21.6093,383.313,7,13,0.531868,59.427,0.581,19.094,1.553,38.193,98.987,179.298
0.511192,19.5597,397.236,7,13,0.517582,59.566,0.654,19.424,1.953,37.53,98.314,192.351
0.806369,9.4565,421.447,7,13,0.346154,51.27,0.639,12.159,1.607,36.862,164.443,161.248
0.849243,6.84268,654.464,7,13,1.09231,118.523,0.734,38.979,3.103,75.696,314.132,172.031
0.769084,10.5021,768.764,7,13,1.22198,122.102,0.661,42.987,3.16,75.282,433.816,163.064
0.771451,8.97227,670.189,7,13,0.821978,93.391,0.556,33.581,2.369,56.874,335.026,193.615
0,46.1808,304.752,7,13,0.398901,32.322,0.581,12.922,0.746,18.07,67.331,158.323
0.641062,15.2732,499.939,7,13,1.22637,129.782,1.312,48.871,3.325,76.261,123.38,197.392
0.376525,25.8527,1320.44,7,13,0.481319,57.301,0.609,18.073,1.301,37.313,1019.42,198.214
0.680197,14.6256,534.802,7,13,1.81538,183.933,0.997,64.264,5.334,113.324,127.989,169.36
0.799184,9.08159,414.443,7,13,1.02088,93.28,0.471,34.614,2.306,55.881,104.179,166.812
0.808906,7.44809,655.219,7,13,0.986813,115.94,0.662,35.953,3.218,76.097,329.752,160.237
0.598012,15.5867,903.303,7,13,0.905495,73.834,0.415,34.141,1.679,37.593,584.171,199.264
0.826752,7.95368,456.194,7,13,1.13736,100.8,0.875,41.621,2.332,55.964,132.63,174.637
0.789426,8.53995,749.822,7,13,0.604396,84.729,0.568,24.751,2.883,56.52,438.555,176.796
0.529657,19.6184,467.39,7,13,0.71978,85.38,0.643,25.694,2.154,56.88,149.764,184.926
3.58197e-07,42.5462,1423.05,7,13,0.242857,28.762,0.408,8.46,0.75,19.141,1161.85,186.704
0.577932,19.2687,383.122,7,13,0.287912,53.376,0.274,13.616,1.587,37.893,125.043,158.363
