Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.492714,2459.51,6,10,83.3333,1795,0,1645,11,134,124,468
0.626248,2517.25,6,10,83.3333,1824,0,1685,11,124,105,521
0.669984,2021.85,6,10,83.3333,1540,0,1425,6,101,96,321
0.382426,1897.15,6,10,66.6667,1363,0,1268,7,85,100,369
0.726988,2389.71,6,10,100,1875,0,1735,12,122,99,349
0.591458,2336.8,6,10,100,1836,0,1696,10,123,105,325
0.520078,2120.66,6,10,83.3333,1606,0,1475,18,108,106,339
0.653434,2022.86,6,10,83.3333,1539,0,1419,10,105,104,314
0.461745,2128.22,6,10,83.3333,1615,0,1498,10,104,106,339
0.48959,2370.02,6,10,100,1863,0,1717,12,130,109,331
0.325148,1699.21,6,10,50,1147,0,1061,6,77,132,356
0.44223,2096.46,6,10,66.6667,1479,0,1363,8,104,142,412
0.53237,2482.06,6,10,83.3333,1873,0,1728,12,127,133,406
0.641303,2749.97,6,10,100,2152,0,1975,17,154,135,391
0.485505,2136.43,6,10,66.6667,1515,0,1399,9,102,139,417
0.660048,2692.47,6,10,100,2104,0,1931,12,153,132,385
0.46696,2170.17,6,10,66.6667,1548,0,1431,8,104,135,419
0.431373,2460.26,6,10,83.3333,1846,0,1702,10,130,136,409
0.747901,2708.19,6,10,100,2110,0,1938,12,155,133,392
0.558257,2386.14,6,10,83.3333,1787,0,1642,10,129,140,392
0.58745,2412.71,6,10,83.3333,1820,0,1675,10,130,138,386
0.53884,2524.54,6,10,83.3333,1893,0,1747,10,129,136,431
0.697409,2423.3,6,10,83.3333,1816,0,1670,11,129,139,400
0.518941,2767.17,6,10,100,2172,0,1999,12,156,134,393
0.515942,2747.27,6,10,100,2156,0,1980,12,155,134,386
0.521789,2423.89,6,10,83.3333,1825,0,1679,10,130,139,399
0.647857,2465.49,6,10,83.3333,1856,0,1711,10,128,137,406
0.718498,2733.61,6,10,100,2143,0,1967,12,154,132,393
0.370514,2730.8,6,10,100,2139,0,1966,12,156,132,387
0.49654,2377.22,6,10,83.3333,1777,0,1632,10,129,136,399
0.538224,2570.3,6,10,83.3333,1943,0,1799,10,128,137,424
