Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
26.389,0,2.5,10.237,2.715,7.319,0,0,0
24.126,0,2.5,8.958,2.833,6.485,0,0,0
28.564,0,2.5,11.864,2.854,7.718,0,0,0
30.107,0,2.5,12.598,2.905,8.316,0,0,0
32.884,0,2.5,15.067,2.771,8.123,0,0,0
33.621,0,2.5,14.344,2.763,8.775,0,0,0
35.586,0,2.5,16.854,2.959,8.451,0,0,0
32.659,0,2.5,14.464,2.98,7.97,0,0,0
31.456,0,2.5,14.414,3.004,7.484,0,0,0
30.47,0,2.5,12.611,3.163,7.707,0,0,0
28.726,0,2.5,11.59,3.246,7.579,0,0,0
29.144,0,2.5,12.418,3.141,7.532,0,0,0
28.251,0,2.5,12.165,3.085,7.032,0,0,0
30.652,0,2.5,14.621,3.062,6.811,0,0,0
30.717,0,2.5,14.339,3.131,7.224,0,0,0
30.686,0,2.5,14.804,3.092,6.942,0,0,0
30.608,0,2.5,14.714,3.012,7.235,0,0,0
31.153,0,2.5,14.602,3.012,7.782,0,0,0
30.287,0,2.5,15.107,2.798,6.864,0,0,0
29.166,0,2.5,14.985,3.067,5.794,0,0,0
27.99,0,2.5,12.789,3.21,6.648,0,0,0
27.108,0,2.5,11.549,3.226,6.711,0,0,0
27.748,0,2.5,12.482,3.135,6.564,0,0,0
26.107,0,2.5,11.319,2.832,6.435,0,0,0
30.408,0,2.5,14.62,2.98,7.012,0,0,0
28.622,0,2.5,13.265,2.899,6.976,0,0,0
29.652,0,2.5,13.973,2.98,6.671,0,0,0
35.515,0,2.5,16.525,3.123,9.951,0,0,0
31.349,0,2.5,14.505,2.732,7.064,0,0,0
30.862,0,2.5,12.877,2.779,7.79,0,0,0
30.952,0,2.5,14.426,2.766,6.939,0,0,0
30.905,0,2.5,14.367,2.726,7.223,0,0,0
28.466,0,2.5,12.264,2.749,7.066,0,0,0
28.524,0,2.5,11.446,2.896,8.064,0,0,0
27.82,0,2.5,10.987,2.831,7.237,0,0,0
27.365,0,2.5,11.228,2.783,6.943,0,0,0
27.31,0,2.5,11.508,2.793,6.532,0,0,0
28.781,0,2.5,12.168,3.07,7.014,0,0,0
30.052,0,2.5,13.375,3.081,6.457,0,0,0
30.936,0,2.5,13.317,2.923,7.975,0,0,0
31.7,0,2.5,14.2,2.801,7.928,0,0,0
33.24,0,2.5,15.847,2.948,8.331,0,0,0
30.455,0,2.5,15.293,3.066,6.299,0,0,0
29.36,0,2.5,14.262,2.73,6.21,0,0,0
27.907,0,2.5,12.606,2.759,6.422,0,0,0
28.055,0,2.5,12.599,2.761,6.883,0,0,0
26.635,0,2.5,10.615,2.899,7.053,0,0,0
28.767,0,2.5,11.299,2.879,7.479,0,0,0
27.748,0,2.5,11.245,2.841,7.127,0,0,0
28.916,0,2.5,12.323,2.827,6.897,0,0,0
28.652,0,2.5,12.128,2.977,7.001,0,0,0
29.179,0,2.5,11.895,2.936,6.749,0,0,0
30.506,0,2.5,13.222,3.052,7.619,0,0,0
31.508,0,2.5,13.931,2.921,8.044,0,0,0
30.055,0,2.5,11.331,2.906,7.849,0,0,0
29.838,0,2.5,11.286,2.884,7.509,0,0,0
29.808,0,2.5,10.581,2.932,8.089,0,0,0
29.048,0,2.5,10.33,2.966,7.796,0,0,0
32.898,0,2.5,14.851,2.84,7.777,0,0,0
30.224,0,2.5,12.891,2.894,7.242,0,0,0
27.849,0,2.5,11.408,2.842,6.949,0,0,0
27.606,0,2.5,11.588,3.101,6.672,0,0,0
28.683,0,2.5,11.148,2.851,8.152,0,0,0
29.013,0,2.5,11.665,2.83,7.226,0,0,0
26.721,0,2.5,10.53,2.837,6.695,0,0,0
26.772,0,2.5,11.738,2.852,5.891,0,0,0
27.356,0,2.5,11.479,2.867,6.783,0,0,0
26.802,0,2.5,11.594,2.891,6.418,0,0,0
26.047,0,2.5,10.561,2.853,6.622,0,0,0
27.513,0,2.5,11.836,3.162,6.621,0,0,0
27.894,0,2.5,11.414,3.209,7.252,0,0,0
28.166,0,2.5,11.109,3.079,7.038,0,0,0
28.242,0,2.5,11.389,3.132,7.322,0,0,0
28.655,0,2.5,10.905,3.198,7.415,0,0,0
30.044,0,2.5,12.821,3.157,7.156,0,0,0
29.858,0,2.5,13.846,3.151,5.737,0,0,0
31.393,0,2.5,13.02,3.238,7.648,0,0,0
30.923,0,2.5,13.002,2.926,7.632,0,0,0
31.102,0,2.5,13.09,2.888,7.435,0,0,0
29.678,0,2.5,13.272,2.979,6.189,0,0,0
29.556,0,2.5,11.999,2.993,7.424,0,0,0
28.433,0,2.5,11.72,2.964,6.583,0,0,0
30.011,0,2.5,11.773,2.94,7.705,0,0,0
28.035,0,2.5,12.227,2.919,5.839,0,0,0
28.912,0,2.5,12.848,2.885,6.159,0,0,0
29.903,0,2.5,13.233,2.939,6.829,0,0,0
30.356,0,2.5,13.413,2.913,6.937,0,0,0
28.06,0,2.5,11.45,3.576,6.621,0,0,0
27.654,0,2.5,11.213,3.073,7.01,0,0,0
28.989,0,2.5,12.708,3.307,6.787,0,0,0
31.371,0,2.5,15.357,2.895,6.854,0,0,0
27.777,0,2.5,12.653,3,6.316,0,0,0
29.244,0,2.5,13.912,2.914,6.303,0,0,0
27.309,0,2.5,12.441,2.928,6.024,0,0,0
27.145,0,2.5,11.699,3.176,6.382,0,0,0
28.618,0,2.5,12.739,3.189,6.862,0,0,0
27.569,0,2.5,12.506,3.145,6.205,0,0,0
