Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
3277.49,0,0,93.175,100,78.6616,3.5912,6.14626,0
4460.57,0,0,100.808,100,86.471,3.47136,6.15712,0
3334.98,0,0,101.142,100,86.8071,3.43206,6.12694,0
3904.71,0,0,119.204,100,101.747,4.62116,6.67558,0
7427.98,0,0,127.21,100,108.516,4.95899,7.08982,0
4059.67,0,0,122.54,100,103.692,5.32204,6.79631,0
10836.2,0,0,117.707,100,100.06,4.82714,6.61553,0
5107,0,0,121.858,100,103.966,4.7799,6.80131,0
8068.21,0,0,121.205,100,103.486,4.78414,6.73274,0
3924.38,0,0,119.103,100,101.32,4.81825,6.69392,0
4598.42,0,0,119.156,100,101.476,4.79253,6.66564,0
7887.69,0,0,124.401,100,106.228,4.82997,6.86701,0
10856.1,0,0,123.553,100,105.438,4.7827,6.91551,0
9413.01,0,0,118.27,100,100.617,4.8133,6.61889,0
4135.64,0,0,114.839,100,97.5358,4.79547,6.40365,0
11037.2,0,0,121.661,100,103.663,4.81863,6.80746,0
9979.98,0,0,122.478,100,104.481,4.81273,6.79465,0
6480.41,0,0,122.192,100,104.181,4.80932,6.79762,0
4399.45,0,0,122.016,100,104.098,4.77835,6.77382,0
6214.57,0,0,122.39,100,104.424,4.79638,6.81931,0
9378.76,0,0,121.647,100,103.732,4.78763,6.79294,0
10291.4,0,0,123.352,100,105.297,4.79701,6.83469,0
2835.98,0,0,119.705,100,101.868,4.79449,6.78985,0
10732.2,0,0,121.953,100,103.91,4.83011,6.85161,0
10235.4,0,0,121.375,100,103.428,4.77611,6.76871,0
7144.56,0,0,122.637,100,104.472,4.82863,6.86907,0
9066.43,0,0,122.445,100,104.343,4.84138,6.85492,0
10155.8,0,0,122.51,100,104.476,4.80665,6.82527,0
4458.11,0,0,119.834,100,102.032,4.8075,6.72386,0
10340.3,0,0,124.239,100,106.053,4.8201,6.88649,0
3386.94,0,0,122.59,100,104.636,4.78889,6.79152,0
9976.51,0,0,122.214,100,104.167,4.85785,6.80654,0
3788.47,0,0,122.35,100,104.378,4.79476,6.83952,0
2770.01,0,0,122.566,100,104.559,4.82482,6.78096,0
3424.18,0,0,122.47,100,104.372,4.81825,6.82127,0
4773.13,0,0,122.154,100,104.107,4.81661,6.81942,0
4438.07,0,0,117.041,100,99.4713,4.79259,6.56582,0
8319.5,0,0,116.862,100,99.3414,4.84142,6.54766,0
6434.2,0,0,117.059,100,99.3641,4.83743,6.63826,0
2849.96,0,0,116.711,100,99.1591,4.81193,6.57397,0
9480.14,0,0,117.119,100,99.6475,4.82208,6.54381,0
7466.56,0,0,122.335,100,104.12,4.82193,6.94194,0
10689.3,0,0,123.218,100,105.035,4.85391,6.91959,0
5234.3,0,0,121.994,100,104.01,4.82465,6.8003,0
4262.17,0,0,122.659,100,104.65,4.77794,6.80903,0
8650.59,0,0,121.861,100,103.889,4.78011,6.82941,0
3809.94,0,0,119.742,100,101.959,4.80025,6.688,0
5480.27,0,0,123.916,100,105.867,4.77109,6.87707,0
2858.78,0,0,124.568,100,106.452,4.76793,6.9022,0
9120.09,0,0,118.189,100,100.479,4.80896,6.63308,0
2676.39,0,0,123.569,100,105.54,4.76831,6.84163,0
3632.31,0,0,122.462,100,104.325,4.80977,6.89214,0
5262.57,0,0,121.998,100,104.077,4.78097,6.79676,0
6988.45,0,0,118.819,100,101.191,4.8074,6.58849,0
6860.95,0,0,118.633,100,100.884,4.84316,6.64247,0
5051.23,0,0,122.554,100,104.494,4.82052,6.81866,0
4385.1,0,0,124.894,100,106.698,4.79911,6.9491,0
3043.69,0,0,119.388,100,101.633,4.80967,6.68547,0
6717.72,0,0,119.441,100,101.672,4.82065,6.69371,0
5830.7,0,0,121.617,100,103.635,4.796,6.78713,0
8682.36,0,0,124.204,100,106.054,4.81361,6.88836,0
4010.85,0,0,122.243,100,104.124,4.84923,6.8518,0
9961.21,0,0,122.293,100,104.243,4.83146,6.80379,0
4798.2,0,0,121.552,100,103.451,4.82021,6.90344,0
3358.31,0,0,121.292,100,103.382,4.81724,6.76886,0
3339.42,0,0,122.409,100,104.402,4.8219,6.78624,0
4571.61,0,0,118.923,100,101.173,4.82732,6.70533,0
5228.02,0,0,122.3,100,104.26,4.82052,6.8291,0
3598.68,0,0,122.59,100,104.523,4.82946,6.81486,0
7406.39,0,0,122.614,100,104.472,4.81992,6.90255,0
7133.91,0,0,124.735,100,106.479,4.80483,6.97539,0
3634.79,0,0,122.21,100,104.328,4.78318,6.78072,0
2762.66,0,0,122.764,100,104.686,4.84315,6.83862,0
3385.53,0,0,122.968,100,104.851,4.81607,6.88516,0
7432.28,0,0,116.399,100,98.8205,4.83277,6.54985,0
5249.68,0,0,120.324,100,102.309,4.86362,6.74383,0
9335.1,0,0,119.838,100,101.918,4.88938,6.71628,0
5011.34,0,0,119.837,100,101.893,4.85531,6.76356,0
4307.54,0,0,117.036,100,99.5239,4.83276,6.516,0
7183.2,0,0,119.519,100,101.672,4.80862,6.72306,0
9633.85,0,0,122.843,100,104.728,4.84386,6.82635,0
6145.67,0,0,121.903,100,103.87,4.82092,6.80962,0
2721.93,0,0,123.893,100,105.793,4.80677,6.8592,0
9588.28,0,0,122.744,100,104.637,4.82711,6.82218,0
9844.27,0,0,124.182,100,105.938,4.84819,6.92419,0
10297.8,0,0,123.006,100,104.928,4.79849,6.86594,0
5714.66,0,0,118.971,100,101.349,4.78308,6.6367,0
5176.14,0,0,124.107,100,105.983,4.80821,6.8752,0
4188.17,0,0,122.775,100,104.639,4.8299,6.84523,0
2788.45,0,0,119.946,100,102.048,4.83975,6.76626,0
3234.48,0,0,122.928,100,104.811,4.78759,6.89221,0
4557.67,0,0,122.264,100,104.167,4.81724,6.84282,0
3054.74,0,0,122.024,100,104.011,4.80211,6.84179,0
