Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
27.251,0,21.4286,14.983,3.245,5.217,0,0,0
24.898,0,21.4286,13.636,3.251,4.496,0,0,0
24.693,0,21.4286,13.212,3.516,4.631,0,0,0
24.331,0,21.4286,13.343,3.489,4.367,0,0,0
24.231,0,21.4286,13.489,3.402,4.094,0,0,0
24.87,0,21.4286,13.938,3.571,4.04,0,0,0
24.677,0,21.4286,13.506,3.494,4.457,0,0,0
25.041,0,21.4286,14.081,3.728,4.037,0,0,0
24.583,0,21.4286,13.917,3.322,3.978,0,0,0
25.822,0,21.4286,14.584,3.571,4.104,0,0,0
25.669,0,21.4286,14.35,3.57,4.386,0,0,0
25.367,0,21.4286,13.632,3.684,4.535,0,0,0
26.737,0,21.4286,14.358,3.691,4.344,0,0,0
26.304,0,21.4286,14.774,3.566,4.365,0,0,0
26.38,0,21.4286,15.029,3.558,4.091,0,0,0
25.658,0,21.4286,13.903,3.742,4.203,0,0,0
26.616,0,21.4286,15.007,3.718,4.348,0,0,0
26.538,0,21.4286,14.511,3.786,4.104,0,0,0
26.797,0,21.4286,14.178,3.983,4.87,0,0,0
26.715,0,21.4286,14.347,3.98,4.645,0,0,0
25.915,0,21.4286,13.733,4.037,4.2,0,0,0
27.101,0,21.4286,14.312,4.152,4.676,0,0,0
29.692,0,21.4286,16.906,4.087,4.362,0,0,0
30.623,0,21.4286,17.14,4.229,4.723,0,0,0
32.968,0,21.4286,19.185,4.16,4.916,0,0,0
32.797,0,21.4286,18.489,4.26,5.541,0,0,0
36.986,0,21.4286,22.113,4.228,5.528,0,0,0
35.32,0,21.4286,20.321,4.231,5.794,0,0,0
40.312,0,21.4286,23.611,4.316,6.759,0,0,0
47.244,0,21.4286,28.866,4.328,7.27,0,0,0
52.533,0,21.4286,32.386,4.299,8.168,0,0,0
47.567,0,21.4286,27.977,4.586,7.547,0,0,0
44.287,0,21.4286,24.895,4.495,7.85,0,0,0
44.788,0,21.4286,25.724,4.565,7.43,0,0,0
41.993,0,21.4286,24.319,4.538,6.783,0,0,0
43.275,0,21.4286,25.874,4.567,6.542,0,0,0
45.505,0,21.4286,27.216,5.131,6.45,0,0,0
43.463,0,21.4286,26.27,4.525,6.296,0,0,0
41.365,0,21.4286,24.68,4.513,6.383,0,0,0
41.684,0,21.4286,25.056,4.48,6.215,0,0,0
41.92,0,21.4286,24.665,4.775,6.574,0,0,0
42.423,0,21.4286,24.734,4.787,6.328,0,0,0
42.814,0,21.4286,24.54,4.692,6.826,0,0,0
49.769,0,21.4286,30.872,4.85,7.221,0,0,0
42.753,0,21.4286,24.055,4.608,6.754,0,0,0
42.954,0,21.4286,24.483,4.658,7.017,0,0,0
45.504,0,21.4286,27.12,4.478,7.236,0,0,0
48.02,0,21.4286,27.992,4.332,8.489,0,0,0
41.612,0,21.4286,22.935,4.726,6.089,0,0,0
40.368,0,21.4286,21.771,4.809,6.93,0,0,0
39.42,0,21.4286,21.262,4.441,6.703,0,0,0
38.396,0,21.4286,21.835,4.503,6.089,0,0,0
39.322,0,21.4286,22.391,4.936,6.077,0,0,0
39.792,0,21.4286,22.46,4.505,6.86,0,0,0
42.834,0,21.4286,25.002,4.27,6.946,0,0,0
40.934,0,21.4286,23.04,4.77,6.281,0,0,0
41.95,0,21.4286,23.077,4.432,6.985,0,0,0
40.362,0,21.4286,23.353,4.287,6.709,0,0,0
40.632,0,21.4286,23.653,4.443,5.861,0,0,0
36.566,0,21.4286,21.006,4.38,5.444,0,0,0
36.732,0,21.4286,21.317,4.356,5.603,0,0,0
37.582,0,21.4286,21.782,4.491,6.06,0,0,0
39.909,0,21.4286,22.124,5.264,5.871,0,0,0
37.981,0,21.4286,22.121,4.479,5.67,0,0,0
37.929,0,21.4286,21.988,4.342,5.949,0,0,0
40.199,0,21.4286,23.463,4.316,6.459,0,0,0
41.799,0,21.4286,24.102,5.025,6.548,0,0,0
42.862,0,21.4286,25.001,4.344,6.512,0,0,0
41.181,0,21.4286,23.139,4.292,7.009,0,0,0
40.948,0,21.4286,23.553,4.347,6.728,0,0,0
42.665,0,21.4286,24.326,4.344,7.096,0,0,0
46.544,0,21.4286,26.934,4.356,8.429,0,0,0
43.454,0,21.4286,25.28,4.344,7.183,0,0,0
45.852,0,21.4286,27.201,4.32,7.268,0,0,0
45.818,0,21.4286,26.338,4.344,7.71,0,0,0
49.158,0,21.4286,29.515,4.221,7.613,0,0,0
44.995,0,21.4286,25.722,4.183,7.993,0,0,0
48.357,0,21.4286,27.844,4.364,8.298,0,0,0
47.649,0,21.4286,27.064,4.355,8.278,0,0,0
50.991,0,21.4286,29.899,4.393,8.497,0,0,0
52.052,0,21.4286,29.947,4.486,8.856,0,0,0
54.473,0,21.4286,30.57,4.787,10.125,0,0,0
55.318,0,21.4286,30.307,5.146,9.319,0,0,0
58.477,0,21.4286,30.695,4.843,12.014,0,0,0
53.74,0,21.4286,30.02,4.256,8.28,0,0,0
50.747,0,21.4286,29.368,4.538,8.98,0,0,0
56.139,0,21.4286,30.078,5.048,10.079,0,0,0
58.361,0,21.4286,29.923,5.035,11.122,0,0,0
57.255,0,21.4286,31.043,5.077,10.243,0,0,0
55.089,0,21.4286,30.052,5.204,8.455,0,0,0
52.585,0,21.4286,29.485,4.696,8.743,0,0,0
50.49,0,21.4286,28.747,4.466,8.791,0,0,0
50.551,0,21.4286,29.135,4.616,8.695,0,0,0
48.949,0,21.4286,27.889,4.395,8.247,0,0,0
48.368,0,21.4286,27.415,4.371,8.976,0,0,0
46.334,0,21.4286,26.488,4.327,8.076,0,0,0
47.814,0,21.4286,26.493,5.031,8.898,0,0,0
52.047,0,21.4286,28.404,5.137,8.646,0,0,0
51.011,0,21.4286,27.072,5.345,9.273,0,0,0
52.95,0,21.4286,28.956,4.886,9.404,0,0,0
48.081,0,21.4286,26.226,4.263,8.422,0,0,0
51.58,0,21.4286,29.206,4.778,9.78,0,0,0
48.921,0,21.4286,26.944,4.254,8.32,0,0,0
48.025,0,21.4286,27.092,4.496,8.899,0,0,0
51.13,0,21.4286,28.515,4.457,8.871,0,0,0
50.904,0,21.4286,28.877,4.62,9.034,0,0,0
52.186,0,21.4286,30.36,4.513,9.172,0,0,0
54.07,0,21.4286,29.273,4.361,10.691,0,0,0
53.793,0,21.4286,28.184,5.272,9.843,0,0,0
47.847,0,21.4286,24.933,4.306,11.695,0,0,0
47.518,0,21.4286,27.144,5.119,7.372,0,0,0
48.779,0,21.4286,27.386,5.286,8.032,0,0,0
49.737,0,21.4286,26.13,4.768,11.054,0,0,0
48.895,0,21.4286,26.499,5.701,8.407,0,0,0
45.844,0,21.4286,25.863,4.844,7.567,0,0,0
45.497,0,21.4286,26.577,4.945,7.449,0,0,0
43.483,0,21.4286,25.13,4.495,6.558,0,0,0
45.506,0,21.4286,26.029,5.315,6.506,0,0,0
43.5,0,21.4286,24.612,4.789,6.579,0,0,0
43.406,0,21.4286,25.057,4.659,7.27,0,0,0
45.484,0,21.4286,25.267,4.609,7.297,0,0,0
44.641,0,21.4286,24.9,4.452,7.72,0,0,0
45.047,0,21.4286,25.435,4.933,7.083,0,0,0
45.347,0,21.4286,24.958,4.601,7.484,0,0,0
46.577,0,21.4286,26.577,5.412,7.3,0,0,0
43.531,0,21.4286,24.423,4.21,6.35,0,0,0
42.219,0,21.4286,25.154,4.524,6.543,0,0,0
45.224,0,21.4286,25.271,4.555,7.198,0,0,0
48.586,0,21.4286,26.599,5.379,7.054,0,0,0
43.138,0,21.4286,24.4,4.281,6.275,0,0,0
44.771,0,21.4286,25.684,4.484,8.362,0,0,0
44.731,0,21.4286,25.74,4.685,7.369,0,0,0
44.393,0,21.4286,25.687,4.616,6.432,0,0,0
43.151,0,21.4286,25.888,4.447,6.481,0,0,0
43.158,0,21.4286,25.933,4.507,6.474,0,0,0
44.991,0,21.4286,26.112,4.842,7.646,0,0,0
50.08,0,21.4286,27.191,5.71,8.3,0,0,0
50.47,0,21.4286,27.205,6.206,7.554,0,0,0
47.204,0,21.4286,25.42,5.544,7.569,0,0,0
43.917,0,21.4286,24.594,4.942,6.696,0,0,0
43.826,0,21.4286,24.611,4.408,7.057,0,0,0
43.916,0,21.4286,25.126,4.703,7.015,0,0,0
44.787,0,21.4286,26.092,4.707,6.66,0,0,0
