Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time QP (ms),Total time FP (ms)
0.657595,15.9071,1292.11,6,31,0.166667,361.734,0.039,73.938,18.319,269.421,0,425.707
0.311744,32.9546,1007.97,5,31,0.12,222.042,0.015,46.891,12.241,162.884,0,357.025
0.657216,15.6428,1286.13,6,31,0.166667,355.751,0.025,63.729,19.648,272.331,0,420.316
0.665353,16.3217,1300.11,6,31,0.166667,359.206,0.025,69.218,18.641,271.303,0,434.144
0.815501,8.46095,2249.85,10,31,0.18,657.591,0.046,133.206,35.151,489.155,0,764.074
0.628413,16.8932,1100.01,5,31,0.16,284.119,0.021,49.13,15.862,219.092,0,382.113
0.582268,19.7637,1092.78,5,31,0.16,291.487,0.023,55.47,15.775,220.206,0,363.947
0.939136,2.71831,2362.89,10,31,0.2,721.887,0.052,134.89,37.796,549.108,0,802.235
0.669213,14.8707,1081.36,5,31,0.16,289.212,0.02,52.167,15.239,221.77,0,361.061
0.508092,21.2145,1140.14,5,31,0.2,355.579,0.027,61.329,17.702,276.504,0,352.564
0.689631,14.3519,1217.99,5,31,0.2,366.145,0.027,69.453,18.365,278.283,0,414.689
0.243141,32.7654,937.058,5,31,0.08,149.672,0.011,30.463,8.818,110.372,0,352.844
0.270832,33.2531,1010.45,5,31,0.12,220.885,0.016,43.842,10.724,166.292,0,351.356
0.483471,20.7951,1299.26,6,31,0.166667,364.087,0.027,66.431,19.933,277.678,0,421.22
0.301932,30.0265,1330.16,6,31,0.166667,369.29,0.027,70.859,18.199,280.19,0,439.642
0.707165,12.1059,1214,5,31,0.2,380.658,0.025,81.22,18.547,280.848,0,393.035
0.754571,11.7116,1221.91,5,31,0.2,372.336,0.026,71.246,19.668,281.379,0,402.45
0.592634,17.5853,1070.58,5,31,0.16,297.375,0.023,55.215,17.134,224.988,0,333.443
0.175927,35.6825,929.329,5,31,0.08,146.475,0.011,26.25,7.754,112.453,0,337.442
0.396621,26.0006,1109.66,5,31,0.16,295.586,0.021,55.745,14.877,224.928,0,369.746
0.320232,28.1173,1195.48,5,31,0.2,372.856,0.026,71.556,19.256,282.001,0,375.947
0.645734,15.8557,2046.35,9,31,0.177778,594.417,0.044,110.33,30.431,453.583,0,696.124
0.831812,7.70499,1394.06,6,31,0.166667,376.112,0.027,73.445,20.026,282.595,0,497.649
0.666977,12.2914,1059.23,5,31,0.16,288.675,0.021,47.127,14.339,227.172,0,328.725
0.665933,14.6731,1700.34,7,31,0.2,532.251,0.04,107.011,26.862,398.312,0,559.762
0.555209,20.1516,1792.02,8,31,0.175,523.382,0.04,101.014,26.075,396.229,0,575.241
0.811021,8.26615,1595.67,7,31,0.171429,451.305,0.033,87.275,24.041,339.933,0,528.61
0.350744,28.6325,1264.85,6,31,0.133333,307.31,0.023,63.66,15.594,228.019,0,430.909
0.598244,17.3386,1174.25,5,31,0.2,367.914,0.027,64.672,19.303,283.894,0,359.338
0.636304,16.8148,1120.35,5,31,0.16,303.936,0.021,60.036,14.857,229.008,0,366.89
0.554375,18.4366,1025.85,5,31,0.12,223.593,0.017,42.019,11.76,169.787,0,360.529
0.486324,21.1622,1120.25,5,31,0.16,302.569,0.023,61.734,14.528,226.27,0,368.066
0.595775,17.9804,1193.87,5,31,0.2,375.645,0.028,71.826,17.923,285.849,0,369.221
0.324099,31.341,1093.49,5,31,0.16,293.058,0.024,48.38,15.288,229.354,0,345.226
0.457082,21.8314,1368.62,6,31,0.166667,375.653,0.028,69.158,20.645,285.8,0,458.15
0.54628,20.7235,1388.09,6,31,0.166667,386.077,0.029,83.92,18.935,283.174,0,468.317
