Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
71.588,0,4,35.925,19.107,13.758,0,0,0
71.089,0,4,35.056,19.405,13.681,0,0,0
71.848,0,4,36.501,18.669,13.813,0,0,0
73.008,0,8,36.417,19.471,14.188,0,0,0
74.503,0,10,38.314,19.242,13.949,0,0,0
75.471,0,10,39.155,18.891,14.224,0,0,0
104.121,0,20,67.96,18.836,14.151,0,0,0
91.527,0,12,55.424,18.075,14.646,0,0,0
81.591,0,6,42.941,19.828,15.268,0,0,0
81.855,0,4,42.165,21.805,14.435,0,0,0
75.628,0,4,38.29,18.924,14.868,0,0,0
80.212,0,8,43.312,18.195,15.138,0,0,0
85.062,0,10,45.342,19.951,15.776,0,0,0
89.598,0,10,47.114,21.286,17.075,0,0,0
86.189,0,8,44.833,21.429,15.662,0,0,0
85.951,0,8,46.827,19.441,15.581,0,0,0
85.275,0,8,41.536,21.041,18.695,0,0,0
79.747,0,6,41.607,18.276,15.864,0,0,0
79.053,0,4,41.761,18.687,14.681,0,0,0
80.964,0,4,40.056,20.414,16.744,0,0,0
77.137,0,4,39.801,18.859,14.597,0,0,0
102.103,0,12,64.681,18.281,15.336,0,0,0
87.93,0,10,45.185,20.492,18.27,0,0,0
79.082,0,4,41.102,18.142,15.293,0,0,0
82.835,0,4,43.455,20.195,15.127,0,0,0
85.014,0,8,45.388,18.394,16.658,0,0,0
85.021,0,8,45.479,19.621,15.674,0,0,0
107.683,0,12,63.922,23.854,15.78,0,0,0
95.526,0,14,49.398,25.263,16.525,0,0,0
89.293,0,8,47.095,21.08,16.609,0,0,0
83.217,0,8,43.344,19.457,16.465,0,0,0
100.824,0,12,56.281,24.611,15.782,0,0,0
99.988,0,10,58.086,20.168,16.969,0,0,0
120.74,0,12,79.183,20.344,16.293,0,0,0
90.639,0,4,49.754,20.642,15.353,0,0,0
91.69,0,8,49.95,20.892,15.931,0,0,0
142.23,0,14,77.915,39.991,19.337,0,0,0
97.041,0,12,53.287,21.651,17.455,0,0,0
95.205,0,12,52.486,20.494,17.41,0,0,0
104.318,0,12,63.342,19.744,16.449,0,0,0
88.363,0,4,45.664,19.788,18.469,0,0,0
84.675,0,4,42.712,21.677,15.892,0,0,0
103.125,0,8,62.941,19.912,16.2,0,0,0
91.66,0,10,50.001,21.18,15.997,0,0,0
85.207,0,4,46.08,18.294,15.916,0,0,0
85.559,0,4,46.768,18.641,15.483,0,0,0
89.68,0,8,47.433,21.397,15.848,0,0,0
124.366,0,12,85.333,18.958,15.322,0,0,0
120.216,0,12,79.618,19.738,16.131,0,0,0
87.103,0,4,48.199,18.428,15.412,0,0,0
84.507,0,4,44.892,19.565,15.536,0,0,0
87.626,0,4,45.485,18.896,18.417,0,0,0
85.979,0,4,46.553,19.239,15.536,0,0,0
86.396,0,4,47.129,19.724,15.159,0,0,0
86.55,0,4,44.995,19.39,17.5,0,0,0
83.057,0,4,44.049,19.453,15.38,0,0,0
84.11,0,4,45.449,18.781,15.28,0,0,0
90.778,0,8,49.408,20.238,16.691,0,0,0
97.641,0,10,53.743,22.171,16.65,0,0,0
98.423,0,10,52.496,21.28,19.379,0,0,0
91.769,0,4,46.111,22.946,17.439,0,0,0
90.161,0,8,49.34,20.059,16.109,0,0,0
94.614,0,8,50.429,22.343,17.052,0,0,0
85.121,0,4,46.436,18.624,15.392,0,0,0
88.987,0,8,47.672,20.512,16.385,0,0,0
86.545,0,8,44.048,21.109,16.74,0,0,0
87.119,0,8,46.55,20.374,15.735,0,0,0
84.122,0,4,44.678,18.825,16.186,0,0,0
84.173,0,4,42.921,21.784,15.293,0,0,0
88.141,0,8,48.213,18.23,17.401,0,0,0
92.308,0,10,51.151,20.143,16.596,0,0,0
95.114,0,10,52.22,21.084,17.149,0,0,0
91.259,0,4,50.28,19.18,16.782,0,0,0
88.103,0,4,48.951,18.535,16.098,0,0,0
91.455,0,8,49.297,20.116,17.57,0,0,0
94.586,0,8,52.162,20.723,16.75,0,0,0
135.973,0,18,93.842,20.513,16.458,0,0,0
110.999,0,14,60.983,23.814,20.817,0,0,0
93.485,0,4,52.977,19.613,15.691,0,0,0
93.785,0,8,52.226,20.366,16.371,0,0,0
129.303,0,14,86.886,20.754,16.646,0,0,0
134.476,0,20,91.329,19.973,18.161,0,0,0
103.385,0,14,59.618,20.814,17.72,0,0,0
111.373,0,16,63.906,23.04,18.705,0,0,0
106.582,0,14,59.974,22.858,17.972,0,0,0
95.053,0,4,52.577,20.419,16.233,0,0,0
90.535,0,4,50.583,18.905,15.942,0,0,0
93.665,0,4,52.473,20.301,16.01,0,0,0
99.724,0,10,57.083,20.687,16.976,0,0,0
132.5,0,16,87.611,19.594,20.043,0,0,0
