Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
10.443,0,100,7.056,0.89,1.198,0,0,0
10.317,0,100,6.948,0.883,1.198,0,0,0
10.576,0,100,7.022,0.887,1.299,0,0,0
10.637,0,100,6.903,0.917,1.478,0,0,0
11.387,0,100,7.751,0.913,1.311,0,0,0
11.69,0,100,7.746,0.906,1.606,0,0,0
11.418,0,100,7.609,0.946,1.429,0,0,0
11.767,0,100,7.966,0.928,1.447,0,0,0
11.172,0,100,7.451,0.922,1.379,0,0,0
11.533,0,100,7.704,0.949,1.388,0,0,0
11.851,0,100,7.926,0.95,1.458,0,0,0
12.696,0,100,7.928,0.942,2.246,0,0,0
12.051,0,100,7.786,0.973,1.378,0,0,0
11.077,0,100,7.308,0.974,1.348,0,0,0
10.776,0,100,6.999,1.001,1.307,0,0,0
10.671,0,100,6.922,0.932,1.354,0,0,0
11.358,0,100,7.596,0.949,1.335,0,0,0
11.224,0,100,7.382,0.928,1.455,0,0,0
10.902,0,100,7.174,0.931,1.338,0,0,0
11.955,0,100,8.017,0.934,1.511,0,0,0
11.806,0,100,7.98,0.972,1.328,0,0,0
11.309,0,100,7.527,0.954,1.359,0,0,0
11.898,0,100,7.962,0.965,1.37,0,0,0
11.656,0,100,7.729,0.974,1.4,0,0,0
11.496,0,100,7.428,1.047,1.369,0,0,0
11.783,0,100,7.773,0.993,1.494,0,0,0
12.247,0,100,8.102,1.033,1.478,0,0,0
11.664,0,100,7.82,0.945,1.427,0,0,0
11.765,0,100,7.572,0.966,1.763,0,0,0
10.729,0,100,7.095,0.951,1.268,0,0,0
10.753,0,100,6.984,0.959,1.35,0,0,0
10.353,0,100,6.745,0.957,1.261,0,0,0
10.866,0,100,7.171,0.984,1.235,0,0,0
10.357,0,100,6.749,0.935,1.342,0,0,0
10.988,0,100,7.285,0.98,1.33,0,0,0
11.012,0,100,7.343,0.925,1.377,0,0,0
11.084,0,100,7.4,0.941,1.356,0,0,0
11.055,0,100,7.348,0.939,1.359,0,0,0
10.876,0,100,7.244,0.942,1.262,0,0,0
10.681,0,100,6.959,0.958,1.32,0,0,0
10.879,0,100,7.132,0.964,1.296,0,0,0
10.589,0,100,6.85,0.98,1.346,0,0,0
10.716,0,100,6.834,0.932,1.303,0,0,0
10.338,0,100,6.731,0.931,1.331,0,0,0
10.265,0,100,6.604,0.929,1.306,0,0,0
11.131,0,100,7.518,0.931,1.279,0,0,0
11.445,0,100,7.701,0.936,1.348,0,0,0
10.813,0,100,7.146,0.924,1.347,0,0,0
11.107,0,100,7.367,0.935,1.33,0,0,0
10.796,0,100,7.049,0.979,1.389,0,0,0
11.228,0,100,7.436,0.951,1.365,0,0,0
10.609,0,100,6.945,0.936,1.355,0,0,0
11.281,0,100,7.567,0.949,1.337,0,0,0
10.097,0,100,6.506,0.966,1.29,0,0,0
11.016,0,100,7.254,0.976,1.316,0,0,0
11.119,0,100,7.3,0.981,1.342,0,0,0
11.957,0,100,7.94,0.993,1.451,0,0,0
12.308,0,100,8.34,0.97,1.43,0,0,0
11.962,0,100,8.097,0.964,1.403,0,0,0
11.774,0,100,7.951,0.965,1.393,0,0,0
10.81,0,100,7.063,0.969,1.376,0,0,0
11.566,0,100,7.7,0.964,1.463,0,0,0
10.762,0,100,6.954,1.007,1.344,0,0,0
11.206,0,100,7.381,0.953,1.329,0,0,0
11.028,0,100,7.144,0.989,1.345,0,0,0
10.36,0,100,6.639,0.951,1.316,0,0,0
10.943,0,100,7.138,0.936,1.4,0,0,0
10.816,0,100,7.038,0.933,1.401,0,0,0
11.01,0,100,7.346,0.936,1.356,0,0,0
11.422,0,100,7.73,0.929,1.333,0,0,0
12.321,0,100,8.461,0.943,1.42,0,0,0
11.921,0,100,8.07,0.93,1.425,0,0,0
12.657,0,100,8.669,0.961,1.444,0,0,0
12.957,0,100,9.008,0.954,1.422,0,0,0
12.58,0,100,8.504,0.997,1.481,0,0,0
12.521,0,100,8.456,0.973,1.522,0,0,0
13.123,0,100,9.101,0.987,1.47,0,0,0
12.891,0,100,8.697,0.987,1.684,0,0,0
14.328,0,100,9.884,1.142,1.62,0,0,0
14.876,0,100,10.64,1.008,1.516,0,0,0
13.16,0,100,8.958,1.062,1.543,0,0,0
13.003,0,100,8.906,1.017,1.487,0,0,0
13.116,0,100,8.952,1.014,1.553,0,0,0
14.086,0,100,9.842,1.038,1.537,0,0,0
12.875,0,100,8.762,1.021,1.47,0,0,0
13.401,0,100,9.315,1.009,1.513,0,0,0
14.572,0,100,10.413,1.02,1.528,0,0,0
14.74,0,100,10.458,1.006,1.668,0,0,0
15.117,0,100,10.807,1.027,1.55,0,0,0
15.103,0,100,10.876,0.998,1.576,0,0,0
15.645,0,100,11.248,1.039,1.619,0,0,0
14.663,0,100,10.28,1.067,1.628,0,0,0
15.235,0,100,10.681,1.078,1.671,0,0,0
14.941,0,100,10.495,1.067,1.592,0,0,0
15.361,0,100,10.642,1.115,1.698,0,0,0
14.572,0,100,10.147,1.066,1.633,0,0,0
15.221,0,100,10.571,1.083,1.747,0,0,0
15.696,0,100,11.047,1.081,1.73,0,0,0
14.585,0,100,10.227,1.021,1.598,0,0,0
14.968,0,100,10.667,1.009,1.61,0,0,0
15.081,0,100,10.682,1.043,1.602,0,0,0
14.494,0,100,10.211,1.06,1.573,0,0,0
14.382,0,100,9.938,1.082,1.588,0,0,0
14.015,0,100,9.633,1.054,1.6,0,0,0
12.141,0,100,8.068,1.019,1.444,0,0,0
12.287,0,100,8.144,1.002,1.53,0,0,0
13.202,0,100,9.072,1.013,1.451,0,0,0
12.403,0,100,8.308,1.022,1.568,0,0,0
13.117,0,100,9.04,1.001,1.456,0,0,0
13.375,0,100,9.276,1.013,1.514,0,0,0
12.668,0,100,8.613,1.03,1.466,0,0,0
12.853,0,100,8.797,1.011,1.475,0,0,0
12.728,0,100,8.504,0.994,1.602,0,0,0
12.501,0,100,8.489,0.98,1.421,0,0,0
12.322,0,100,8.196,1,1.528,0,0,0
12.218,0,100,8.125,1.012,1.523,0,0,0
12.627,0,100,8.444,1.057,1.51,0,0,0
12.165,0,100,8.099,1.073,1.456,0,0,0
12.608,0,100,8.571,1.05,1.458,0,0,0
12.693,0,100,8.646,1.053,1.478,0,0,0
12.329,0,100,8.243,0.996,1.493,0,0,0
13.191,0,100,9.105,0.992,1.545,0,0,0
12.429,0,100,8.402,0.991,1.43,0,0,0
11.904,0,100,7.928,1.003,1.502,0,0,0
11.556,0,100,7.554,1.003,1.478,0,0,0
11.06,0,100,7.159,0.963,1.478,0,0,0
11.177,0,100,7.285,0.969,1.458,0,0,0
10.764,0,100,7.019,0.953,1.405,0,0,0
10.793,0,100,7.066,0.995,1.345,0,0,0
10.918,0,100,7.204,0.942,1.349,0,0,0
10.387,0,100,6.697,0.952,1.301,0,0,0
10.67,0,100,6.909,0.969,1.354,0,0,0
10.393,0,100,6.71,0.944,1.325,0,0,0
10.434,0,100,6.767,0.927,1.361,0,0,0
10.222,0,100,6.539,0.939,1.279,0,0,0
9.997,0,100,6.417,0.922,1.28,0,0,0
11.602,0,100,7.663,1.077,1.3,0,0,0
10.095,0,100,6.544,0.934,1.254,0,0,0
10.553,0,100,6.909,0.98,1.271,0,0,0
10.7,0,100,7.053,0.965,1.252,0,0,0
10.32,0,100,6.639,0.971,1.278,0,0,0
10.425,0,100,6.702,0.991,1.263,0,0,0
10.619,0,100,6.965,0.937,1.32,0,0,0
10.63,0,100,6.974,0.959,1.331,0,0,0
10.585,0,100,6.93,0.944,1.311,0,0,0
10.606,0,100,7.031,0.959,1.319,0,0,0
10.64,0,100,6.968,0.931,1.305,0,0,0
11.081,0,100,7.355,0.943,1.307,0,0,0
10.952,0,100,7.247,0.949,1.38,0,0,0
11.076,0,100,7.281,0.976,1.369,0,0,0
11.208,0,100,7.496,0.939,1.354,0,0,0
11.325,0,100,7.431,0.939,1.472,0,0,0
10.769,0,100,7.07,0.933,1.385,0,0,0
11.344,0,100,7.634,0.952,1.322,0,0,0
10.713,0,100,7.022,0.931,1.39,0,0,0
11.602,0,100,7.814,0.952,1.327,0,0,0
11.401,0,100,7.632,0.932,1.366,0,0,0
11.229,0,100,7.336,0.962,1.407,0,0,0
10.593,0,100,6.877,0.984,1.293,0,0,0
11.116,0,100,7.313,0.976,1.353,0,0,0
11.115,0,100,7.422,0.962,1.338,0,0,0
11.527,0,100,7.718,0.959,1.313,0,0,0
11.863,0,100,8.001,0.937,1.416,0,0,0
11.061,0,100,7.367,0.946,1.302,0,0,0
10.027,0,100,6.443,0.947,1.269,0,0,0
10.278,0,100,6.455,0.956,1.343,0,0,0
10.252,0,100,6.591,0.958,1.32,0,0,0
10.714,0,100,7.044,0.961,1.312,0,0,0
10.451,0,100,6.863,0.922,1.257,0,0,0
10.614,0,100,6.792,0.978,1.434,0,0,0
11.182,0,100,7.388,0.976,1.375,0,0,0
11.164,0,100,7.386,0.951,1.383,0,0,0
10.782,0,100,7.088,0.961,1.312,0,0,0
10.63,0,100,7.053,0.929,1.278,0,0,0
10.739,0,100,7.108,0.958,1.274,0,0,0
10.927,0,100,7.175,0.976,1.377,0,0,0
10.78,0,100,7.029,0.983,1.295,0,0,0
10.247,0,100,6.582,0.928,1.333,0,0,0
10.532,0,100,6.883,0.943,1.315,0,0,0
10.082,0,100,6.615,0.935,1.201,0,0,0
9.763,0,100,6.25,0.991,1.21,0,0,0
10.684,0,100,7.02,0.972,1.317,0,0,0
10.591,0,100,6.954,0.956,1.296,0,0,0
10.581,0,100,6.945,0.96,1.275,0,0,0
10.517,0,100,6.798,0.97,1.335,0,0,0
11.509,0,100,7.744,0.951,1.293,0,0,0
10.569,0,100,6.891,0.941,1.313,0,0,0
10.909,0,100,6.884,1.269,1.348,0,0,0
10.112,0,100,6.589,0.932,1.269,0,0,0
11.445,0,100,7.513,0.966,1.332,0,0,0
11.342,0,100,7.35,0.939,1.297,0,0,0
10.428,0,100,6.775,0.981,1.241,0,0,0
10.33,0,100,6.675,0.958,1.321,0,0,0
11.088,0,100,7.19,1.012,1.463,0,0,0
11.056,0,100,7.496,0.934,1.237,0,0,0
10.362,0,100,6.755,0.981,1.259,0,0,0
10.442,0,100,6.654,0.993,1.345,0,0,0
10.52,0,100,6.809,0.94,1.341,0,0,0
9.784,0,100,6.206,0.934,1.227,0,0,0
10.135,0,100,6.549,0.977,1.308,0,0,0
9.966,0,100,6.322,1.026,1.227,0,0,0
9.963,0,100,6.368,0.945,1.271,0,0,0
10.398,0,100,6.831,0.95,1.256,0,0,0
10.276,0,100,6.627,0.958,1.331,0,0,0
11.181,0,100,7.523,0.929,1.285,0,0,0
10.869,0,100,7.125,0.954,1.364,0,0,0
11.025,0,100,7.384,0.952,1.301,0,0,0
10.333,0,100,6.73,0.963,1.241,0,0,0
10.323,0,100,6.785,0.951,1.248,0,0,0
11.874,0,100,6.958,1.826,1.398,0,0,0
11.335,0,100,6.802,0.934,1.313,0,0,0
10.776,0,100,7.111,0.958,1.305,0,0,0
10.541,0,100,7.006,0.922,1.236,0,0,0
10.739,0,100,7.004,0.953,1.315,0,0,0
11.618,0,100,7.85,0.922,1.349,0,0,0
11.568,0,100,7.891,0.93,1.279,0,0,0
10.919,0,100,7.238,0.938,1.336,0,0,0
12.155,0,100,8.243,1.002,1.386,0,0,0
12.194,0,100,8.254,1.028,1.433,0,0,0
12.444,0,100,8.387,1.022,1.533,0,0,0
13.145,0,100,9.148,0.98,1.476,0,0,0
12.542,0,100,8.425,0.989,1.53,0,0,0
13.754,0,100,9.643,0.994,1.48,0,0,0
13.418,0,100,9.279,0.983,1.565,0,0,0
13.165,0,100,9.031,1.041,1.514,0,0,0
13.734,0,100,9.556,1.01,1.482,0,0,0
12.786,0,100,8.724,1.021,1.508,0,0,0
13.319,0,100,9.217,1.022,1.435,0,0,0
15.12,0,100,9.803,0.993,1.446,0,0,0
13.889,0,100,9.727,1.03,1.562,0,0,0
13.308,0,100,9.195,1.005,1.511,0,0,0
