Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.861393,806.506,683.882,7,13,1.30256,221,0,51,6,157,102,308
0.857628,735.685,780.374,8,13,1.65449,258,0,64,8,179,116,354
0.856547,600.111,785.598,8,13,1.51538,258,0,64,8,177,115,358
0.854582,780.84,678.315,7,13,1.44103,218,0,48,7,155,103,305
0.822369,949.655,671.749,7,13,1.14872,211,0,40,7,156,101,308
0.856596,828.651,681.597,7,13,1.04615,217,0,42,8,161,103,309
0.705121,1345.45,638.332,7,13,0.970696,184,0,36,6,138,103,302
0.833509,751.481,757.162,8,13,1.01731,238,0,43,8,180,117,347
0.85802,766.045,965.858,10,13,1.16359,312,0,68,10,227,149,444
0.829855,853.279,687.102,7,13,1.07179,217,0,45,7,157,103,316
0.880637,680.46,933.893,10,13,0.574872,282,0,37,10,228,151,439
0.847695,833.405,872.717,9,13,0.958974,271,0,51,9,206,137,405
0.842731,679.87,661.554,7,13,0.871795,203,0,33,7,158,103,303
0.846381,749.832,735.907,7,13,2.76923,273,0,100,7,160,102,307
0.865234,635.417,824.7,8,13,2.96474,287,0,88,8,183,122,360
0.861527,658.918,704.459,7,13,1.57949,232,0,61,7,160,106,313
0.79855,1054.72,649.138,7,13,1.31941,192,0,44,6,138,103,300
0.796229,1059.59,680.931,7,13,1.27179,216,0,43,7,158,105,308
0.822009,902.367,685.341,7,13,1.29231,222,0,46,8,159,102,305
0.868883,652.165,802.804,8,13,1.90128,272,0,75,8,183,115,356
0.86257,623.761,702.068,7,13,2.07692,248,0,74,7,160,99,302
0.847253,848.932,881.478,9,13,1.7208,289,0,66,9,207,140,396
0.839444,745.979,893.57,9,13,1.52934,295,0,72,8,207,131,404
0.868091,554.5,669.173,7,13,0.728205,202,0,31,7,161,105,307
0.866605,558.061,667.546,7,13,0.579487,201,0,27,6,160,107,305
0.867726,634.699,862.017,9,13,0.935043,273,0,50,9,206,139,391
0.848962,673.415,692.464,7,13,1.69231,237,0,64,7,160,103,301
0.855182,670.27,685.705,7,13,1.60513,222,0,47,7,161,105,305
0.86873,760.906,679.412,7,13,0.979487,215,0,42,7,161,106,306
0.866557,672.076,917.711,9,13,2.24729,322,0,99,7,207,138,400
0.85929,826.805,678.539,7,13,1.2,214,0,42,7,160,102,307
0.837998,833.801,682.299,7,13,0.933333,212,0,37,6,161,107,310
0.877391,694.676,877.472,9,13,1.18234,281,0,54,9,207,141,398
0.866642,619.197,667.402,7,13,0.830769,204,0,30,7,163,108,303
0.858253,709.087,706.782,7,13,1.37949,230,0,55,7,161,109,313
0.834289,879.744,690.013,7,13,1.30769,218,0,44,7,162,107,310
0.885934,513.523,916.822,9,13,1.60912,301,0,77,9,207,138,417
0.834951,751.94,684.628,7,13,1.28718,221,0,45,7,161,106,303
0.864634,682.881,693.147,7,13,1.33333,224,0,50,6,161,108,305
0.877522,626.011,899.691,9,13,1.43362,292,0,69,9,207,140,407
0.795673,1128.34,691.197,7,13,1.06154,219,0,42,5,163,108,310
0.858777,696.57,687.754,7,13,1.04615,217,0,42,7,161,109,309
0.873713,556.54,1003.6,10,13,1.8241,346,0,93,11,231,151,445
0.828356,791.227,706.357,7,13,1.64103,232,0,58,7,162,108,311
0.862782,680.129,705.403,7,13,1.49231,227,0,52,7,163,110,311
0.844872,741.571,779.649,8,13,0.954487,243,0,43,8,185,127,350
