Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.95569,15.6058,15.5,1,2,20.2,2.224,0.011,0.991,0.02,1.199,0.833,6.813
0.801277,5.00084,15.392,1,2,20.2,4.368,0.004,1.282,0.08,3,1.424,7.17
0.666696,7.21654,11.179,1,2,20.2,1.728,0.004,0.809,0.026,0.887,0.614,3.73
0.775559,2.80911,8.862,1,2,20.2,2.116,0.008,1.046,0.04,1.02,0.476,2.109
0.781755,0.8712,6.988,1,2,20.2,1.586,0.005,0.602,0.03,0.947,0.392,2.266
0.991692,1.82783,7.336,1,2,20.2,1.955,0.006,0.781,0.02,1.146,0.439,2.409
0.880584,184.713,7.755,1,2,20.2,1.697,0.004,0.666,0.023,1.003,0.425,3.413
0.97163,1.57253,6.293,1,2,20.2,1.639,0.004,0.744,0.023,0.867,0.397,2.145
0.816375,205.567,6.217,1,2,20.2,1.504,0.004,0.606,0.026,0.867,0.431,1.98
0.859297,111.37,7.228,1,2,20.2,2.369,0.004,1.109,0.08,1.175,0.466,2.076
0.706965,414.196,6.885,1,2,20.2,1.865,0.005,0.841,0.02,0.997,0.429,2.183
0.870083,1.97623,7.637,1,2,20.2,1.695,0.004,0.719,0.023,0.947,0.419,3.29
0.923918,0.0238217,6.565,1,2,20.2,1.741,0.005,0.717,0.023,0.993,0.467,2.225
0.856894,0.328934,7.672,1,2,20.2,1.576,0.006,0.628,0.024,0.915,0.427,3.251
0.885654,148.454,6.758,1,2,20.2,1.73,0.006,0.818,0.025,0.878,0.437,2.117
0.823975,251.411,6.559,1,2,20.2,1.663,0.004,0.705,0.033,0.919,0.413,2.213
0.804187,1.02312,6.487,1,2,20.2,1.69,0.004,0.614,0.024,1.045,0.364,2.065
0.742604,4.1616,6.507,1,2,20.2,1.646,0.004,0.678,0.021,0.941,0.425,2.165
0.45,287.046,7.174,1,2,20.2,2.127,0.004,0.751,0.018,1.352,0.439,2.298
0.605699,294.693,6.969,1,2,20.2,1.832,0.004,0.806,0.019,1,0.428,2.193
0.836945,234.961,6.21,1,2,20.2,1.478,0.004,0.572,0.023,0.877,0.426,1.978
0.954776,13.2895,6.379,1,2,20.2,1.617,0.004,0.629,0.029,0.954,0.428,2.027
0.499136,21.3646,6.911,1,2,20.2,1.809,0.004,0.789,0.031,0.983,0.424,2.509
0.948136,20.0313,6.616,1,2,20.2,1.638,0.004,0.737,0.023,0.872,0.548,2.326
0.979284,3.88331,6.758,1,2,20.2,1.757,0.004,0.768,0.022,0.962,0.419,2.077
0.996259,0.692776,6.671,1,2,20.2,1.757,0.004,0.735,0.03,0.986,0.434,2.266
0.926376,81.3302,6.85,1,2,20.2,1.863,0.004,0.737,0.03,1.09,0.426,2.201
0.921299,26.449,7.266,1,2,20.2,2.144,0.004,0.781,0.022,1.335,0.428,2.252
0.959991,60.0192,7.142,1,2,20.2,2.168,0.004,1.012,0.025,1.124,0.407,2.122
0.745728,387.485,7.14,1,2,20.2,1.632,0.004,0.745,0.023,0.858,0.437,2.237
0.819045,0.126,6.232,1,2,20.2,1.517,0.004,0.595,0.027,0.889,0.428,2.003
0.91528,0.0682165,7.049,1,2,20.2,1.649,0.004,0.746,0.023,0.873,0.39,2.855
0.837425,40.8863,6.745,1,2,20.2,1.669,0.004,0.726,0.022,0.915,0.635,2.272
0.810247,27.3133,6.487,1,2,20.2,1.619,0.005,0.676,0.023,0.907,0.414,2.185
0.924599,1.26751,6.578,1,2,20.2,1.563,0.004,0.601,0.026,0.93,0.421,2.162
0.923302,2.48051,6.422,1,2,20.2,1.689,0.004,0.768,0.022,0.893,0.407,2.111
0.91258,2.44524,7.072,1,2,20.2,2.062,0.004,0.819,0.021,1.217,0.434,2.236
0.829182,30.2715,7.07,1,2,20.2,1.598,0.004,0.592,0.03,0.97,0.427,2.601
0.924755,30.0673,6.805,1,2,20.2,1.628,0.004,0.629,0.028,0.964,0.437,2.387
0.979167,23.3741,6.39,1,2,20.2,1.601,0.004,0.687,0.022,0.886,0.397,2.148
0.607547,405.208,6.625,1,2,20.2,1.687,0.004,0.7,0.022,0.959,0.428,2.196
0.175753,47.1287,6.796,1,2,20.2,1.59,0.004,0.611,0.021,0.953,0.436,2.191
0.478909,4.01803,6.515,1,2,20.2,1.768,0.004,0.719,0.026,1.017,0.418,2.122
0.938646,11.131,6.428,1,2,20.2,1.728,0.004,0.759,0.022,0.942,0.455,1.97
0.920557,22.8124,6.768,1,2,20.2,1.731,0.004,0.742,0.021,0.961,0.418,2.155
0.432738,3.26799,7.151,1,2,20.2,1.907,0.004,0.737,0.02,1.144,0.674,2.303
0.85221,229.32,6.554,1,2,20.2,1.677,0.007,0.604,0.024,1.04,0.438,1.981
0.779641,5.12338,6.187,1,2,20.2,1.56,0.004,0.661,0.024,0.869,0.431,2.018
0.391642,292.937,6.605,1,2,20.2,1.804,0.015,0.764,0.019,1.004,0.428,2.128
0.853119,225.799,6.369,1,2,20.2,1.615,0.006,0.714,0.022,0.871,0.392,2.061
0.870145,167.517,7.533,1,2,20.2,1.903,0.006,0.855,0.023,1.017,0.44,2.355
0.739284,402.164,6.74,1,2,20.2,1.626,0.004,0.728,0.023,0.869,0.432,2.315
0.986437,4.978,6.897,1,2,20.2,1.711,0.004,0.733,0.025,0.947,0.425,2.249
0.717151,28.4239,6.748,1,2,20.2,1.773,0.006,0.752,0.038,0.975,0.411,2.123
0.48626,30.3872,6.914,1,2,20.2,1.741,0.004,0.727,0.023,0.984,0.441,2.485
0.866314,0.19017,7.311,1,2,20.2,1.782,0.005,0.761,0.024,0.991,0.423,2.938
0.547901,188.272,6.683,1,2,20.2,1.694,0.005,0.655,0.022,1.01,0.43,2.196
0.986817,3.34616,6.654,1,2,20.2,1.82,0.004,0.797,0.031,0.986,0.427,2.079
0.658449,348.909,6.489,1,2,20.2,1.765,0.004,0.726,0.022,1.011,0.395,2.139
0.775175,200.522,6.618,1,2,20.2,1.611,0.004,0.649,0.025,0.932,0.424,2.3
0.871586,0.971406,6.489,1,2,20.2,1.783,0.004,0.757,0.031,0.989,0.432,2.11
