Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.280857,96.4878,143.759,1,13,0.466667,30.312,0.19,3.978,2.123,24.019,23.344,49.267
0.274016,43.3744,143.499,1,13,0.6,29.252,0.186,3.684,1.244,24.136,23.493,52.764
0.276974,38.2397,140.981,1,13,0.6,28.906,0.191,3.658,1.338,23.716,23.556,49.439
0.355774,80.6295,138.385,1,13,0.6,28.962,0.188,3.701,1.233,23.837,23.639,47.464
0.283608,44.2214,144.055,1,13,0.466667,29.931,0.182,4.802,1.16,23.784,23.712,49.942
0.429673,37.1506,140.06,1,13,0.6,29.571,0.196,4.161,1.516,23.696,23.614,46.946
0.134073,131.79,132.183,1,13,0.466667,29.385,0.182,4.153,1.21,23.838,23.617,40.724
0.196397,77.2988,140.569,1,13,0.466667,28.771,0.17,3.594,1.232,23.772,23.782,48.895
0.38079,80.8177,141.21,1,13,0.6,29.483,0.201,3.96,1.362,23.957,23.791,46.876
0.215954,80.7494,142.405,1,13,0.466667,29.033,0.181,3.387,1.454,24.008,23.741,49.858
0.81956,31.022,141.994,1,13,0.6,29.45,0.198,3.741,1.398,24.109,23.897,48.958
0.307835,98.3715,194.32,1,13,16.9538,84.981,0.361,59.14,1.419,24.057,23.419,47.204
0.180827,119.955,139.665,1,13,0.466667,28.985,0.209,3.296,1.29,24.188,23.624,49.093
0.327655,92.1858,138.533,1,13,0.6,29.762,0.186,4.151,1.334,24.088,23.394,47.772
0.180632,107.279,138.74,1,13,0.466667,29.484,0.182,3.901,1.502,23.896,23.574,45.388
0.411065,49.2152,140.432,1,13,0.6,29.301,0.19,3.837,1.266,24.006,23.479,47.769
0.250239,113.332,141.441,1,13,0.466667,28.681,0.183,3.148,1.273,24.075,23.855,49.179
0.373832,92.7497,140.853,1,13,0.6,29.51,0.191,4.102,1.257,23.958,23.733,48.063
0.153454,43.4531,136.301,1,13,0.466667,28.871,0.183,3.084,1.224,24.377,23.344,44.095
0.228037,124.022,140.147,1,13,0.466667,29.11,0.163,3.329,1.239,24.377,23.532,49.359
0.218957,119.633,147.613,1,13,0.6,30.024,0.196,4.656,1.273,23.896,23.862,52.363
0.215642,46.2376,139.299,1,13,0.866667,30.756,0.209,5.458,1.34,23.746,23.639,43.562
0.386817,62.2374,139.13,1,13,0.6,29.645,0.185,3.775,1.479,24.203,23.721,47.891
0.210039,104.646,140.716,1,13,0.466667,29.363,0.182,3.267,1.199,24.712,23.567,49.241
0.206298,124.342,145.569,1,13,0.6,29.824,0.197,4.269,1.348,24.006,23.935,50.85
0.356879,67.7268,141.547,1,13,0.866667,30.693,0.215,4.782,1.419,24.275,24.031,45.202
0.101992,100.53,163.345,1,13,10.0615,57.729,0.284,32.08,1.362,24,23.895,43.127
0.663806,30.5883,150.705,1,13,0.733333,30.669,0.19,5.214,1.29,23.972,23.8,55.738
0.216402,130.846,205.104,1,13,18.6564,93.046,0.354,67.536,1.39,23.762,24.312,48.048
0.112428,94.1399,139.993,1,13,0.466667,29.827,0.176,4.114,1.164,24.371,23.66,45.59
0.354605,58.5686,138.151,1,13,0.6,29.619,0.193,4.058,1.321,24.044,23.594,46.576
0.0729927,157.864,139.493,1,13,0.466667,29.491,0.164,3.865,1.312,24.148,24.015,47.782
0.149197,62.9311,150.175,1,13,1.33333,32.382,0.205,6.65,1.204,24.32,23.785,52.843
0.0148211,55.4764,142.772,1,13,0.866667,30.018,0.198,4.342,1.297,24.179,23.62,51.077
0.0506831,70.3551,140.415,1,13,0.466667,29.265,0.174,3.454,1.384,24.251,23.316,46.446
0.212121,67.056,139.012,1,13,0.466667,28.444,0.179,3.025,1.263,23.974,23.506,46.776
0.35108,119.322,142.043,1,13,0.466667,29.569,0.183,4.015,1.16,24.209,23.342,48.811
0.237668,99.1049,141.495,1,13,0.538462,29.128,0.198,3.445,1.25,24.233,23.618,49.805
0.307298,111.239,141.355,1,13,0.6,29.775,0.189,3.798,1.377,24.407,23.67,48.834
0.293838,86.3343,141.409,1,13,0.466667,29.569,0.185,3.513,1.384,24.485,23.9,48.437
0.0745977,104.985,136.087,1,13,0.466667,28.713,0.193,3.28,1.243,23.995,23.785,45.393
0.219072,86.5788,143.174,1,13,0.466667,28.971,0.194,3.325,1.157,24.293,23.654,49.362
0.119852,79.5685,141.314,1,13,0.6,29.601,0.2,4.06,1.311,24.027,23.723,46.775
0.335429,69.4699,138.497,1,13,0.6,29.793,0.188,3.849,1.373,24.381,23.681,46.474
0.146012,44.8455,144.422,1,13,0.466667,30.084,0.188,4.217,1.374,24.302,23.698,49.413
0.349705,103.342,138.524,1,13,0.6,30.234,0.198,4.107,1.473,24.453,23.621,46.326
0.239388,109.51,143.844,1,13,0.466667,29.747,0.167,3.817,1.258,24.502,23.222,50.91
0.0411734,116.02,139.884,1,13,0.6,29.265,0.184,3.375,1.301,24.403,23.272,49.09
0.321273,79.0525,144.552,1,13,1.93333,34.318,0.199,8.685,1.356,24.075,23.634,46.479
0.0816952,66.0741,135.703,1,13,0.466667,29.905,0.172,3.678,1.507,24.545,23.716,43.67
0.0663025,117.095,137.766,1,13,0.466667,29.593,0.184,3.729,1.294,24.383,23.764,46.294
0.291797,108.277,142.351,1,13,0.733333,30.473,0.193,4.299,1.271,24.707,23.748,49.31
0.194088,138.048,139.468,1,13,0.466667,29.185,0.178,3.08,1.372,24.553,23.709,48.201
0.436599,35.3419,141.784,1,13,0.6,29.43,0.191,3.629,1.317,24.29,23.452,50.004
0.0699838,153.321,138.237,1,13,0.466667,28.813,0.178,3.114,1.186,24.331,23.435,48.189
0.0557506,107.97,144.492,1,13,2.13333,34.366,0.204,8.739,1.226,24.195,23.636,48.276
0.329852,106.522,144.921,1,13,2.46667,35.855,0.207,9.824,1.356,24.465,23.635,46.477
0.31207,86.0244,142.701,1,13,0.466667,29.629,0.186,4.109,1.198,24.133,23.661,48.669
0.0919852,163.841,138.098,1,13,0.466667,28.565,0.2,3.153,1.17,24.038,23.652,45.955
0.187802,89.8896,139.247,1,13,0.6,29.586,0.196,3.908,1.39,24.089,23.673,45.048
0.577505,26.637,148.679,1,13,0.6,30.029,0.194,4.3,1.292,24.24,23.697,54.702
0.885175,10.7791,200.758,1,13,16.1641,88.533,0.375,62.954,1.357,23.843,24.053,48.8
0.357973,45.8228,153.953,1,13,4.33333,44.177,0.24,18.042,1.317,24.575,23.805,47.026
0.365819,104.068,141.73,1,13,0.466667,29.598,0.182,3.842,1.193,24.378,23.844,47.172
0.0683778,126.698,137.496,1,13,0.466667,29.666,0.172,3.767,1.278,24.446,23.617,46.226
0,121.618,144.925,1,13,1.06667,31.919,0.199,5.904,1.186,24.627,23.418,49.646
0.175521,106.541,143.565,1,13,1.06667,30.507,0.265,4.711,1.282,24.246,23.698,49.601
0.515836,26.2065,149.609,1,13,0.6,30.242,0.192,4.193,1.299,24.555,23.666,56.364
0.352539,112.17,196.638,1,13,16.2256,88.358,0.344,62.641,1.382,23.989,24.378,45.161
0.213876,82.9978,146.195,1,13,0.466667,30.308,0.191,3.936,1.843,24.335,23.671,50.931
0.0534372,162.033,142.703,1,13,0.6,30.402,0.199,4.062,1.67,24.469,23.399,50.545
0.158737,78.358,144.946,1,13,1.4,33.769,0.208,7.348,1.315,24.895,23.891,46.141
0.0479378,62.7928,139.687,1,13,0.6,30.043,0.192,4.354,1.358,24.137,23.909,47.208
0.0500287,56.9099,135.973,1,13,0.466667,28.933,0.175,3.58,1.217,23.958,23.876,43.067
0.0528544,60.8314,138.767,1,13,0.466667,29.05,0.181,3.388,1.246,24.231,23.925,44.512
0.209439,51.2946,138.333,1,13,0.466667,29.019,0.176,3.174,1.264,24.402,23.969,46.87
0.183568,145.835,139.367,1,13,0.6,29.442,0.193,3.834,1.263,24.15,24.048,45.377
0.433342,33.4479,140.841,1,13,0.6,30.035,0.197,4.246,1.354,24.235,23.694,48.15
0.246336,91.9007,144.268,1,13,0.466667,29.025,0.189,3.406,1.189,24.238,23.977,49.821
0.351397,115.821,139.43,1,13,0.6,30.368,0.19,3.742,1.849,24.584,23.808,46.635
0.166819,49.8635,142.835,1,13,0.466667,28.906,0.178,3.155,1.198,24.374,23.977,49.517
0.31535,92.6691,140.084,1,13,0.6,29.616,0.229,3.837,1.423,24.122,24.08,47.545
0.149927,45.0929,137.041,1,13,0.466667,30.042,0.175,3.939,1.309,24.616,23.771,44.674
0.0711951,86.1544,137.304,1,13,0.466667,30.09,0.174,3.456,1.948,24.51,23.929,44.765
0.146833,151.335,140.309,1,13,0.466667,29.601,0.195,3.722,1.44,24.241,23.581,45.681
0.177242,133.15,136.72,1,13,0.6,30.009,0.195,3.887,1.349,24.575,24.057,44.058
0.0540881,163.379,143.182,1,13,0.866667,31.026,0.177,4.464,1.259,25.123,23.855,49.531
0.30862,96.8928,146.583,1,13,1.33333,32.841,0.206,6.493,1.235,24.905,24.052,49.123
0.0979392,72.5899,140.28,1,13,0.466667,28.93,0.185,3.331,1.24,24.171,24.206,45.125
0.1514,66.6233,137.126,1,13,0.466667,29.318,0.182,3.434,1.242,24.457,24.127,44.637
0.20163,74.3473,142.902,1,13,0.466667,29.008,0.181,3.155,1.221,24.449,24.162,49.565
0.318201,82.2092,142.56,1,13,0.6,30.089,0.204,4.516,1.241,24.124,24.023,48.543
0.172578,43.5238,143.534,1,13,0.466667,28.9,0.189,3.245,1.424,24.039,24.32,49.839
0.362105,73.0273,141.345,1,13,0.6,29.913,0.195,3.971,1.291,24.454,24.149,47.657
0.19115,106.885,142.947,1,13,0.466667,30.284,0.189,4.321,1.147,24.624,24.14,48.749
0.316546,118.733,141.736,1,13,0.6,29.671,0.187,3.919,1.222,24.341,24.254,48.553
0.142468,56.3868,134.365,1,13,0.466667,30.152,0.17,4.116,1.507,24.356,24.076,41.001
0.195598,91.3329,138.556,1,13,0.466667,29.804,0.175,3.685,1.273,24.668,24.452,45.327
0.220768,81.1486,145.497,1,13,0.466667,29.823,0.205,3.786,1.236,24.593,24.112,49.405
0.337864,47.7541,143.197,1,13,0.6,30.361,0.196,4.161,1.376,24.625,24.055,47.202
