Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.339977,44.501,941.167,1,55,5.28182,388.095,1.065,217.73,11.158,158.138,396.688,98.591
0.298715,43.8301,920.061,1,55,5.33636,387.37,1.336,216.438,10.779,158.814,402.45,73.154
0.203388,49.4417,932.366,1,55,5.28909,382.999,1.04,211.851,10.923,159.181,399.772,92.584
0.298898,47.0574,932.063,1,55,5.35636,382.509,1.08,210.808,10.926,159.691,398.755,95.694
0,69.6297,937.819,1,55,5.42182,395.066,1.129,224.006,10.967,158.96,397.65,86.05
0.165091,59.4921,951.521,1,55,5.44364,409.298,1.629,237.035,10.895,159.736,399.856,80.583
0.399168,38.887,927.931,1,55,5.32,385.913,1.222,213.461,10.961,160.265,395.515,87.888
0.363262,42.5225,905.423,1,55,5.12364,361.887,0.989,190.125,10.698,160.072,396.739,90.353
0.222079,53.6324,946.877,1,55,5.34364,390.254,1.099,216.577,10.821,161.753,398.983,99.357
0.283612,47.4658,902.37,1,55,5.21273,376.867,1.062,203.733,10.833,161.236,397.715,71.739
0.230776,49.7389,930.351,1,55,5.23818,387.41,1.053,214.105,10.88,161.369,396.887,90.688
0.280124,46.3915,917.82,1,55,5.25818,389.092,1.093,215.241,10.851,161.904,401.484,70.384
0.197559,53.7935,938.938,1,55,5.16727,387.377,1.049,213.11,10.727,162.488,404.245,87.862
0.200159,50.6413,919.561,1,55,5.22545,384.273,1.112,209.25,10.941,162.966,402.68,74.901
0.0399797,58.2808,930.296,1,55,5.26909,400.618,1.171,225.008,10.827,163.609,395.838,73.626
0.331456,45.6015,914.273,1,55,5.34182,384.929,1.271,209.412,10.743,163.5,397.453,76.362
0.234304,46.6982,939.516,1,55,5.29273,392.095,1.077,216.922,10.931,163.161,397.016,93.407
0.324245,43.1808,928.206,1,55,5.32364,402.032,1.835,224.913,10.975,164.305,389.504,76.278
0.375703,41.5106,939.463,1,55,5.34,391.88,1.115,214.87,10.764,165.129,402.156,88.024
0.33642,42.4706,939.557,1,55,5.21273,379.056,1.028,204.657,10.884,162.485,403.731,99.22
0.323949,44.2379,962.376,1,55,5.33455,404.274,1.146,228.887,10.863,163.375,403.549,94.626
0.286601,44.497,965.214,1,55,5.42364,416.253,1.178,240.235,10.898,163.938,398.838,87.215
0.276898,44.5539,939.751,1,55,5.34909,401.975,1.121,225.166,10.92,164.765,400.115,78.032
0.340257,39.9539,926.334,1,55,5.40182,398.862,1.119,222.516,10.9,164.325,396.57,74.243
0.378576,37.2592,920.768,1,55,5.29091,394.998,1.073,216.85,11.849,165.223,396.756,71.31
0.254044,47.8129,951.105,1,55,5.3,400.56,1.097,223.316,10.954,165.19,398.261,93.643
0.357196,41.4528,945.809,1,55,5.30364,397.926,1.086,220.827,10.833,165.175,397.901,93.073
0.323714,45.3346,938.92,1,55,5.26545,400.186,1.099,220.699,10.829,167.554,403.394,75.061
0.331847,39.6966,919.571,1,55,5.27818,390.04,1.024,212.221,11.138,165.654,402.933,70.448
0.287082,47.852,944.269,1,55,5.27818,401.131,1.098,223.322,10.985,165.723,402.596,77.641
0.425044,38.6066,922.805,1,55,5.21273,394.6,1.063,214.336,10.854,168.344,397.689,70.976
0,67.9485,973.742,1,55,5.42,415.783,1.107,236.738,10.808,167.126,398.234,97.304
0.191606,57.3855,978.158,1,55,5.42,416.192,1.523,235.159,10.686,168.821,400.46,99.676
0.287857,38.5804,972.548,1,55,5.33636,399.301,1.16,218.568,10.811,168.758,420.559,94.372
0.246147,48.2021,965.888,1,55,5.35455,409.88,1.179,228.396,10.851,169.451,411.897,78.973
0.299111,44.6308,959.724,1,55,5.37091,405.19,1.176,225.334,10.76,167.916,402.873,93.44
0.380944,41.7501,946.814,1,55,5.25818,393.571,1.095,211.771,10.816,169.885,402.122,93.377
0.341188,44.4942,926.701,1,55,5.22545,393.964,1.454,212.229,10.839,169.438,398.276,75.163
0.192201,53.056,984.21,1,55,5.34727,402.493,1.174,220.503,10.882,169.93,412.787,106.083
0.362582,43.5743,930.145,1,55,5.33636,404.558,1.14,223.449,10.882,169.083,391.419,74.299
0.374199,43.0656,946.529,1,55,5.26,397.339,1.067,215.309,10.79,170.17,403.679,86.595
0.336173,40.0167,960.968,1,55,5.33818,422.829,1.198,241.46,10.962,169.207,396.206,79.112
0.34583,40.654,963.101,1,55,5.29455,394.764,1.1,212.463,10.742,170.455,403.903,104.894
0.404462,40.4551,929.704,1,55,5.22364,388.583,1.107,206.671,10.781,170.02,388.932,92.746
0.329662,45.2239,951.706,1,55,5.29273,410.5,1.576,226.297,11.787,170.836,402.089,74.013
0.198307,55.6064,967.574,1,55,5.28909,417.165,2.018,234.335,10.866,169.943,401.626,85.149
0.266455,42.7623,954.104,1,55,5.33455,400.73,1.169,219.714,10.89,168.953,400.591,93.23
0.229627,48.2034,958.191,1,55,5.26,395.97,1.131,212.454,10.938,171.442,406.719,95.542
0.384243,39.8951,951.311,1,55,5.28364,397.687,1.103,217.286,10.808,168.486,400.469,94.526
0.240404,49.4623,959.333,1,55,5.28909,401.556,1.164,219.159,11.014,170.216,398.335,98.523
0.280462,52.1868,958.968,1,55,5.34909,401.387,1.359,219.5,10.895,169.629,401.803,96.806
0.350243,42.238,992.27,1,55,5.31455,418.896,1.156,238.163,10.94,168.634,400.705,109.84
0.216652,48.2556,972.526,1,55,5.33455,428.785,1.336,247.648,10.8,168.998,399.271,80.801
0,63.7558,963.625,1,55,5.43818,423.045,1.211,241.436,10.984,169.411,402.194,76.155
0.358858,44.0725,962.995,1,55,5.43818,408.275,1.633,226.95,10.996,168.693,402.836,95.298
0.26685,47.3924,949.964,1,55,5.30182,410.07,1.333,227.758,10.866,170.11,401.459,78.44
0.388243,40.3509,929.376,1,55,5.24545,397.526,1.115,218.437,10.777,167.193,400.13,72.868
0.256717,50.2436,939.899,1,55,5.31273,410.343,1.217,228.104,10.802,170.218,391.932,76.788
0.329143,41.2893,953.83,1,55,5.30909,401.352,1.122,220.38,10.893,168.954,399.419,94.821
0.231275,56.5363,976.924,1,55,5.32182,413.613,1.216,231.971,10.937,169.487,400.772,99.716
0.371322,38.5197,943.872,1,55,5.57091,412.631,1.169,230.884,10.895,169.68,400.025,71.691
0.380193,39.1581,951.679,1,55,5.23636,393.562,1.108,212.025,10.677,169.748,404.902,94.247
0.335953,42.6159,959.629,1,55,5.16727,400.286,1.13,218.754,10.737,169.661,401.152,94.637
