Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0,37.645,100.732,1,13,1.42308,27.188,0.866,7.296,0.867,18.157,15.974,30.425
0.28249,33.0112,103.519,1,13,1.20769,26.621,0.845,6.746,0.828,18.188,16.164,32.192
0.325942,26.6282,102.742,1,13,1.00769,26.128,0.639,6.451,0.805,18.229,15.802,31.614
0.317222,27.6947,104.67,1,13,0.7,26.265,0.671,6.483,0.804,18.304,15.85,31.95
0,44.4091,96.467,1,13,1.3,26.372,0.615,6.416,1.335,18.004,15.949,27.035
0.362879,25.9217,102.836,1,13,1.3,27.565,0.75,7.57,0.963,18.28,15.741,31.61
0.23731,36.8529,101.677,1,13,1.29231,26.787,0.62,7.107,0.816,18.242,16.032,31.34
0.344538,25.3412,104.163,1,13,0.607692,26.813,0.649,6.666,1.393,18.103,15.7,31.755
0.223279,35.3435,103.195,1,13,0.807692,25.281,0.768,5.496,0.905,18.109,15.701,32.047
0.36075,27.9062,101.972,1,13,1.00769,26.691,0.605,6.772,1.283,18.028,15.649,31.484
0.292193,30.6655,102.878,1,13,0.807692,25.995,0.638,6.148,0.785,18.421,15.591,33.52
0.317136,28.5334,103.382,1,13,1.00769,25.715,0.62,5.887,0.855,18.35,15.517,33.73
0.28717,33.2845,102.922,1,13,1.00769,26.603,0.636,6.491,0.82,18.652,16.228,32.346
0.0312744,47.8943,100.948,1,13,1.70769,29.07,0.638,8.493,0.828,19.108,15.524,29.417
0.30268,32.465,102.77,1,13,0.607692,26.009,0.616,6.436,0.805,18.149,15.658,32.003
0.344092,28.1213,103.591,1,13,1.20769,26.865,0.673,7.066,0.915,18.208,15.78,31.692
0.32502,26.6901,105.531,1,13,1.20769,27.377,0.723,7.314,0.852,18.485,16.012,32.52
0.325455,29.9644,103.705,1,13,1.11538,26.729,0.639,6.927,0.842,18.318,16.117,31.569
0.409023,23.2217,101.685,1,13,1.58462,28.082,0.641,8.076,0.889,18.473,15.957,30.309
0.379924,26.1787,100.653,1,13,0.607692,24.368,0.612,4.878,0.832,18.044,15.905,31.407
0.335595,26.1603,105.079,1,13,0.807692,26.149,0.653,6.364,0.78,18.35,15.779,33.741
0.287086,32.4703,103.559,1,13,1.21538,26.453,0.644,6.491,0.843,18.472,15.805,32.222
0.378193,26.8379,107.057,1,13,1.00769,26.889,0.686,6.979,0.961,18.26,16.079,31.773
0.303822,30.0766,104.781,1,13,0.9,27.401,0.655,7.583,0.879,18.281,15.862,31.705
0.239062,34.0668,100.26,1,13,1.51538,26.35,0.629,6.495,0.827,18.396,15.665,30.801
0.200895,38.217,102.201,1,13,1.7,28.327,0.631,8.628,0.856,18.209,16.096,30.185
0.336632,25.7534,99.717,1,13,0.4,24.232,0.605,4.366,0.738,18.521,15.787,31.421
0.309328,30.619,103.58,1,13,0.9,26.205,0.643,6.243,0.767,18.55,16.017,32.724
0.299916,30.3599,106.684,1,13,1.00769,27.221,0.653,7.209,0.793,18.563,15.784,33.784
0.299492,28.1781,108.125,1,13,1.00769,27.362,0.663,7.245,0.809,18.644,15.83,34.942
0.334069,31.3405,103.834,1,13,1.38462,28.464,0.634,8.485,0.857,18.485,15.732,31.799
0.325742,26.5159,103.752,1,13,0.607692,25.449,0.696,5.76,0.761,18.229,15.833,32.734
0.216001,33.6234,104.754,1,13,1.6,28.602,0.658,8.852,0.877,18.211,15.684,33.338
0.339371,29.8462,104.748,1,13,1.02308,27.924,0.693,8.094,0.864,18.271,15.909,31.349
0.588581,19.7624,102.356,1,13,1.60769,28.134,0.624,8.084,1.156,18.268,15.806,30.615
0.30576,29.7149,100.627,1,13,0.961538,26.047,0.661,6.317,0.853,18.213,15.745,30.896
0.354072,29.5433,102.73,1,13,0.607692,25.444,0.659,5.64,0.87,18.272,15.814,31.5
0.10397,35.2724,101.475,1,13,0.807692,24.806,0.634,5.188,0.865,18.116,15.767,32.646
0.331898,29.4054,102.896,1,13,0.607692,26.014,0.657,6.037,0.762,18.555,15.727,31.392
0.102425,35.8525,105.403,1,13,1.42308,28.592,0.661,8.462,0.84,18.627,16.048,32.439
0.504131,22.6958,103.106,1,13,1.75385,28.155,0.633,8.233,1.002,18.284,15.933,31.18
0.425475,25.4515,103.923,1,13,2.16923,30.357,0.624,10.492,0.873,18.366,15.965,29.765
0.241269,41.0763,99.489,1,13,1.5,27.271,0.644,7.282,0.836,18.506,15.813,29.014
0.368369,27.7211,103.166,1,13,0.607692,26.636,0.644,6.141,0.785,19.064,16.136,31.438
0.303274,29.2186,104.057,1,13,0.607692,26.625,0.647,6.635,0.83,18.51,16.22,32.653
0.375053,25.295,102.171,1,13,0.923077,26.595,0.65,6.462,0.796,18.684,15.731,31.613
0.273493,33.6687,100.746,1,13,0.507692,24.831,0.629,4.446,0.992,18.762,15.85,31.065
0.217434,31.6751,103.489,1,13,1.11538,26.916,0.879,6.803,0.843,18.388,15.698,31.664
0.308295,30.8623,105.15,1,13,1.00769,27.006,0.683,7.086,0.805,18.429,15.771,32.281
0.278109,31.8876,102.839,1,13,1.11538,26.353,0.652,6.483,0.865,18.349,15.829,32.112
0.360134,30.9257,102.023,1,13,2.24615,29.137,0.643,8.987,0.878,18.626,15.752,29.694
0.366551,27.5544,101.494,1,13,0.607692,24.34,0.635,4.589,0.799,18.314,15.891,32.167
0.32885,29.5921,102.58,1,13,0.5,25.412,0.659,5.471,0.808,18.472,16.014,31.259
0.324819,27.4524,104.804,1,13,1.00769,27.284,0.642,6.819,0.935,18.886,15.999,31.444
0.340383,30.0299,103.052,1,13,0.7,26.411,0.646,6.056,0.883,18.823,15.79,32.074
0.614293,19.2099,102.625,1,13,1.75385,28.133,0.664,8.462,0.944,18.06,15.914,30.243
0.339686,24.5521,99.136,1,13,0.307692,23.313,0.625,3.553,0.865,18.268,15.964,30.721
0.395507,24.3282,101.328,1,13,0.707692,25.33,0.661,5.416,0.798,18.452,16.024,30.519
0.318645,29.2795,101.332,1,13,0.4,24.254,0.662,3.894,1.024,18.672,15.665,32.176
0.257732,34.3981,102.644,1,13,1.54615,28.648,0.65,8.847,0.796,18.352,15.959,30.219
0.253611,34.094,103.598,1,13,1.20769,26.394,0.634,6.471,1.03,18.256,16.085,32.482
0.322377,28.7639,102.565,1,13,0.8,26.179,0.648,6.383,0.781,18.364,16.091,31.481
0.319808,28.0076,106.689,1,13,1.00769,27.033,0.692,6.923,0.824,18.591,16.267,33.137
0.309433,32.5697,105.793,1,13,1.00769,27.847,0.679,7.355,0.817,18.993,15.946,31.953
0.319887,27.5478,104.814,1,13,1.00769,26.931,0.654,6.442,0.842,18.991,15.961,32.644
0.237268,29.7438,109.347,1,13,2.10769,32.117,0.697,12.043,0.826,18.55,15.69,31.597
0.566413,18.3965,102.604,1,13,1.86154,28.698,0.638,8.203,1.546,18.308,15.913,30.354
0.299327,27.7137,106.375,1,13,1.00769,26.879,0.686,6.944,0.855,18.392,16.18,33.064
