Cost reduction,Final cost,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.788107,14.8547,48.556,5,9,14.8667,20.133,0.166,13.256,0.232,6.473,7.69,13.788
0.725522,12.8417,49.364,5,9,17.6667,24.154,0.234,14.397,0.398,9.114,7.681,13.702
0.326,34.2689,46.309,5,9,14.2,20.418,0.179,11.238,0.327,8.664,8.165,14.336
0.916171,13.1751,41.366,5,9,11.8,17.307,0.133,9.438,0.295,7.435,8.069,12.518
0.629597,13.2782,50.02,5,9,17.0667,24.616,0.195,14.748,0.354,9.308,7.775,13.994
0.809536,9.46666,66.732,7,9,15.9286,32.842,0.237,19.276,0.499,12.817,10.808,19.55
0.624834,14.5746,51.687,5,9,18.6667,26.765,0.222,15.3,0.353,10.881,7.762,13.91
0.920211,4.43666,77.926,8,9,17.2708,40.001,0.407,24.112,0.544,14.921,11.996,22.284
0.688175,6.60651,57.808,5,9,23.4667,33.043,0.207,21.834,0.414,10.577,7.541,13.934
0.939351,9.67281,63.366,6,9,19.7778,33.559,0.257,19.728,0.483,13.077,9.538,16.054
0.818546,11.8917,56.009,5,9,25.7,31.063,0.259,19.404,0.454,10.934,8.503,12.712
0.650534,8.91062,55.954,5,9,24.6667,30.891,0.266,19.231,0.401,10.982,7.955,13.387
0.712437,10.2943,55.619,6,9,15.9167,26.66,0.203,15.28,0.362,10.805,9.523,15.424
0.667706,20.8345,50.912,5,9,19.7667,25.605,0.166,16.672,0.334,8.424,8.23,13.932
0.928204,12.4689,49.641,5,9,18.6,24.539,0.173,15.574,0.306,8.478,8.231,13.51
0.575443,12.6783,58.981,6,9,16.6111,30.209,0.366,18.096,0.606,11.13,9.843,15.153
0.697985,41.1261,67.243,7,9,14.3571,33.753,0.271,19.819,0.485,13.167,10.627,18.993
0.785968,21.9526,55.736,5,9,20.6667,30.623,0.281,19.062,0.439,10.831,7.758,13.454
0.777728,25.5003,37.138,5,9,7.23333,12.127,0.081,7.421,0.174,4.445,8.836,13.325
0.706286,13.9583,80.861,7,9,26.7857,45.575,0.438,29.651,0.66,14.813,10.537,20.296
0.846473,14.2569,63.34,7,9,15.5952,28.37,0.189,16.65,0.42,11.102,11.169,20.088
0.0485096,30.1095,32.317,5,9,3.06667,7.872,0.047,3.229,0.115,4.478,8.197,13.789
