Iteration,Cost,Cost reduction,time (ms)
0,7.34165543684648,0.0,29.288530349731445
1,7.253738741038989,0.011975050663131537,211.8830680847168
2,5.388292231745802,0.2660657697577431,419.2013740539551
3,5.0179854110819715,0.31650491442330797,1789.3085479736328
4,4.092087051283201,0.44262066144568235,3064.7037029266357
5,3.5197336626454514,0.5205803795993305,3627.4983882904053
6,3.1583687141192853,0.5698015602492066,4328.727245330811
7,2.976078449681973,0.5946311461655422,5160.173654556274
8,2.965009749091661,0.5961388034896329,5935.049772262573
9,2.965009749091661,0.5961388034896329,8040.991544723511
