Iteration,Cost,Cost reduction,time (ms)
0,1039.6230024444358,0.0,4211.015939712524
1,102.30530809021407,0.9015938394498135,13796.100378036499
2,94.82559823465206,0.9087884761959948,17835.35146713257
3,65.98379460045366,0.9365310363032485,19353.830337524414
4,57.12268228441886,0.9450544263159742,21578.29999923706
5,26.15308347864809,0.974843685242482,23492.70486831665
6,15.207812564503472,0.9853718006154676,25021.08407020569
7,10.32265137898696,0.9900707743530919,28914.105892181396
8,7.667222579179011,0.9926249971757538,30018.48793029785
9,7.511980314000452,0.9927743227147363,31155.46464920044
10,6.947105583485053,0.993317668455632,32330.265283584595
11,6.7814061899504035,0.9934770525719366,33492.77758598328
12,6.623617098646861,0.9936288278702251,34925.809383392334
13,6.321223756613105,0.9939196961381672,37460.74295043945
14,5.843759516659997,0.9943789628519957,39762.948751449585
15,5.58507117909195,0.9946277918380414,42578.88317108154
16,5.4386776697522645,0.9947686058725476,44929.84628677368
17,5.385006888908711,0.9948202311066154,47329.03337478638
18,5.140151821967493,0.9950557540474946,50199.214458465576
19,5.133877532612637,0.9950617892057587,52981.53114318848
20,4.9591491937729,0.9952298581484705,55431.12587928772
21,4.859305876566747,0.9953258961516422,58666.82553291321
22,4.806384978426325,0.995376800083179,62366.43886566162
23,4.804473666920073,0.9953786385491438,64781.3355922699
24,4.803995490314332,0.9953790985010731,68146.43740653992
