Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.713104,670.086,6,13,3.39915,227,0,66,6,149,143,249
0.852282,651.612,6,13,1.50427,205,0,42,7,149,144,252
0.206624,636.879,6,13,3.72906,203,0,68,5,123,144,242
0.844847,652.115,6,13,1.47863,202,0,39,8,149,144,255
0.738445,699.555,6,13,4.36325,245,0,81,9,151,142,258
0.176452,607.819,6,13,1.20684,168,0,35,5,124,144,248
0.852806,653.217,6,13,1.43761,202,0,38,7,151,145,254
0.84654,692.193,6,13,2.86239,235,0,73,6,151,144,261
0.856571,652.23,6,13,1.5906,203,0,41,7,151,143,254
0.856664,664.975,6,13,1.80085,209,0,48,6,151,144,257
0.810668,672.096,6,13,2.76068,218,0,55,6,150,146,257
0.182098,606.005,6,13,0.951282,164,0,26,5,127,143,253
0.854741,655.043,6,13,1.40513,204,0,40,6,153,145,254
0.817535,658.644,6,13,1.51966,202,0,41,6,150,144,261
0.86042,679.023,6,13,2.14957,220,0,53,7,153,145,258
0.684133,663.326,6,13,1.57436,206,0,40,9,151,146,256
0.828739,663.232,6,13,1.51795,205,0,40,8,151,145,260
0.841863,686.328,6,13,2.40513,226,0,62,6,153,147,262
0.692047,683.796,6,13,2.5812,222,0,58,6,153,147,260
0.863358,667.421,6,13,1.46838,207,0,40,10,151,148,260
0.75271,671.693,6,13,1.76581,209,0,44,7,152,148,261
0.668316,665.32,6,13,1.48889,204,0,39,7,154,145,263
0.866946,666.186,6,13,1.34359,201,0,36,6,152,149,262
0.775274,668.324,6,13,1.39573,205,0,38,8,151,147,264
0.853033,671.102,6,13,1.51966,206,0,40,6,154,151,263
0.834778,677.427,6,13,1.60684,208,0,41,6,157,150,264
0.804606,679.685,6,13,1.88974,214,0,48,7,153,148,264
0.868577,675.658,6,13,1.78632,211,0,48,6,152,150,261
0.636799,692.23,6,13,2.61538,225,0,59,8,154,149,262
0.775347,678.372,6,13,1.5,206,0,40,6,156,151,263
0.737677,675.694,6,13,1.48547,203,0,39,6,153,153,264
0.846429,679.245,6,13,1.58974,208,0,41,9,152,152,264
0.791275,684.764,6,13,1.55897,210,0,42,8,155,155,267
0.805224,678.452,6,13,1.50855,206,0,38,6,154,152,265
0.85667,692.19,6,13,2.43932,223,0,56,7,156,149,267
0.848922,704.433,6,13,2.72735,231,0,61,8,156,152,266
0.813515,680.791,6,13,1.40513,208,0,38,8,154,152,263
0.793925,689.277,6,13,1.62735,211,0,43,7,155,155,266
0.789917,686.026,6,13,1.77692,213,0,45,6,155,152,265
0.771113,680.199,6,13,1.46154,208,0,41,7,154,154,262
0.78335,780.172,6,13,5.38034,308,0,136,9,155,154,265
0.835603,717.472,6,13,3.30342,235,0,67,6,154,158,267
0.202024,641.219,6,13,1.85128,184,0,43,5,129,156,253
0.82409,714.2,6,13,2.59658,240,0,73,6,154,152,267
0.798922,689.955,6,13,1.62308,216,0,43,8,156,156,263
0.824461,713.189,6,13,2.99487,233,0,65,7,155,155,267
0.761248,681.818,6,13,1.4641,209,0,41,7,156,152,264
0.768374,694.943,6,13,1.75043,214,0,45,7,155,154,269
0.708808,686.191,6,13,1.93162,216,0,50,6,156,155,260
0.829318,690.446,6,13,1.51709,211,0,42,6,158,160,262
0.202449,635.545,6,13,1.00684,172,0,29,6,131,165,249
0.818118,697.124,6,13,1.73932,217,0,49,6,156,156,267
0.851226,760.671,6,13,2.3453,240,0,68,7,158,180,283
0.791251,749.679,6,13,2.56923,226,0,57,7,156,181,284
0.840319,793.028,6,13,4.52821,260,0,90,7,155,188,289
0.838479,737.597,6,13,1.46581,214,0,44,7,155,179,286
0.870635,754.6,6,13,2.83162,231,0,63,7,156,180,286
0.808125,789.371,6,13,4.3906,254,0,86,6,155,185,293
0.732754,803.926,6,13,4.97778,269,0,98,8,157,185,291
0.78231,740.486,6,13,1.97607,218,0,51,7,155,181,285
0.402157,686.728,6,13,1.19573,176,0,35,5,130,176,279
0.863484,729.453,6,13,1.59658,213,0,43,6,155,177,281
0.852638,741.366,6,13,1.9453,227,0,55,7,157,179,280
0.794079,732.13,6,13,1.87094,216,0,49,8,156,178,282
0.753009,727.477,6,13,1.57521,210,0,44,6,155,177,283
0.782067,737.286,6,13,2.06752,219,0,51,7,156,178,284
0.858091,730.252,6,13,1.84359,216,0,48,7,155,177,279
0.717046,734.517,6,13,1.70598,215,0,47,6,156,179,285
0.774027,734.552,6,13,1.78462,217,0,49,7,155,178,283
0.73035,732.158,6,13,1.59316,217,0,46,8,156,177,282
0.857896,729.531,6,13,1.41197,209,0,41,7,155,177,284
0.668267,727.489,6,13,1.59316,213,0,44,7,156,179,282
0.756344,726.816,6,13,1.52906,211,0,43,7,157,178,279
0.800238,779.537,6,13,3.12906,257,0,84,7,158,180,286
0.864989,803.566,6,13,5.51111,273,0,103,8,157,187,286
0.810288,739.299,6,13,2.15214,222,0,51,7,156,177,283
0.729219,730.907,6,13,1.83761,218,0,49,6,155,177,280
0.596896,873.108,6,13,5.27179,344,0,167,7,163,179,293
0.79677,776.857,6,13,4.55897,254,0,87,6,154,182,286
0.860641,745.996,6,13,2.5906,228,0,60,7,154,177,283
0.199835,679.081,6,13,1.25128,177,0,34,5,130,176,273
0.196242,669.832,6,13,1.0735,171,0,34,5,129,177,268
0.84221,751.03,6,13,1.73248,224,0,51,9,158,177,291
0.829421,732.192,6,13,1.72222,217,0,48,8,154,177,281
0.199846,677.185,6,13,1.1906,175,0,34,6,130,176,275
0.199254,666.714,6,13,1.01795,171,0,30,6,128,174,271
0.844122,734.41,6,13,1.48376,210,0,42,6,156,181,285
0.839263,733.249,6,13,1.93077,213,0,45,7,154,176,288
0.827919,791.528,6,13,5.25043,267,0,97,8,157,181,288
0.837516,727.588,6,13,1.48632,211,0,41,8,156,176,283
0.839836,762.198,6,13,3.15641,241,0,72,7,156,180,284
