Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
43.8488,0.0144917,0,33.4302,2,15.7486,5.5493,6.97122,0
76.3115,0.00933195,0,40.0769,2,18.5157,5.51142,9.05755,0
49.0062,0.0220197,0,36.789,2,17.6309,5.55603,7.82752,0
64.2669,0.0347017,0,39.5992,2,18.5963,5.5699,8.83372,0
8.19931,0.0139797,0,40.0652,2,18.1973,5.59506,9.41434,0
74.7618,0.0138532,0,41.3297,2,19.3975,5.57668,9.35083,0
5.85001,0.0138826,0,43.7171,2,20.2128,5.86161,10.058,0
34.3456,0.0135287,0,40.2523,2,18.7185,5.60725,9.10167,0
111.011,0.0136943,0,38.9049,2,17.8251,5.50178,8.88812,0
17.9672,0.0125748,0,48.3379,2,21.1422,5.41923,12.2558,0
11.8955,0.00607024,0,44.8402,2,20.5017,5.53971,10.6984,0
10.1945,0.00535919,0,39.1503,2,17.7085,5.41982,9.26748,0
38.7354,0.0141162,0,38.9899,2,18.1147,5.51078,8.75919,0
27.8803,0.0145625,0,35.9413,2,16.6793,5.47495,7.94724,0
13.026,0.0124919,0,40.0505,2,18.6478,5.52946,9.03735,0
7.92461,0.0139146,0,46.0128,2,20.652,5.85991,11.0918,0
44.2726,0.0141338,0,35.359,2,16.5484,5.64908,7.57519,0
49.155,0.0134892,0,40.1096,2,18.6475,5.44163,9.13577,0
16.0802,0.0136924,0,40.4542,2,18.9001,5.53886,9.16951,0
42.641,0.00730311,0,40.4902,2,18.8164,5.41858,9.27396,0
19.721,0.00854402,0,44.632,2,20.3492,5.40428,10.8457,0
15.4928,0.0131648,0,45.2534,2,20.4011,5.52121,10.929,0
10.1612,0.00551453,0,47.0942,2,20.7688,5.49022,11.7077,0
4.25045,0.0122756,0,45.2249,2,20.7169,5.392,11.0167,0
31.7896,0.0137452,0,43.2304,2,20.1414,5.5231,10.0367,0
12.7167,0.0143888,0,44.3745,2,20.4629,5.50288,10.4592,0
25.3478,0.0118719,0,47.2139,2,21.2267,5.47784,11.6649,0
14.0472,0.00630189,0,37.9803,2,17.2622,5.4537,8.87367,0
16.9906,0.012842,0,39.1025,2,18.1302,5.50045,8.88318,0
27.2407,0.0135924,0,41.8754,2,18.8842,5.46173,10.0206,0
11.8725,0.0134892,0,38.0003,2,17.5178,5.62848,8.60636,0
61.3761,0.0121129,0,40.8545,2,18.9567,5.45624,9.38365,0
11.4176,0.0104962,0,45.9875,2,20.7868,5.41982,11.2351,0
42.1987,0.0141926,0,42.1045,2,19.5643,5.44999,9.78401,0
26.4196,0.0146359,0,40.4277,2,18.8691,5.66616,9.10458,0
22.3402,0.0138874,0,41.0274,2,18.9906,5.64859,9.39798,0
74.1872,0.00589822,0,41.1513,2,18.5277,5.66856,9.63283,0
52.9173,0.0117897,0,37.8594,2,17.7645,5.78087,8.19852,0
7.76982,0.00784593,0,46,2,20.7934,5.44727,11.3377,0
7.7279,0.0147069,0,45.2477,2,20.8391,5.65658,10.6563,0
14.7391,0.00449739,0,43.5036,2,19.6846,5.36308,10.3688,0
35.0868,0.0146664,0,34.5626,2,16.1901,5.57366,7.31376,0
40.0647,0.014415,0,38.458,2,17.8508,5.50171,8.65864,0
9.31872,0.0100279,0,40.1611,2,18.2709,5.63611,9.43806,0
14.7983,0.0143603,0,45.9837,2,20.3289,5.49226,11.5357,0
12.4402,0.013653,0,36.3681,2,17.3597,5.45907,7.68991,0
67.214,0.0148738,0,43.6429,2,19.8725,5.40398,10.4682,0
14.5365,0.012098,0,43.0923,2,18.7663,5.50377,10.771,0
61.5835,0.0300635,0,46.6647,2,21.2275,5.4566,11.3438,0
39.729,0.0144527,0,38.869,2,18.1123,5.5116,8.79371,0
6.62618,0.00989139,0,46.9882,2,20.716,5.42814,11.7917,0
35.5516,0.0126035,0,38.7361,2,18.3829,5.54928,8.46582,0
7.41245,0.0144592,0,44.1349,2,20.2741,5.40596,10.4549,0
7.65414,0.0135678,0,45.1684,2,20.9483,5.47725,10.578,0
35.3661,0.0145683,0,40.2161,2,19.0265,5.527,9.07128,0
188.798,0.0662418,0,38.3176,2,17.9509,5.53528,8.51902,0
39.5632,0.0109024,0,36.4926,2,17.1267,5.46073,7.91347,0
12.5459,0.0145077,0,42.957,2,19.6705,5.44299,10.2629,0
55.8269,0.00935489,0,40.4316,2,18.7013,5.54943,9.21105,0
72.615,0.0108741,0,39.3108,2,18.2719,5.52494,8.88286,0
20.5868,0.0122913,0,48.5622,2,22.1417,5.48774,11.9208,0
10.048,0.00893101,0,44.3264,2,20.3046,5.39889,10.6831,0
25.6,0.0148906,0,34.393,2,16.1803,5.61663,7.23409,0
41.4467,0.0136229,0,38.7415,2,17.8852,5.45368,8.8154,0
18.379,0.00665404,0,42.3973,2,19.4157,5.57235,9.98608,0
24.0926,0.0143058,0,38.0634,2,17.4747,5.57347,8.68231,0
57.9747,0.0121849,0,40.3627,2,18.4565,5.60379,9.2958,0
54.3718,0.0143988,0,42.4774,2,19.6433,5.69542,9.79569,0
28.8461,0.0144813,0,40.0868,2,18.4047,5.37217,9.33492,0
42.1959,0.0743165,0,38.4915,2,18.1325,5.50588,8.62338,0
20.7566,0.0140838,0,50.8085,2,23.9013,5.48221,12.059,0
66.0666,0.0179079,0,40.1637,2,18.9098,5.49135,9.05004,0
16.4115,0.0139582,0,36.1843,2,17.2849,5.55103,7.57716,0
29.3351,0.0141224,0,40.0838,2,18.333,5.43365,9.37235,0
44.4908,0.0144478,0,40.4247,2,19.0596,5.58763,9.04834,0
9.83716,0.0122267,0,40.6395,2,18.7055,5.533,9.41437,0
30.285,0.0146021,0,37.579,2,17.4654,5.44289,8.45472,0
79.7182,0.0111999,0,40.8842,2,19.2401,5.52801,9.19186,0
10.3726,0.0121558,0,38.2502,2,17.6581,5.61351,8.68097,0
9.66214,0.00938696,0,44.2061,2,19.899,5.68494,10.5897,0
8.91868,0.0113893,0,42.5267,2,19.3651,5.51387,10.0886,0
6.35544,0.0116889,0,45.0343,2,20.3239,5.46867,10.7698,0
13.6952,0.00886843,0,51.321,2,23.5904,5.69862,12.4655,0
69.6661,0.0214481,0,42.4628,2,19.5769,5.45472,9.93179,0
23.0669,0.00715696,0,38.3269,2,17.89,5.60056,8.48168,0
14.4343,0.0144869,0,46.8083,2,21.0686,5.69723,11.4776,0
40.4984,0.0139823,0,41.1584,2,19.107,5.5118,9.53237,0
12.1321,0.00522421,0,48.4243,2,20.6518,5.7352,12.3324,0
14.8846,0.00850434,0,38.035,2,17.6765,5.397,8.7094,0
16.0085,0.0146813,0,38.738,2,17.932,5.4845,8.81096,0
24.4184,0.0141882,0,39.0664,2,17.6014,5.506,9.20813,0
12.5652,0.0125254,0,40.9246,2,18.8945,5.51388,9.50374,0
7.32221,0.0137483,0,39.838,2,18.3566,5.54667,9.28625,0
36.7955,0.0140654,0,43.1616,2,19.8984,5.82037,9.88046,0
17.7151,0.0106195,0,46.9494,2,21.1941,5.79906,11.2805,0
80.8992,0.0133737,0,40.9334,2,19.286,5.61045,9.22806,0
10.2744,0.00835059,0,40.0286,2,18.0136,5.45315,9.6066,0
13.8969,0.0128913,0,44.0591,2,20.1539,5.53022,10.4244,0
8.18912,0.0130446,0,42.4965,2,18.9425,5.47693,10.4348,0
9.49653,0.0107114,0,38.2356,2,17.5277,5.45731,8.68269,0
