Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
41.73,0,14,24.026,5.741,7.043,0,0,0
38.808,0,4.88,20.717,5.938,6.764,0,0,0
37.101,0,4.88,17.827,6.514,7.324,0,0,0
42.096,0,6.16,22.709,6.286,7.351,0,0,0
46.55,0,6.44,27.344,5.743,7.763,0,0,0
47.6,0,5,26.109,5.536,10.124,0,0,0
44.741,0,5,25.419,5.534,8.051,0,0,0
46.32,0,5,26.415,5.831,8.276,0,0,0
37.836,0,2,18.373,5.591,8.055,0,0,0
36.574,0,2,17.721,5.415,7.902,0,0,0
37.451,0,2,17.84,6.251,7.818,0,0,0
34.967,0,2,16.5,5.145,7.665,0,0,0
35.563,0,2,16.808,5.125,7.909,0,0,0
35.771,0,2,16.827,5.228,7.778,0,0,0
36.185,0,2,17.211,5.685,7.596,0,0,0
36.43,0,2,16.526,5.409,8.243,0,0,0
37.158,0,2,17.508,6.234,7.959,0,0,0
35.736,0,2,15.581,5.691,8.233,0,0,0
36.478,0,2,17.53,5.565,7.692,0,0,0
37.672,0,2,17.578,5.16,8.452,0,0,0
37.625,0,2,17.681,6.091,8.312,0,0,0
37.403,0,2,17.474,5.559,8.447,0,0,0
37.221,0,2,17.869,5.655,7.999,0,0,0
37.06,0,2,17.666,5.103,7.908,0,0,0
36.058,0,2,16.942,6.004,7.222,0,0,0
37.081,0,2,17.491,5.263,8.208,0,0,0
37.87,0,2,17.86,6.098,8.207,0,0,0
37.13,0,2,17.478,5.36,8.39,0,0,0
36.056,0,2,17.076,5.684,7.643,0,0,0
38.053,0,2,18.68,5.225,8.149,0,0,0
35.984,0,2,16.584,5.567,8.025,0,0,0
36.515,0,2,16.87,5.173,7.908,0,0,0
36.14,0,2,16.827,5.994,7.746,0,0,0
36.636,0,2,15.86,6.894,7.734,0,0,0
37.394,0,2,16.52,6.809,8.08,0,0,0
38.014,0,2,17.189,6.901,7.83,0,0,0
36.616,0,2,15.821,6.87,7.952,0,0,0
36.665,0,2,17.282,5.34,8.188,0,0,0
36.981,0,2,17.089,5.909,8.238,0,0,0
47.192,0,5,27.049,6.956,7.309,0,0,0
36.632,0,2,16.979,5.37,8.541,0,0,0
36.911,0,2,16.568,5.674,8.717,0,0,0
35.589,0,2,16.325,5.134,8.383,0,0,0
35.735,0,2,17.07,5.296,7.319,0,0,0
37.21,0,2,17.525,5.162,8.523,0,0,0
37.076,0,2,17.618,5.844,7.906,0,0,0
36.023,0,2,16.645,5.227,8.703,0,0,0
41.098,0,6,21.987,5.268,7.854,0,0,0
39.778,0,6,20.401,5.299,7.921,0,0,0
39.328,0,6,20.338,5.132,8.068,0,0,0
43.603,0,6,24.301,5.448,8.184,0,0,0
36.017,0,2,17.103,5.216,7.819,0,0,0
35.691,0,2,16.282,5.893,7.813,0,0,0
36.572,0,2,17.725,5.291,7.945,0,0,0
36.11,0,2,17.312,5.497,7.516,0,0,0
37.266,0,2,17.613,5.18,8.723,0,0,0
35.866,0,2,16.595,5.212,8.008,0,0,0
35.816,0,2,17.027,5.202,7.928,0,0,0
36.825,0,2,16.612,5.671,8.658,0,0,0
35.011,0,2,16.488,5.298,7.692,0,0,0
35.978,0,2,16.983,5.293,7.862,0,0,0
35.599,0,2,17.117,5.266,7.47,0,0,0
36.682,0,2,17.197,5.207,8.127,0,0,0
37.898,0,2,18.504,5.45,8.228,0,0,0
37.118,0,2,17.767,5.498,8.214,0,0,0
36.65,0,2,17.276,5.331,8.51,0,0,0
35.956,0,2,16.353,5.288,8.122,0,0,0
34.997,0,2,15.944,5.178,8.2,0,0,0
36.571,0,2,17.561,5.268,7.558,0,0,0
35.86,0,2,17.484,5.139,7.649,0,0,0
37.197,0,2,17.56,5.603,8.068,0,0,0
35.834,0,2,16.928,5.67,7.396,0,0,0
36.146,0,2,16.433,5.476,8.121,0,0,0
37.222,0,2,16.492,5.823,8.99,0,0,0
36.931,0,2,17.749,5.165,7.799,0,0,0
37.479,0,2,17.896,5.446,8.138,0,0,0
36.2,0,2,16.853,5.482,8.009,0,0,0
36.861,0,4,17.684,5.672,8.035,0,0,0
45.47,0,8,25.596,5.541,8.239,0,0,0
47.425,0,11,27.258,5.929,8.141,0,0,0
48.405,0,11,28.297,5.706,8.312,0,0,0
47.794,0,11,27.466,6.032,7.974,0,0,0
48.212,0,15,28.579,5.617,7.97,0,0,0
51.243,0,15,30.755,5.5,8.778,0,0,0
51.994,0,13,30.387,6.236,8.734,0,0,0
53.304,0,15,31.459,5.651,9.72,0,0,0
86.746,0,34,65.377,5.883,8.674,0,0,0
112.401,0,44,87.334,7.38,10.158,0,0,0
111.893,0,40,84.205,7.593,10.702,0,0,0
81.334,0,23,55.717,7.166,9.781,0,0,0
98.767,0,36,71.437,7.495,10.438,0,0,0
114.454,0,43,84.333,7.575,11.519,0,0,0
135.796,0,62.88,108.201,8.044,10.341,0,0,0
161.504,0,64.6,130.392,7.66,11.939,0,0,0
133.946,0,57,102.691,9.857,11.319,0,0,0
148.129,0,56,116.751,9.855,10.751,0,0,0
133.42,0,48.44,104.331,9.762,9.863,0,0,0
129.81,0,55.44,101.092,9.671,9.875,0,0,0
137.821,0,56.72,109.229,9.573,9.88,0,0,0
100.583,0,39.44,73.997,9.418,8.897,0,0,0
98.845,0,39.44,71.107,9.414,9.492,0,0,0
122.202,0,53.6,96.41,7.967,9.423,0,0,0
105.819,0,39.44,80.765,7.622,8.625,0,0,0
96.094,0,36.32,71.45,7.368,9.009,0,0,0
