Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.0946651,5578.21,6,19,83.3333,4954,0,4791,0,159,207,355
0.271564,4804.36,6,19,66.6667,4130,0,3999,0,128,229,382
0.267601,5810.94,6,19,83.3333,5146,0,4981,0,161,227,380
0.532505,6056.26,6,19,83.3333,5359,0,5188,0,167,224,410
0.256107,4891.43,6,19,66.6667,4215,0,4076,0,136,225,386
0.522904,4374.8,6,19,50,3652,0,3525,0,125,255,408
0.581452,7056.61,6,19,83.3333,6273,0,6060,0,209,260,459
0.270323,5815.08,6,19,66.6667,5068,0,4899,0,167,258,424
0.181176,5581.51,6,19,66.6667,4844,0,4674,0,166,257,419
0.0990949,5793.78,6,19,66.6667,5040,0,4870,0,167,254,440
0.275857,6962.17,6,19,83.3333,6167,0,5958,0,206,260,469
0.318714,7179.54,6,19,83.3333,6348,0,6138,0,206,260,505
0.0420253,4403.02,6,19,50,3683,0,3558,0,123,252,410
0.643576,6955.13,6,19,83.3333,6187,0,5977,0,206,259,450
0.619598,7027.09,6,19,83.3333,6228,0,6018,0,206,260,472
0.197485,7003.15,6,19,83.3333,6247,0,6038,0,205,261,433
0.510438,6844.06,6,19,83.3333,6060,0,5854,0,204,259,458
0.596001,7218,6,19,83.3333,6328,0,6102,0,224,295,534
0.0167392,4384.07,6,19,50,3688,0,3564,0,122,252,385
0.473072,5737.83,6,19,66.6667,4981,0,4816,0,164,250,445
0.387029,7069.56,6,19,83.3333,6302,0,6096,0,203,253,451
0.574171,6739.5,6,19,83.3333,5978,0,5769,0,204,259,439
0.175975,6893.28,6,19,83.3333,6119,0,5912,0,201,256,458
0.782839,8220.69,6,19,100,7447,0,7195,0,247,259,455
0.161864,6857.81,6,19,83.3333,6083,0,5876,0,204,260,453
0.648268,5663.09,6,19,66.6667,4938,0,4773,0,161,253,416
0.517481,6860.49,6,19,83.3333,6093,0,5884,0,205,258,448
0.688663,6904.51,6,19,83.3333,6131,0,5923,0,204,257,453
0.507532,6820.54,6,19,83.3333,6078,0,5871,0,202,258,427
0.352152,6998.52,6,19,83.3333,6212,0,6008,0,201,255,466
0.0968199,5647.94,6,19,66.6667,4910,0,4742,0,164,261,417
0.371422,6886.85,6,19,83.3333,6106,0,5899,0,203,258,455
0.301488,5690.33,6,19,66.6667,4953,0,4787,0,164,259,417
0.803461,6662.57,6,19,83.3333,5899,0,5693,0,202,260,442
0.455965,4565.36,6,19,50,3835,0,3715,0,120,253,413
0.476889,5654.96,6,19,66.6667,4898,0,4734,0,162,260,431
0.340816,5931.57,6,19,66.6667,5161,0,4995,0,162,254,453
0.308682,6927.97,6,19,83.3333,6177,0,5970,0,203,256,434
0.68781,5694.03,6,19,66.6667,4940,0,4775,0,163,257,435
0.589103,5516.64,6,19,66.6667,4800,0,4633,0,163,251,410
0.330705,5972.21,6,19,66.6667,5211,0,5045,0,163,254,446
0.603582,6921.81,6,19,83.3333,6151,0,5945,0,204,261,449
0.28583,6946.69,6,19,83.3333,6175,0,5969,0,203,258,450
0.373317,5621.87,6,19,66.6667,4891,0,4726,0,162,256,416
0.437241,5530.04,6,19,66.6667,4762,0,4598,0,160,259,444
0.209867,6976.35,6,19,83.3333,6195,0,5989,0,204,257,455
0.0137797,7317.59,6,19,83.3333,6542,0,6336,0,203,252,460
0.609508,7090.53,6,19,83.3333,6310,0,6102,0,204,258,459
0.543821,4427.65,6,19,50,3681,0,3558,0,121,249,434
0.405783,6724.43,6,19,83.3333,5970,0,5762,0,205,257,434
0.00403013,3264.85,6,19,33.3333,2511,0,2428,0,82,251,444
0.0494289,3210.18,6,19,33.3333,2500,0,2417,0,80,243,409
0.460066,5703.25,6,19,66.6667,4950,0,4773,0,175,260,432
0.202268,5638.44,6,19,66.6667,4907,0,4740,0,163,259,413
0.424029,7002.93,6,19,83.3333,6223,0,6016,0,204,259,457
0.655327,4297.47,6,19,50,3575,0,3452,0,122,245,415
0.543669,5566.66,6,19,66.6667,4813,0,4646,0,164,254,434
0.708697,7018.9,6,19,83.3333,6251,0,6041,0,206,257,451
0.462458,7057.29,6,19,83.3333,6304,0,6099,0,204,254,438
0.737846,7163.37,6,19,83.3333,6398,0,6193,0,203,258,446
0.0584409,6687.55,6,19,83.3333,5912,0,5706,0,202,260,454
0.124551,6798.56,6,19,83.3333,6020,0,5810,0,206,261,458
0.0322903,5904.98,6,19,66.6667,5168,0,5004,0,161,259,417
