Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
33.766,0,4,21.028,4.45,5.749,0,0,0
33.087,0,4,19.648,4.796,5.867,0,0,0
34.527,0,4,20.391,4.472,5.928,0,0,0
34.541,0,4,20.918,4.569,6.377,0,0,0
33.164,0,4,20.163,4.665,5.739,0,0,0
32.88,0,4,20.119,3.944,5.677,0,0,0
31.292,0,4,20.006,3.919,4.791,0,0,0
32.623,0,4,21.704,4.273,4.05,0,0,0
31.237,0,4,20.144,4.323,4.084,0,0,0
29.985,0,4,18.918,4.318,4.12,0,0,0
31.888,0,4,20.848,4.04,4.344,0,0,0
32.408,0,4,21.28,4.101,4.395,0,0,0
32.366,0,4,20.865,4.219,4.383,0,0,0
32.944,0,4,21.735,4.316,4.123,0,0,0
32.272,0,4,20.781,4.397,4.378,0,0,0
30.846,0,4,19.595,3.916,4.421,0,0,0
33.1,0,4,21.305,4.418,4.523,0,0,0
33.688,0,4,21.384,4.235,4.929,0,0,0
34.182,0,4,21.568,4.535,4.822,0,0,0
36.333,0,4,22.082,5.73,5.18,0,0,0
36.069,0,4,23.256,4.06,5.261,0,0,0
35.408,0,4,21.273,4.418,5.752,0,0,0
36.386,0,4,22.863,4.227,5.62,0,0,0
37.107,0,4,23.081,4.596,5.765,0,0,0
39.194,0,4,23.904,4.553,6.091,0,0,0
38.838,0,4,24.307,4.363,6.127,0,0,0
37.463,0,4,22.944,4.433,6.012,0,0,0
38.591,0,4,23.897,4.495,6.182,0,0,0
38.201,0,4,23.765,4.339,6.06,0,0,0
37.697,0,4,22.529,4.789,6.259,0,0,0
39.079,0,4,24.054,4.497,6.318,0,0,0
39.496,0,4,24.489,4.589,6.156,0,0,0
39.224,0,4,24.618,4.408,5.806,0,0,0
38.936,0,4,24.575,4.269,5.843,0,0,0
37.001,0,4,23.054,4.324,5.537,0,0,0
37.368,0,4,22.491,4.339,5.908,0,0,0
36.578,0,4,21.784,4.597,5.697,0,0,0
39.222,0,4,23.778,4.597,6.083,0,0,0
35.935,0,4,21.413,4.336,5.969,0,0,0
37.226,0,4,22.344,4.271,6,0,0,0
39.269,0,4,23.219,4.754,6.222,0,0,0
39.602,0,4,25.188,4.515,5.919,0,0,0
37.231,0,4,23.445,4.43,5.504,0,0,0
36.87,0,4,22.831,4.423,5.836,0,0,0
40.118,0,4,24.699,4.432,5.975,0,0,0
35.748,0,4,20.521,4.608,6.4,0,0,0
36.85,0,4,21.83,4.449,6.087,0,0,0
40.862,0,4,25.007,4.294,6.687,0,0,0
41.839,0,4,25.786,4.516,6.647,0,0,0
39.313,0,4,23.595,4.145,6.725,0,0,0
39.226,0,4,24.254,3.986,6.777,0,0,0
42.799,0,4,26.817,4.457,6.768,0,0,0
42.804,0,4,26.897,4.231,7.04,0,0,0
40.724,0,4,24.364,4.091,7.062,0,0,0
41.717,0,4,25.516,4.26,7.206,0,0,0
45.185,0,4,29.426,4.003,7.026,0,0,0
42.209,0,4,25.23,4.551,7.272,0,0,0
42.291,0,4,25.537,4.191,7.546,0,0,0
43.204,0,4,27.11,4.002,7.013,0,0,0
43.738,0,4,26.672,4.372,7.655,0,0,0
41.845,0,4,25.794,3.98,6.99,0,0,0
43.709,0,4,26.932,4.588,7.186,0,0,0
45.367,0,4,28.552,4.15,7.7,0,0,0
45.566,0,4,28.287,4.281,8.005,0,0,0
43.012,0,4,25.7,4.222,7.912,0,0,0
43.307,0,4,25.187,4.512,7.929,0,0,0
46.323,0,4,28.843,4.455,7.727,0,0,0
45.103,0,4,27.564,4.157,7.741,0,0,0
42.686,0,4,25.541,4.036,7.896,0,0,0
41.109,0,4,24.735,3.902,7.576,0,0,0
42.853,0,4,26.104,4.164,7.493,0,0,0
43.687,0,4,26.796,4.001,7.682,0,0,0
43.861,0,4,26.387,4.091,8.258,0,0,0
42.126,0,4,25.404,4.075,7.779,0,0,0
44.151,0,4,27.175,4.468,7.269,0,0,0
41.885,0,4,24.491,4.393,7.908,0,0,0
42.065,0,4,24.628,3.898,8.358,0,0,0
44.788,0,4,26.777,4.062,8.495,0,0,0
40.941,0,4,23.181,4.044,8.291,0,0,0
45.713,0,4,27.4,3.971,8.615,0,0,0
47.059,0,4,28.98,4.159,8.422,0,0,0
43.403,0,4,24.602,4.208,8.347,0,0,0
45.482,0,4,25.88,4.343,9.464,0,0,0
48.33,0,4,29.171,4.801,8.409,0,0,0
42.856,0,4,24.022,4.61,8.74,0,0,0
41.655,0,4,25.076,3.985,7.781,0,0,0
41.773,0,4,24.859,4.38,7.283,0,0,0
41.524,0,4,24.444,4.128,7.986,0,0,0
45.732,0,4,27.842,4.901,8.043,0,0,0
42.232,0,4,25.162,4.149,8.083,0,0,0
41.27,0,4,22.661,4.112,8.335,0,0,0
44.828,0,4,26.339,4.13,8.902,0,0,0
44.343,0,4,27.468,4.072,7.751,0,0,0
42.183,0,4,24.857,4.068,8.353,0,0,0
38.663,0,4,22.507,4.189,6.925,0,0,0
39.765,0,4,23.75,4.107,7.114,0,0,0
39.279,0,4,22.157,4.642,7.697,0,0,0
43.26,0,4,25.555,4.048,8.273,0,0,0
41.923,0,4,24.033,4.645,7.602,0,0,0
43.545,0,4,25.047,4.279,8.31,0,0,0
42.241,0,4,24.339,4.502,8.155,0,0,0
40.829,0,4,23.941,3.991,7.827,0,0,0
42.546,0,4,24.966,4.266,8.115,0,0,0
39.497,0,4,23.456,4.19,7.189,0,0,0
40.072,0,4,24.239,3.893,7.372,0,0,0
38.648,0,4,23.338,4.376,6.585,0,0,0
39.301,0,4,22.28,4.174,8.09,0,0,0
39.336,0,4,22.631,3.922,7.801,0,0,0
41.255,0,4,23.843,4.068,8.058,0,0,0
46.734,0,4,28.623,4.659,8.076,0,0,0
47.034,0,4,26.671,4.522,9.814,0,0,0
48.11,0,4,29.311,4.098,8.898,0,0,0
50.502,0,4,29.335,4.879,9.762,0,0,0
59.208,0,4,39.056,4.159,9.791,0,0,0
52.536,0,4,31.091,3.937,10.736,0,0,0
51.651,0,4,31.072,4.967,9.072,0,0,0
53.587,0,4,31.854,4.117,10.665,0,0,0
51.818,0,4,31.311,4.2,9.485,0,0,0
49.976,0,4,29.195,4.777,9.95,0,0,0
49.821,0,4,28.426,5.112,9.649,0,0,0
51.326,0,4,30.517,3.963,10.319,0,0,0
47.156,0,4,27.929,4.263,8.95,0,0,0
52.566,0,4,31.727,4.372,9.974,0,0,0
45.726,0,4,27.477,3.942,8.585,0,0,0
47.708,0,4,29.028,4.111,8.637,0,0,0
51.187,0,4,31.045,3.937,9.513,0,0,0
52.037,0,4,31.236,4.672,9.623,0,0,0
49.824,0,4,30.169,4.51,9.239,0,0,0
51.374,0,4,32.259,3.993,9.013,0,0,0
47.834,0,4,28.058,4.103,9.384,0,0,0
47.414,0,4,28.622,4.28,8.857,0,0,0
49.131,0,4,29.541,4.217,9.222,0,0,0
47.025,0,4,28.595,4.552,7.956,0,0,0
50.823,0,4,31.304,4.295,8.65,0,0,0
50.639,0,4,30.388,4.008,9.813,0,0,0
49.669,0,4,30.164,4.081,9.275,0,0,0
48.949,0,4,28.143,4.194,10.059,0,0,0
47.549,0,4,28.855,4.113,8.899,0,0,0
48.381,0,4,29.047,4.188,8.969,0,0,0
46.514,0,4,28.034,3.916,8.673,0,0,0
43.71,0,4,25.948,4.359,8.332,0,0,0
41.542,0,4,26.077,4.152,6.772,0,0,0
44.025,0,4,27.692,4.259,7.051,0,0,0
44.549,0,4,27.232,4.655,7.576,0,0,0
43.292,0,4,26.388,4.36,7.642,0,0,0
45.752,0,4,28.637,4.042,7.805,0,0,0
48.459,0,4,30.256,4.475,8.313,0,0,0
