Cost reduction,Optimisation time (ms),Number iterations,Average num dofs,Average percent derivs,Total time derivs (ms),Total time keypoints (ms),Total time FD (ms),Total time interpolation (ms),Total time cost derivs (ms),Total time BP (ms),Total time FP (ms)
0.10276,1117.45,6,10,50,804,0,758,0,43,63,204
0.150125,1898.73,6,10,100,1601,0,1507,0,89,59,199
0.371117,1452.77,6,10,66.6667,1156,0,1095,0,59,61,200
0.213136,1582.01,6,10,66.6667,1240,0,1168,0,69,61,240
0.243382,1403.76,6,10,66.6667,1104,0,1044,0,58,59,202
0.221469,1166.99,6,10,50,874,0,825,0,46,59,196
0.157631,1276.35,6,10,66.6667,997,0,934,0,62,60,183
0.351493,1731.18,6,10,83.3333,1432,0,1357,0,71,59,199
0.150233,1687,6,10,83.3333,1390,0,1313,0,73,59,199
0.221041,2021.06,6,10,100,1722,0,1631,0,87,60,200
0.150692,1683.74,6,10,83.3333,1388,0,1311,0,72,60,197
0.23718,1758.04,6,10,83.3333,1455,0,1378,0,71,59,202
0.183355,1671.88,6,10,83.3333,1381,0,1304,0,74,60,192
0.415491,1462.34,6,10,83.3333,1197,0,1121,0,70,60,169
0.293023,1727.24,6,10,83.3333,1436,0,1360,0,71,60,194
0.227373,1789.7,6,10,83.3333,1479,0,1399,0,77,63,207
0.199912,1983.81,6,10,83.3333,1625,0,1529,0,91,84,234
0.199851,1357.74,6,10,50,994,0,935,0,56,79,248
0.654158,1526.98,6,10,66.6667,1183,0,1108,0,72,83,225
0,633.733,6,10,16.6667,296,0,277,0,18,75,230
0.255214,2012.63,6,10,83.3333,1651,0,1556,0,90,83,238
0.208682,1993.02,6,10,83.3333,1632,0,1538,0,90,84,234
0.345522,1982.87,6,10,83.3333,1630,0,1535,0,90,84,229
0.245592,1943.14,6,10,83.3333,1590,0,1495,0,91,83,228
0.966444,1699.69,6,10,100,1368,0,1255,0,109,85,207
0.837761,1358.3,6,10,83.3333,1052,0,958,0,90,84,188
0.382689,2023.99,6,10,83.3333,1658,0,1563,0,90,84,239
0.330936,2031.62,6,10,83.3333,1661,0,1567,0,90,88,241
0.134382,1986,6,10,83.3333,1623,0,1528,0,90,85,233
0.0853894,1653.07,6,10,66.6667,1291,0,1216,0,72,84,239
0.318016,1516.45,6,10,66.6667,1168,0,1092,0,72,83,227
0.20603,2038.07,6,10,83.3333,1676,0,1582,0,90,84,237
0.461607,1379.27,6,10,66.6667,1043,0,966,0,73,85,214
0.131021,1977.78,6,10,83.3333,1615,0,1520,0,91,84,235
0.176849,884.908,6,10,33.3333,541,0,503,0,36,81,229
0.285454,1214.43,6,10,50,861,0,805,0,53,86,230
0.312737,2069.06,6,10,83.3333,1710,0,1613,0,92,83,233
0.350304,2011.33,6,10,83.3333,1633,0,1538,0,90,84,250
0.231058,2070.77,6,10,83.3333,1707,0,1612,0,90,84,234
0.397768,1578.32,6,10,66.6667,1224,0,1148,0,72,81,232
0.04084,1201.06,6,10,50,853,0,796,0,54,83,228
0.238843,1168.94,6,10,50,819,0,762,0,54,85,230
0.568224,1740.17,6,10,83.3333,1408,0,1313,0,91,86,209
0.251094,2092.58,6,10,83.3333,1723,0,1628,0,91,87,241
0.166362,1983.6,6,10,83.3333,1621,0,1525,0,91,83,236
0.534998,2040.16,6,10,83.3333,1674,0,1579,0,90,83,240
0.294087,1677.1,6,10,66.6667,1312,0,1237,0,73,84,241
0.194851,897.457,6,10,33.3333,558,0,519,0,37,79,226
0.297994,2025.02,6,10,83.3333,1663,0,1570,0,89,83,237
0.447821,1929.53,6,10,83.3333,1571,0,1476,0,91,87,232
0.636526,1602.37,6,10,83.3333,1268,0,1173,0,91,84,212
0.126379,1609.29,6,10,66.6667,1251,0,1175,0,72,83,235
0.270553,1342.01,6,10,50,987,0,930,0,54,80,238
0.329028,1700.01,6,10,66.6667,1331,0,1255,0,72,85,244
0.3452,1664.62,6,10,66.6667,1302,0,1226,0,72,83,238
0.271481,1444.15,6,10,66.6667,1105,0,1029,0,73,84,217
0.370999,1662.64,6,10,66.6667,1304,0,1229,0,72,83,234
0.453208,2027.25,6,10,83.3333,1663,0,1568,0,90,84,238
0.304501,2049.44,6,10,83.3333,1678,0,1583,0,90,84,240
0.135415,882.842,6,10,33.3333,533,0,495,0,36,83,232
0.156091,1987.31,6,10,83.3333,1626,0,1533,0,90,84,235
0.402038,2043.72,6,10,83.3333,1675,0,1580,0,90,84,240
0.174911,2012.27,6,10,83.3333,1642,0,1547,0,91,86,241
0.256182,1712.06,6,10,66.6667,1344,0,1267,0,73,83,242
0.3157,2340.83,6,10,100,1978,0,1864,0,109,85,231
0.333784,2054.53,6,10,83.3333,1678,0,1580,0,94,87,245
0.857275,1573.01,6,10,66.6667,1198,0,1115,0,80,88,249
0.312481,2116.72,6,10,83.3333,1744,0,1644,0,97,85,245
0.348745,2113.2,6,10,83.3333,1732,0,1628,0,101,94,245
0.302509,2415.9,6,10,100,2024,0,1905,0,113,88,260
0.381206,2078.61,6,10,83.3333,1700,0,1603,0,92,88,248
0.221977,1942.37,6,10,66.6667,1520,0,1432,0,85,88,292
0.215247,1874.16,6,10,66.6667,1466,0,1377,0,85,92,275
0.139835,2145.7,6,10,83.3333,1772,0,1665,0,103,89,243
0.286891,1742.6,6,10,66.6667,1377,0,1293,0,80,87,239
0.241748,1993.98,6,10,83.3333,1630,0,1530,0,95,87,235
0.389903,1933.54,6,10,83.3333,1578,0,1480,0,96,89,224
0.170364,1200.72,6,10,50,856,0,798,0,54,85,223
0.311701,2154.41,6,10,83.3333,1738,0,1637,0,96,96,276
0.332018,1830.64,6,10,83.3333,1478,0,1377,0,98,89,223
0.628226,1562.28,6,10,66.6667,1211,0,1132,0,77,89,223
0.320068,1753.86,6,10,66.6667,1376,0,1298,0,75,87,249
0.197502,2000.89,6,10,83.3333,1631,0,1536,0,91,87,240
0.221902,1722.26,6,10,66.6667,1356,0,1279,0,73,85,239
0.341394,1434.65,6,10,66.6667,1096,0,1020,0,73,87,217
0.18683,1664.91,6,10,66.6667,1299,0,1220,0,75,84,241
0.305547,2080.81,6,10,83.3333,1713,0,1617,0,92,84,240
0.380845,1987.84,6,10,83.3333,1620,0,1523,0,95,89,237
0.267068,2088.07,6,10,83.3333,1704,0,1606,0,95,90,251
0.405845,2047.61,6,10,83.3333,1662,0,1563,0,95,94,249
0.306649,2536.39,6,10,100,2149,0,2030,0,117,90,249
0.244661,2091.59,6,10,83.3333,1721,0,1621,0,95,88,240
0.298527,2132.09,6,10,83.3333,1755,0,1656,0,97,88,247
0.229415,2094.64,6,10,83.3333,1718,0,1618,0,96,89,247
0.352797,965.252,6,10,33.3333,614,0,574,0,38,80,236
0.172989,2055.15,6,10,83.3333,1681,0,1582,0,95,89,244
0.219633,2086.34,6,10,83.3333,1703,0,1600,0,100,92,248
0.362223,2088.79,6,10,83.3333,1707,0,1609,0,95,89,250
0.35623,2087.66,6,10,83.3333,1708,0,1611,0,96,89,248
0.259809,1732.96,6,10,66.6667,1369,0,1292,0,76,87,234
