baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
10669.6,0.646943,100,1894.26,5,3392.95,0.781966,20.0357,383.208,6,1161.93,0.754623,0.142857,14.1195,6,1706.8,0.866479,2.04082,69.4813,7,1046.19,0,0.718254,11.1357,3,2081.75,0.767523,3.68783,127.702,6,
9998.79,0.90982,100,1802.02,5,2951.57,0.902843,20.0357,384.123,5,1002.95,0.85536,0.142857,11.2482,5,1302.83,0.939722,1.38651,53.0962,5,1059.14,0,0.650794,17.565,3,1557.32,0.938597,3.37063,109.289,5,
14298.1,0.829115,100,1677.19,8,2819.19,0.411197,20.0357,384.671,5,989.578,0.793017,0.142857,11.8648,5,1635.16,0.864848,2.09297,81.2794,7,1054.9,0,0.742063,14.2947,3,2335.54,0.861059,6.47959,174.407,7,
11726.2,0.454743,100,1773.02,6,3336.71,0.865011,20.0357,369.165,6,1211.82,0.720932,0.142857,11.9524,5,1187.48,0.790834,1.2127,37.0516,5,1029.27,0,0.809524,11.648,3,1512.21,0.46146,3.06349,93.2306,5,
9718.75,0.790085,100,1763.56,5,3585.91,0.861432,20.0357,367.616,7,1086.9,0.791839,0.142857,10.9723,7,1377.17,0.7415,2.44365,94.492,5,1052.99,0,1.61111,18.222,3,2354.58,0.812483,8.09722,232.285,6,
13951.4,0.701112,100,1638.79,8,2762.47,0.785103,20.0357,375.752,5,1023.62,0.828956,0.142857,11.3168,5,1358,0.686611,2.09444,82.0666,5,1019.98,0,0.619048,13.306,3,1991.21,0.926014,6.16667,171.763,6,
9404.33,0.834481,100,1694.45,5,3286.72,0.717111,20.0357,364.684,6,1448.37,0.666009,0.142857,10.9968,6,1027.1,0.299231,1.09524,32.463,4,1003.22,0,0.801587,11.0383,3,1245.76,0.257216,2.37698,87.862,4,
13851.2,0.771494,100,1612.34,8,2821.69,0.808312,20.0357,361.804,5,917.508,0.311037,0.142857,11.5635,4,1445.85,0.659205,2.32222,86.3294,5,1032.5,0,1.38492,21.682,3,1808.61,0.88344,5.10635,156.457,5,
5735.21,0.048616,100,1765.69,3,2890.4,0.725138,20.0357,382.066,5,1022.35,0.675952,0.142857,11.3346,5,1487.55,0.729326,1.87698,74.2265,6,989.56,0,0.646825,10.271,3,2033.09,0.923862,5.36045,164.795,6,
12524.4,0.875062,100,1644.02,7,3218.33,0.795769,20.0357,368.609,6,1381.64,0.654788,0.142857,11.775,7,1296.62,0.689445,2.35397,82.2706,5,980.686,0,0.626984,11.2187,3,1619.73,0.729203,3.89762,131.762,5,
13737.2,0.750074,100,1620.38,8,2797.77,0.612049,20.0357,375.269,5,803.773,0.137642,0.142857,11.6447,4,1681.25,0.858455,1.92659,85.5307,6,982.886,0,0.722222,12.514,3,2868.64,0.857615,6.64236,203.632,8,
13579,0.710356,100,1550.52,8,2740.77,0.875231,20.0357,359.342,5,1083.08,0.766466,0.142857,11.0692,5,1132.29,0.91279,1.16825,38.9056,5,963.801,0,0.678571,9.048,3,1379.21,0.911979,2.60635,88.2672,5,
10829.3,0.876891,100,1610.72,6,2246.78,0.261266,20.0357,351.886,4,894.49,0.283617,0.142857,10.3635,4,1331.15,0.844759,1.84524,69.9815,6,970.96,0,0.650794,10.525,3,2278.09,0.861214,5.23611,170.583,6,
13647.4,0.631686,100,1601.11,8,3504.08,0.846901,20.0357,349.51,7,669.186,0.231577,0.142857,11.5673,4,1786.4,0.570555,2.86735,87.3476,7,967.112,0,0.662698,9.72133,3,2279.92,0.876827,6.8373,179.108,7,
10516.5,0.845157,100,1599.28,6,2692.1,0.708816,20.0357,362.494,5,916.925,0.694125,0.142857,12.117,5,1283.41,0.864517,1.61667,77.0824,5,963.719,0,0.678571,8.24567,3,1742.78,0.726704,3.89048,172.953,5,
12751.8,0.842306,100,1923.58,6,2037.8,0.346158,20.0357,351.65,4,853.033,0.309533,0.142857,10.001,4,1058.06,0.757741,1.94524,68.814,5,967.973,0,0.571429,10.1973,3,1439.04,0.713077,3.2619,89.5246,5,
11191.6,0.763553,100,1684.32,6,2902.51,0.473995,20.0357,343.732,5,903.739,0.306434,0.142857,10.7478,4,1355.25,0.661481,1.2381,45.3646,5,967.738,0,0.650794,11.368,3,1487.12,0.711409,2.4373,72.175,5,
13910.3,0.820334,100,1594.7,8,3057.1,0.754118,20.0357,356.195,6,1141.22,0.912563,0.142857,10.5143,7,1530.96,0.887156,2.13946,70.8984,7,977.951,0,0.746032,13.211,3,2774.18,0.856898,7.34177,211.061,8,
2465.88,0,100,504.132,3,1270.01,0,20.0357,105.249,3,982.252,0.734288,0.142857,11.6883,6,981.916,0,1.03968,8.00667,3,977.918,0,0.980159,11.2513,3,1003.13,0,1.76984,17.0237,3,
12270.9,0.645397,100,1620.57,7,3528.64,0.824677,20.0357,350.728,7,1074.67,0.888792,0.142857,11.4895,6,1265,0.749676,2.20794,74.736,5,977.362,0,0.690476,10.499,3,1999.83,0.816329,6.74405,176.594,6,
12028,0.43003,100,1806.22,6,2030.57,0.328929,20.0357,349.8,4,1027.26,0.542084,0.142857,10.8452,5,1028.61,0.321189,1.06151,35.4435,4,993.364,0,0.801587,13.8957,3,2056.75,0.838657,4.19048,112.537,7,
9249.67,0.90139,100,1650.2,5,3129.34,0.643617,20.0357,342.085,6,1593.99,0.646307,0.142857,13.6371,7,1271.48,0.694029,1.22024,34.7247,6,967.29,0,0.650794,8.83733,3,1618,0.706507,3.21362,91.4347,6,
11167,0.69394,100,1697.03,6,3857.22,0.853756,20.0357,369.85,8,819.746,0.248906,0.142857,16.8528,4,1868.61,0.835756,2.03288,79.5387,7,991.997,0,0.880952,14.636,3,2244.83,0.796635,5.64286,171.114,7,
7628.73,0.333939,100,1688.41,4,2872.37,0.579147,20.0357,363.364,5,1148.83,0.895719,0.142857,14.4905,6,1153.09,0.482281,1.19444,33.5212,5,983.376,0,0.825397,13.0487,3,1135.9,0.326227,2.12401,61.6465,4,
13691.2,0.856511,100,1589.83,8,3560.8,0.72597,20.0357,346.871,7,936.494,0.362709,0.142857,25.4503,4,1366.34,0.726476,1.88016,78.4148,5,970.659,0,0.670635,9.84033,3,1351.91,0.270891,4.22917,144.347,4,
10499.5,0.559968,100,1584.47,6,2681.93,0.861818,20.0357,349.989,5,1238.43,0.887599,0.142857,12.0661,7,1136.03,0.895294,1.14762,36.152,5,969.352,0,0.670635,9.27167,3,1543.94,0.904639,2.99841,120.655,5,
10563.6,0.827875,100,1626.3,6,2622.57,0.864541,20.0357,365.237,5,991.773,0.815362,0.142857,12.8378,6,982.87,0.716581,2.85079,83.945,5,985.491,0,0.869048,12.644,3,1958.42,0.852951,6.39683,174.551,6,
12251.7,0.731548,100,1598.77,7,1294.47,0,20.0357,115.762,3,1177.62,0.568919,0.142857,12.2454,5,992.239,0,1.34127,14.6527,3,994.311,0,1.00397,18.2547,3,1077.65,0,3.52381,43.9167,3,
8633.17,0.878369,100,1542.91,5,2694.4,0.909211,20.0357,359.4,5,1090.27,0.859163,0.142857,14.592,6,1131.39,0.630829,1.42302,45.4368,5,977.253,0,1.11111,12.1877,3,1530.68,0.840152,3.47222,126.445,5,
13377.1,0.755446,100,1555.77,8,2707.59,0.645265,20.0357,364.22,5,1066.5,0.83229,0.142857,15.3727,6,1486.08,0.387365,1.59762,70.2898,5,966.935,0,0.670635,8.703,3,1741.41,0.666157,3.93413,175.757,5,
10113.3,0.806477,100,1809.35,5,3811.87,0.734956,20.0357,375.548,7,960.736,0.336472,0.142857,13.2157,4,1334.82,0.764537,1.39286,49.17,6,987.001,0,1.09524,13.995,3,1720.71,0.708819,3.5496,93.6757,6,
