baseline,baseline,baseline,baseline,baseline,setInterval5,setInterval5,setInterval5,setInterval5,setInterval5,setInterval20,setInterval20,setInterval20,setInterval20,setInterval20,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,adaptive_accel,iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval5_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,setInterval20_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_jerk_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,adaptive_accel_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,iterative_error_bpp,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
14.1557,0.358073,100,1.69187,4,8.85813,0.436877,20.0455,0.387814,4,7.92542,0.443374,5.04545,0.141473,4,11.7639,0.597435,1.67273,0.143589,6,7.67303,0.403388,1.45455,0.12656,4,7.73798,0.436501,0.787879,0.132037,4,5.27507,0.386457,20.0455,0.390109,5,4.59531,0.48393,5.04545,0.144442,5,4.8079,0.533501,1.58788,0.129516,5,4.56583,0.43549,1.7,0.131264,5,4.76627,0.469353,0.818182,0.136996,5,
13.8764,0.34487,100,1.65109,4,10.4113,0.346408,20.0455,0.375798,5,9.54659,0.349135,5.04545,0.14006,5,7.74016,0.390265,1.43636,0.127355,4,7.70264,0.299029,1.50303,0.13469,4,8.04989,0.342443,1.36061,0.164487,4,5.46583,0.346272,20.0455,0.37664,5,4.12067,0.336685,5.04545,0.138906,5,4.10099,0.30991,1.5303,0.129074,5,4.33014,0.336002,1.4697,0.114042,5,4.60677,0.331955,0.706061,0.124219,5,
14.2241,0.38357,100,1.73476,4,8.82256,0.364454,20.0455,0.401559,4,9.82103,0.553041,5.04545,0.148264,5,7.71734,0.344619,1.5,0.125539,4,7.7242,0.372605,1.58788,0.131148,4,7.80918,0.419102,0.927273,0.135458,4,5.58568,0.384286,20.0455,0.394335,5,4.49171,0.37862,5.04545,0.150136,5,5.39637,0.449369,1.59697,0.119821,6,4.69474,0.381839,1.71515,0.125521,5,5.17437,0.480956,1.24848,0.144346,6,
14.6516,0.172425,100,1.81478,4,8.97171,0.206897,20.0455,0.409123,4,7.96142,0.168917,5.04545,0.150552,4,8.03429,0.156299,2.16061,0.156292,4,7.77793,0.180955,1.91515,0.149332,4,8.11197,0.172284,1.79394,0.212196,4,5.47714,0.232925,20.0455,0.444429,5,4.55752,0.0862313,5.04545,0.151134,5,4.1556,0.0882952,1.91515,0.14133,5,4.24178,0.0881712,1.46061,0.116868,5,4.35355,0.135889,0.775758,0.143859,5,
14.8694,0.285044,100,1.85185,4,11.2519,0.28327,20.0455,0.415469,5,7.93693,0.228571,5.04545,0.149887,4,8.05103,0.150513,2.51515,0.193624,4,8.06246,0.0663988,2.16061,0.17344,4,8.17132,0.183927,2.55758,0.214653,4,5.30966,0.265564,20.0455,0.418292,5,4.97621,0.116356,5.04545,0.146466,6,4.43544,0.174005,2.13939,0.15815,5,4.5226,0.259705,1.97879,0.14988,5,4.09109,0.0993075,0.869697,0.145742,5,
14.3633,0.248704,100,1.74218,4,9.00712,0.297908,20.0455,0.425939,4,7.96004,0.297097,5.04545,0.149448,4,8.12137,0.257967,3.35152,0.204649,4,8.23997,0.24408,2.39697,0.170694,4,11.7231,0.283806,1.54242,0.182848,6,5.30473,0.305857,20.0455,0.41666,5,4.56436,0.315803,5.04545,0.150026,5,4.68799,0.23744,3.15758,0.196315,5,4.69684,0.240918,2.47879,0.167243,5,4.77833,0.347063,1.3697,0.169712,5,
15.7035,0.394829,100,1.7033,5,10.4376,0.472113,20.0455,0.393714,5,7.65434,0.495037,5.04545,0.145649,4,7.59766,0.491383,2.01212,0.168291,4,7.99067,0.560464,2.07273,0.174954,4,7.45712,0.364838,0.975758,0.120932,4,5.23501,0.519731,20.0455,0.39894,5,4.01779,0.526232,5.04545,0.155417,5,4.40996,0.515963,1.66364,0.138054,5,4.89751,0.455097,1.56667,0.138304,6,4.23528,0.482056,0.99697,0.133847,5,
15.1023,0.342975,100,1.93697,4,11.3598,0.422412,20.0455,0.444769,5,8.01888,0.4356,5.04545,0.157647,4,7.90743,0.253998,2.52121,0.193474,4,7.80821,0.268424,2.06667,0.165835,4,9.95439,0.416225,1.15758,0.16392,5,6.03335,0.363195,20.0455,0.445096,5,4.59531,0.244135,5.04545,0.158384,5,4.48958,0.274847,1.9,0.164351,5,5.01991,0.285264,1.83939,0.153012,6,4.96538,0.295034,0.627273,0.127762,6,
14.6,0.329797,100,1.82393,4,8.94996,0.324757,20.0455,0.410314,4,7.93732,0.339123,5.04545,0.146393,4,7.73862,0.325605,1.35152,0.13078,4,6.91274,0,1.27576,0.111232,4,7.93924,0.405402,1.29394,0.163138,4,4.49431,0.294541,20.0455,0.395059,5,4.03893,0.301946,5.04545,0.143301,5,4.49484,0.296885,1.44848,0.120367,5,4.09188,0.282345,1.42727,0.118748,5,4.29487,0.164674,1.07576,0.167024,5,
