baseline,baseline,baseline,baseline,baseline,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,setInterval_1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
4338.78,0.0569272,100,522.22,6,2053.07,0.064978,0.142857,4.4684,6,1676.44,0.0559946,2.13016,16.5566,6,1882.98,0.0586453,4.29048,48.3934,6,
4055.41,0.0482278,100,492.458,6,2159.87,0.0543863,0.142857,4.5388,6,1662.54,0.0484826,2.10251,16.5915,6,2401.12,0.0467995,7.44841,86.342,6,
4585.01,0.067057,100,503.106,6,1615.25,0.0667551,0.142857,4.7828,6,2427.75,0.0619309,2.10317,16.063,6,2272.98,0.0650417,2.94603,35.38,6,
4155.14,0.0799881,100,491.447,6,1619.27,0.0726694,0.142857,4.5644,6,1519.97,0.0781102,2.08069,14.7618,6,2201.43,0.0799349,6.70238,70.3065,6,
4465.25,0.0597421,100,474.96,6,1877.65,0.0640903,0.142857,4.4716,6,1929.02,0.0487323,2.09722,14.16,6,2195.47,0.0545953,1.27249,16.038,6,
4436.99,0.0381836,100,453.334,6,3024.69,0.039699,0.142857,4.2298,6,1977.46,0.0383501,2.05079,13.5136,6,1836.62,0.03623,3.98254,43.594,6,
4653.72,0.205665,100,500.328,6,2520.85,0.17923,0.142857,4.45825,6,2588.6,0.165028,2.41349,20.7752,6,2802.53,0.17556,5.15238,65.9318,6,
4684.36,0.176168,100,498.545,6,3135.22,0.230136,0.142857,4.26667,6,2745.93,0.229324,2.21726,22.9948,6,2748.98,0.176699,9.30635,102.516,6,
3954.77,0.040443,100,452.988,6,2191.91,0.0405924,0.142857,4.1712,6,1726.27,0.0403682,2.04683,12.9916,6,1828.26,0.0404727,2.9254,31.5398,6,
4524.37,0.0975687,100,462.817,6,2686.21,0.102134,0.142857,4.2944,6,2302.72,0.101478,2.10384,15.0358,6,2591.03,0.0913574,7.60847,91.2308,6,
4728.16,0.155518,100,451.507,6,2270.04,0.133634,0.142857,4.3964,6,2600.17,0.151996,2.44921,26.8546,6,2640.07,0.15461,2.36984,39.5654,6,
4207.67,0.134089,100,409.767,6,3790.51,0.134089,0.142857,4.393,6,3784.56,0.134089,2.04365,11.258,6,3768.16,0.134089,0.349206,7.424,6,
3944.44,5.15879,100,419.378,6,2176.82,1.32255,0.142857,4.3172,6,1679.99,1.36823,2.49048,21.8306,6,2562.24,3.1471,4.97421,81.451,6,
4737.4,0.141102,100,478.623,6,2374.88,0.102178,0.142857,4.4812,6,1696.94,0.11679,2.16825,16.3858,6,2711.6,0.132348,8.69524,95.9818,6,
4476.96,0.0713378,100,417.246,6,3410.69,0.0713639,0.142857,4.0005,6,3229.15,0.0713373,2.04365,11.613,6,3067.86,0.0713482,0.34127,8.277,6,
4218.66,0.0966917,100,435.725,6,3339.66,0.0967047,0.142857,4.43367,6,3418.22,0.0966863,2.04365,12.541,6,3397.04,0.0967373,0.400794,7.7005,6,
4094.15,0.0757261,100,481.741,6,1641.58,0.0722502,0.142857,4.1848,6,2204.77,0.0771031,2.09127,14.389,6,2147.71,0.0745351,6.15079,70.5755,6,
4129.54,0.0439764,100,486.736,6,1588.57,0.0394068,0.142857,4.446,6,1742.17,0.0433769,2.04841,13.2692,6,2472.53,0.0439557,5.96693,56.8892,6,
4784.34,0.236924,100,462.103,6,1847.9,0.157693,0.142857,4.691,6,2181.13,0.185423,2.16508,15.7696,6,3536.27,0.219524,7.10516,75.5222,6,
4989.75,0.118463,100,474.947,6,2630.93,0.138819,0.142857,4.8935,6,2160.25,0.12198,2.39153,22.1413,6,2555.8,0.124823,6.65397,67.7764,6,
4653.53,0.0957378,100,444.094,6,2715.33,0.0899455,0.142857,4.6598,6,2315.37,0.0913485,2.31508,18.4374,6,2261.01,0.0946227,1.55079,21.4232,6,
4413.82,1.71669,100,434.123,6,1568.38,0.518189,0.142857,3.9816,6,1595.29,1.49564,2.37698,24.808,6,1814.9,1.56027,3.96032,37.509,6,
5191.25,0.031449,100,474.192,6,1549.78,0.0293956,0.142857,4.342,6,1824.09,0.0267339,2.06085,14.4042,6,2026.26,0.0274321,2.57143,31.0598,6,
