baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
6030.31,0,100,1191.84,3,3609.1,0.347984,20.0357,510.389,3,2258.42,0.0641215,0.142857,12.532,3,2170.34,0.0769939,1.0369,34.507,3,2500.13,0.0227048,6.84167,246.994,3,2948.04,0.0655508,8.44524,317.677,3,
9857.92,0.0584081,100,2505.71,3,3791.24,0.0508869,20.0357,508.041,3,2166.34,0,0.142857,8.28767,3,2315.1,0.14824,1.05119,33.9677,3,2087.39,0.110045,3.81667,293.136,3,3217.34,0.0488177,10.0952,331.344,3,
13114.5,0.197527,100,2659.69,4,3418.68,0.00715325,20.0357,480.923,3,1994.57,0.281627,0.142857,20.2777,3,1753.34,0.143395,1.0373,49.5997,3,1949.75,0.00172128,2.06429,101.297,3,2481.14,0,7.05476,131.4,3,
5657.38,0,100,1181.14,3,2818.23,0,20.0357,247.156,3,2093.54,0,0.142857,6.87567,3,2117.57,0,1.03571,17.2713,3,2406.14,0.000778897,2.09167,107.987,3,2541.06,0,9.7,154.229,3,
8998.94,0.0360689,100,2348.3,3,3375.9,0.0377264,20.0357,484.441,3,2064.33,0.172927,0.142857,11.374,3,2157.98,0.198977,1.07738,41.29,3,2686.23,0.00598726,3.0131,140.284,3,2775.57,0.00234373,8.83571,287.255,3,
12121.8,0.433338,100,3574.98,3,4298.45,0.499304,20.0357,538.374,4,1411.48,0.770161,0.142857,22.5437,3,1684.13,0.554012,1.06825,59.019,3,2297.31,0.448009,4.34524,219.613,3,2431.31,0.59308,6.675,284.968,3,
9956.21,0.110708,100,2681.81,3,3078.73,0,20.0357,275.136,3,2141.56,0.0625482,0.142857,14.9263,3,1902.06,0.315735,1.04167,37.297,3,2332.99,0.00337079,4.40476,208.024,3,2734.27,0.0389191,9.93929,363.288,3,
5782.43,0,100,1186.61,3,2896.31,0,20.0357,235.417,3,2192.69,0,0.142857,6.02,3,2216.85,0,1.03571,14.8887,3,2073.8,0.210961,2.29702,170.01,4,2600.29,0,9.38571,140.724,3,
13002.5,0.48245,100,2715.63,4,4297.21,0.296903,20.0357,550.676,4,1779.49,0.128699,0.142857,12.9493,3,1853.23,0.181969,1.03929,34.7607,3,2128.6,0.59784,2.87976,204.104,4,2615.72,0.208834,9.73452,288.899,3,
8551.85,0.718852,100,2362.75,3,3657.39,0.288549,20.0357,676.842,3,2312.89,0.800883,0.142857,16.4137,4,1990.32,0,1.03571,13.9627,3,2066.27,0,1.53095,32.555,3,2431.08,0.396096,6.96111,375.483,3,
5494.43,0.00297244,100,1099.31,3,3447.63,0.0926866,20.0357,452.643,3,2109.95,0,0.142857,7.58467,3,2224.84,0.311617,1.31667,50.7647,3,2276.48,0.0105034,5.29048,210.44,3,2899.09,0.14046,10.2107,296.957,3,
5715.86,0,100,1161.19,3,3571.81,0.0522536,20.0357,479.724,3,2052.38,0.165391,0.142857,12.4703,3,1836.77,0.0294343,1.04167,31.6917,3,2102.29,0.0141642,4.28095,171.677,3,3072.16,0.0229499,10.1036,334.656,3,
5350.72,0,100,1113.39,3,2646.1,0,20.0357,226.212,3,1978.14,0,0.142857,12.0257,3,2019.46,0,1.0381,17.337,3,1812.87,0.00229414,1.95119,83.0447,3,2430.51,0,8.65,155.759,3,
5551.6,0,100,1151.14,3,2770.66,0,20.0357,236.11,3,2068.78,0,0.142857,11.2243,3,2088.08,0,1.03571,15.961,3,2058.64,0.00132472,3.00357,140.363,3,2585.38,0,11.9095,178.596,3,
8181.56,0.113023,100,2084.23,3,3239.31,0.339637,20.0357,451.031,3,1861.22,0.324373,0.142857,12.5357,3,1950.03,0.527999,1.0369,31.51,3,2083.5,0,1.36429,33.5023,3,2557.26,0.601593,5.89405,229.319,3,
5088.57,0,100,1034.17,3,2588.83,0,20.0357,209.369,3,2259.73,0.282498,0.142857,18.055,4,1960.42,0,1.03571,14.0913,3,1891.21,0.00339004,1.56667,80.0643,3,2476.01,0,9.05714,172.705,3,
11952.2,0.625805,100,2479.22,4,2993.14,0.14837,20.0357,493.844,3,1638.48,0.0226945,0.142857,13.533,3,1820.67,0.268003,1.04762,35.8263,3,2040.74,0.0030157,3.36786,169.8,3,2563.99,0.0213578,7.12143,239.063,3,
5261.78,0,100,1072.05,3,2639.7,0,20.0357,221.839,3,1961.01,0,0.142857,6.50167,3,2002.75,0,1.03571,18.2063,3,1816.66,0.0130398,2.22738,91.4583,3,2380.49,0,9.05,139.394,3,
5711.4,0,100,1195.9,3,2804.69,0,20.0357,244.454,3,2075.84,0,0.142857,7.087,3,2104.79,0,1.03571,16.351,3,1800.23,0.000424364,2.18095,55.4593,3,2535.04,0,9.6881,157.671,3,
12705.7,0.264279,100,3752.97,3,2891.06,0,20.0357,250.814,3,2108.98,0,0.142857,6.94667,3,1656.06,0.437162,1.03651,53.202,3,1986.67,0.0170704,2.72024,119.203,3,2895.14,0.114481,10.8214,346.604,3,
9306.95,0.103276,100,2452.21,3,3497.84,0.0614141,20.0357,503.83,3,2016.96,0,0.142857,5.41733,3,1921.27,0.0644052,1.04167,33.7173,3,1799.21,0.0033182,2.02143,98.2333,3,2838.05,0.0613536,8.44881,280.789,3,
10429,0.380568,100,2986.01,3,4158.8,0.815576,20.0357,606.892,4,1468.12,0.626564,0.142857,21.9257,3,2035.81,0.513197,1.0373,32.7878,4,2051.17,0,1.1119,24.5983,3,2524.83,0.0840467,9.22857,292.769,3,
5585.48,0,100,1182.54,3,2741.05,0,20.0357,245.414,3,2043.31,0,0.142857,7.38367,3,2029.14,0,1.03571,16.3297,3,1968.67,0.0106644,2.19405,119.37,3,2451.94,0,8.29048,150.138,3,
