baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
6323.36,0.357706,100,1403.51,4,1549.56,0.361076,20.0357,251.107,4,1015.26,0.375132,0.142857,16.1242,5,625.861,0.362009,1.09722,20.833,4,1071.69,0.141286,2.45337,82.3587,4,1115.51,0.361608,6.15675,142.935,4,
4655.42,0.162139,100,1043.93,4,1380.25,0.164606,20.0357,228.293,4,1080.53,0.352605,0.142857,10.3755,6,830.033,0.168484,1.05952,23.6572,4,939.789,0.250867,0.615079,20.8934,5,789.903,0.159677,3.96528,82.3948,4,
6484.59,0.313065,100,1107.5,5,2069.71,0.315445,20.0357,230.009,5,950.244,0.30891,0.142857,8.2772,5,1014.73,0.315915,1.11746,22.2128,5,1101.05,0.10946,2.49901,93.737,4,1684.53,0.315565,9.0881,153.034,5,
3237.34,0.0133318,100,767.313,3,1404.2,0.0202902,20.0357,168.741,3,901.694,0.452917,0.142857,7.32,5,789.218,0.315471,1.1627,27.4118,4,1204.04,0.223899,3.22917,109.603,4,1164.3,0.0340079,7.42262,100.212,3,
6063.49,0.269354,100,1052.17,5,1910.06,0.274655,20.0357,222.566,5,872.998,0.319261,0.142857,8.2472,5,886.377,0.282208,1.05476,18.721,5,981.888,0.274439,0.765873,27.1762,5,1187.65,0.283411,3.82619,77.3668,5,
5151.93,0.291492,100,1095.95,4,1383.27,0.315645,20.0357,218.801,4,907.292,0.360169,0.142857,8.0868,5,600.783,0.331181,1.2877,22.8858,4,1112.93,0.152834,3.72123,98.5795,4,1316.07,0.239518,8.17857,149.567,4,
3024.72,0.00542035,100,707.238,3,1319.09,0.00394797,20.0357,147.915,3,793.826,0.30831,0.142857,9.5972,5,733.803,0.24232,1.07837,19.962,4,925.001,0.404095,1.86111,52.4702,6,680.117,0.00728411,1.73413,33.53,3,
4924.88,0.147839,100,1049.99,4,1603.63,0.150261,20.0357,221.361,4,746.125,0.118538,0.142857,8.2685,4,789.284,0.157794,1.0496,16.7285,4,1107.69,0,0.555556,6.56267,3,948.036,0.149266,2.91865,57.4223,4,
4933.61,0.169293,100,1054.1,4,1605.14,0.170338,20.0357,221.007,4,766.425,0.145227,0.142857,7.6275,4,799.284,0.174454,1.04365,16.5625,4,913.002,0.236211,0.505556,19.2624,5,889.99,0.169106,2.21528,44.0172,4,
6231.27,0.325389,100,1083.07,5,1904.61,0.324818,20.0357,222.503,5,929.209,0.320143,0.142857,7.9776,5,923.662,0.331656,1.0754,19.6724,5,1316.85,0.247528,1.94246,66.3072,6,1134.29,0.33085,3.00238,71.4414,5,
4892.9,0.307661,100,1083.81,4,1460.6,0.316593,20.0357,231.091,4,943.768,0.310721,0.142857,8.5766,5,624.862,0.31859,1.18155,22.8228,4,1056.58,0.11685,2.94048,83.8385,4,1171.34,0.316679,9.5506,159.723,4,
2077.66,0,100,354.814,3,1380.2,0.0022694,20.0357,154.025,3,450.764,0.286002,0.142857,7.101,4,857.339,0.00178433,1.07937,12.9673,3,1025.47,0.00295321,4.1131,62.4953,3,890.163,0.00272607,1.74405,33.6737,3,
2230.95,0,100,373.309,3,1608.22,0.000133331,20.0357,152.029,3,904.383,0.0099191,0.142857,6.26167,3,1120.07,0,1.10714,6.55933,3,1245.99,0,4.48016,45.069,3,1254.69,0,7.03968,49.761,3,
5012.44,0.170528,100,1068.94,4,1591.18,0.173054,20.0357,226.524,4,865.802,0.331661,0.142857,7.3618,5,786.507,0.179122,1.05258,17.854,4,534.281,0.164536,0.623016,21.0762,4,918.851,0.170417,2.05853,52.0875,4,
4778.2,0.13975,100,1016.85,4,1579.04,0.141906,20.0357,216.497,4,862.537,0.355162,0.142857,7.6116,5,782.179,0.152266,1.04762,16.4998,4,1111.41,0,0.623016,8.04233,3,925.358,0.141341,2.84325,51.7855,4,
4911.84,0.309176,100,1091.48,4,2056.85,0.312926,20.0357,229.672,5,977.71,0.301143,0.142857,12.456,5,622.281,0.313956,1.13194,20.577,4,1083.67,0.111734,2.5,89.1892,4,1686.67,0.313574,9.48413,154.057,5,
