Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
230.767,200.219,9.453,10.916,62.2319,0.856165,1.77357,10.4519
226.328,195.247,9.183,11.23,59.1884,0.999022,1.03244,10.2242
214.737,183.291,9.119,11.864,55.8551,0.77256,1.38017,8.83146
214.712,181.509,9.281,12.544,52.9855,1.15385,0.698673,7.90497
209.942,176.261,9.211,12.307,49.5652,1.57463,0.391354,7.14292
213.915,173.347,12.689,15.246,45.7681,1.69242,0.325539,6.51053
211.392,167.707,12.918,15.808,42.2609,1.77976,0.26489,5.97756
194.611,150.679,12.933,15.999,38.7536,1.61787,0.279153,5.43874
182.322,137.849,12.685,17.009,35.2754,1.75894,0.223039,4.99905
175.866,130.885,12.234,18.006,31.8261,1.7332,0.210612,4.59386
156.225,111.93,12.771,16.763,28.3478,1.58497,0.219825,4.21512
152.216,106.325,12.748,17.131,24.9275,1.83718,0.185712,3.91071
146.899,102.482,11.628,16.607,21.5942,1.95571,0.167422,3.65329
124.078,78.917,12.444,17.517,18.2609,1.96819,0.159205,3.41489
108.019,64.544,11.588,16.241,14.8406,2.16431,0.126437,3.20007
96.358,53.579,11.253,16.114,11.4493,2.17773,0.102025,3.0235
88.006,46.915,10.489,15.233,7.91304,1.58893,0.118424,2.85445
72.014,32.567,9.972,14.873,4.52174,0.959659,0.255209,2.61479
61.315,21.585,9.115,15.433,2.43478,0.802461,0.187203,2.48628
64.046,23.108,8.844,16.285,2.52174,1.10591,0.160888,2.26314
65.357,23.423,8.934,16.418,2.46377,0.928378,0.134264,2.13556
69.821,25.715,9.393,17.847,2.63768,1.21169,0.126378,1.94046
68.837,24.235,8.816,18.056,2.66667,1.15638,0.177664,1.71287
70.525,24.807,8.894,18.502,2.66667,0.928059,0.161618,1.51405
68.395,22.716,8.981,18.234,2.55072,0.765726,0.086994,1.35603
68.97,23.739,9.341,17.727,2.6087,0.459025,0.0891466,1.21771
72.283,27.032,8.762,18.241,2.52174,0.830952,0.069481,1.09387
68.888,23.2,9.344,18.174,2.63768,0.928264,0.0735588,0.988674
69.574,24.972,8.823,17.978,2.6087,0.110983,0.145544,0.933994
74.715,29.882,9.361,17.729,4.52174,0.421013,0.109723,0.886354
103.588,23.62,8.813,53.098,2.57971,0.665898,0.0446053,0.850613
68.052,23.965,8.973,17.363,2.6087,0.436301,0.167565,0.799642
98.604,21.396,8.842,51.572,2.57971,0.627196,0.0478995,0.779891
66.515,22.779,8.896,17.316,2.66667,0.895634,0.0848429,0.709889
67.102,23.788,8.975,17.124,2.66667,0.554126,0.103377,0.704084
64.34,21.444,8.657,17.173,2.6087,0.702344,0.0429119,0.705
80.469,22.809,8.839,32.61,2.57971,0.379636,0.0564123,0.725951
63.914,22.852,9.256,15.853,2.6087,0.277517,0.123372,0.722103
60.393,20.178,8.946,15.481,2.63768,0.498548,0.0967628,0.708379
59.768,19.481,8.859,15.843,2.37681,0.127994,0.0866382,0.731076
111.562,27.488,9.057,59.741,4.2029,0.20468,0.0316398,0.759022
70.761,31.712,9.119,14.9,2.6087,0.757504,0.0987228,0.750075
103.067,20.883,8.925,58.374,2.63768,0.216601,0.0242086,0.768834
59.968,21.117,9.193,15.012,2.63768,0.233558,0.0859525,0.804765
87.548,19.583,9.25,43.505,2.66667,0.112545,0.136271,0.803895
74.986,36.897,8.844,14.712,4.66667,0.170387,0.105411,0.849476
84.584,34.451,8.974,27.475,6.63768,0.0072892,0.111214,0.928921
132.583,42.651,8.877,67.467,8.43478,0.0849018,0.013878,0.972824
109.505,46.629,9.112,40.469,10.1449,0.477354,0.061969,1.02282
72.124,36.611,9.025,13.537,7.36232,0.498659,0.112581,1.0264
63.087,27.203,8.891,13.466,4.2029,0.225683,0.0698272,1.04642
57.021,19.91,8.987,14.175,2.72464,0.92563,0.0913747,1.01082
57.514,20.813,8.726,14.174,2.6087,0.437664,0.0944003,1.03182
57.505,21.17,8.779,13.806,2.52174,0.314913,0.127155,1.04911
55.457,19.375,8.852,13.602,2.66667,0.0974429,0.0716515,1.13702
89.85,28.127,8.99,39.507,4.66667,0.259535,0.0707802,1.23104
62.186,27.327,8.873,12.839,2.66667,0.0428256,0.327006,1.20745
63.057,28.772,9.311,12.472,4.66667,0.34224,0.15214,1.23517
55.433,21.249,9.075,12.241,2.52174,0.806297,0.101121,1.2929
53.439,19.039,9.09,12.58,2.6087,0.492211,0.141827,1.26271
55.874,20.398,8.819,13.362,2.66667,0.395503,0.105718,1.25147
59.157,22.685,8.98,13.868,2.6087,0.300089,0.0905958,1.27482
57.806,20.488,8.852,14.754,2.66667,0.0523413,0.120793,1.31566
68.912,27.554,8.956,17.491,4.46377,0.11852,0.328892,1.32148
81.477,40.856,8.745,14.844,6.31884,0.0166384,0.497136,1.36886
111.551,45.693,8.844,41.808,8.26087,0.164808,0.200243,1.3883
89.226,51.083,9.515,13.707,10.2319,0.0932913,0.419048,1.49552
123.998,56.042,8.811,44.496,12.1739,0.32067,0.146629,1.50305
115.013,48.446,9.017,42.738,9.91304,0.0245864,0.174669,1.60704
115.07,58.4,9.061,31.966,11.5942,0.15875,0.266254,1.63964
151.237,62.075,9.051,63.861,13.2174,0.212482,0.126031,1.70393
113.94,57.081,8.841,31.619,10.8696,0.0342246,0.399141,1.80274
135.478,63.183,9.141,46.687,12.8116,0.211806,0.227974,1.89133
95.907,54.962,9.277,15.81,10.3478,0.376955,0.343709,1.91255
125.571,40.685,8.957,60.12,7.62319,0.190244,0.142308,2.11923
107.009,50.426,9.034,31.499,9.21739,0.0554775,0.430226,2.17365
156.28,55.683,8.917,75.406,11.0725,0.147749,0.0513547,2.316
156.114,59.017,9.173,73.379,12.5507,0.580793,0.0287207,2.4249
88.518,49.575,8.878,15.493,9.07246,0.0376136,0.369092,2.52182
151.491,52.879,8.953,74.358,10.7246,0.881074,0.0607468,2.62196
122.692,37.556,8.922,61.275,6.49275,0.0111986,0.264413,2.70541
128.053,43.188,9.054,60.792,8.11594,0.149799,0.147228,2.73883
140.123,52.843,8.92,62.939,10.029,0.194968,0.074047,2.80099
