Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
0.0649491,39.347,6.09931,19.2442,6.09435,7.22632,1.18994
0.0603513,41.4796,5.58454,20.562,6.10102,7.44749,1.10371
0.0734722,40.2015,5.91958,20.0142,6.13444,7.0288,1.12786
0.0553041,44.8632,5.71966,21.3134,6.09896,8.92485,1.0961
0.0555126,47.7864,6.46329,23.3575,6.15052,10.1452,1.07237
0.0476537,37.4443,5.08393,17.0232,6.08849,7.18747,1.2021
0.0521022,38.231,5.05449,17.4544,6.16486,7.79745,1.14293
0.062397,47.2306,6.42547,22.7661,6.15297,9.9381,1.06942
0.0578416,41.8973,5.66019,19.7896,6.13029,8.015,1.10995
0.0557125,45.2108,5.99567,21.3327,6.12239,9.31805,1.09825
0.0644437,42.1251,5.35058,19.6324,6.07125,8.13918,1.12315
0.0613334,40.2267,5.65644,19.4933,6.08149,7.34505,1.10905
0.0647654,40.4426,5.97642,19.4591,6.1151,7.39376,1.19486
0.0582289,42.3399,5.23032,19.6516,6.07184,8.36189,1.11411
0.0514609,42.3718,5.75131,19.5861,6.05595,8.53828,1.14057
0.0554435,40.01,5.22564,18.5945,6.1277,7.76441,1.15222
0.0576087,37.0692,5.36928,17.571,6.08464,6.67393,1.14215
0.0542868,39.089,6.09058,18.9999,6.02544,7.00071,1.18108
0.0711071,37.5989,5.3585,18.1442,6.02297,6.72204,1.16459
0.0490381,39.737,6.35156,19.2802,6.0147,7.52728,1.19963
0.0558599,44.3359,5.95518,21.7388,6.02943,8.32509,1.11855
0.0600335,42.3833,5.6586,20.5951,5.96862,7.8193,1.13787
0.0554197,42.327,6.0855,20.7009,6.01691,7.77483,1.16784
0.0548138,42.5527,6.25484,20.9294,6.0459,7.874,1.12499
0.066259,37.2557,4.76849,17.1244,6.02423,6.97578,1.17858
0.0455437,33.5842,5.1085,15.6236,6.04347,6.01035,1.21688
0.0472582,38.7002,6.61101,19.3478,6.03372,6.7219,1.17091
0.0561633,44.8235,5.56545,20.2859,6.0483,9.55805,1.14817
0.0522741,51.2381,7.8377,24.8511,6.04289,11.6915,1.03873
0.0567618,42.7172,6.26758,20.9014,6.04582,7.83313,1.16108
0.0489979,40.0365,6.61255,19.9574,6.04067,6.97519,1.20424
0.0631035,40.0286,6.17351,19.9205,6.04216,7.01148,1.23153
0.0543864,41.1224,5.006,18.6409,6.03663,8.84986,1.14297
0.0484015,43.5307,6.77276,21.0204,6.0848,8.32512,0.99331
0.0576202,43.4125,5.43478,20.1617,6.03344,8.9113,1.0629
0.0539576,41.9837,6.02494,20.2803,6.03115,8.65814,1.12284
0.0484665,37.1923,5.26908,17.3384,6.03603,7.07526,1.15084
0.0526325,42.9624,6.24646,20.5964,6.03327,8.63424,1.1134
0.054274,44.2354,6.23028,21.1905,6.05165,8.66638,1.11931
0.0638549,53.383,6.68357,24.7648,6.07222,13.4091,0.93472
0.0883833,38.4127,5.1571,17.8032,6.05802,7.61003,1.16441
0.0507946,35.0654,3.85896,15.2691,6.01236,6.99192,1.13113
0.0586578,42.5195,5.43821,20.4383,6.03073,8.17047,1.14702
0.0556263,34.9197,4.93496,15.9631,6.04061,6.40903,1.15381
0.0531736,48.3521,7.11527,22.9578,6.09597,10.1714,1.10029
0.0541112,42.1075,5.94427,20.7337,6.03076,7.78845,1.10571
0.0592398,45.6573,6.784,22.5857,6.0141,8.84722,1.10328
0.14395,37.4469,6.94756,18.9284,6.09608,6.5503,1.0317
0.0682038,41.5099,5.88847,20.1511,6.04809,7.76252,1.12847
0.0853966,39.5437,5.82348,19.669,6.06816,6.84878,1.22251
0.0502038,44.4087,7.27859,22.3625,6.03752,8.15252,1.14176
0.0582599,44.7685,6.18901,21.2371,6.05366,8.6368,1.17692
0.0508958,40.5372,5.6171,19.2931,6.03001,8.1658,1.08182
0.0724404,48.0489,6.25169,22.9424,6.01306,11.2542,1.29258
0.0681587,42.1581,6.0324,20.3698,6.01824,8.01073,1.19826
0.0817213,37.9598,5.70854,18.4753,6.02997,6.7409,1.17052
