Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
205.543,163.623,13.75,16.049,50,0.917393,1.90855,8.79254
220.113,175.358,13.46,17.065,50,0.691953,0.627469,8.37514
228.775,182.014,13.179,18.261,50,1.08561,0.882954,7.11248
239.089,192.054,13.252,17.779,50,1.00987,0.842289,6.2226
247.668,198.524,13.179,19.177,50,0.88494,0.758241,5.50349
246.751,196.772,13.149,20.048,50,0.853797,0.55009,4.934
245.618,194.794,13.159,20.584,50,1.19286,0.575464,4.22142
256.803,204.663,13.491,20.595,50,1.30255,0.333959,3.96789
256.096,203.565,12.94,22.032,50,0.841983,0.62621,3.5834
254.657,200.799,13.472,22.606,50,0.989057,0.508833,3.274
262.51,206.564,13.115,24.744,50,0.743432,0.333469,3.20454
264.199,209.947,13.735,22.213,50,1.36868,0.507491,2.70902
267.5,213.395,13.037,21.994,50,0.683771,0.556963,2.60019
281.229,217.373,12.952,31.689,50,0.813556,0.606874,2.31394
281.261,222.663,13.641,26.331,50,0.908153,0.425463,2.24856
288.572,228.122,13.052,26.564,50,0.975771,0.452591,2.00116
294.898,233.124,13.093,27.411,50,1.05636,0.38653,1.80135
299.931,238.828,12.917,26.769,50,1.04434,0.392192,1.62556
307.136,240.471,13.166,32.828,50,0.985848,0.389442,1.51912
291.899,234.273,13.539,24.885,50,0.974944,0.41003,1.4071
287.79,231.13,13.147,24.283,50,0.919605,0.399481,1.31122
288.442,230.108,13.318,24.669,50,0.934164,0.396977,1.19456
288.263,230.126,12.961,23.948,50,0.974822,0.392338,1.09268
283.857,227.466,12.718,23.871,50,0.956915,0.351702,1.02516
285.606,227.144,13.676,24.808,50,1.01977,0.30226,0.955064
283.919,227.194,13.214,23.834,50,0.979167,0.230248,0.965517
279.784,224.87,13.112,23.039,50,0.839513,0.208339,0.944464
277.591,223.74,13.105,22.267,50,0.919915,0.14562,0.9426
278.048,224.851,13.099,21.82,50,0.909079,0.126603,0.938975
320.968,228.327,13.368,60.763,50,1.00097,0.0315716,0.979352
251.696,202.283,13.23,20.726,50,1.20535,0.132798,0.950877
270.037,218.866,13.176,20.344,50,1.07902,0.0438582,0.955804
266.107,210.435,13.351,25.09,50,0.926036,0.047542,0.946876
261.237,210.836,12.479,19.531,50,0.584149,0.108474,0.914825
