Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
77.5457,139.106,20.6667,70.9559,12.3933,41.1339,0.336795
39.6665,146.112,20.6667,82.096,12.7617,33.426,0.580091
59.4404,142.466,20.6667,82.9473,12.6717,28.6349,0.659872
30.6517,138.464,20.6667,82.1296,12.7628,24.6618,0.867704
34.6513,154.142,20.6667,85.8442,12.6945,36.4561,0.74933
24.8114,133.308,20.6667,77.7869,12.8238,25.945,0.764636
44.8261,132.382,20.6667,71.9897,12.4897,32.6133,23.194
33.0096,143.183,20.6667,86.7181,12.772,24.2758,1.33985
33.2475,138.957,20.6667,82.6182,12.8174,25.3531,0.874991
35.6966,146,20.6667,85.3536,12.8386,28.6649,0.802154
39.8975,140.376,20.6667,86.0478,12.683,22.5767,1.07512
31.8471,135.949,20.6667,82.3037,12.8402,22.3894,0.877215
26.1906,133.999,20.6667,80.1107,12.6256,23.2848,0.78148
31.7293,129.402,20.6667,78.3137,12.8098,20.2701,1.10251
35.2041,136.089,20.6667,82.8012,12.8158,21.5629,1.0054
26.8552,140.053,20.6667,86.1525,12.7848,21.8455,1.1912
34.8296,140.291,20.6667,83.5666,12.7263,25.1669,0.726617
474.355,136.112,20.6667,70.1541,12.2632,39.692,0.243656
37.4443,135.536,20.6667,80.9571,12.8264,24.2414,0.661927
27.5619,144.548,20.6667,85.842,12.6332,26.5865,0.671985
34.8055,141.49,20.6667,82.1224,12.801,28.2387,0.769469
34.0457,132.598,20.6667,79.7085,12.7459,22.1353,0.867672
68.4649,137.137,20.6667,78.9734,12.7178,28.5313,0.602085
31.3238,129.533,20.6667,77.4449,12.7064,22.1005,0.85684
43.1367,146.537,20.6667,84.4655,12.7575,30.5579,0.457962
25.4819,127.314,20.6667,76.8642,12.8896,20.2859,1.04169
30.4057,124.391,20.6667,75.7126,12.7303,19.7947,1.00204
170.997,119.445,20.6667,67.0548,12.5181,26.3086,0.485585
76.8664,134.921,20.6667,71.3518,12.3389,36.8059,0.270441
34.5842,145.351,20.6667,80.0375,12.6671,35.3473,0.76725
70.7557,162.549,20.6667,73.4335,12.1927,63.8014,5.09316
85.1299,165.371,20.6667,80.9813,12.2411,57.0149,1.20616
33.5542,137.663,20.6667,81.4007,12.9047,24.6543,0.938858
42.254,137.182,20.6667,79.975,12.6955,26.9592,0.706258
38.804,140.623,20.6667,81.9906,12.6752,27.7692,0.711955
36.0581,140.091,20.6667,80.5338,12.6653,29.5315,0.718468
35.0348,134.13,20.6667,77.3595,12.6958,27.5863,0.740929
30.7818,134.935,20.6667,82.8012,12.7447,21.7033,1.15544
35.8926,155.723,20.6667,87.8885,12.775,35.1087,0.678215
31.8481,148.608,20.6667,90.1569,12.7734,24.6478,0.943144
91.9533,146.804,20.6667,73.5323,12.3625,45.8805,0.318891
116.434,118.199,20.6667,61.1814,12.2845,32.8519,0.258649
47.4823,138.596,20.6667,83.3396,12.8275,23.3836,1.07872
41.7227,133.723,20.6667,81.8036,12.7595,21.3466,1.00911
52.6465,141.797,20.6667,73.8037,12.4236,40.5695,0.759737
30.8235,138.416,20.6667,83.4273,12.8727,22.8699,0.680991
38.9403,147.916,20.6667,86.7379,12.7858,28.786,1.01209
104.432,124.245,20.6667,70.4973,12.5496,27.0206,0.283859
440.626,140.77,20.6667,76.9893,12.4779,35.2607,0.51216
41.9755,151.591,20.6667,86.8359,12.7816,32.0035,0.636135
28.1749,136.889,20.6667,84.5308,12.8061,21.056,1.27128
27.1622,148.113,20.6667,90.9029,12.7832,23.8385,1.05906
25.4269,130.211,20.6667,78.8771,12.808,21.7893,1.07642
74.7478,145.638,20.6667,79.7942,12.5234,36.6873,0.353986
35.1883,136.85,20.6667,74.939,12.5435,33.9628,1.35671
51.8554,140.526,20.6667,84.2782,12.982,24.1679,0.762328
30.1789,136.236,20.6667,79.0291,12.7723,26.802,0.696967
28.4854,134.013,20.6667,79.264,12.6916,24.6889,1.18697
43.0336,141.614,20.6667,77.5125,12.4839,35.5088,1.27861
31.845,136.185,20.6667,80.5378,12.7585,24.7658,0.894648
39.315,144.687,20.6667,83.0358,12.7306,30.4441,0.826775
28.9046,135.578,20.6667,81.9588,12.9936,22.3212,0.990942
31.3252,140.764,20.6667,83.7134,12.797,25.1145,0.798918
106.861,129.869,20.6667,67.4091,12.4019,36.3098,0.346887
93.5075,153.498,20.6667,82.4183,12.6888,40.4885,0.371474
147.204,122.548,20.6667,69.5273,12.5142,26.641,0.223608
26.9237,141.986,20.6667,83.1807,12.8036,27.3015,0.798369
30.4643,127.319,20.6667,76.8315,12.8534,19.9008,0.839308
80.4059,133.936,20.6667,77.2676,12.6322,27.1651,0.347991
48.9222,142.123,20.6667,86.9392,12.7474,22.724,1.12769
40.0031,126.821,20.6667,77.3674,12.8167,19.4115,1.15961
42.2681,156.004,20.6667,89.5562,12.7408,33.4532,0.485756
30.2238,136.891,20.6667,83.1996,12.7807,21.892,0.910631
3627.86,126.44,20.6667,68.7543,12.4139,32.0413,0.134391
34.7712,131.196,20.6667,73.6859,12.632,29.6025,14.2653
31.5838,137.874,20.6667,79.7497,12.7309,28.1858,0.585669
33.425,127.172,20.6667,78.3245,12.715,19.3858,1.16074
421.652,122.716,20.6667,68.6866,12.4076,27.6086,0.139878
26.7851,135.002,20.6667,81.5992,12.7533,21.5438,0.802311
63.7925,140.233,20.6667,72.9752,12.335,39.8277,0.266579
70.5511,146.037,20.6667,77.0839,12.4024,40.6501,0.449549
74.737,159.243,20.6667,78.2731,12.2235,53.9713,0.717808
22.7149,118.858,20.6667,68.051,12.7496,23.3145,0.803791
72.8419,159.349,20.6667,73.0771,12.2383,60.8707,1.6312
3420.64,106.27,20.6667,61.2682,12.4352,21.0961,0.144057
74.2175,139.599,20.6667,80.4928,12.809,28.9195,0.623001
23.9637,127.547,20.6667,74.7733,12.7493,23.425,0.635876
36.2779,139.158,20.6667,84.1179,12.9469,22.6943,0.9012
146.861,128.267,20.6667,65.2436,12.3527,37.431,0.314324
30.1326,134.221,20.6667,80.6131,12.8531,23.3635,1.08462
36.4247,142.817,20.6667,84.1886,12.708,27.888,0.715417
33.3361,137.671,20.6667,83.2378,12.8055,22.606,0.943001
96.8577,133.114,20.6667,69.0877,12.5234,37.6511,0.24114
33.3002,141.328,20.6667,83.069,12.8389,26.6507,0.992205
64.1788,128.096,20.6667,68.5873,12.354,33.3513,0.411911
23.9355,129.01,20.6667,78.9468,12.81,19.7778,1.06322
32.713,132.137,20.6667,79.1198,12.7213,22.507,0.959706
26.2597,123.669,20.6667,74.7098,12.893,19.1652,1.03616
27.8731,145.438,20.6667,88.7871,12.8601,24.3177,1.15605
38.582,149.888,20.6667,88.7713,12.7443,28.4036,0.681851
