Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
31.244,25.2,1.029,2.408,93.1111,0.357207,0.439053,6.37188
30.403,24.53,1.033,2.329,94.1111,0.144279,0.582163,6.70241
30.201,24.413,0.975,2.431,95.2222,0.429371,0.68992,6.72121
29.02,22.986,1.047,2.379,91.2222,1.27718,0.59501,6.49059
35.989,23.227,1.057,9.152,85.2222,2.63189,0.129352,6.23303
36.894,21.55,1.173,11.801,79.7778,0,0.0337715,6.42172
26.813,20.778,1.103,2.425,79.1111,1.13259,0.100251,6.41092
33.397,19.783,1.085,9.903,73.1111,2.02568,0.13808,6.1575
25.367,19.113,1.163,2.418,67.3333,0.859942,0.645359,5.65329
23.439,17.282,1.027,2.598,62.4444,0.75029,0.400426,5.32571
21.573,15.514,1.31,2.331,57.6667,0.825262,0.182931,5.22339
25.521,14.874,0.983,7.18,52.7778,1.74008,0.0795138,5.10778
20.595,14.461,0.989,2.466,47.6667,0.0699396,0.165524,5.11853
20.101,14.076,1.035,2.589,49.2222,1.09097,0.250338,4.87744
18.357,12.241,1.019,2.646,43.3333,0.182917,0.135478,4.86857
20.265,13.599,1.067,2.701,44.5556,0.294972,0.16397,4.84732
29.744,14.343,0.988,11.46,46,6.70962,0.0149665,4.81246
19.947,13.221,1.087,2.66,40.4444,1.06472,0.341995,4.66358
17.566,11.028,1.166,2.541,34.5556,0.503016,0.165504,4.57438
26.464,10.644,1.041,12.099,31.3333,0.702594,0.0120688,4.5903
15.843,9.443,1.061,2.534,28.3333,0.171934,0.277774,4.62612
25.53,9.286,1.028,12.672,30.3333,0,0.0191514,4.70668
16.267,9.788,1.143,2.561,30.3333,1.03165,0.0614402,4.84566
21.933,8.575,1.03,9.632,25.3333,0.236708,0.0951134,4.99748
24.467,9.11,1.05,11.76,27.3333,0,0.0462122,5.17007
25.283,9.378,1.048,12.078,27.1111,2.02153,0.00985318,5.32643
23.275,7.86,1.056,11.701,22,0,0.0577496,5.51685
22.871,7.464,0.992,11.879,21.8889,0,0.0134937,5.63012
15.851,7.383,1.124,4.731,21.4444,1.11471,0.0170362,5.75393
20.98,6.028,0.969,11.622,16.3333,0,0.016779,5.8569
20.587,5.729,0.989,11.425,15.7778,0,0.00182958,5.97855
22.389,5.203,1.897,12.85,14.7778,0,0.000174507,5.98572
10.692,5.169,0.997,2.134,13.7778,18.5614,0.000274657,5.93623
8.55,3.327,0.958,2.117,8.22222,4.88249,0.0028945,5.95235
8.287,2.769,0.988,2.377,4,1.78595,0.029628,5.93516
8.347,2.715,1.056,2.268,2.77778,1.35909,0.276862,5.60386
7.724,2.519,0.992,2.107,2.88889,1.15524,1.28235,4.17409
8.06,2.486,0.98,2.389,3,1.34795,0.326717,3.77895
8.231,2.779,1.08,2.104,3,1.92587,0.0201152,3.75106
7.613,2.441,0.976,2.076,3,3.20614,0.00856709,3.73036
7.77,2.571,0.969,2.13,3,2.3241,0.0252253,3.71837
10.365,2.603,1.891,3.593,3,2.42036,0.0263414,3.71237
9.193,2.574,1.047,2.101,3,2.56689,0.026435,3.71386
7.371,2.248,0.978,2.068,3,2.17958,0.0483886,3.73268
7.601,2.317,1.032,2.06,3,4.853,0.0102007,3.74027
8.63,3.368,0.982,2.077,3,3.15694,0.0254207,3.76879
7.384,2.341,0.956,2.034,3,3.28371,0.0263853,3.80611
8.718,3.408,0.998,2.118,3,3.48944,0.0264712,3.85397
7.909,2.681,1.047,2.084,3,3.71565,0.0264796,3.91323
7.451,2.412,0.963,2.017,3,3.95675,0.0264856,3.98469
7.635,2.372,1.079,2.042,3,4.21144,0.0264915,4.06912
8.367,3.164,0.994,2.038,3,4.47768,0.0264973,4.16722
7.403,2.326,0.999,2.01,2.66667,4.75222,0.0265031,4.27957
8.356,3.061,0.99,2.195,2.88889,10.9044,0.00929413,4.3399
7.7,2.413,1.048,2.11,3,5.33765,0.0254253,4.47551
7.758,2.548,1.067,2.011,3,5.45426,0.0264365,4.6247
7.315,2.12,1.041,2.075,3,5.70223,0.026521,4.78815
7.723,2.34,1.05,2.09,3,5.94219,0.0265283,4.96518
7.377,2.216,1.002,2.106,3,6.15415,0.0265333,5.15466
7.186,2.176,0.966,2.013,3,14.7723,0.00930274,5.25224
