Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
25.73,19.427,1.125,2.664,70.1111,1.24852,0.207368,7.07067
26.315,19.513,1.18,2.876,71.3333,1.28066,0.123847,6.95624
25.628,18.632,1.262,2.951,69,1.28899,0.0985466,6.88272
26.883,19.386,1.311,3.125,68.4444,1.31822,0.0659354,6.81357
28.43,20.49,1.368,3.52,69.5556,1.24434,0.0925907,6.74171
32.094,23.671,1.352,3.604,73.4444,1.21564,0.0514332,6.66082
33.261,24.49,1.398,3.753,76.4444,1.0564,0.084821,6.57904
33.47,24.359,1.429,3.994,78.4444,0.775519,0.144409,6.53688
48.714,27.984,1.464,15.15,84.3333,0.532389,0.028128,6.5195
34.399,24.62,1.389,4.29,79.1111,0.340575,0.275935,6.4624
36.18,26.461,1.363,4.45,84.7778,0.691147,0.260955,6.36323
38.898,28.89,1.522,4.246,90.4444,0.4521,0.189877,6.30489
38.716,28.612,1.649,4.431,88.3333,1.02475,0.266842,6.0747
40.378,30.535,1.388,4.222,92.7778,0.213103,0.206356,6.04975
40.172,29.73,1.618,4.608,92.5556,0.29209,0.192193,6.01517
39.314,29.725,1.412,4.133,92.3333,0.23131,0.285117,6.06164
38.386,29.014,1.395,4.135,93.3333,0.530031,0.247271,5.91653
38.932,29.798,1.39,3.798,94,0.17357,0.28578,5.66264
40.107,30.831,1.392,4.108,95,0.308617,0.285161,5.54741
41.455,31.66,1.422,4.086,94.5556,0.00794386,0.280185,5.42982
41.079,30.884,1.44,4.434,95.4444,0.466373,0.229429,5.16899
41.108,31.021,1.407,4.463,95,0.503587,0.208684,4.96681
41.323,31.159,1.392,4.32,95.2222,0.56703,0.15361,4.86467
44.6,30.822,1.402,8.226,92.3333,0.0555338,0.114943,4.81531
40.705,30.559,1.463,4.577,91.8889,0.865777,0.166687,4.59773
41.601,31.144,1.432,4.581,93.2222,0.700354,0.112993,4.49823
44.187,33.193,1.595,4.554,93.4444,0.693706,0.11892,4.40434
42.051,31.64,1.393,4.612,91.4444,0.660175,0.146857,4.29167
43.569,32.67,1.39,5.026,90.3333,0.899976,0.0960799,4.14165
41.94,31.475,1.442,4.422,90.5556,0.978847,0.0875622,4.03193
41.812,31.696,1.432,4.374,91.8889,0.966162,0.0933182,3.92829
41.642,31.53,1.514,4.388,92.4444,1.00689,0.0695025,3.84628
40.212,30.405,1.408,4.261,89.3333,0.970247,0.100546,3.75027
42.616,32.427,1.503,4.319,90.1111,0.970957,0.0983924,3.64695
40.37,30.395,1.472,4.411,89.7778,0.989027,0.0908037,3.55565
42.582,32.427,1.45,4.438,90.4444,1.02351,0.083733,3.45484
42.336,32.098,1.557,4.375,92.6667,1.02391,0.0855121,3.38458
42.35,32.094,1.43,4.481,91.1111,1.00015,0.101195,3.29683
41.883,31.277,1.477,4.701,89.6667,1.01112,0.0927721,3.19969
42.51,32.092,1.451,4.498,89.8889,1.01617,0.0948439,3.10321
43.973,33.496,1.643,4.549,89.1111,1.03373,0.0883394,3.00691
42.489,32.034,1.5,4.534,90,1.04961,0.0902213,2.91122
41.843,31.322,1.426,4.627,88.3333,1.0179,0.109988,2.81862
43.843,33.105,1.528,4.68,88.8889,1.03573,0.103552,2.75425
44.488,33.843,1.432,4.617,91.3333,1.05976,0.10502,2.65736
43.538,32.865,1.496,4.692,92.3333,1.1394,0.123012,2.57062
49.299,33.561,1.633,9.595,93.6667,0.576872,0.0885406,2.58062
44.133,33.436,1.437,4.717,92.1111,0.77925,0.330661,2.56253
44.091,33.179,1.517,4.824,93.8889,0.950217,0.325446,2.38719
45.685,34.499,1.443,4.954,93.7778,1.03578,0.215471,2.23934
44.357,33.368,1.475,4.836,94.3333,0.834626,0.182244,2.20625
43.751,32.913,1.468,4.856,93.2222,1.19881,0.181776,2.09763
45.923,34.497,1.424,4.819,95.8889,1.17732,0.178266,2.00415
46.444,35.466,1.417,4.858,95.8889,0.498802,0.180013,2.03308
