Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
0.0744806,8.30573,3,2.47427,1.0292,2.63279,5.91713
0.0846836,9.15751,3,2.66321,1.03567,3.00901,5.77595
0.0841518,9.10939,3,2.5847,1.03274,3.09999,7.01807
0.125136,8.48616,3,2.5476,1.02669,2.68991,2.55462
0.231739,8.50858,3,2.61928,1.04357,2.50794,2.97022
0.077317,8.59033,3,2.58788,1.04432,2.6297,3.39819
0.187552,11.2787,3.00257,2.93021,1.0392,4.60452,3.18754
0.0886668,9.18162,3,2.65177,1.02869,2.9793,2.15564
0.0914836,9.31202,3,2.67771,1.03404,3.05246,7.55936
0.0875177,9.10674,3,2.66852,1.03345,2.93032,7.36833
0.0977643,8.61829,3,2.49407,1.03208,2.91033,4.05531
0.111732,11.4506,3.0004,2.72796,1.03743,5.1503,1.05851
0.0790923,9.81856,3,2.73395,1.04661,3.52258,8.67957
0.0931507,9.49687,3,2.70992,1.03581,3.24128,5.38917
0.0858786,9.20948,3,2.67167,1.03484,2.96853,8.42777
0.0867469,8.94293,3,2.55848,1.02451,3.0807,2.03699
0.0860362,8.85858,3,2.58409,1.02411,2.9147,6.58946
0.0932089,9.15807,3,2.58833,1.02766,3.14239,1.9454
0.08601,9.32588,3,2.67306,1.03755,3.08055,1.83016
0.0872679,9.03247,3,2.70722,1.03372,2.7404,2.25682
0.0865758,8.53702,3,2.57552,1.03125,2.60874,2.22157
0.0807514,9.19048,3,2.72605,1.03179,2.90896,8.33642
0.180562,8.26589,3,2.52783,1.02973,2.46148,9.45857
0.0880099,9.15024,3,2.67427,1.03971,2.88809,2.13418
0.0832593,8.86044,3,2.62456,1.0423,2.79865,2.36889
0.0964537,8.99018,3,2.66273,1.03539,2.85989,5.81414
0.17959,8.35843,3,2.55567,1.02917,2.54485,4.42483
0.155022,8.29168,3,2.56484,1.03428,2.38214,2.33092
0.0923074,9.13552,3,2.5968,1.04019,3.05722,2.7271
0.367973,8.17727,3,2.52755,1.02916,2.47376,3.62089
0.0842034,9.38538,3,2.71178,1.05327,3.01377,1.971
0.113346,8.95125,3,2.65863,1.03491,2.84934,2514.42
0.0853124,9.4599,3,2.73357,1.03314,3.01891,1.5201
0.086271,9.72846,3,2.80576,1.03234,3.2565,6.39171
0.0876439,9.34258,3,2.68631,1.03366,3.08785,2.00955
0.11973,10.4276,3,2.70687,1.04538,4.20623,1.75082
0.0919911,8.85587,3.00067,2.57089,1.03163,2.9051,2.28814
0.0905419,9.06474,3,2.6345,1.02357,2.98117,1.9866
0.0917828,8.95776,3,2.61342,1.03754,2.89793,2.31323
0.0949958,9.15488,3,2.62323,1.03668,3.07129,2.18713
0.081252,9.03209,3,2.62806,1.03463,3.03697,2.04491
0.195098,8.27614,3,2.51985,1.02762,2.47325,19.3705
0.0910147,8.95913,3,2.58475,1.03927,3.02686,2.12434
0.0900162,9.30951,3,2.68752,1.03303,3.1024,1.76143
0.0882672,9.46104,3,2.70001,1.03648,3.25974,1.99872
0.0872237,8.91413,3,2.5913,1.0308,2.9083,1.88034
0.0892952,10.1443,3,2.85344,1.04509,3.35628,4.19904
0.0863454,9.29442,3,2.70747,1.02498,2.96691,12.6605
0.0828711,9.01019,3,2.61845,1.02943,2.9575,1.75851
0.0813863,9.58661,3,2.78013,1.03039,3.18986,8.10694
0.0838681,9.11392,3,2.59018,1.02809,3.16398,5.03767
0.255766,8.08894,3,2.51506,1.03906,2.37038,2.96535
0.08996,9.31095,3,2.65979,1.0398,3.15468,2.07809
0.0918438,9.56866,3,2.82959,1.03637,3.05391,3.34329
0.368132,8.2261,3,2.54404,1.03557,2.47958,3.5676
0.0846598,9.60078,3,2.80348,1.03468,3.07737,1.43225
0.0897902,10.2113,3,2.79716,1.02699,3.79783,8.51676
0.0796391,9.25396,3,2.63725,1.03706,3.20776,2.34416
0.0847289,9.17424,3,2.71066,1.03517,2.74341,1.52361
0.0869499,8.93562,3,2.72203,1.02711,2.65539,1.76415
0.089938,8.81164,3,2.57233,1.02959,2.9039,6.03639
0.097518,9.48783,3,2.73356,1.02312,3.18214,2.68993
0.0868717,9.23076,3,2.69269,1.03059,3.07973,6.52588
0.0864955,8.86823,3,2.59109,1.0246,2.96469,6.3037
0.0923802,10.1634,3.00106,2.89457,1.03601,3.4081,6.18879
0.105296,9.68094,3.00017,2.73783,1.03873,3.36045,6.73642
0.230221,8.28714,3,2.53464,1.03441,2.42779,3.60681
0.0879133,9.43481,3,2.62763,1.03277,3.33689,1.91706
0.0816696,9.33899,3,2.71452,1.03097,2.97717,4.91478
0.0830479,9.70211,3,2.74103,1.03685,3.31674,1.49381
0.1028,9.40013,3,2.74511,1.03201,3.09848,7.09526
0.0860781,9.38733,3,2.71811,1.02767,3.04843,9.21853
0.0845007,9.36226,3,2.65421,1.03442,3.22055,1.77062
0.0853532,9.21682,3,2.67013,1.0349,3.02654,1.69838
0.0776795,9.58215,3,2.71725,1.04251,3.25724,4.8186
0.0786048,9.506,3,2.77059,1.0279,3.15035,3.35083
0.0896023,9.5083,3,2.79025,1.0208,3.06506,2.17894
0.0743144,9.6356,3,2.85979,1.03758,2.93017,1.74079
0.0924561,9.08147,3,2.63772,1.02376,2.94137,3.19448
0.0848457,9.15574,3,2.66055,1.03233,2.96854,7.27149
0.205222,10.6628,3.0101,2.70023,1.04164,4.50288,10.7047
0.096476,9.21306,3,2.68601,1.02771,2.97399,3.62291
0.0851598,9.28539,3,2.6539,1.03113,3.1476,2.05395
0.0956812,12.7794,3,2.89386,1.02799,6.05601,1.2299
0.0988853,9.10228,3.00347,2.63074,1.02498,3.00077,2.80957
0.0864581,9.06448,3,2.63017,1.03314,2.9104,2.32755
0.0902538,9.79624,3,2.79312,1.02847,3.40696,1.86195
0.355786,8.4223,3,2.59333,1.028,2.5173,6.27198
0.0971907,10.6294,3,2.70511,1.02982,4.37918,2.07974
0.142183,8.41116,3,2.56763,1.03948,2.47746,4.99946
0.0893536,8.81685,3,2.6204,1.03363,2.76409,3.05599
0.0843796,9.53834,3,2.77086,1.0314,3.14844,1.9931
0.0846286,8.56708,3,2.52554,1.03436,2.84789,2.26641
0.0815415,9.02277,3,2.72968,1.03796,2.65391,1.67372
0.0901417,9.13815,3,2.64367,1.03335,3.04544,3.20418
0.0830051,8.8086,3,2.51773,1.02702,3.05664,5.92259
0.0889214,9.1135,3,2.64907,1.0275,2.91044,1.61954
0.0848823,8.68504,3,2.56198,1.02404,2.88187,7.00225
0.0937801,9.01595,3,2.63187,1.02471,2.93363,6.71433
0.23093,10.5085,3.00552,2.96262,1.04103,3.8063,26.4706
