Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
32.919,26.485,1.202,2.734,99,1.23047,0.302122,6.84547
33.574,26.25,1.359,3.17,99,1.19158,0.123297,6.71482
36.331,27.984,1.463,3.511,99,1.27204,0.0703375,6.62148
38.351,30.136,1.52,3.442,99,1.1779,0.127303,6.52919
39.097,30.476,1.406,3.724,99,1.21973,0.0971325,6.43743
40.366,31.042,1.522,3.927,99,1.07082,0.154003,6.33212
39.86,30.526,1.456,3.874,99,0.780727,0.141423,6.25874
56.634,32.514,1.462,18.75,99,0.801743,0.00970163,6.22519
40.556,31.687,1.366,3.847,99,0.621422,0.373198,6.07482
41.73,32.168,1.447,4.129,99,0.510728,0.26301,5.94833
40.792,31.308,1.392,4.226,99,1.0416,0.294075,5.73113
42.387,32.865,1.44,4.069,99,0.931367,0.190923,5.58948
41.576,32.114,1.471,4.243,99,0.745585,0.365058,5.47264
42.229,32.637,1.407,4.072,99,0.297544,0.221432,5.37732
41.534,31.594,1.486,4.493,99,0.928039,0.345286,5.10353
44.68,33.838,1.663,4.513,99,0.092864,0.348679,5.29356
58.798,34.503,1.438,18.395,99,0,0.0264009,5.36118
42.511,32.22,1.396,4.541,99,1.21569,0.0416137,5.3602
48.065,33.172,1.413,9.159,99,0.322914,0.20576,5.30835
60.975,34.171,1.425,20.933,99,0,0.0297909,5.17783
43.386,33.294,1.394,4.597,99,0.832343,0.0353618,5.06247
45.203,34.702,1.412,4.615,99,0.911496,0.247954,4.80859
45.744,35.25,1.43,4.741,99,0.912871,0.306031,4.52719
47.894,36.804,1.643,4.865,99,0.991469,0.153841,4.41372
46.748,35.442,1.476,5.213,99,1.12507,0.143892,4.29759
47.436,36.916,1.417,4.572,99,1.20311,0.0938534,4.17539
46.176,35.556,1.43,4.47,99,1.23334,0.101859,4.04775
45.252,35.083,1.469,4.507,99,1.24032,0.111748,3.91687
44.217,33.806,1.488,4.657,99,1.20266,0.148673,3.80243
45.06,34.551,1.512,4.543,99,1.20657,0.170652,3.67675
45.183,34.533,1.581,4.686,99,1.21687,0.147062,3.58324
44.891,34.39,1.472,4.699,99,1.155,0.207408,3.48268
44.62,34.425,1.432,4.358,99,1.08539,0.238757,3.39706
50.559,33.138,1.478,11.962,99,0.497984,0.118437,3.5656
41.825,32.724,1.452,3.955,99,0.599011,0.562582,3.5679
40.059,31.175,1.446,3.801,99,0.47655,0.403267,3.59795
40.685,31.378,1.566,3.941,99,1.47191,0.390789,3.21442
39.876,30.609,1.419,4.073,99,1.57022,0.242105,2.87329
44.22,31.042,1.584,7.683,99,1.43252,0.13142,2.77297
38.457,29.641,1.414,3.757,99,0.552362,0.16097,2.73958
38.394,29.285,1.438,3.986,99,0.222085,0.162402,2.7212
39.798,30.013,1.908,4.188,99,0.0554491,0.274313,2.84908
40.918,31.144,1.434,3.877,99,0.199216,0.259259,2.76532
46.308,32.97,1.536,7.924,99,0.313967,0.18443,2.5905
44.294,30.833,1.45,8.196,99,0.0200598,0.181547,2.52862
41.101,31.573,1.42,3.94,99,0.732073,0.426012,2.43136
42.668,32.96,1.448,4.288,99,0.791997,0.322614,2.38151
43.397,33.352,1.474,4.563,99,0.849822,0.550155,2.28268
42.05,32.365,1.44,4.288,99,0.684518,0.3388,2.25754
40.781,31.198,1.431,4.19,99,0.492052,0.307869,2.29761
41.41,31.814,1.611,4.153,99,0.0955226,0.212256,2.28883
42.103,32.49,1.417,4.247,99,0.688875,0.196953,1.95354
41.719,31.947,1.517,4.194,99,0.944285,0.196666,1.89156
42.935,33.118,1.467,4.287,99,1.14357,0.236442,1.74407
41.356,31.488,1.512,4.218,99,1.03192,0.167938,1.69879
42.555,32.706,1.455,4.326,99,1.09809,0.181948,1.55616
44.639,34.349,1.436,4.526,99,1.0656,0.132785,1.51736
44.696,34.167,1.612,4.72,99,1.25222,0.152203,1.48758
44.04,33.65,1.52,4.685,99,1.32177,0.114308,1.42802
43.242,33.131,1.413,4.211,99,1.31449,0.156883,1.36723
41.945,32.118,1.474,4.359,99,1.29049,0.172146,1.32688
