Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP
0.462457,33.4624,92.3931,27.9294,1.46827,4.06474
0.439808,30.1261,71.7139,23.8808,1.65152,4.59377
0.487524,31.9799,71.7944,24.6329,1.70582,5.64114
0.420592,37.0235,82.4866,28.0032,1.78744,7.23282
0.531032,33.6942,76.4364,26.1051,1.7508,5.83823
0.533596,33.7869,77.1839,26.6186,1.77708,5.39121
1.75928,26.9622,62.0774,20.9736,1.72269,4.26591
0.377881,27.7395,47.3424,16.8323,1.52911,9.37806
0.629857,31.004,69.5182,23.1716,1.66452,6.16786
0.420423,31.8767,67.0976,23.2908,1.63306,6.95282
0.561276,31.4446,72.0738,24.6309,1.81786,4.9958
2.09972,27.2162,65.2406,21.3095,1.67218,4.23456
0.414851,36.5835,82.2971,27.8506,1.74882,6.98405
0.466401,30.9626,64.3122,22.1619,1.59292,7.20776
0.39479,32.0764,67.714,23.0676,1.61885,7.38995
0.872438,25.732,59.4655,19.5088,1.75215,4.47102
0.45599,34.2402,69.955,24.8711,1.6853,7.68382
0.668,31.3787,72.6232,23.8042,1.75265,5.82186
0.646161,30.0266,65.3613,22.2277,1.71914,6.07972
0.526545,31.4795,70.3116,24.6698,1.74872,5.06095
0.680609,33.907,80.7118,26.7686,1.74333,5.39502
0.414541,33.6466,66.9497,23.9296,1.63881,8.07819
0.570237,31.9726,72.1996,24.2942,1.74109,5.93729
0.654465,28.9664,63.5035,22.0078,1.64691,5.31168
0.561593,35.1293,81.1063,27.6906,1.76867,5.67003
0.543824,36.7083,76.1383,27.0928,1.67981,7.93566
0.55663,32.1434,74.8367,25.5114,1.75506,4.87686
0.560815,31.4359,67.0252,22.7574,1.6692,7.00928
0.707436,30.4345,71.9944,23.4973,1.74154,5.19569
0.469508,34.372,77.0263,26.3052,1.67481,6.39205
0.403682,34.682,69.4855,25.2248,1.64032,7.8169
0.453818,31.0399,69.7244,23.4084,1.71363,5.91782
0.409287,33.6567,71.5455,24.6946,1.68454,7.27754
0.393363,35.9726,79.4203,27.739,1.819,6.4146
0.548199,31.3625,67.1802,22.7736,1.69358,6.8953
1.16457,28.2283,63.4177,21.986,1.73722,4.50503
0.507225,29.4799,67.4623,22.7454,1.72047,5.01404
0.45057,33.2832,69.4401,23.9976,1.68796,7.59766
0.619967,29.0096,61.8764,21.2975,1.69542,6.01669
0.674416,27.3088,63.3013,21.0185,1.69203,4.59828
0.416836,32.3568,69.1137,23.9066,1.69935,6.75084
0.696942,28.3356,64.9385,21.7439,1.67743,4.9143
0.423941,32.6528,62.9368,22.5792,1.59952,8.47412
0.635755,30.6428,69.5096,23.2957,1.65675,5.69034
0.44863,31.9888,65.5559,22.7179,1.62336,7.64751
0.499189,29.2938,68.7887,23.0491,1.72277,4.52194
0.623222,32.9233,74.5678,25.9683,1.71504,5.23997
0.599202,30.0193,68.1654,22.534,1.73423,5.75101
0.475512,29.2058,63.7275,21.469,1.63818,6.09857
0.540878,39.7672,85.898,31.089,1.68018,6.99803
