Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
14.282,9.723,1.429,1.445,98.6667,1.03143,19.2461,16.0363
14.383,9.846,1.312,1.541,93.4815,0.742907,36.1522,3.47565
12.836,8.405,1.343,1.471,89.4815,0.0255132,1.39654,3.21378
16.181,8.578,1.374,4.604,92.8148,1.35647,2.66512,2.89472
13.391,8.801,1.316,1.539,87.4815,1.20109,3.78965,0.440773
15.417,8.051,1.317,4.339,81.7037,2.31283,5.4384,3.54294
12.243,7.771,1.361,1.473,77.037,0.915607,19.0758,6.50678
12.016,7.447,1.378,1.538,71.7778,0.830019,11.2781,0.847819
14.064,6.53,1.454,4.425,67.2593,3.31142,0.668436,1.25466
10.83,5.851,1.818,1.535,62.2222,1.32147,3.3448,0.280292
15.009,5.913,1.421,6.01,56.8148,2.75632,0.0355409,0.209306
9.981,5.368,1.425,1.475,51.7778,0.377877,13.9756,12.252
9.083,4.611,1.46,1.431,48.5926,1.05674,5.32699,5.93689
8.707,4.392,1.367,1.403,43.4074,0.672056,50.4674,1.88159
7.987,3.274,1.617,1.495,39.6296,0.181368,1.6848,1.84177
10.325,4.325,1.308,3.033,43.8519,0.446333,1.31555,1.72083
14.139,3.718,1.504,7.334,40.5926,0,0.0685772,1.8132
8.616,3.669,1.574,1.65,40.2222,0.615335,7.98974,0.708154
8.615,3.885,1.422,1.607,36.3704,0.342217,1.06371,0.47157
13.571,3.159,1.348,7.419,33.4074,0.799321,0.0647362,1.94706
12.132,2.939,1.422,6.034,29.037,3.79633,0.151146,1.08998
12.959,2.329,1.44,7.547,24.1481,1.95205,0.0764968,2.69621
6.882,2.311,1.396,1.566,19.1111,0.313029,37.3708,13.0997
9.484,1.837,1.369,4.624,16.963,0.586961,1.84486,6.45608
6.34,1.695,1.385,1.579,13.6296,0.496029,6.65183,5.80074
9.585,1.993,1.372,4.594,10.8889,0.95819,1.70497,4.75052
6.919,1.084,1.361,2.862,6.22222,0.486278,16.7554,8.89063
9.884,0.893,1.352,6.103,3.77778,0.195126,1.71157,7.84074
5.842,1.2,1.451,1.6,8.2963,0.803179,31.3573,14.0244
11.554,1.109,1.347,7.569,4.2963,0,1.61467,28.7613
5.869,1.316,1.369,1.543,6.96296,0.217107,41.5466,11.5173
5.79,1.121,1.358,1.661,4.96296,0.142146,67.4726,25.5554
9.684,2.086,1.356,4.549,10.2963,0.713699,5.90767,12.7995
9.121,1.334,1.445,4.688,6.96296,2.59502,7.34067,8.60119
11.735,1.016,1.509,7.632,3.11111,0,1.05966,14.372
5.904,1.224,1.393,1.625,4.44444,0.254867,32.2222,8.63725
7.243,1.149,1.351,2.988,2.88889,0.427133,7.65374,4.8213
11.513,0.909,1.368,7.673,2.66667,2.87268,1.62792,13.9536
11.795,1.017,1.421,7.673,2.66667,3.99955,1.24102,9.52469
11.909,0.944,1.42,7.917,2.66667,0,3.38976,40.8843
6.261,1.599,1.42,1.551,8,0.204868,67.2725,27.8834
11.53,1.021,1.356,7.54,6,0.537703,3.77745,25.7121
5.472,0.978,1.378,1.5,3.25926,0.296178,76.262,27.9382
11.44,0.831,1.384,7.69,2.66667,0,4.35363,37.3367
6,1.49,1.364,1.511,8,0.118957,234.171,72.6279
6.194,1.711,1.348,1.516,13.1852,0.284283,259.213,52.648
5.999,1.442,1.366,1.572,11.1852,0.266453,84.3434,45.759
6.202,1.553,1.38,1.585,9.18519,0.688103,52.3403,16.1835
10.287,1.078,1.357,6.204,5.85185,3.01339,4.27082,6.4606
11.976,0.957,1.371,8.016,2.66667,0,1.43721,19.6119
5.64,1.077,1.383,1.541,4.66667,0.413019,74.8931,5.86837
8.808,0.984,1.362,4.792,2.66667,0.638689,2.59957,3.91624
11.888,1.12,1.417,7.741,2.66667,0,0.213892,4.42249
11.997,1.064,1.394,7.891,2.66667,0.604531,0.559558,6.48379
11.804,1.138,1.424,7.66,2.66667,0,0.562818,7.80773
8.726,0.946,1.398,4.746,2.51852,0.532769,3.4499,5.77852
11.83,1.123,1.4,7.612,2.66667,1.60152,0.828104,8.52984
7.072,0.912,1.398,3.114,2.66667,1.5868,5.23047,3.32255
5.595,1.034,1.357,1.548,2.66667,0.761267,33.1042,4.07984
5.445,0.955,1.357,1.509,2.66667,0.684028,21.9041,11.478
11.675,0.772,1.363,7.955,2.66667,0,0.811242,14.2096
11.095,0.904,1.38,7.212,3.33333,0,1.93362,13.9148
5.744,1.182,1.378,1.508,7.25926,0.0704739,26.6007,13.3768
6.14,1.64,1.383,1.488,12.5185,0.20652,26.9481,10.3522
5.957,1.394,1.396,1.573,10.3704,0.528324,27.8939,2.2842
8.851,1.397,1.39,4.427,7.18519,1.58302,2.09524,2.68898
6.973,1.037,1.42,2.987,2.66667,0.392002,5.67762,4.87263
11.42,1.107,1.297,7.436,2.66667,0,0.0539651,2.44642
9.089,1.059,1.386,4.926,2.66667,0.955932,1.18466,1.54494
11.448,0.764,1.345,7.693,2.44444,2.54685,0.130176,1.77292
8.437,0.87,1.333,4.584,2.66667,0.525081,0.302904,1.7276
11.865,0.842,1.354,8.024,2.66667,0,0.0692637,2.16487
10.542,1.077,1.355,6.295,2.66667,0.226783,4.31274,11.3421
11.469,0.728,1.378,7.677,2.66667,0,1.63995,20.4028
7.397,1.247,1.351,3.066,5.33333,0.261795,12.4066,13.6416
6.119,1.206,1.511,1.709,3.25926,0.276392,13.3092,10.6342
11.895,1.244,1.324,7.625,2.66667,7.93492,0.75641,10.992
7.491,1.256,1.334,3.251,2.66667,0.566196,9.10569,13.0419
10.722,1.527,1.313,6.237,2.66667,0.82062,2.85599,15.4252
12.456,1.38,1.321,7.781,2.66667,4.9584,1.41226,19.7941
11.869,1.107,1.318,7.832,2.66667,0,1.00111,20.9595
12.675,1.31,1.348,8.365,4,0.933025,1.28872,12.2862
11.688,0.809,1.357,7.855,2.66667,0,1.56133,14.9559
5.756,1.217,1.348,1.516,5.33333,0.334212,22.2741,7.1652
9.992,1.062,1.379,5.947,2.66667,0.182632,3.45529,9.78784
5.924,1.383,1.443,1.495,8,0.903835,40.243,3.29396
11.304,0.829,1.343,7.627,3.33333,0,0.115257,3.96579
5.593,1.093,1.345,1.551,3.33333,0.264714,4.69058,2.82005
5.872,1.307,1.358,1.552,2.66667,0.604819,3.47339,1.14296
5.736,1.032,1.361,1.675,2.66667,0.283681,2.17522,1.89337
5.524,0.904,1.383,1.53,2.66667,0.654807,12.7497,4.65394
9.978,0.902,1.329,6.102,2.66667,-0.000138717,-32083.6,3.67127
6.229,1.618,1.406,1.502,8,0.158511,75.0268,32.3887
6.367,1.856,1.333,1.56,13.3333,0.833559,40.0252,11.6083
6.133,1.618,1.388,1.508,9.33333,0.633835,31.2815,3.74017
5.49,1.083,1.331,1.495,5.92593,0.811378,4.17957,1.93775
8.787,1.283,1.411,4.511,2.66667,0.231133,2.38514,7.94417
11.955,1.063,1.622,7.737,2.66667,0,-847226,7.08524
11.624,1.346,1.364,7.348,8,0,0.513231,5.93817
11.627,1.281,1.377,7.395,8,0,0.974305,10.3215
9.116,1.57,1.348,4.309,8.66667,0.05337,4.40329,8.87555
6.189,1.763,1.345,1.507,14,0.20269,13.2061,6.35591
12.259,1.596,1.4,7.625,12,1.65692,0.762204,6.56602
7.498,1.171,1.403,3.308,7.33333,0.0141881,10.172,9.59714
12.173,1.815,1.399,7.371,12.3704,0,0.312891,10.1085
6.288,1.656,1.429,1.52,12.2222,0.579602,19.9109,2.46415
8.991,1.556,1.343,4.514,8.88889,0.700258,11.8579,7.09203
9.01,1.123,1.351,4.894,5.55556,2.49215,2.72728,3.65804
11.379,0.981,1.381,7.483,2.66667,0,0.377144,7.36791
7.046,1.002,1.361,3.049,2.44444,0.286991,7.30038,5.4166
11.533,0.991,1.343,7.643,2.66667,0,0.543965,6.16534
11.421,0.857,1.35,7.56,2.66667,0.752109,0.478992,5.06659
11.719,1.095,1.353,7.698,2.66667,0,0.467994,6.52349
8.488,0.938,1.37,4.554,2.66667,0.358542,9.09824,11.3848
5.941,1.137,1.346,1.551,2.66667,0.645036,19.0436,2.23816
11.747,1.032,1.31,7.773,2.66667,0,0.110211,3.0819
5.877,1.147,1.346,1.601,2.66667,0.0703433,1.18628,2.00346
5.918,1.361,1.345,1.568,5.92593,0.332479,8.85493,2.32117
12.139,1.138,1.332,8.035,3.92593,0,0.413463,6.66715
12.222,1.176,1.352,8.054,3.85185,0,0.66164,5.4907
12.123,1.335,1.359,7.777,4.51852,0,0.783464,6.63535
5.812,1.207,1.374,1.562,5.18519,0.279346,17.8145,5.04557
11.547,0.929,1.329,7.707,3.18519,0,0.860701,6.5591
11.752,0.849,1.336,7.712,3.85185,0,0.310297,3.37675
7.162,0.994,1.379,3.088,3.85185,0.0189856,60.7485,34.6719
6.617,1.93,1.522,1.528,9.18519,0.125638,16.1517,6.08911
12.596,2.054,1.368,7.592,14.2222,0,0.173734,2.81586
6.468,1.802,1.451,1.525,13.7037,0.288438,27.2555,5.79791
12.486,1.782,1.381,7.783,11.7037,0,0.600046,4.98196
6.576,1.92,1.375,1.562,12.3704,0.063664,21.8267,9.91757
6.928,2.36,1.377,1.487,17.7037,0.27303,28.8706,5.84453
12.171,1.988,1.375,7.288,15.5556,0,0.976941,7.2077
6.424,1.945,1.364,1.521,16,0.300607,48.9726,7.36753
10.869,1.829,1.311,6.092,13.8519,0.784692,2.26949,4.203
11.898,1.642,1.365,7.294,9.77778,0,2.14677,17.2118
6.521,2.049,1.316,1.522,14.4444,0.310926,30.4278,9.4759
12.204,1.584,1.428,7.569,12.4444,2.33949,0.935051,5.69857
6.061,1.32,1.603,1.479,7.48148,0.0296643,20.6134,19.7059
6.273,1.795,1.319,1.551,12.5926,0.591696,26.1402,11.8866
10.771,2.028,1.335,5.767,9.25926,2.011,2.26668,4.42162
11.348,1.279,1.391,7.14,4.59259,0,0.577939,7.41978
5.645,1.203,1.319,1.515,5.25926,0.248436,38.7393,7.66026
11.439,1.241,1.408,7.278,3.48148,0,1.26843,10.3684
11.403,1.194,1.376,7.27,4.81481,0,2.35761,15.4686
5.93,1.47,1.362,1.487,9.85185,0.0883822,73.9223,23.4188
