Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
3.665,1.054,0.906,0.819,4.77778,0.735916,18.4089,4.48885
4.027,1.401,0.899,0.856,5,0.467584,4.72893,3.0828
3.693,1.053,0.931,0.813,4.22222,0.705515,2.81773,1.19131
3.597,0.924,0.987,0.831,4.66667,0.433624,1.17545,0.600131
7.267,1.244,0.98,4.189,6.22222,0,0.0364525,0.517184
4.662,1.115,0.893,1.761,6.11111,0.211619,0.301349,0.435762
7.167,1.157,0.977,4.136,5.66667,0,0.0255134,0.423792
7.456,1.229,0.916,4.392,5.66667,0,0.0266714,0.43165
7.66,1.406,0.912,4.296,5.66667,3.31653,0.0178462,0.378117
4.122,1.334,0.875,0.924,7.33333,0.271659,0.39668,0.316521
7.704,1.583,0.918,4.171,8.66667,0.639347,0.0222434,0.295099
6.308,1.945,0.949,2.505,24.5556,0.240414,0.0771192,0.295731
9.327,3.494,0.917,4.072,43.2222,0,0.0126691,0.298897
5.982,3.233,0.978,0.869,43,0.569968,0.212182,0.19836
6.756,3.162,1.095,1.64,41.5556,0.386682,0.123167,0.151897
8.536,2.622,0.983,4.087,36,0,0.00743611,0.160365
5.194,2.502,0.959,0.84,35.5556,0.647124,0.125061,0.0999225
8.393,2.585,0.886,4.091,34.3333,0,0.00508714,0.112802
5.339,2.723,0.889,0.826,34.2222,0.48457,0.0776416,0.0989632
8.318,2.473,0.872,4.108,34,0.68868,0.00582307,0.105695
8.582,2.888,0.967,3.849,35.3333,0,0.00519441,0.115838
6.942,2.582,0.97,2.481,35.3333,1.13439,0.036824,0.0902771
8.604,2.583,0.926,4.216,34.4444,0,0.00240557,0.10416
8.7,2.676,0.985,4.143,34.4444,0,0.00539074,0.125301
9.058,2.933,0.897,4.301,34.4444,3.72528,0.00615757,0.132058
6.266,2.706,0.912,1.729,33.8889,0.232323,0.083709,0.144666
9.006,3.103,1.082,3.937,35.7778,0,0.0156059,0.265417
7.023,2.795,0.876,2.446,35.8889,0.176378,0.0932204,0.269256
6.131,2.724,1.062,1.397,34.4444,0.615753,0.4269,0.146611
9.233,3.361,0.941,3.936,45.2222,0,0.00593449,0.152314
6.424,3.669,0.935,0.868,44.7778,0.68215,0.0928368,0.0971822
6.423,3.36,1.165,0.985,42.6667,0.381187,0.0761821,0.0718643
9.582,3.639,0.899,4.168,40.6667,0,0.00299205,0.0728299
6.13,3.055,1.209,0.962,39.5556,0.31199,0.0397162,0.0616132
9.365,3.167,1,4.31,40.5556,0,0.00354821,0.0688191
6.855,3.247,0.908,1.749,39.7778,0.431265,0.0371048,0.0631473
5.927,3.22,0.943,0.847,39.5556,0.600912,0.0512911,0.0398462
9.206,3.307,0.916,4.139,40.7778,0,0.0284002,0.462571
6.25,3.194,1.242,0.871,41,0.725266,0.56622,0.0885437
7.89,3.184,1.211,2.568,39.2222,0.551528,0.0378243,0.079815
6.099,3.484,0.879,0.829,39.7778,0.629039,0.286582,0.160781
8.598,2.942,1.451,3.302,46.6667,0.183407,0.0252112,0.155776
6.016,3.325,0.896,0.859,49.3333,0.584449,0.204145,0.133025
8.684,3.408,1.128,3.225,50.5556,0.773189,0.0165367,0.124534
6.873,4.126,0.97,0.851,52.5556,0.651286,0.120374,0.168874
8.035,3.815,0.991,2.319,53.2222,1.07689,0.0388433,0.136966
7.056,3.693,0.914,1.594,53.3333,0.485944,1.07964,1.13505
5.67,3.049,0.947,0.795,46.8889,0.640414,1.24627,0.543637
5.697,3.077,0.917,0.853,47.3333,0.25253,0.523099,0.455158
5.866,3.113,1.078,0.81,50.1111,1.02747,0.37563,0.0769686
5.623,3.128,0.911,0.766,53.7778,0.461221,0.0559549,0.0512289
6.209,3.308,1.281,0.795,51.5556,0.468905,0.0368534,0.034402
6.052,3.369,1.089,0.784,50.8889,0.731961,1.19617,0.233145
7.191,3.061,0.929,2.367,51,0.691848,0.100578,0.170653
6.413,2.931,0.976,1.651,46.2222,0.677709,0.146758,0.0729756
6.963,3.564,0.969,1.589,48.6667,0.305689,0.0318532,0.0636678
5.432,2.696,1.094,0.79,42.6667,0.438772,21.3532,10.7359
8.188,2.605,0.91,3.919,36.2222,0,0.840987,11.3722
5.135,2.574,0.916,0.806,36.4444,0.0927573,8.22064,10.932
5.847,2.413,0.983,1.581,32.3333,0.109928,9.57724,10.8232
5.513,2.702,1.025,0.781,33.2222,0.680031,47.4999,13.4493
8.232,2.434,0.9,4.028,32.1111,1.37703,0.768591,12.8194
7.781,2.156,0.914,3.92,29.2222,0,0.890306,13.2538
4.951,2.372,0.935,0.799,29.2222,0.394737,9.57931,9.94476
7.839,2.078,0.917,4.023,26.1111,0,0.885542,10.5549
4.843,2.215,0.925,0.824,25.8889,0.00109732,10.9448,10.8543
5.566,2.057,0.983,1.653,26.2222,0.207823,10.2025,9.28322
5.316,1.874,0.938,1.612,22.3333,0.207551,7.00285,9.47891
4.715,2.048,0.916,0.878,25.4444,0.11766,12.6338,9.00709
4.943,2.257,0.981,0.829,30.8889,0.5164,12.9233,4.2041
8.024,2.095,0.946,4.16,28.4444,0,0.252872,4.31941
8.014,2.102,0.951,4.115,27.4444,0,0.325162,4.4771
8.004,2.14,0.95,4.076,27.4444,0,0.177371,4.57458
6.296,2.074,0.942,2.413,26.2222,0.0895307,0.837527,4.74355
7.218,2.235,0.943,3.179,27.2222,0.0334768,0.840984,5.03339
7.797,2.01,0.94,3.99,27.4444,0.586714,0.423347,5.14621
7.978,2.258,0.934,3.964,26.6667,0,0.505503,6.2807
7.869,2.207,0.927,3.879,26.6667,0.5297,0.442783,6.30463
7.821,2.031,0.918,4.085,24.6667,0,0.611715,7.264
7.812,2.122,0.92,3.954,23.6667,0,0.561205,8.02433
5.394,2.095,0.896,1.547,23.1111,0.128864,5.96939,7.68974
7.36,1.623,0.9,3.967,21,0.0106308,0.633488,8.07763
7.469,1.79,0.918,3.967,20.2222,0,0.681949,8.48778
7.157,1.479,0.911,3.964,20.1111,0,0.75273,8.97464
7.296,1.606,0.948,3.892,20.1111,0.396549,0.696106,8.97631
7.468,1.733,0.972,3.93,19.4444,0.0208514,0.800488,9.83218
7.232,1.639,0.946,3.853,19.3333,0,0.83517,10.6103
7.161,1.497,0.924,3.904,18,0,0.887761,11.5574
7.205,1.522,0.919,3.945,17.8889,0,0.659497,12.1064
6.388,1.495,0.925,3.108,17.7778,0.180172,1.68472,12.4058
4.914,1.568,0.918,1.577,17.4444,0.0449092,9.27195,13.0584
7.993,1.875,0.868,4.14,17.6667,0,0.566303,14.886
5.051,1.948,0.874,1.093,17.4444,0.523568,4.22439,13.9135
7.899,1.616,1.016,4.477,16.5556,0,0.69381,14.6976
5.869,1.508,0.937,2.537,16.4444,0.264128,6.34315,13.8739
4.356,1.803,0.914,0.815,18.8889,0.00757957,11.539,14.4091
7.276,1.822,0.99,3.68,19,0,0.856554,14.9653
4.357,1.769,0.931,0.803,19,0.253815,11.881,12.2348
4.366,1.804,0.98,0.798,19.4444,0.136502,12.612,10.8331
4.221,1.571,0.988,0.835,18.7778,0.525492,12.3759,4.60746
7.408,1.853,0.981,3.808,25.3333,0,0.292622,4.6109
6.692,1.958,0.979,2.938,25.3333,1.1836,0.95094,3.51223
7.194,1.966,0.879,3.553,25.8889,0,0.227674,3.52012
6.012,2.052,0.882,2.243,25.4444,0.366079,1.04109,3.19239
7.369,1.906,0.989,3.708,23.3333,0,0.172528,3.27402
5,1.784,0.892,1.506,23.3333,0.508619,1.28894,2.67209
7.294,1.915,0.972,3.659,24.2222,0,0.139699,2.63764
7.138,1.791,0.907,3.63,23.5556,1.06488,0.0622716,2.53236
7.661,2.278,0.879,3.748,28.1111,0,0.0577665,2.49181
7.83,2.282,0.907,3.804,27.1111,0.23747,0.0506073,2.42806
7.725,2.097,0.918,3.863,26.8889,1.41187,0.0506392,2.30227
7.718,2.145,0.933,3.838,24.5556,0,0.0341301,2.14239
5.08,1.923,0.876,1.485,24,0.111449,0.297297,2.00773
6.912,1.717,0.874,3.583,22.1111,0,0.0297426,1.78898
7.038,1.678,0.894,3.732,22,0,0.0187902,1.73663
7.198,1.913,0.917,3.613,22.1111,0,0.00914841,1.66714
4.387,1.89,0.939,0.763,22.3333,0.0277187,0.138856,1.6297
7.169,1.867,0.965,3.6,22.4444,0,0.0170927,1.56307
7.237,2.004,0.891,3.598,22.3333,0,0.00709745,1.52832
7.365,1.97,0.944,3.696,22,0,0.0036024,1.45763
7.153,1.92,0.877,3.575,21.8889,0,0.00353218,1.42141
7.278,1.905,0.904,3.735,21.7778,0,0.00245427,1.34804
7.336,1.931,0.951,3.704,21.6667,0,0.00310465,1.3121
7.394,1.975,0.991,3.694,21.7778,0,0.00341084,1.27571
7.477,1.988,0.943,3.759,21.8889,0,0.0015618,1.21019
7.887,2.101,0.953,4.008,22,0,0.00486236,1.18174
4.77,2.181,0.922,0.786,21.6667,0.0170809,0.0487252,1.14392
4.741,2.045,0.992,0.834,21.6667,0.167715,0.119073,1.10322
6.996,2.087,0.949,3.114,21.7778,0.0252218,0.0430507,1.08195
7.757,1.992,0.93,3.968,20.7778,0.647816,0.020788,1.04279
5.032,2.147,0.973,1.01,22.1111,0.449121,0.45506,0.800108
5.538,2.049,1.008,1.636,23.3333,0.224278,0.231441,0.679172
7.953,2.206,0.905,4.03,22.5556,0,0.0219548,0.608039
6.377,2.166,0.887,2.442,22.5556,0.211741,0.0534472,0.560849
8.168,2.011,0.964,4.367,22,0,0.0143788,0.491014
4.668,2.012,0.956,0.834,21,0.162124,0.0726168,0.416561
7.732,1.932,0.923,4.046,20.2222,0,0.00780453,0.354169
7.726,1.947,0.919,3.985,20.1111,0,0.00467672,0.327717
7.803,1.978,0.954,4.046,19.7778,0,0.00319476,0.283521
7.836,1.861,0.956,4.198,19.3333,0,0.00100051,0.26453
7.476,1.805,0.986,3.872,18.8889,0,0.000795903,0.230516
7.72,1.737,1.129,4.025,19.1111,0,0.000710403,0.215332
7.489,1.752,0.89,4.032,18.6667,0,0.0013847,0.190019
4.555,1.966,0.893,0.817,18.5556,0.0896891,0.0183616,0.180151
7.496,1.819,0.862,3.989,17.7778,0,0.000767505,0.162299
7.309,1.639,0.887,3.967,16.5556,0,0.000599333,0.147131
5.886,1.689,0.911,2.416,16.1111,0.223304,0.00745487,0.145631
5.89,1.7,0.962,2.373,15.5556,1.27746,0.0111597,0.130144
7.356,1.744,0.894,3.901,15.7778,0,0.00138563,0.123216
7.24,1.677,0.879,3.852,14.6667,0,0.00111998,0.116515
7.636,1.847,0.941,4.002,14.4444,0,0.00031168,0.114108
7.52,1.494,0.97,4.269,13.8889,0,3.99642e-05,0.112525
8.15,1.814,1.29,4.009,13.6667,0.0593894,0.00136042,0.112805
4.217,1.484,0.944,0.803,12.7778,0.344372,0.0469792,0.100153
6.309,1.543,0.92,3.028,12.1111,0.316167,0.00933631,0.096601
3.901,1.442,0.863,0.765,11.5556,0.559836,0.0569121,0.0647663
3.919,1.45,0.871,0.771,12.7778,0.140392,0.0369883,0.0556628
7.168,1.559,0.876,3.928,13.5556,0,0.00191752,0.054008
4.137,1.645,0.875,0.78,12.8889,0.19164,0.0274826,0.0464566
7.494,1.907,0.892,3.898,14.6667,0,0.00163771,0.0417565
4.146,1.602,0.915,0.79,14.4444,0.0732029,0.0186724,0.0396083
3.995,1.498,0.889,0.775,13.3333,0.151338,0.0190242,0.0341876
6.869,1.393,0.915,3.782,11.7778,0,0.0013792,0.0300603
5.488,1.494,0.972,2.21,11.6667,0.633168,0.00472311,0.0254442
7.136,1.611,1.028,3.742,11.5556,0,0.000810024,0.0222655
7.255,1.57,0.972,3.933,11.3333,0,0.000613509,0.0209918
6.689,1.297,0.87,3.757,10.8889,0,0.000626365,0.0185708
6.805,1.251,0.89,3.848,10.5556,0,0.000292989,0.0179773
3.945,1.379,0.916,0.796,10.4444,0.00764764,0.00163445,0.017708
6.907,1.379,0.897,3.827,10.3333,0,0.000401405,0.0175293
6.11,1.238,0.96,3.055,10,0.288382,0.00156192,0.0174158
3.925,1.384,0.908,0.784,9.66667,0.0626105,0.0102153,0.0184253
5.291,1.218,0.897,2.334,9.22222,0.0578063,0.00439434,0.0187024
5.381,1.271,0.922,2.335,9.33333,0.00894894,0.00578006,0.019893
5.383,1.253,0.942,2.332,9,0.160223,0.0105779,0.025004
7.038,1.263,0.933,4.039,7.11111,0,0.00168962,0.0270473
5.269,1.139,0.922,2.343,6.77778,0.419225,0.00918362,0.0246621
6.716,1.099,0.915,3.866,6.55556,0,0.00182609,0.0256708
6.783,1.226,0.926,3.813,6.11111,0,0.0017121,0.0264137
6.456,1.036,0.959,3.706,5.55556,0,0.00091889,0.0284306
6.546,1.114,0.867,3.721,5.44444,1.28945,0.000812166,0.0286127
6.585,1.019,0.957,3.812,5.77778,0,0.000923175,0.0314658
6.752,1.031,0.892,3.804,5.77778,0,0.00071966,0.033427
3.42,0.956,0.881,0.75,5.77778,0.605005,0.00518115,0.0356091
6.57,1.071,0.891,3.835,5.44444,0,0.000701382,0.0389173
6.685,0.986,0.97,3.856,5.11111,0,0.000308988,0.0477862
6.654,1.02,0.909,3.91,4.66667,0,6.34038e-05,0.0535221
6.586,0.944,0.933,3.895,4.22222,0,0.000134211,0.0602544
3.57,0.955,0.971,0.783,4,0.6359,0.000514883,0.0675505
3.564,0.947,0.962,0.823,4.11111,5.04513,0.00189217,0.0750344
3.707,1.162,0.899,0.802,4,0.64561,0.0138077,0.0855313
4.997,0.884,0.905,2.363,3.88889,1.31547,0.0166953,0.0836409
6.637,1.009,0.967,3.859,3.88889,0,0.00472043,0.0907083
3.483,0.927,0.901,0.782,3.88889,0.0601289,0.0726052,0.104332
3.47,0.902,0.921,0.789,4,0.574161,0.0935887,0.0671053
3.53,0.954,0.922,0.797,4,0.741216,0.070452,0.0154169
7.021,1.076,0.902,4.236,4.77778,0,0.000728442,0.0154237
3.688,1.039,0.973,0.796,4.77778,0.249603,0.00671516,0.0139148
5.161,0.98,0.983,2.337,4.66667,1.09291,0.0027775,0.010934
6.454,0.937,0.865,3.839,4.66667,0,0.000597866,0.0108323
5.85,0.999,0.968,3.069,4.66667,1.53768,0.000281406,0.0104421
6.505,1.038,0.869,3.806,4.88889,0,0.000206956,0.0105404
3.657,1.104,0.964,0.766,5,0.430026,0.00177725,0.0102465
3.829,1.216,0.968,0.83,4.77778,0.147926,0.00356548,0.00971361
6.876,1.175,0.963,3.962,5.44444,0,0.000486074,0.00962755
3.497,1.007,0.861,0.772,5.44444,0.221567,0.00155445,0.00933317
6.101,1.147,0.902,3.213,5.55556,0.458051,0.000791297,0.0091211
