Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
0.0901252,6.94578,24.5145,2.1167,0.956064,2.98782,0.591915
0.015276,6.95489,27.564,2.24607,0.97329,2.83514,0.643875
0.0394138,7.10785,30.7315,2.41564,0.997352,2.76491,0.640318
0.120677,7.03334,24.7308,2.10553,0.952174,3.09821,0.397284
0.189376,6.95108,22.5416,2.01919,0.955584,3.06649,0.372135
0.280256,6.78141,25.6572,2.13608,0.954995,2.82598,0.450113
0.0395523,6.90056,27.859,2.24147,0.97201,2.79212,0.551434
0.082622,6.5718,20.3248,1.81455,0.936809,2.97409,0.884945
0.104099,6.81647,22.5927,1.98465,0.941249,3.02416,0.616395
0.229328,7.0315,28.6681,2.30549,0.982025,2.8474,0.641788
0.49927,6.87965,24.6522,2.03785,0.952644,3.01648,0.482272
0.0480857,7.05091,27.8449,2.26108,0.981554,2.88909,0.533584
0.437533,6.98097,24.7606,2.11669,0.948124,3.03234,0.514927
0.179127,6.90252,21.9817,1.91921,0.946839,3.17361,0.470028
0.0218573,6.88933,27,2.18682,0.954032,2.87403,0.501862
0.032405,7.0815,29.5745,2.3412,0.97878,2.85317,0.556548
4.37329,6.70828,21.1273,1.89482,0.944786,2.99213,0.522138
1.18442,6.9072,24.5724,2.06179,0.947021,3.04162,0.536413
0.151018,7.04027,27.2739,2.24174,0.979209,2.91958,0.513811
11.1428,7.03635,16.3169,1.72822,0.93949,3.45511,0.672511
0.0550594,6.79187,21.7309,1.91103,0.93647,3.08739,0.393035
0.816759,6.90156,23.9981,1.99692,0.933956,3.1223,0.479747
0.0433396,6.889,26.4301,2.18492,0.943243,2.88749,0.625197
0.170178,7.04329,29.5246,2.32368,0.987264,2.82461,0.53727
0.142666,6.97295,28.9144,2.28662,0.981453,2.81565,0.695545
0.112296,6.94596,29.9683,2.35193,0.988589,2.69878,0.483531
0.0466239,6.9327,21.975,1.99825,0.948424,3.11269,0.425804
0.0601684,6.99321,25.9499,2.15192,0.955173,3.00845,0.414577
0.0176402,7.17425,31.5833,2.45725,0.98542,2.80958,0.57592
0.12772,6.99924,26.592,2.21165,0.969389,2.92414,0.463842
0.0327698,7.17825,28.5685,2.33642,0.982575,2.95331,0.504999
0.0369735,6.93312,27.0856,2.24109,0.973961,2.81562,0.687855
0.0985452,6.9074,23.9425,2.06829,0.959223,2.98883,0.494281
0.0234144,7.25994,30.9876,2.45104,0.98722,2.90471,0.598254
0.366897,6.89996,24.31,2.0334,0.946499,3.04761,0.505495
0.0884055,6.80108,26.2595,2.14484,0.958652,2.82488,0.632208
0.228485,6.90302,22.2829,1.96104,0.947973,3.12022,0.547266
0.118739,6.71543,21.3607,1.89966,0.933087,3.02918,0.402721
