Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
10.421,5.44,1.503,1.627,50,0.771567,199.975,10.1723
9.22,4.243,1.572,1.744,50,0.885128,8.62264,0.725344
9.679,4.49,1.619,1.869,50,1.78754,0.44693,0.133596
10.676,5.393,1.537,1.868,50,0.49838,48.4832,7.45783
12.916,5.067,1.638,4.07,50,1.1876,4.00126,3.69429
10.091,4.809,1.583,1.86,50,0.694903,11.263,1.90195
10.264,4.867,1.574,1.917,50,1.19125,4.58653,0.644111
9.967,4.55,1.633,1.916,50,0.441484,0.320311,0.691999
16.149,5.029,1.586,7.486,50,1.53065,0.794165,2.07618
10.457,5.091,1.59,1.959,50,0.639946,17.2448,1.13108
11.886,4.861,1.584,3.591,50,0.982895,1.33808,1.31846
15.353,4.881,1.604,7.03,50,3.51004,0.104038,0.839201
12.086,4.955,1.604,3.642,50,1.80397,0.423849,0.344127
10.15,4.867,1.578,1.844,50,0.942305,0.854881,1.28354
16.649,4.566,1.58,8.696,50,0.893772,0.155328,5.25906
10.242,4.936,1.617,1.872,50,0.714715,15.3995,1.4102
15.057,4.668,1.629,7.017,50,4.13109,0.146564,0.827357
12.957,4.641,1.627,4.939,50,3.25568,0.312328,0.27483
10.287,5.135,1.588,1.799,50,1.40696,2.91193,0.670781
9.886,4.662,1.621,1.891,50,0.74051,12.5864,1.23113
10.312,5.065,1.573,1.873,50,1.02458,1.07451,0.488899
10.369,4.956,1.604,1.911,50,1.374,2.96936,0.980054
10.64,5.219,1.591,2.002,50,1.55968,1.16506,0.455409
10.914,5.345,1.625,1.966,50,1.09443,1.22672,0.69988
11.126,5.589,1.616,1.95,50,0.943726,1.01744,0.177426
10.97,5.416,1.632,1.95,50,1.46759,0.327693,0.116998
12.837,5.385,1.626,3.879,50,0.48752,0.0881416,0.174809
10.847,5.374,1.613,1.883,50,1.31756,1.00059,0.541965
10.23,4.82,1.62,1.927,50,1.26495,0.432519,0.243666
10.339,4.938,1.632,1.836,50,0.81355,0.257897,0.19214
10.22,4.772,1.623,1.958,50,1.02864,0.339975,0.322035
10.627,5.211,1.63,1.859,50,0.474728,0.216603,0.23911
10.363,4.94,1.621,1.925,50,1.02821,0.595818,0.272982
10.688,5.212,1.611,1.913,50,1.05461,1.13821,0.16473
12.649,5.124,1.629,3.793,50,0.484535,0.0818929,0.160576
10.638,5.178,1.635,1.95,50,0.929314,4.04332,0.174344
10.355,4.904,1.613,1.927,50,1.20582,0.525075,0.150586
10.707,5.211,1.637,1.918,50,1.50444,0.731426,0.243848
10.504,5.035,1.64,1.925,50,0.710746,0.959193,0.909311
10.841,5.296,1.636,1.887,50,0.60896,1.76691,1.39641
12.331,5.154,1.615,3.629,50,2.01032,1.33191,0.596764
10.551,5.143,1.617,1.895,50,0.834734,0.373573,0.47422
10.822,5.23,1.635,1.996,50,1.15819,0.929362,0.272803
11.117,5.599,1.64,1.888,50,1.59544,0.398353,0.231505
10.506,5.059,1.609,1.904,50,1.29441,0.582124,0.143877
12.523,5.225,1.652,3.736,50,1.33158,0.306142,0.316283
10.005,4.681,1.617,1.829,50,0.637936,2.45121,0.475653
9.928,4.535,1.619,1.951,50,0.673435,10.7336,0.327159
14.178,5.076,1.632,5.513,50,2.65238,0.188338,0.514859
10.165,4.785,1.639,1.903,50,0.669312,3.05997,0.652583
10.443,4.968,1.619,1.955,50,0.683972,4.2036,1.24314
10.703,4.965,1.635,2.179,50,0.591689,1.30911,1.28389
10.005,4.615,1.608,1.867,50,0.971671,2.71349,0.221754
10.324,4.789,1.614,2.046,50,1.14158,0.109157,0.104585
10.379,4.927,1.643,1.919,50,0.827349,0.96633,0.801256
10.502,4.991,1.621,1.933,50,1.04232,1.02361,0.114866
10.765,5.026,1.622,2.143,50,0.932819,0.664188,0.191987
10.804,5.224,1.654,1.956,50,0.720477,4.48175,4.6271
10.864,5.339,1.626,1.976,50,0.00982227,64.4497,44.7497
10.712,5.044,1.9,1.869,50,0.328613,52.8281,29.7555
10.41,4.891,1.683,1.963,50,1.52274,12.148,1.02496
12.803,5.226,1.649,3.917,50,1.47215,5.29403,1.99401
11.359,5.722,1.644,1.975,50,0.865383,2.63946,0.198041
10.75,5.14,1.63,2.012,50,0.841083,2.70573,0.105682
10.607,5.182,1.626,1.861,50,0.9149,2.46916,0.43512
11.197,5.711,1.632,1.866,50,0.657558,63.3249,0.839411
10.588,5.028,1.692,1.906,50,1.12285,1.45022,0.552368
10.317,4.852,1.617,2.012,50,0.602648,24.4297,1.36584
10.59,4.883,1.633,2.173,50,0.697546,71.6832,2.62241
11.509,5.7,1.738,1.968,50,0.190494,1.13439,1.53494
11.522,5.568,1.624,2.292,50,1.01871,1.1688,0.711309
10.975,5.139,1.634,1.993,50,0.919415,3.36533,0.556365
11.182,5.634,1.625,1.919,50,0.551694,11.4004,2.71232
18.298,5.463,1.631,9.214,50,3.69612,0.0763469,1.70437
12.853,5.55,1.584,3.747,50,1.15232,2.18288,1.45116
10.518,5.169,1.575,1.859,50,0.897332,69.7125,12.3626
9.764,4.507,1.585,1.827,50,0.653365,24.5473,11.4616
13.75,4.804,1.607,5.47,50,0.624465,0.775556,2.2238
10.387,5.065,1.579,1.87,50,0.877895,13.5872,0.883626
10.42,5.016,1.642,1.856,50,1.28466,0.885779,0.808634
12.006,4.921,1.632,3.599,50,2.25859,0.731078,0.363681
13.555,4.876,1.58,5.272,50,0.574952,0.989739,3.14433
10.027,4.77,1.584,1.813,50,0.168044,6.58104,9.02341
11.767,4.808,1.573,3.532,50,1.27978,3.15594,1.40535
12.02,4.954,1.597,3.598,50,1.54046,2.01406,0.908447
10.216,4.891,1.58,1.897,50,1.07846,14.9154,0.565899
19.133,4.848,1.603,10.801,50,5.05506,0.0708639,1.73505
10.343,5.125,1.581,1.785,50,1.68678,1.58345,0.916653
9.513,4.429,1.583,1.802,50,0.85448,1.18853,1.19317
11.91,4.63,1.586,3.889,50,1.19212,1.18616,0.492212
10.204,5.003,1.574,1.775,50,0.286767,2.90281,2.51502
10.002,4.657,1.618,1.894,50,0.96745,13.0981,0.553227
15.873,4.903,1.613,7.332,50,4.48022,0.377413,1.12772
9.588,4.397,1.645,1.785,50,0.579692,2.98066,2.26969
10.349,4.977,1.793,1.779,50,0.273763,21.2335,22.3776
