Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
0.3617,9.62614,20.6667,2.31453,1.36956,4.37746,0.902821
0.0454637,8.72581,20.6667,2.33005,1.36634,3.43733,1.0616
0.0190237,8.14053,20.6667,2.37241,1.37353,2.76134,0.970278
0.071768,8.99742,20.6667,2.28218,1.37471,3.76968,0.983259
0.571715,9.68496,20.6667,2.31944,1.37165,4.41869,0.78441
0.0570357,8.61958,20.6667,2.33562,1.3731,3.3103,1.00081
0.105526,8.77444,20.6667,2.30489,1.3723,3.51256,1.01071
0.169928,9.15241,20.6667,2.29216,1.36502,3.93583,0.943128
0.0951985,8.60242,20.6667,2.37206,1.37796,3.22616,1.02654
0.0736958,8.89325,20.6667,2.30567,1.36948,3.6436,1.01161
0.0930426,9.02316,20.6667,2.32713,1.36553,3.75133,0.921818
0.0443551,8.35348,20.6667,2.3385,1.37608,3.02813,1.03924
0.0338976,8.30446,20.6667,2.35658,1.36774,2.96658,1.0051
0.17078,8.94154,20.6667,2.33258,1.37959,3.64209,1.01271
0.554092,9.80621,20.6667,2.33939,1.36916,4.52203,0.71806
0.160359,8.76727,20.6667,2.31815,1.37622,3.49345,0.959864
0.127224,9.34423,20.6667,2.31067,1.36699,4.09469,1.00765
0.379192,9.72649,20.6667,2.31156,1.36693,4.48329,0.785875
0.10314,8.81763,20.6667,2.31978,1.36587,3.54842,0.929939
0.137591,8.65605,20.6667,2.31122,1.37163,3.38884,0.934062
0.264211,8.79753,20.6667,2.28894,1.36726,3.57115,0.892696
0.0912725,8.98918,20.6667,2.30048,1.3753,3.73731,0.936458
0.0791115,8.9626,20.6667,2.29979,1.37075,3.72235,0.953535
0.0796386,8.78783,20.6667,2.34326,1.36787,3.47643,0.968693
0.871129,9.83748,20.6667,2.29858,1.36895,4.61026,0.734258
0.152092,8.58288,20.6667,2.29234,1.38041,3.33791,0.936157
0.488583,9.67427,20.6667,2.35615,1.36655,4.35361,0.727914
0.665872,9.3639,20.6667,2.28611,1.36935,4.15361,0.839594
0.177161,9.49027,20.6667,2.29651,1.36933,4.262,0.922631
0.0702919,8.64694,20.6667,2.35778,1.37761,3.2956,0.984683
0.0455266,8.75959,20.6667,2.30365,1.36826,3.51115,0.97592
0.280669,9.55807,20.6667,2.30592,1.36954,4.31305,0.811903
0.182573,8.9664,20.6667,2.29599,1.36954,3.73518,0.872922
0.243505,9.13432,20.6667,2.29767,1.36992,3.90264,0.893612
0.382784,8.76614,20.6667,2.33853,1.37007,3.4648,0.932497
0.0299164,8.50583,20.6667,2.31873,1.37398,3.22598,1.01534
0.240355,9.59817,20.6667,2.2999,1.37243,4.36223,0.917593
0.144697,8.93068,20.6667,2.33858,1.36744,3.64361,0.997168
0.354157,9.33245,20.6667,2.3209,1.37256,4.05491,0.744767
0.326391,9.50321,20.6667,2.28946,1.36994,4.29195,0.832776
0.0524793,8.40486,20.6667,2.36759,1.37082,3.04236,1.00311
0.0610166,8.70271,20.6667,2.30669,1.37733,3.43461,1.01666
0.421809,9.53359,20.6667,2.30289,1.36949,4.30278,0.801116
0.0210536,8.41128,20.6667,2.37272,1.36795,3.04649,1.01338
0.153319,9.44024,20.6667,2.32246,1.37768,4.15683,1.00386
0.933463,9.77717,20.6667,2.29037,1.37261,4.55396,0.850117
0.190393,8.81291,20.6667,2.33335,1.36918,3.52304,0.935204
0.0470702,8.51571,20.6667,2.2987,1.37549,3.2626,1.08804
0.613448,9.82707,20.6667,2.3895,1.37588,4.45404,0.7832
0.245167,9.2323,20.6667,2.29233,1.36724,4.00501,0.900149
0.132249,9.26578,20.6667,2.32245,1.3677,3.99106,0.985131
0.0471192,8.66373,20.6667,2.34296,1.37931,3.33968,1.10145
0.175714,9.16728,20.6667,2.34185,1.37238,3.85191,0.818958
0.0652817,8.36808,20.6667,2.32034,1.37086,3.08725,1.07301
0.103858,8.88718,20.6667,2.34188,1.37096,3.5764,0.950278
0.0961895,8.76262,20.6667,2.37414,1.37333,3.39136,0.90313
0.272429,9.13661,20.6667,2.30569,1.36973,3.88454,0.95881
0.143954,8.90332,20.6667,2.28532,1.37457,3.6822,1.02469
0.157744,9.02217,20.6667,2.29663,1.37147,3.78018,0.974281
0.241093,8.80338,20.6667,2.37365,1.37061,3.43884,0.852237
0.149695,9.05686,20.6667,2.30931,1.36969,3.80386,0.977
0.0562245,8.67273,20.6667,2.33489,1.37964,3.3543,0.995589
0.353089,9.48237,20.6667,2.34333,1.37435,4.17692,0.701528
0.247523,9.55998,20.6667,2.3073,1.37298,4.30205,0.822838
0.0381903,8.23234,20.6667,2.32558,1.37363,2.92791,0.982139
0.0446486,8.53144,20.6667,2.35126,1.37587,3.19281,1.06369
0.0694027,8.46804,20.6667,2.35972,1.38043,3.10016,1.02056
0.125031,9.52033,20.6667,2.30325,1.37826,4.27744,0.811297
0.299315,9.30745,20.6667,2.29232,1.3708,4.07651,0.938499
0.123361,9.24967,20.6667,2.29256,1.37098,4.0255,0.939502
0.496796,9.43244,20.6667,2.2927,1.36705,4.20395,0.854229
0.0738827,9.11961,20.6667,2.29514,1.37259,3.88694,1.03785
0.154566,8.87812,20.6667,2.30017,1.37257,3.63022,0.996026
0.135545,9.24111,20.6667,2.33621,1.3733,3.94137,1.00052
0.143095,9.16911,20.6667,2.3032,1.36789,3.92564,0.968674
0.0224386,8.30208,20.6667,2.34511,1.37586,2.96636,1.06278
0.0550385,8.6367,20.6667,2.31272,1.37211,3.36453,0.982
0.0606738,8.52725,20.6667,2.35002,1.37789,3.1832,0.999976
0.228922,9.37402,20.6667,2.32744,1.37502,4.08081,0.839666
1.36359,10.3858,20.6667,2.3041,1.37041,5.15067,0.461841
0.585573,9.74095,20.6667,2.3034,1.36952,4.49792,0.677844
0.0439206,8.56616,20.6667,2.5072,1.37443,3.05677,0.9562
0.0210197,8.62248,20.6667,2.36494,1.37417,3.26106,1.02892
0.270249,9.00607,20.6667,2.31383,1.37424,3.72738,0.965956
0.119942,8.82748,20.6667,2.32684,1.37253,3.53376,0.991566
0.136121,8.9382,20.6667,2.30906,1.36942,3.68035,0.987592
0.0801945,8.86064,20.6667,2.31586,1.37247,3.58351,1.0348
0.264942,9.20923,20.6667,2.301,1.37489,3.96353,0.879034
0.115507,8.61567,20.6667,2.3349,1.37211,3.31122,0.964822
0.067717,8.65208,20.6667,2.34957,1.37373,3.31742,0.917858
0.139656,9.1533,20.6667,2.28367,1.37554,3.93631,0.914677
0.211051,9.43459,20.6667,2.3076,1.37567,4.17528,0.796333
0.154553,8.78294,20.6667,2.34451,1.37185,3.47024,0.872724
0.422795,9.39312,20.6667,2.32251,1.37446,4.11881,0.851592
0.303638,9.13927,20.6667,2.32245,1.36583,3.86792,0.915282
0.143271,9.04788,20.6667,2.31124,1.37008,3.78475,0.952242
0.0858697,9.47417,20.6667,2.34812,1.36656,4.16949,0.878481
