Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
17.243,12.441,1.406,1.564,94,0.602666,43.5982,38.8439
12.711,8.169,1.433,1.498,90.0741,0.303103,52.6832,26.9869
13.057,8.216,1.478,1.653,87.4074,0.452698,29.8166,10.324
12.809,7.962,1.429,1.671,84.1481,0.465503,23.6885,8.3773
12.638,7.573,1.584,1.696,81.1852,0.0876466,10.588,7.89252
13.099,7.912,1.619,1.761,86.1481,0.564842,6.3869,2.41012
20.108,7.842,1.544,8.73,82.8889,0.77375,0.148024,1.82051
15.798,7.265,1.566,5.132,78.5926,0.158995,1.252,2.55729
12.638,7.303,1.589,1.856,81.4815,0.50162,4.98611,1.60115
20.642,8.01,1.643,9.048,78.1481,0,0.118364,1.65736
13.696,8.153,1.663,1.911,77.5556,0.499687,1.66099,1.08831
20.481,7.669,1.662,9.219,74.2963,0,0.0631706,1.0746
14.894,7.443,1.668,3.741,73.6296,0.361172,1.93399,2.06458
13.234,7.364,1.813,1.996,70.2963,0.588691,5.82201,1.39717
16.978,7.425,1.707,5.732,66.4444,0.280605,0.68055,1.45694
12.466,6.748,1.714,1.958,64.4444,0.693843,14.4985,1.54928
15.612,6.459,1.694,5.448,60.8148,0.698262,1.84038,2.46594
17.889,5.326,1.661,8.989,57.2593,1.5539,0.264835,2.91738
17.497,5.149,1.638,8.836,52.0741,2.07356,0.321905,3.23117
16.59,4.649,1.603,8.467,47.1852,0,0.243697,3.09528
15.108,4.758,1.547,6.897,47.1111,1.3367,0.877982,2.19496
16.019,4.144,1.594,8.389,41.9259,0.412619,0.182452,2.21756
12.598,4.128,1.544,5.07,39.1852,0.2569,1.13304,2.18162
15.37,3.531,1.54,8.526,37.1852,2.10619,0.842385,8.29703
8.121,3.067,1.647,1.66,32.3704,0.43733,13.481,5.33103
8.217,3.193,1.532,1.665,29.7037,0.513133,7.74883,2.74053
8.1,3.03,1.501,1.681,26.8148,0.216906,3.10899,2.04478
9.393,2.652,1.504,3.351,24.5185,0.469808,3.21564,2.03751
9.415,2.502,1.48,3.534,21.8519,0.113021,3.27294,3.42637
8.203,3.079,1.5,1.816,27.1852,0.273219,4.56293,2.68656
14.841,2.812,1.571,8.627,25.1111,0,0.207247,2.75059
10.07,2.98,1.486,3.568,25.1111,0.0667298,2.04808,2.58371
15.602,3.742,1.48,8.556,30.0741,0,0.380107,4.36369
14.132,3.656,1.566,7.036,29.6296,0.62941,0.896445,3.06055
14.325,3.033,1.443,8.103,25.8519,0,0.51554,5.89444
14.931,3.205,1.52,8.42,25.7778,2.41329,0.726258,6.71772
14.1,2.568,1.515,8.292,21.037,0,0.784155,9.30235
14.181,2.508,1.415,8.531,21.3333,0,1.71906,19.6277
7.469,2.703,1.402,1.601,23.5556,0.502293,40.2524,12.9109
7.649,2.689,1.471,1.611,20.8148,0.0233748,14.3381,10.9596
14.32,2.927,1.397,8.141,25.7037,1.1379,1.12018,11.7827
10.742,2.734,1.438,4.821,20.8148,0.394997,5.93834,9.0403
13.516,2.399,1.417,7.965,18.0741,0,1.23713,15.0927
13.957,2.417,1.397,8.305,19.1111,1.12804,1.24179,12.9087
6.737,1.995,1.404,1.623,14.2222,0.314895,20.664,10.2127
12.788,1.715,1.486,7.905,12.2222,3.13595,2.2828,24.271
12.902,1.235,1.574,8.489,7.25926,0.645126,1.73832,22.9434
12.347,1.044,1.427,8.027,4.07407,0,2.06676,24.9229
9.424,1.238,1.434,4.872,8.07407,0.241788,8.93879,29.1615
12.988,1.613,1.405,8.188,6,2.30567,2.12478,24.4995
12.093,1.115,1.397,7.882,3.03704,0,95172.2,27.2142
12.681,1.389,1.416,7.997,8.37037,0.312583,2.44943,30.5159
12.421,1.214,1.513,8.106,6.37037,0,2.76096,31.8466
12.96,1.729,1.421,8.125,11.4815,0,2.50445,29.2333
6.805,1.991,1.471,1.598,16.8148,0.339844,29.8533,22.4524
12.655,1.763,1.475,7.729,14.1481,0,1.41483,21.8537
13.042,1.904,1.432,8.002,16.1481,0,1.4587,22.5647
6.905,2.04,1.403,1.623,18.1481,0.0970142,15.623,20.809
12.066,2.483,1.455,6.284,23.4815,0.381316,4.07445,19.3279
12.388,2.4,1.481,6.72,20.8148,0.170456,5.78686,20.4796
14.35,3.184,1.422,7.977,26.1481,0,1.64972,19.911
14.636,3.355,1.467,7.935,28.5926,1.14723,1.6735,19.5723
13.888,2.86,1.429,7.927,23.7778,0,1.86486,22.0069
14.254,3.07,1.435,8.006,26.8889,0.874762,2.23591,23.8448
13.85,2.626,1.451,8.065,22.6667,0,2.0521,23.2093
13.958,2.847,1.433,7.835,26.4444,1.50102,1.99186,21.2582
13.5,2.717,1.395,7.666,21.7778,0,2.0209,23.9609
14.147,2.93,1.422,8.028,25.7778,0,1.97958,27.3032
14.419,3.292,1.394,7.988,29.5556,0,1.29855,22.4466
14.896,3.442,1.537,8.083,31.4074,0,1.21609,29.5397
14.358,3.249,1.4,8,32.2222,0.928515,0.912782,23.946
8.015,3.172,1.449,1.673,27.4074,0.369396,21.8151,21.3085
13.416,2.822,1.329,7.614,24.3704,0.368501,1.08527,21.1999
13.055,2.692,1.316,7.448,21.4074,0,1.40039,21.6493
7.609,2.842,1.439,1.644,23.037,0.291102,23.9409,20.7535
13.55,2.738,1.357,7.793,20.8889,0,1.18112,20.4825
13.617,2.9,1.347,7.627,22.1481,0,0.911443,20.2629
14.167,3.156,1.313,8.031,22.8148,0,0.276066,19.3663
14.293,2.941,1.33,8.311,22.8148,0,0.352673,18.7339
14.429,3.219,1.362,8.128,22.7407,0,0.115908,19.4721
12.441,2.804,1.331,6.526,22.7407,0.372648,1.33861,18.7448
7.385,2.634,1.354,1.631,20.0741,0.0370609,6.46148,17.1086
7.879,3.089,1.351,1.663,24.8889,0.126611,8.4017,15.9511
11.4,3.661,1.309,4.728,29.6296,0.0305804,5.08741,14.6853
14.929,4.135,1.505,7.575,33.9259,0,0.967827,13.4296
9.094,4.47,1.326,1.486,34.2963,0.111739,10.8361,11.8289
12.045,4.607,1.315,4.484,38.8889,0.00387168,4.24266,11.0182
15.413,5.182,1.351,7.275,43.5556,0,0.830986,10.8661
9.068,4.587,1.312,1.523,43.8519,0.200394,6.07113,8.94147
9.227,4.727,1.32,1.516,41.6296,0.0520116,7.30348,8.01549
15.313,4.85,1.342,7.53,46.8889,0,0.522392,7.39725
15.192,4.551,1.366,7.634,46.7407,0,0.243246,6.95534
15.037,4.383,1.321,7.681,46.2222,0,0.0642493,6.35908
12.018,4.403,1.343,4.55,45.7778,0.0337063,0.539998,6.40887
12.202,4.562,1.343,4.589,47.4815,0.0737464,0.571442,5.69997
9.258,4.601,1.38,1.559,49.1852,0.0492689,3.23723,5.36815
16.233,5.409,1.454,7.697,54.2222,0,0.280425,4.8974
10.121,5.476,1.327,1.544,54,0.0421881,2.41314,4.4116
10.794,6.088,1.437,1.522,58.963,0.032995,3.54164,4.13815
17.348,6.7,1.398,7.624,63.7778,0,0.249712,3.66633
17.64,7.078,1.343,7.582,63.7037,0,0.102556,3.17091
17.723,6.876,1.361,7.827,63.6296,0,0.0240755,2.60494
17.412,6.757,1.438,7.54,63.2593,0,0.00889569,2.24574
16.529,6.392,1.341,7.158,62.8889,0,0.00312002,1.74915
16.632,6.32,1.319,7.422,62.5926,0,0.00889721,1.95694
11.16,6.62,1.335,1.512,62.3704,0.569762,1.67555,1.69959
10.962,6.502,1.314,1.479,59.1852,0.0338224,0.764629,1.82238
11.139,6.599,1.375,1.488,61.7778,0.154936,1.15169,1.49973
11.252,6.672,1.456,1.46,64.6667,0.087909,1.38615,1.50177
12.11,7.61,1.349,1.494,68.2222,0.5291,2.37087,0.881695
