Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
12.298,1.132,1.307,8.424,2.66667,0,-903.735,9.76665
5.508,1.207,1.303,1.492,2.66667,0.0114054,9.93563,9.51572
8.853,1.59,1.391,4.323,2.66667,0.0692849,5.38931,9.4458
5.552,1.204,1.403,1.439,2.66667,0.104171,12.2181,8.23242
6.808,0.979,1.301,3.053,2.66667,0.284456,10.0334,8.68653
8.328,0.928,1.363,4.49,2.66667,0.265766,4.17629,6.80739
11.09,1.082,1.312,7.198,2.66667,0,0.446991,5.86038
5.64,1.16,1.423,1.478,2.66667,0.0714792,7.69174,5.62958
11.138,1.081,1.331,7.285,2.66667,0,0.530124,5.73686
5.349,0.993,1.334,1.485,2.66667,0.0190219,7.26255,6.01153
11.164,1.047,1.322,7.327,2.66667,0,0.63839,7.38984
11.231,1.052,1.325,7.326,2.66667,2.11055,0.54664,5.78278
11.18,1.103,1.349,7.278,2.66667,0,0.610952,7.115
11.264,1.122,1.409,7.271,2.66667,0,0.534982,6.98358
8.508,1.218,1.335,4.417,2.66667,0.155996,1.35393,6.52052
11.24,1.033,1.367,7.362,2.66667,0,0.536248,6.66307
10.098,1.19,1.343,6.026,2.66667,0.162852,1.78406,6.59318
5.746,1.336,1.333,1.542,2.66667,0.307085,7.70397,4.16864
8.245,0.951,1.33,4.391,2.66667,0.5977,4.38166,5.73984
6.851,1.011,1.376,2.983,2.66667,0.195476,6.73333,6.29151
11.48,1.041,1.359,7.491,2.66667,0.356624,0.91985,9.98726
5.384,0.916,1.369,1.531,2.66667,0.0336233,20.2563,15.3987
5.5,1.013,1.351,1.506,2.66667,0.291085,22.391,10.8735
11.471,1.133,1.377,7.457,2.66667,0,0.688678,9.37949
7.005,1.045,1.453,2.956,2.66667,0.000792538,15.7332,17.4537
5.811,1.341,1.334,1.618,2.66667,0.566584,19.0697,6.25398
11.666,1.048,1.339,7.713,2.66667,0,0.708907,8.18993
11.844,1.067,1.397,7.823,2.66667,0,0.491899,6.04633
8.796,1.076,1.373,4.692,2.66667,0.261222,3.85596,6.70478
11.679,0.946,1.315,7.843,2.66667,0,0.633463,7.16077
12.149,1.04,1.352,8.083,2.66667,1.81273,0.60919,6.71904
11.75,0.946,1.332,7.846,2.66667,0,0.765161,8.63097
12.261,1.215,1.323,8.016,2.66667,0.479013,0.901832,10.045
5.564,0.901,1.364,1.597,2.66667,0.24245,14.4812,7.66151
11.66,1.032,1.355,7.714,2.66667,0,0.675393,7.62933
12.079,1.078,1.348,8.027,2.66667,0,0.625543,7.37821
12.522,1.337,1.356,8.218,2.66667,0,0.646783,8.65145
11.869,1.223,1.331,7.731,2.66667,0,0.162845,7.50524
5.725,1.163,1.337,1.598,2.66667,0.335548,2.60107,8.31484
7.228,1.116,1.392,3.122,2.66667,0.230919,1.49388,8.37483
10.214,1.071,1.453,6.081,2.66667,0.1607,2.19201,9.82392
5.488,0.906,1.335,1.645,2.66667,0.362692,19.0367,8.11094
10.311,1.022,1.356,6.257,2.66667,0.7316,2.23341,6.52072
5.865,1.223,1.336,1.649,2.66667,0.434783,8.37672,3.78393
11.557,1.269,1.445,7.234,2.66667,0,0.310828,3.91254
12.199,1.182,1.353,7.985,2.66667,0.797172,0.273515,3.88488
11.931,1.221,1.368,7.741,2.66667,0,0.27147,4.12993
5.923,1.289,1.391,1.572,2.66667,0.158836,4.24466,4.14352
8.948,1.242,1.39,4.714,2.66667,0.771946,1.64253,2.85232
8.663,1.032,1.328,4.674,2.66667,0.313806,2.83862,4.93263
11.684,0.975,1.342,7.816,2.66667,0,1.3381,15.5443
11.494,0.917,1.34,7.725,2.66667,0,1.66773,18.8625
5.309,1.092,2.67,0,2.66667,0,0,18.8625
5.557,1.025,1.346,1.573,2.66667,0.179958,19.5469,17.5434
11.454,0.928,1.361,7.635,2.66667,0,1.34712,16.3327
5.477,0.941,1.378,1.558,2.66667,0.552684,18.5101,8.86272
11.716,0.932,1.328,7.87,2.66667,0.727723,0.647358,9.14008
