Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
2.1869,9.79151,2.66667,1.05953,1.36071,5.85699,0.310892
1.23294,9.64421,2.66667,1.05337,1.34977,5.7247,0.281958
1.76476,9.62987,2.66667,1.05458,1.35045,5.71337,0.263549
1.4797,9.71332,2.66667,1.06082,1.34412,5.77876,0.234071
2.99758,10.0301,2.66667,1.07183,1.37988,6.03362,0.231124
1.55886,9.76602,2.66667,1.04995,1.38061,5.77528,0.319745
1.02932,9.89463,2.66667,1.08266,1.37974,5.84805,0.282975
1.05001,9.77584,2.66667,1.0557,1.37101,5.78537,0.29116
1.88854,9.74155,2.66667,1.06693,1.34907,5.80354,0.308869
2.5253,9.76785,2.66667,1.06707,1.35361,5.83606,0.246133
2.11932,9.74239,2.66667,1.0579,1.35751,5.80404,0.206338
2.66015,9.94071,2.66667,1.08184,1.35647,5.95845,0.236634
0.945174,9.62511,2.66667,1.07256,1.34893,5.64963,0.322281
1.62987,9.79095,2.66667,1.0441,1.36061,5.85819,0.225936
3.15772,9.93641,2.66667,1.08355,1.36143,5.94215,0.22101
1.87239,9.80021,2.66667,1.07675,1.35355,5.83195,0.275666
2.22651,9.82461,2.66667,1.0651,1.37203,5.8418,0.298344
2.28784,9.77687,2.66667,1.05858,1.362,5.82232,0.235889
1.88288,9.86943,2.66667,1.06848,1.36842,5.88163,0.266688
1.9207,9.97212,2.66667,1.08577,1.3697,5.96824,0.288826
1.05272,9.92308,2.66667,1.07397,1.36996,5.91381,0.247357
2.48767,9.79363,2.66667,1.04428,1.35893,5.88086,0.229972
2.31313,9.69341,2.66667,1.05254,1.36426,5.74961,0.225157
2.32361,9.77048,2.66667,1.04762,1.35885,5.84595,0.262507
1.34959,9.78295,2.66667,1.0719,1.36105,5.79395,0.254506
2.08042,9.78515,2.66667,1.07171,1.36471,5.80648,0.2511
0.981085,9.7459,2.66667,1.06887,1.37804,5.71803,0.323707
1.12588,9.65302,2.66667,1.05689,1.35384,5.69786,0.278145
1.54901,9.92695,2.66667,1.06372,1.36817,5.95038,0.274445
2.20633,9.77016,2.66667,1.0392,1.37057,5.82543,0.197984
1.8292,9.88055,2.66667,1.07921,1.36231,5.89829,0.239901
0.717101,9.6408,2.66667,1.04773,1.36352,5.68332,0.289954
2.71548,9.82716,2.66667,1.07124,1.35989,5.87049,0.235526
1.90022,10.1039,2.66667,1.14491,1.39952,5.98794,0.26975
2.32283,9.86252,2.66667,1.08246,1.36712,5.87915,0.243474
2.17364,9.72407,2.66667,1.04772,1.36572,5.78621,0.223719
1.88858,9.82899,2.66667,1.06175,1.35841,5.87501,0.239763
3.80015,9.98731,2.66667,1.09147,1.35916,5.97173,0.199327
2.09799,9.8107,2.66667,1.08707,1.34848,5.83731,0.298142
1.37406,9.81719,2.66667,1.06383,1.35112,5.86975,0.261298
2.80734,9.77308,2.66667,1.06678,1.35082,5.83235,0.246424
0.679944,9.54191,2.66667,1.06877,1.35098,5.57503,0.314871
1.11789,9.61688,2.66667,1.0275,1.35267,5.71338,0.29746
1.95677,9.88574,2.66667,1.06769,1.35286,5.93444,0.313911
1.2215,9.75661,2.66667,1.05891,1.35996,5.79123,0.313707
2.06249,9.7348,2.66667,1.06247,1.34485,5.80908,0.287372
4.01526,9.87829,2.66667,1.08184,1.35947,5.88779,0.313314
2.51182,9.78373,2.66667,1.0573,1.35085,5.85588,0.219197
2.50523,9.89058,2.66667,1.08093,1.35212,5.9195,0.210309
1.73028,9.84096,2.66667,1.06862,1.35789,5.87132,0.235357
1.23546,9.6371,2.66667,1.06383,1.3493,5.68744,0.311078
1.3323,9.77487,2.66667,1.06462,1.35269,5.81065,0.271632
2.09536,9.84566,2.66667,1.07049,1.3664,5.8728,0.261642
1.03488,9.75977,2.66667,1.04472,1.35916,5.81631,0.250599
1.3934,9.69445,2.66667,1.08422,1.35382,5.71177,0.285342
1.93966,9.90827,2.66667,1.08764,1.35992,5.91625,0.258426
1.60203,9.59825,2.66667,1.04239,1.36165,5.66632,0.228362
1.09879,9.84104,2.66667,1.07522,1.35632,5.83619,0.336759
1.5144,9.76266,2.66667,1.05846,1.34803,5.82913,0.335857
1.00921,9.58226,2.66667,1.04282,1.36204,5.62807,0.296631
