Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP
0.00580752,8.6773,35,4.9512,0.827826,2.89827
0.000897683,8.44792,35,5.00026,0.834909,2.61274
0.000461355,8.49607,35,5.04484,0.837172,2.61406
0.00663203,8.23,35,4.72578,0.822363,2.68186
0.00033186,8.6709,35,5.26396,0.843197,2.56374
0.003264,8.5984,35,5.07135,0.836092,2.69096
0.00277859,8.77095,35,5.17452,0.833419,2.76302
0.000583692,8.53084,35,5.1962,0.843771,2.49086
0.00572134,8.74926,35,5.21014,0.835491,2.70363
0.00403212,8.58325,35,4.87371,0.821985,2.88755
0.000738331,8.37335,35,4.93047,0.833124,2.60976
0.000501502,8.62401,35,5.10477,0.834959,2.68429
0.00214177,8.23438,35,4.62217,0.820746,2.79146
8.65338e-05,8.69851,35,5.53571,0.85568,2.30712
0.00133434,8.04242,35,4.71889,0.829912,2.49362
0.00184797,8.34193,35,4.91902,0.833066,2.58984
0.00156158,8.48858,35,5.02458,0.837033,2.62697
0.00135267,8.4592,35,5.23741,0.844867,2.37692
0.00417192,8.23525,35,4.72004,0.824347,2.69086
0.00386916,8.53804,35,5.06809,0.833683,2.63627
0.00335409,8.52894,35,4.98114,0.826809,2.72099
0.000683408,8.51653,35,5.10343,0.83615,2.57695
0.00139284,8.33548,35,5.06813,0.839758,2.42759
0.00521553,8.02353,35,4.67756,0.824759,2.52121
0.00193644,8.4615,35,4.81223,0.82336,2.82592
0.000717453,8.4835,35,5.26736,0.846956,2.36918
0.000154064,8.69219,35,5.48223,0.854019,2.35594
0.0111346,8.52374,35,4.84743,0.819731,2.85658
0.00379207,8.44158,35,4.80545,0.821207,2.81492
0.000157155,8.31033,35,5.01521,0.84177,2.45335
0.00301954,8.40202,35,4.81918,0.825076,2.75776
0.00170237,8.53831,35,4.93722,0.828314,2.77277
0.000390828,8.65473,35,5.42985,0.85336,2.37152
0.00187407,8.59501,35,5.04126,0.832953,2.72079
0.0146887,8.58086,35,4.89204,0.824255,2.86456
0.0016832,8.47599,35,4.7666,0.820662,2.88873
0.00308027,8.32574,35,4.62343,0.820077,2.88223
0.00109214,8.39535,35,5.09702,0.842818,2.45552
0.000966301,8.50528,35,5.01785,0.836256,2.65118
0.00249247,8.23037,35,4.74165,0.824261,2.66445
0.00116963,8.54143,35,5.13102,0.836406,2.574
0.00737019,8.43809,35,4.80856,0.823762,2.80577
0.000958148,8.57606,35,4.92068,0.826196,2.82919
0.00374116,8.1195,35,4.42128,0.81472,2.88351
0.00339042,8.46678,35,4.99534,0.828755,2.64269
0.00216988,8.15575,35,4.56912,0.81486,2.77178
0.00250192,8.55713,35,5.00552,0.829144,2.72246
0.00335435,8.7484,35,5.15508,0.835495,2.75782
0.00499842,8.30609,35,4.78321,0.827222,2.69565
0.00255583,8.58518,35,4.95571,0.831331,2.79814
0.00285781,8.40108,35,4.87679,0.827403,2.69689
0.00134177,8.53392,35,5.33804,0.851717,2.34416
0.00318844,8.7721,35,5.35919,0.844239,2.56868
0.00218133,8.1861,35,4.63736,0.82427,2.72446
0.00445076,8.17709,35,4.59783,0.819364,2.7599
0.00201163,8.38588,35,4.7688,0.825954,2.79112
0.00309336,8.46052,35,4.97212,0.829231,2.65916
0.00480791,8.35261,35,5.13831,0.840256,2.37404
0.000522116,8.42987,35,4.98569,0.83529,2.60889
0.00596339,8.42826,35,4.83933,0.827674,2.76125
0.004936,8.45761,35,5.0266,0.836135,2.59487
0.00181847,8.39492,35,4.95276,0.834479,2.60768
0.0020484,8.33862,35,4.55589,0.813612,2.96912
0.00753714,8.36051,35,4.93401,0.82863,2.59787
7.68236,9.23782,35,5.66655,0.896092,2.67517
0.00370093,8.21074,35,5.62929,0.898353,1.6831
0.0052576,8.10182,35,5.53102,0.897184,1.67362
5.26772,8.107,35,4.95852,0.84114,2.30734
0.010132,7.62363,35,5.06976,0.85687,1.69701
0.00376495,7.5542,35,5.0236,0.860965,1.66964
0.00509933,7.82004,35,5.25235,0.865355,1.70233
0.00721694,7.52444,35,4.98581,0.856925,1.68171
0.00321037,7.97452,35,5.52312,0.876754,1.57465
0.00351016,7.60216,35,5.03619,0.85986,1.70611
