Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
15.886,11.351,1.501,1.395,96.7407,0.233466,7.95108,3.20067
18.538,10.405,1.726,5.008,94.1481,0.0883778,0.401384,1.80776
18.282,9.627,1.893,5.338,95.4815,1.46153,0.291769,0.984696
18.148,9.889,1.449,5.441,90.1481,0.977291,1.08449,1.66009
14.664,8.455,1.714,2.42,84.963,0.469198,10.9839,1.29476
17.478,8.079,1.439,5.888,81.7037,0.110397,0.626984,3.92771
16.111,8.701,1.968,3.461,83.7778,0.324706,3.01402,2.68335
17.722,8.242,1.619,6.44,81.1111,0,0.368104,2.97564
14.328,9.895,1.481,1.286,80.4444,0.0623605,6.04406,2.57156
13.295,8.657,1.622,1.377,85.1852,0.226297,22.4011,12.5146
14.135,9.192,1.836,1.53,82.7407,0.00494002,28.3639,13.6981
18.546,9.607,1.721,5.621,87.6296,0.513566,3.09529,4.80953
17.84,8.811,1.953,5.238,84.4444,0.027823,2.63725,5.53116
20.509,10.448,1.641,6.847,89.1111,0.628171,0.721393,4.72183
19.552,9.861,1.79,6.329,85.3333,1.93963,0.729477,3.9262
18.619,8.801,1.6,6.638,80,0.461501,0.986427,6.20051
18.591,8.377,1.595,6.292,76.7407,0,0.830161,5.48287
13.468,8.046,1.73,1.751,76.8148,0.0822112,13.8513,5.54551
18.848,9.544,1.659,6.129,81.6296,0,0.872223,6.25467
13.487,8.542,1.663,1.173,81.9259,0.207919,12.7224,3.579
16.163,8.407,1.56,4.601,79.6296,0.755164,3.48819,4.75965
12.415,7.914,1.562,1.437,75.2593,0.102196,11.0252,3.69546
13.751,9.121,1.756,1.253,80.5185,0.0219748,37.986,16.7535
15.613,9.646,1.706,2.818,85.1111,0.00387298,30.0468,20.2211
14.798,9.067,1.624,2.631,89.9259,0.0372299,22.9911,15.7146
15.074,10.403,1.625,1.439,94.5926,0.165041,38.7503,13.1944
20.678,9.799,2.15,7.119,98.5185,0.214374,2.16389,13.9773
14.965,10.168,1.633,1.549,95.8519,0.0254745,38.9707,16.0232
20.928,10.035,2.869,6.281,98.6667,0,2.22859,14.8396
14.956,10.492,1.605,1.3,98.6667,0.103343,31.9303,13.0711
18.193,10.159,1.643,4.915,98.6667,0.207662,5.40986,10.8414
18.513,9.282,1.57,5.951,96,0,1.09473,8.96926
18.692,9.173,1.548,6.516,96.6667,0.175751,0.965898,8.24051
19.372,9.59,2.104,5.801,98.6667,0.0825306,3.64149,8.36007
16.654,10.636,1.839,2.476,98.6667,0.00936202,17.686,11.3353
15.006,10.223,1.775,1.211,98.6667,0.0945316,28.6485,10.821
19.9,10.16,1.747,6.534,98.6667,0.620512,0.912167,7.74889
16.263,9.613,1.73,3.032,94.7407,0.0093093,13.0411,9.92366
21.491,10.366,1.686,7.386,98.6667,0,2.15129,14.3261
15.074,9.871,1.781,1.771,98.6667,0.0142004,33.2821,15.7887
15.518,10.374,1.623,1.891,98.6667,0.142923,38.181,12.109
19.616,9.701,1.556,6.713,98.6667,0.515049,2.1416,13.5934
14.728,9.737,2.02,1.423,95.4074,0.118562,32.0055,11.1373
18.6,9.371,1.916,5.83,98.6667,0.495387,1.27843,9.04356
18.117,9.462,1.431,5.93,95.3333,0.16938,4.86201,10.7657
20.228,10.024,1.54,7.276,98.6667,0.108633,2.70135,17.4071
14.517,10.388,1.483,1.173,98.6667,0.00975746,36.1297,18.9298
17.779,10.421,1.619,4.136,98.6667,0.0107085,12.4115,17.9565
15.501,10.909,1.522,1.373,98.6667,0.0394689,31.3411,17.8075
15.121,10.607,1.639,1.216,98.6667,0.111883,37.5028,15.6647
17.787,8.791,2.1,5.398,98.6667,0.101486,7.01918,15.3364
18.725,9.746,1.543,6.109,98.6667,0,2.13098,15.7916
14.528,10.239,1.532,1.198,98.6667,0.178068,24.1536,10.9608
15.119,9.359,1.749,2.418,98.6667,0.0195242,13.0112,10.888
18.601,9.624,1.482,6.134,98.6667,0,1.29491,11.0107
14.739,9.831,1.507,1.34,98.6667,0.0896308,13.9433,9.41011
18.977,9.255,1.746,6.448,98.6667,0,0.587538,8.48063
17.36,10.242,1.836,3.799,98.6667,0.005184,3.09307,8.49347
19.09,9.371,1.716,6.639,98.6667,0,0.636743,8.65832
19.284,10.32,1.619,5.993,98.6667,0,0.474721,8.42509
15.053,10.171,1.812,1.177,98,0.0134127,6.97775,8.86018
19.618,10.167,1.529,6.397,98.6667,0.164533,0.685652,9.20893
19.403,9.837,1.463,6.653,98.6667,0.724692,0.820671,9.10568
20.022,9.916,1.653,6.941,94.6667,0,0.909951,9.8712
15.24,9.877,1.934,1.917,94.6667,0.120746,8.90768,8.04656
23.585,11.768,1.991,8.035,98.6667,0,0.692465,8.51821
16.725,10.772,1.882,2.046,98.6667,0.200364,10.6931,7.21603
21.002,11.173,1.584,6.36,96,0,0.426855,7.25104
19.632,9.953,1.471,6.839,95.3333,0,0.523247,8.27868
16.397,9.339,2.352,3.274,94.6667,0.0988569,6.16539,8.41521
15.051,10.367,1.715,1.403,98.6667,0.159797,9.17041,7.45081
21.144,10.079,1.65,7.655,98.6667,0,0.836441,9.11889
15.549,10.574,1.909,1.462,98.6667,0.0283207,8.10827,7.66241
18.36,10.504,1.46,4.916,98.6667,0.116211,4.84016,8.49425
20.001,10.033,2.152,6.3,98.6667,0,0.697368,7.92726
18.103,9.743,1.59,5.266,98.6667,0.16601,2.85675,8.44661
18.876,10.166,1.498,5.761,98.6667,0.630424,0.925975,8.34548
17.619,9.126,1.551,5.65,94.6667,0,1.16279,9.88603
