Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
2.85646,11.6455,97.5235,7.10006,1.1934,2.23774,0.51917
0.333972,10.9728,98.1664,6.90107,1.20227,1.77199,0.7874
0.754499,11.0977,98.0978,6.99136,1.20448,1.79234,0.70499
3.62442,11.5747,97.4774,7.03577,1.19879,2.23209,0.481799
1.93762,11.5339,98.0145,7.08925,1.19548,2.13133,0.582329
1.32315,11.5033,98.1252,7.11043,1.20412,2.06372,0.674107
0.367934,11.1037,98.1704,7.01888,1.20487,1.76696,0.752492
11.938,11.7285,96.6659,6.9662,1.18599,2.47165,0.467164
1.84989,11.4604,97.429,6.96839,1.19522,2.1937,0.637443
0.662492,11.1811,98.1646,7.08212,1.20353,1.76744,0.725244
1.35576,11.0086,98.0776,6.9362,1.20526,1.76798,0.66336
1.83879,11.208,97.8757,6.92778,1.1994,1.97875,0.686694
1.25484,11.0887,98.1549,6.96714,1.20352,1.81132,0.771356
0.113523,10.819,98.2051,6.94298,1.20961,1.56087,0.851344
0.917464,11.2516,98.0344,7.05205,1.20338,1.87646,0.678319
0.807116,11.1532,98.0825,6.96427,1.20528,1.87423,0.706848
1.33121,11.243,98.0097,7.04334,1.20601,1.8793,0.706705
0.185257,10.845,98.1014,6.9118,1.20717,1.62014,0.823167
0.898763,11.5919,98.1672,7.1512,1.20379,2.10325,0.670572
0.532737,11.0967,98.1719,6.95011,1.20365,1.83469,0.778343
3.79773,11.7096,97.6948,7.08033,1.19074,2.32743,0.475524
0.732777,11.1704,98.1806,7.06574,1.21239,1.76353,0.782616
0.848854,11.0349,98.1079,7.01214,1.20769,1.69666,0.758343
19.5806,12.2783,98.0312,7.1741,1.18272,2.79028,0.232843
2.08597,11.2192,98.0954,6.99866,1.20272,1.90755,0.687061
0.964961,10.9204,98.0039,6.89093,1.21198,1.71621,0.750818
5.00144,11.4043,98.049,6.99318,1.1937,2.11266,0.53283
2.97548,11.6536,97.9043,7.04846,1.19347,2.29862,0.55857
1.45117,11.0564,98.064,7.01125,1.2117,1.7139,0.687062
0.226655,10.9668,98.2015,6.99231,1.20893,1.65238,0.804111
0.161667,10.8025,98.1311,6.95979,1.21691,1.51217,0.86067
0.485008,11.0879,98.0679,7.08921,1.21415,1.65773,0.785592
2.89092,11.7236,97.9582,7.17612,1.20783,2.20905,0.602834
1.27571,11.5963,97.9267,7.17032,1.20329,2.09443,0.545265
2.85523,11.5491,98.182,6.9876,1.18996,2.2619,0.552359
1.90811,11.3736,98.1243,7.02329,1.19789,2.0377,0.659073
17.8365,12.1955,98,7.10555,1.17977,2.78611,0.223455
0.17858,10.9062,98.1978,7.01058,1.2174,1.55782,0.837178
0.339728,11.0732,98.0431,6.99912,1.20912,1.75238,0.745498
4.30571,11.3963,97.7758,6.96894,1.19883,2.12823,0.493403
3.39146,11.7222,97.895,7.06226,1.19013,2.35751,0.516354
0.361042,11.286,98.1279,7.08255,1.20506,1.87214,0.718589
0.247818,10.9579,98.1858,7.02611,1.2131,1.59769,0.816289
0.903311,11.2909,97.9856,7.04339,1.20838,1.91825,0.665286
1.55788,11.1767,98.0664,6.99531,1.20292,1.8663,0.701073
0.729497,11.0598,98.2005,7.00156,1.2052,1.73634,0.717002
2.27306,11.3488,98.0335,7.09221,1.2004,1.92729,0.646216
21.3347,12.4073,97.6986,7.16697,1.17635,2.93082,0.122697
1.94109,11.1534,98.0516,7.00918,1.20989,1.82131,0.609591
2.14346,11.5337,97.9993,7.14589,1.19709,2.06048,0.549563
0.53294,11.2076,98.1122,7.01691,1.20777,1.86273,0.704662
0.25578,11.1081,98.2407,7.05512,1.20687,1.72315,0.781064
1.58794,11.3991,98.0809,7.13168,1.20328,1.92671,0.642087
2.4017,11.5196,97.8683,7.03493,1.19496,2.17592,0.514726
