Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
8.856,5.817,1.086,0.943,91.6667,0.7211,29.4322,6.73426
8.964,5.931,1.103,0.954,94.8889,1.2163,30.5438,1.79544
9.926,5.896,1.124,1.933,92,0.235885,1.09627,1.57349
9.9,5.873,1.154,1.894,92.8889,0.0397852,2.99395,3.84222
8.909,5.788,1.129,1.03,93.1111,0.535249,4.1197,2.13138
9.543,6.36,1.137,1.026,92,0.513982,6.14194,3.40645
9.701,6.474,1.158,1.009,92,0.425627,0.796722,1.18669
9.363,6.178,1.124,1.034,91.6667,0.90916,1.131,0.509841
10.318,6.057,1.173,2.047,91.6667,1.37153,0.456574,0.508866
10.246,6.101,1.165,1.94,91.7778,0.57216,1.1441,1.36072
9.051,5.866,1.188,1.006,93.6667,0.963922,3.69092,0.699653
9.029,5.871,1.166,0.972,92.2222,0.929348,1.58266,0.330571
8.746,5.597,1.167,1.017,92.6667,1.01089,1.39421,0.152938
9.682,6.445,1.175,1.044,94.3333,0.877751,45.7506,3.06237
9.26,6.113,1.175,0.945,95.4444,1.112,5.68955,0.652058
8.88,5.698,1.172,1.035,93.8889,0.937084,12.6675,2.23126
9.49,6.231,1.177,1.022,93.2222,1.12768,3.79842,0.700098
9.203,6.009,1.175,0.996,93.6667,1.09055,1.67554,0.855727
9.673,6.409,1.173,1.045,93.3333,1.27644,7.9991,0.400869
13.001,5.974,1.169,4.827,94.3333,3.11364,0.020916,0.360926
9.337,6.137,1.214,0.995,95.3333,0.164679,0.515124,0.794998
9.385,6.11,1.177,1.058,94.8889,0.545289,1.26721,0.907355
9.479,6.165,1.174,1.065,93.5556,0.689244,1.15964,0.611489
9.512,6.26,1.197,1.004,95,1.15785,1.73247,0.553663
9.468,6.25,1.169,1.016,95.8889,1.05135,12.2614,0.416634
9.461,6.227,1.173,1.008,96,0.548736,1.20364,0.775764
9.327,6.074,1.189,1.056,94.7778,0.867105,6.62297,2.04046
10.029,6.678,1.18,1.064,94,0.15258,27.8536,27.2122
10.249,6.906,1.204,1.076,96.8889,1.37975,13.9621,2.21125
10.131,6.712,1.218,1.137,96.3333,1.1995,6.0629,0.345541
10.495,6.979,1.219,1.171,95.6667,1.04355,27.47,2.35743
10.498,6.989,1.232,1.117,96,0.655113,7.13795,4.43546
10.306,6.848,1.202,1.109,95.8889,1.21378,30.5544,2.50614
13.251,6.621,1.257,4.268,94.7778,1.05335,0.549072,2.11747
10.141,6.771,1.177,1.098,95.4444,0.734836,21.4676,5.93017
11.422,7.185,1.271,1.785,95.7778,0.486002,4.20688,5.17594
10.504,6.933,1.219,1.149,94.6667,1.16821,36.6257,3.62262
10.605,7.027,1.216,1.17,95.3333,0.951039,6.93324,1.40973
10.573,7.029,1.222,1.209,95.5556,0.976068,30.6477,1.22753
10.946,7.339,1.217,1.171,94.5556,0.0853677,1.93789,2.46297
10.568,7.024,1.211,1.162,93.5556,1.02489,41.2552,3.41094
11.09,7.596,1.2,1.158,96.2222,0.969282,45.0778,3.243
10.844,7.021,1.37,1.196,94.1111,0.758312,2.56864,1.71328
13.133,7.258,1.218,3.451,95.5556,0.746227,0.814139,1.67807
10.247,6.726,1.184,1.178,93.5556,0.891634,5.8455,2.00809
10.498,6.921,1.245,1.176,95.2222,0.842506,14.3273,3.32566
13.291,7.488,1.21,3.42,95.7778,0.995124,1.08411,2.78382
