Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
5.916,1.33,1.312,1.489,3.33333,0.255353,335.832,89.976
5.29,0.953,1.306,1.465,3.33333,0.370469,415.914,42.9634
5.227,0.955,1.388,1.427,3.33333,0.424494,99.0552,4.1858
8.262,0.984,1.309,4.478,3.33333,0.507341,0.688185,1.9759
8.501,0.953,1.332,4.663,3.33333,0.816827,0.809896,2.34723
5.413,0.884,1.339,1.564,3.33333,0.474896,3.8241,2.01185
11.255,0.965,1.397,7.346,3.33333,5.52515,0.431176,4.67258
11.388,1.139,1.373,7.364,3.33333,0,0.206745,3.92711
5.373,0.948,1.335,1.502,3.33333,0.287438,6.8204,2.23564
8.694,1.072,1.425,4.646,3.33333,0.882176,2.08144,1.97862
11.489,1.328,1.337,7.359,3.33333,0,0.0900219,2.96523
5.453,1.049,1.37,1.463,3.33333,0.422545,14.5513,2.08502
9.975,1.321,1.338,5.774,3.33333,0.3948,0.558644,2.10005
5.559,1.054,1.324,1.664,3.33333,0.879958,106.842,5.87163
12.059,1.319,1.332,7.782,3.33333,0,0.558916,12.2158
5.866,1.337,1.31,1.539,3.33333,0.0465122,7.38061,5.81681
5.802,1.289,1.309,1.598,3.33333,0.681314,6.12914,1.80722
5.877,1.386,1.307,1.579,3.33333,0.172024,2.54186,2.15527
10.522,1.432,1.33,6.128,3.33333,0.568924,1.07161,3.59128
7.004,1.083,1.33,2.989,3.33333,1.26718,1.48549,1.63794
7.125,1.058,1.397,3.115,3.33333,1.6051,2.53376,2.23685
11.867,1.139,1.391,7.78,3.33333,0,0.0928457,2.38223
11.736,1.261,1.384,7.538,3.33333,0,0.512467,4.22103
7.055,0.979,1.356,3.104,3.33333,0.271342,2.46914,2.56289
11.632,0.919,1.344,7.838,3.33333,0,0.30627,2.77819
5.554,0.971,1.35,1.629,3.33333,0.338993,11.4585,2.07561
12.18,1.141,1.425,8.013,3.33333,0,0.145823,2.10309
5.544,0.935,1.337,1.613,3.33333,0.130706,1.85143,1.98176
7.289,1,1.321,3.322,3.33333,0.0479416,2.14292,1.98495
6.314,1.628,1.348,1.621,3.33333,0.150192,3.61287,1.96988
12.406,1.085,1.313,8.307,3.33333,3.38986,0.0713793,1.43074
6.194,1.333,1.393,1.699,3.33333,0.374505,2.81773,3.88857
12.211,0.98,1.329,8.22,3.33333,0,0.195881,4.02719
10.657,1.051,1.36,6.542,3.33333,0.40527,1.2214,4.00617
6.043,1.374,1.347,1.595,3.33333,0.443555,10.736,1.85997
12.022,1.114,1.309,7.984,3.33333,0,0.087375,2.07937
5.613,1.023,1.326,1.628,3.33333,0.23828,5.63864,3.53622
5.562,1.001,1.409,1.538,3.33333,0.390815,7.26107,3.05337
11.888,1.126,1.314,7.905,3.33333,0,0.106777,2.49777
8.819,1.134,2.193,3.863,3.33333,0.545262,2.39338,1.34859
10.353,1.086,1.327,6.294,3.33333,0.308695,1.52577,3.77602
5.724,1.124,1.348,1.615,3.33333,0.779626,15.2179,4.19051
11.773,1.059,1.327,7.727,3.33333,12.6088,0.0913665,2.00873
7.173,1.146,1.339,3.009,3.33333,0.158994,7.734,7.15271
11.51,1.187,1.353,7.484,3.33333,0,1.45517,26.0772
9.932,0.96,1.345,6.11,3.33333,0.801187,11.35,17.9128
5.424,0.952,1.337,1.556,3.33333,0.276405,59.202,18.3107
11.472,1.023,1.379,7.527,3.33333,0,0.849278,14.8054
9.684,1.229,1.416,5.41,3.33333,0.180111,12.2098,15.725
5.635,1.069,1.337,1.605,3.33333,0.289216,55.578,14.1627
11.759,1.454,1.374,7.306,3.33333,0,1.10057,17.7076
11.557,1.039,1.334,7.486,3.33333,0.581386,3.87267,22.065
9.903,1.015,1.342,5.967,3.33333,0.806041,9.60062,14.5874
11.638,1.251,1.378,7.499,3.33333,0,3.41424,36.6977
11.242,0.979,1.394,7.376,3.33333,0,4.03373,26.0319
11.406,1.167,1.33,7.427,3.33333,0,3.90627,24.4687
12.591,1.134,1.324,8.635,3.33333,0,4.15992,26.3912
6.901,1.015,1.337,3.008,3.33333,0.183504,44.237,17.2286
5.585,1.151,1.347,1.531,3.33333,0.0613261,60.6717,23.2886
5.535,1.028,1.43,1.519,3.33333,0.0114892,44.4119,19.9845
5.458,0.962,1.331,1.622,3.33333,0.15682,73.6592,20.0406
10.245,1.18,1.354,5.993,3.33333,0.117296,5.67205,13.6439
11.719,1.322,1.322,7.547,3.33333,0,0.306361,6.32432
5.485,0.943,1.342,1.599,3.33333,0.138282,18.5685,5.88882
10.276,0.975,1.341,6.308,3.33333,0.0737581,3.2718,6.5357
11.608,1.302,1.326,7.448,3.33333,0,0.358622,5.26789
11.609,1.073,1.39,7.612,3.33333,0,0.765316,5.13477
5.671,1.131,1.37,1.556,3.33333,0.181915,20.586,5.07321
5.515,1.034,1.328,1.546,3.33333,0.379238,34.8201,3.73029
11.589,0.971,1.331,7.74,3.33333,0,0.500406,4.80173
5.561,1.007,1.337,1.612,3.33333,0.277937,43.4341,6.49491
7.413,1.215,1.352,3.207,3.33333,0.0328023,9.14112,6.96816
11.945,1.17,1.34,7.848,3.33333,0,0.529423,8.4329
12.15,1.2,1.414,7.959,3.33333,0,1.33262,9.00356
5.718,1.158,1.372,1.556,3.33333,0.11237,33.4688,11.9179
11.686,1.042,1.317,7.745,3.33333,0,2.17955,14.3603
5.538,1.046,1.337,1.549,3.33333,0.0129144,36.9013,15.9698
5.748,1.177,1.35,1.58,3.33333,0.143171,45.4157,14.9113
11.829,1.142,1.33,7.772,3.33333,0.0407442,1.7689,12.6244
7.098,1.074,1.355,3.082,3.33333,0.192442,12.0964,13.0557
10.081,0.982,1.332,6.195,3.33333,2.27124,4.36417,12.0826
11.452,1.006,1.357,7.539,3.33333,0,0.599433,13.4741
10.125,1.01,1.332,6.19,3.33333,0.879964,6.98218,9.55972
11.722,1.072,1.481,7.607,3.33333,0,3.13571,31.9496
11.528,0.903,1.327,7.686,3.33333,0.416096,4.34114,24.7442
