Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP,average_surprise
100.891,9.27344,2.66667,1.0538,1.35301,5.2939,0.500077
22.9941,8.29854,2.66667,1.06513,1.35144,4.2882,0.771173
54.1871,8.53152,2.66667,1.07407,1.35663,4.48569,0.762023
275.156,9.53849,2.66667,1.05221,1.35889,5.55508,0.369837
44.3053,9.09537,2.66667,1.06814,1.36408,5.07034,0.59668
101.223,8.79675,2.66667,1.0581,1.36497,4.7759,0.70658
66.4576,8.59949,2.66667,1.06536,1.35937,4.56081,0.746474
103.59,9.09672,2.66667,1.06039,1.3644,5.07269,0.507432
17.6669,8.59881,2.66667,1.0719,1.35353,4.57244,0.660518
33.8869,8.78023,2.66667,1.06846,1.35434,4.73198,0.663432
47.1524,8.92943,2.66667,1.06217,1.36414,4.89944,0.631599
65.0149,8.71934,2.66667,1.08907,1.3762,4.5916,0.729348
75.0501,8.64939,2.66667,1.06807,1.35053,4.61707,0.720463
50.5008,8.81683,2.66667,1.07602,1.35515,4.76705,0.698062
100.954,9.24884,2.66667,1.05105,1.35095,5.28867,0.543503
62.4062,8.822,2.66667,1.05358,1.35627,4.82986,0.61312
85.2486,9.33136,2.66667,1.06421,1.35363,5.3218,0.520394
122.53,9.08763,2.66667,1.05568,1.35557,5.09034,0.649028
880.959,9.44769,2.66667,1.09198,1.3525,5.36223,0.453844
23.7629,8.41972,2.66667,1.05677,1.35968,4.39381,0.757519
156.163,9.32777,2.66667,1.06066,1.35983,5.31931,0.473946
77.5994,9.00333,2.66667,1.07009,1.35342,4.97919,0.612922
52.7126,9.05758,2.66667,1.06764,1.36711,5.00478,0.606939
11.4999,8.56956,2.66667,1.06182,1.35656,4.54633,0.768111
116.973,9.30272,2.66667,1.05897,1.35339,5.31008,0.397504
27.6752,8.598,2.66667,1.0805,1.36138,4.52581,0.673375
52.2192,9.25842,2.66667,1.06229,1.36297,5.24572,0.551449
38.8594,8.98283,2.66667,1.06353,1.35679,4.97096,0.557361
409.094,9.32461,2.66667,1.02937,1.35022,5.39954,0.451726
9.27199,8.10214,2.66667,1.07581,1.34417,4.05164,0.842555
637.942,9.48886,2.66667,1.06605,1.35169,5.50096,0.440401
324.446,9.34678,2.66667,1.05632,1.34709,5.37528,0.54107
53.3369,8.86406,2.66667,1.0634,1.35124,4.86617,0.69392
98.5704,9.21945,2.66667,1.05477,1.36246,5.22001,0.571316
37.4233,8.99227,2.66667,1.06775,1.3665,4.94734,0.63564
27.1879,8.36383,2.66667,1.05669,1.3618,4.33315,0.790542
101.03,9.22216,2.66667,1.05735,1.35062,5.23565,0.487469
33.8476,9.02724,2.66667,1.06449,1.35037,5.02688,0.641688
207.553,9.34676,2.66667,1.05527,1.34865,5.38131,0.366549
85.6788,9.11513,2.66667,1.06069,1.35561,5.11963,0.467267
6.98996,8.23856,2.66667,1.05974,1.36536,4.19373,0.862538
135.143,9.28265,2.66667,1.05635,1.35647,5.29442,0.488305
87.5362,9.31012,2.66667,1.07175,1.36041,5.27756,0.466681
18.5618,8.39768,2.66667,1.07365,1.35459,4.33022,0.752591
76.4428,9.13401,2.66667,1.06619,1.34997,5.11599,0.611009
85.6662,9.19457,2.66667,1.06338,1.35779,5.19586,0.54718
