Final cost,Average optimisation time,Average percent derivs,Average time derivs,Average time BP,Average time FP
0.541129,11.5369,27.0716,7.73008,1.12216,2.68464
0.172564,11.2859,27.6219,7.83738,1.12858,2.31992
2.12503,11.6108,25.8269,7.50177,1.10631,3.00271
0.0864639,11.1671,27.6021,7.60079,1.1236,2.44269
0.35052,11.1815,26.908,7.66324,1.12434,2.39391
11.0573,11.9353,25.2954,7.61041,1.10069,3.22422
22.2131,12.1087,26.6313,7.69075,1.11771,3.30021
0.115997,11.5244,29.2429,8.0424,1.13688,2.34516
0.536915,11.4619,27.1561,7.86067,1.13527,2.46594
0.0879034,10.8993,26.8588,7.58977,1.13087,2.17865
0.22269,11.6246,29.7813,8.13543,1.14569,2.34352
0.731353,10.902,24.5943,7.20728,1.11862,2.57611
0.45831,10.8946,24.1043,7.14322,1.09809,2.6533
0.331459,10.7893,24.0354,7.05546,1.09237,2.64148
0.944916,11.2957,26.178,7.676,1.12,2.49967
0.192926,11.4193,27.592,7.69976,1.12394,2.59558
0.401822,11.0866,25.9725,7.35277,1.10407,2.62977
28.6109,11.9136,25.1744,7.17358,1.09067,3.64939
0.930648,10.37,22.3061,6.78383,1.07548,2.51064
0.206195,11.503,28.7142,7.97805,1.13765,2.38731
0.47615,11.6286,27.1176,7.66543,1.11341,2.8498
0.787388,11.2909,27.1733,7.52923,1.11496,2.64675
0.166183,10.9238,24.795,7.18173,1.1066,2.63549
0.39227,11.669,27.1809,7.72787,1.11406,2.82703
0.25513,11.3333,27.4715,7.86432,1.13207,2.33694
25.9561,12.2562,25.6703,7.42637,1.09302,3.73681
0.49135,11.9856,29.9132,8.2034,1.13288,2.64932
0.369788,11.4342,26.6992,7.58053,1.11343,2.74027
0.218961,11.6851,28.0128,7.88364,1.12732,2.67411
0.5606,11.8921,26.806,7.72553,1.1059,3.06068
0.207426,11.317,26.62,7.55915,1.11547,2.64236
15.6742,11.4631,22.1147,6.85204,1.06499,3.54609
0.33691,11.6901,28.0364,7.8553,1.12605,2.70873
0.68553,10.3169,20.8147,6.58896,1.07622,2.65173
0.287575,11.662,27.3002,7.92502,1.13156,2.60546
0.398515,11.8184,27.8125,7.79433,1.12196,2.90216
0.425351,11.745,26.6399,7.77167,1.12236,2.85093
0.24174,11.6746,29.7075,8.08266,1.13405,2.45792
0.757228,11.8744,28.223,7.89968,1.13076,2.84398
1.31381,11.7396,26.3799,7.64716,1.10576,2.98669
0.583795,11.9525,26.7588,7.87301,1.11748,2.96203
0.952334,11.2277,26.404,7.47365,1.11617,2.63789
11.7019,11.5265,23.6016,7.12871,1.08036,3.31742
0.337834,11.5613,27.065,7.68224,1.11264,2.76646
0.312456,11.5094,27.7966,7.74323,1.12017,2.64601
0.238773,11.3837,25.4916,7.4407,1.10271,2.8403
0.165842,11.5867,27.0044,7.7886,1.11892,2.67922
