Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
18.17,13.295,1.389,1.53,94,0.739567,91.1552,6.10281
13.632,9.211,1.296,1.467,90,0.510189,9.74213,3.01387
15.569,8.216,1.352,4.39,86.8148,0.79864,0.500333,0.947396
17.806,7.53,1.304,7.388,82.2963,0,0.125618,1.72494
12.008,7.489,1.351,1.525,81.9259,0.5538,2.7499,1.18431
13.03,8.388,1.354,1.6,78.5926,0.246096,1.11463,0.774801
18.059,7.436,1.363,7.579,75.9259,1.32414,0.365087,3.67819
18.048,7.19,1.591,7.603,70.4444,0,0.332717,3.74032
11.763,6.858,1.654,1.531,70.3704,0.610478,31.2115,5.2746
13.029,6.932,1.393,2.996,66.8148,0.776794,4.61929,1.23133
12.438,6.256,1.38,3.063,62.2963,0.633471,0.776095,0.388198
15.978,5.417,1.444,7.433,58.7407,2.19252,0.0719384,0.708324
16.321,5.398,1.574,7.62,53.4074,1.97165,0.0516971,0.531113
15.835,5.078,1.459,7.554,48.3704,1.71343,0.0904113,0.907823
15.124,4.445,1.392,7.652,42.963,0,0.0712727,0.88935
12.435,4.658,1.426,4.659,42.963,0.920224,0.626651,0.830639
14.69,3.774,1.684,7.569,38.0741,1.12259,0.120892,1.27046
13.93,3.673,1.603,7.069,33.1111,0,0.192836,2.17074
8.241,3.602,1.509,1.536,32.8889,0.389538,3.30013,1.35687
13.903,3.112,1.468,7.657,29.7778,2.81358,0.122549,1.19955
13.795,3.022,1.414,7.599,24.963,1.62983,0.3129,2.98913
13.401,2.615,1.366,7.749,20.1481,0,0.292983,3.31899
7.535,2.433,1.64,1.657,20.0741,0.598544,3.32746,0.808079
10.059,2.087,1.384,4.864,16.7407,0.663085,0.882663,1.13771
12.866,1.846,1.449,7.846,13.4074,0,0.0950833,1.10577
13.005,1.902,1.412,7.971,13.4074,0,0.780473,1.61752
6.739,1.953,1.423,1.617,14.0741,0.335872,3.21085,1.53714
13.162,1.741,1.685,7.993,11.3333,1.42665,0.314043,3.07536
12.536,1.487,1.435,7.97,6.59259,0,0.332081,4.13952
6.153,1.45,1.376,1.578,6.51852,0.165295,4.14611,2.54013
8.127,1.739,1.401,3.265,11.8519,0.671563,3.48158,1.47467
9.175,1.517,1.44,4.574,8.51852,0.437194,2.18039,3.33154
12.34,1.261,1.37,7.963,5.85185,2.11238,0.564401,7.39605
7.49,1.248,1.356,3.17,2.74074,0.407081,12.6049,8.17683
9.102,1.121,1.374,4.703,2.66667,0.116815,4.46471,8.79104
12.596,1.436,1.38,8.114,8,0,1.00138,10.8807
6.155,1.481,1.373,1.592,9.11111,0.641403,12.7586,1.72902
11.977,1.137,1.406,7.774,5.77778,0,0.156423,1.7678
12.84,1.333,1.395,8.436,5.77778,0,0.133877,1.72524
12.051,1.096,1.382,7.916,5.77778,0,0.0982401,1.9194
9.455,1.233,1.636,4.815,5.77778,0.107157,0.387899,1.72987
12.491,1.422,1.394,7.918,7.77778,0.282586,0.0964317,1.75218
12.03,1.054,1.391,7.927,5.77778,0,0.157931,1.95712
12.415,1.207,1.587,7.959,5.7037,0,0.127706,2.35816
8.978,1.059,1.43,4.765,5.40741,0.0692014,0.296476,1.87237
12.16,1.295,1.349,7.861,7.33333,0,0.14297,2.51184
6.193,1.535,1.372,1.544,7.18519,0.234509,1.04028,2.14036
5.474,1.054,1.297,1.51,5.18519,0.120687,2.04995,2.52114
6.122,1.577,1.314,1.615,10.2963,0.208651,2.18213,1.85734
12.659,1.497,1.361,8.075,8.2963,0,0.123314,1.82195
8.223,1.72,1.409,3.293,8.2963,0.0118148,1.87983,2.72635
6.669,1.939,1.353,1.62,13.5556,0.454952,3.06318,1.39906
6.227,1.563,1.376,1.542,10.8889,0.305827,4.67806,2.38867
12.301,1.405,1.346,7.924,8.81481,0,0.441233,5.34795
10.547,1.381,1.37,6.096,8.74074,0.174109,1.7676,5.90015
12.371,1.733,1.352,7.654,14.0741,0.755729,0.587762,6.24729
12.721,1.758,1.339,7.953,9.85185,0.107827,0.713646,8.2018
12.332,1.765,1.37,7.503,12.5185,0.683611,0.80141,8.96746
6.106,1.638,1.319,1.495,9.18519,0.751486,13.1401,1.13344
12.103,1.421,1.385,7.732,5.18519,0,0.0938748,1.18078
11.787,1.345,1.39,7.471,5.18519,0,0.0860986,1.18828
5.44,1.059,1.3,1.485,5.18519,0.15747,0.93693,1.23129
11.746,1.259,1.324,7.62,7.85185,0,0.0602978,1.23218
11.727,1.27,1.375,7.519,7.85185,0,0.075544,1.25945
11.697,1.205,1.398,7.471,7.77778,0.684724,0.07068,1.35165
11.824,1.335,1.416,7.468,4.51852,0.604016,0.0635718,1.30422
11.35,0.913,1.384,7.56,2.66667,0,0.0811819,1.09044
11.299,1.061,1.386,7.276,2.66667,0.137193,0.0189367,1.10137
11.611,1.086,1.352,7.56,4.66667,0,0.107051,1.21061
11.342,0.943,1.403,7.408,4.66667,0,0.0840325,1.17517
8.519,1.056,1.349,4.483,4.66667,0.918584,0.523715,1.3956
11.551,0.937,1.374,7.596,2.66667,0.296347,0.29747,3.26553
11.69,1.114,1.369,7.662,2.66667,0,0.290884,4.21798
5.406,0.856,1.383,1.524,2.66667,0.176323,2.17442,2.30638
12.094,1.471,1.377,7.668,7.92593,0,0.16769,2.02274
12.192,1.455,1.379,7.737,7.92593,0,0.176485,2.45517
12.385,1.662,1.421,7.681,7.92593,0,0.180265,3.25106
12.051,1.417,1.393,7.551,7.62963,0.237426,0.062181,1.68085
10.399,1.475,1.422,5.844,5.55556,8.01673,0.107501,1.42611
8.46,0.954,1.389,4.524,2.66667,0.177899,1.78239,3.83682
10.668,1.464,1.361,6.121,8,0.950426,1.05676,3.65103
11.871,1.01,1.363,7.886,3.33333,0,0.318398,3.53353
11.367,0.796,1.39,7.644,3.33333,0,0.379571,5.6398
11.721,1.231,1.399,7.452,3.33333,0.0503778,0.336666,4.69584
11.855,1.361,1.389,7.541,5.33333,0,0.494938,7.31121
11.696,1.155,1.432,7.458,5.33333,0.178029,0.424871,7.16243
11.95,1.247,1.436,7.699,7.25926,0,0.494405,6.46264
5.964,1.342,1.393,1.569,7.25926,0.422228,7.5254,3.92438
11.728,1.123,1.361,7.665,4.59259,0,0.282397,4.19921
7.293,1.139,1.369,3.104,4.59259,0.367261,3.0585,3.47255
11.417,0.882,1.366,7.522,2.66667,2.92188,0.192967,3.48051
11.753,1.192,1.421,7.563,2.66667,0,0.308877,3.65971
11.93,1.247,1.411,7.7,2.66667,0,0.304472,4.00195
11.7,1.046,1.424,7.59,2.66667,1.10571,0.339198,4.29439
11.693,1.009,1.366,7.733,2.66667,0,0.329173,4.32815
5.507,0.925,1.379,1.551,2.66667,0.28511,4.51233,3.57203
5.455,0.815,1.394,1.568,2.66667,0.173297,6.04282,3.9806
12.075,1.252,1.382,7.792,7.77778,0,0.312201,3.68394
5.972,1.343,1.368,1.564,7.77778,0.482998,4.12885,2.00905
11.508,1.02,1.41,7.486,5.11111,0,0.180438,2.24955
11.816,1.13,1.394,7.655,5.11111,0,0.19683,3.80361
12.003,1.131,1.446,7.773,5.11111,0,0.135563,3.99858
11.849,0.937,1.396,7.832,5.11111,1.70039,0.142766,4.15952
5.674,0.988,1.432,1.562,2.66667,0.0880142,2.91041,3.94836
11.89,1.215,1.374,7.707,8,0,0.318301,4.17276
5.998,1.459,1.363,1.527,8,0.259154,2.73869,3.53942
5.397,0.951,1.292,1.52,6,0.0216163,3.97594,3.70097
11.971,1.638,1.319,7.436,11.3333,0.346311,0.193412,2.56439
6.204,1.589,1.383,1.606,8.66667,0.336679,10.8348,5.19293
11.423,1.047,1.347,7.421,5.92593,0,0.589764,6.7734
11.543,0.994,1.307,7.676,6.59259,0,0.322216,6.79773
5.868,1.376,1.321,1.53,6.59259,0.292832,7.48251,6.84829
12.005,1.168,1.418,7.762,4.59259,0.812212,0.539754,5.62296
11.821,1.141,1.421,7.66,2.66667,0,0.490348,5.38421
12.041,1.02,1.372,7.977,2.66667,0.8841,0.423898,5.09723
11.925,1.005,1.376,7.948,2.44444,0,0.461007,5.15729
11.731,0.915,1.382,7.82,2.66667,0,0.397746,5.07402
11.575,0.768,1.354,7.831,2.66667,0,0.0923536,4.9825
10.245,0.964,1.386,6.202,2.66667,0.223818,0.339946,4.93951
5.502,1.17,2.744,0,2.66667,0,0,4.93951
15.009,10.325,1.393,1.525,99.3333,0.138193,0.52931,4.91054
14.895,10.352,1.316,1.561,98.6667,0.401661,0.958739,4.47765
14.225,9.682,1.303,1.529,95.3333,0.355759,2.55412,3.96652
14.413,9.555,1.586,1.537,92.0741,0.289271,5.8026,4.07657
18.025,8.888,1.307,6.092,89.4074,0.648185,1.48682,4.65204
19.622,8.997,1.553,7.355,85.4074,0,0.291402,3.78204
14.022,9.009,1.637,1.575,84.8148,0.197688,2.86605,3.2316
14.555,9.974,1.313,1.552,89.4815,0.213608,7.11924,4.70832
13.519,8.86,1.39,1.516,86.8148,0.456919,6.98734,2.74619
19.24,8.12,1.654,7.752,83.4815,0.101819,0.216878,2.85374
14.72,8.463,1.407,3.105,85.1111,0.0208454,2.21058,2.72523
13.878,9.212,1.358,1.56,90,0.156249,3.15436,2.35912
20.268,9.6,1.315,7.68,94.4444,0,0.135954,1.93583
13.698,8.822,1.591,1.541,93.7778,0.610934,10.8419,2.21035
15.056,8.954,1.321,3.062,89.9259,0.17655,0.982923,1.41984
15.819,9.351,1.684,3.04,92,0.188603,0.954673,1.14939
19.216,8.828,1.329,7.365,94,0,0.495513,6.49209
13.663,9.147,1.313,1.509,93.3333,0.644461,10.7366,1.36794
13.819,9.271,1.321,1.562,89.3333,0.175179,1.12648,0.975046
15.509,9.57,1.312,2.968,92.0741,0.310811,0.510769,0.56428
16.953,8.663,1.317,5.314,89.4815,0.116977,0.129891,0.361659
16.855,9.111,1.311,4.339,90.8889,0.217617,0.099085,0.265979
13.07,8.523,1.313,1.525,88.2222,0.697378,2.53835,0.315638
15.904,8.387,1.321,4.512,84.3704,0.41944,0.148648,0.25789
12.709,8.177,1.327,1.469,81.3333,0.407736,0.692369,0.315535
12.108,7.668,1.317,1.505,78.1481,0.401905,1.92125,0.753725
16.301,7.435,1.304,5.924,74.963,0.17493,0.146754,0.502931
17.439,8.243,1.342,6.114,76.3704,0.693893,0.0983606,0.329386
15.417,7.505,1.489,4.686,72.8889,0.222538,0.332803,0.566878
17.183,7.782,1.418,6.185,70.3704,0.616486,0.211872,0.609393
15.224,7.46,1.325,4.642,66.8889,0.363027,0.536028,0.857271
10.712,6.05,1.376,1.556,64.0741,0.720186,3.62941,0.304263
10.984,6.133,1.563,1.565,60.6667,0.658059,1.81376,0.270699
10.506,5.779,1.408,1.596,57.3333,0.197865,1.06887,0.647513
10.286,5.642,1.384,1.553,60.2963,0.263029,0.495864,0.289969
10.724,6.265,1.314,1.457,58.2963,0.606791,0.754185,0.144679
9.769,5.225,1.354,1.545,54.8148,0.285607,0.33204,0.184055
13.274,5.494,1.318,4.733,52.6667,0.644275,0.410921,0.547493
12.366,4.706,1.375,4.521,49.1111,0.78805,0.25335,0.322393
14.797,4.216,1.51,7.521,44.6667,0,0.0253337,0.312125
8.657,4.172,1.386,1.462,44.3704,0.372916,0.343048,0.226854
8.81,4.346,1.308,1.529,41.6296,0.723551,0.815247,0.106882
10.472,4.31,1.354,3.049,38.1481,0.224396,0.181572,0.182364
8.817,4.165,1.384,1.544,35.7778,0.261141,1.04499,0.589775
11.031,3.295,1.461,4.588,33.4074,1.26897,0.261385,0.17663
7.548,2.962,1.39,1.522,28.0741,0.775438,1.97275,0.143549
10.376,2.717,1.312,4.722,23.8519,0.648803,0.0835463,0.125385
13.49,2.552,1.419,7.84,20.4444,0,0.018602,0.241537
10.152,2.646,1.365,4.423,20.4444,0.789683,0.169391,0.201918
9.872,2.214,1.434,4.591,16.1481,0.555031,0.212043,0.28229
12.496,1.901,1.372,7.537,13.4815,3.89667,0.0229808,0.184716
5.962,1.416,1.364,1.582,8.59259,0.530292,1.85349,0.517742
10.379,1.329,1.356,6.049,6,2.14744,0.21464,0.33477
11.633,1.167,1.383,7.465,2.81481,0.357131,0.035785,0.407892
6.808,0.764,1.363,3.081,2.66667,0.288732,1.42561,1.18486
9.944,0.928,1.431,5.895,2.66667,0.332145,0.229326,0.820215
7.17,1.012,1.38,3.158,2.66667,0.693598,1.66375,0.570082
11.911,0.994,1.398,7.871,2.66667,0,0.0267566,0.317793
5.701,1.084,1.36,1.566,2.66667,0.0467729,0.96659,0.900348
11.881,1.144,1.357,7.76,5.25926,0,0.0867435,0.993495
5.87,1.171,1.38,1.597,5.25926,0.150908,2.71548,1.77196
6.025,1.381,1.373,1.59,10.5926,0.441095,4.02657,1.28405
12.461,1.7,1.367,7.758,7.92593,0,0.0888374,1.01182
12.312,1.438,1.387,7.82,7.92593,0,0.193014,2.06974
