Optimisation time (ms),derivs time (ms),BP time (ms),FP time (ms),% derivs,surprise,expected,new cost
12.558,1.097,1.402,8.408,3.33333,0,0.605755,9.07536
6.626,1.873,1.31,1.687,3.33333,0.0953845,8.15684,13.159
12.286,1.28,1.335,8.102,3.33333,0,0.351459,11.8646
13.623,1.787,1.405,8.741,3.33333,0,0.205314,13.1957
13.715,1.796,1.304,8.907,3.33333,0,0.401214,14.0104
6.245,1.457,1.297,1.704,3.33333,0.102239,5.45842,13.8758
13.372,1.379,1.322,8.974,3.33333,0,0.191039,14.6218
12.675,1.628,1.319,8.115,3.33333,0,0.153486,12.9037
13.094,1.416,1.338,8.648,3.33333,0,0.182021,13.7686
6.437,1.454,1.343,1.792,3.33333,1.34271,0.316088,19.5551
13.696,1.547,1.319,9.033,3.33333,0,0.232276,20.4148
4.411,1.708,0.886,0,3.33333,0,0,20.4148
6.536,1.505,1.31,1.828,3.33333,0.650965,1.13387,23.3385
6.576,1.451,1.415,1.808,3.33333,0.740409,6.97598,20.7001
6.389,1.367,1.32,1.82,3.33333,0.500321,10.3916,15.9648
6.439,1.766,1.328,1.556,3.33333,0.509622,11.2189,11.3541
5.654,1.165,1.341,1.527,3.33333,0.392162,17.9045,7.0489
5.686,1.191,1.356,1.569,3.33333,0.237485,11.6427,6.18894
8.414,1.062,1.309,4.419,3.33333,0.420417,3.32933,5.16406
10.149,1.438,1.326,5.857,3.33333,0.51316,2.07546,6.15101
10.203,1.118,1.366,6.177,3.33333,0.780696,2.23514,5.98079
5.375,0.972,1.35,1.54,3.33333,0.250478,6.84161,3.9259
11.111,0.991,1.4,7.142,3.33333,3.74076,0.354285,2.97065
10.95,0.983,1.345,7.199,3.33333,0,0.285232,3.5943
8.018,0.941,1.343,4.236,3.33333,0.498568,2.53868,4.2288
5.19,0.948,1.318,1.469,3.33333,0.00610925,5.03874,4.03851
11.623,1.259,1.472,7.334,3.33333,0.23614,0.318662,3.90936
11.406,1.338,1.378,7.202,3.33333,0,0.321088,4.05451
7.198,1.377,1.329,2.916,3.33333,0.0970134,3.34037,3.97961
5.331,0.979,1.374,1.518,3.33333,0.21396,6.11412,3.88817
11.614,1.275,1.391,7.468,3.33333,0,0.320276,4.29208
6.975,1.149,1.327,2.934,3.33333,0.18918,2.66262,3.0672
5.472,1.143,1.319,1.484,3.33333,0.113901,4.6201,3.28118
10.918,0.997,1.355,7.105,3.33333,0,0.27941,3.69514
8.203,0.882,1.34,4.428,3.33333,0.0561578,1.39911,3.36296
11.091,0.835,1.363,7.333,3.33333,0.185964,0.280325,3.27748
11.022,0.932,1.341,7.311,3.33333,0,0.379351,4.87618
11.448,1.208,1.36,7.342,3.33333,4.09148,0.357613,2.98796
11.523,1.21,1.397,7.465,3.33333,0,0.271365,3.29259
5.491,1.159,1.337,1.507,3.33333,0.261683,5.46395,3.36159
8.331,1.034,1.341,4.413,3.33333,0.652059,2.10834,2.66906
8.464,1.109,1.335,4.439,3.33333,0.389277,2.17916,3.35186
10.991,0.987,1.358,7.179,3.33333,0,0.263263,3.16486
10.966,0.99,1.35,7.18,3.33333,0,0.355208,5.00197
5.488,1.059,1.429,1.49,3.33333,0.288781,6.85999,4.68696
5.327,1.047,1.3,1.513,3.33333,0.0185088,6.80497,6.434
11.602,1.424,1.325,7.414,3.33333,0,0.465364,6.03395
6.863,1.038,1.324,2.993,3.33333,0.0436293,5.11143,5.63237
11.034,1.216,1.304,7.071,3.33333,0,0.551477,6.15533
9.722,1.05,1.361,5.82,3.33333,0.0424694,1.49542,5.24793
5.632,1.246,1.322,1.469,3.33333,0.0673068,9.06871,6.36703
11.649,1.317,1.361,7.562,3.33333,0,0.516195,6.3683
5.33,1.037,1.317,1.463,3.33333,0.483273,5.77602,3.62392
11.328,1.032,1.327,7.548,3.33333,0,0.336619,3.9803
9.717,1.024,1.362,5.814,3.33333,0.0648753,1.05343,3.91392
6.835,1.013,1.334,2.997,3.33333,0.00167591,3.59387,4.14189
11.812,1.396,1.31,7.573,3.33333,0.304044,0.308439,3.87936
11.385,1.164,1.377,7.403,3.33333,0,0.313627,4.11724
11.36,1.057,1.393,7.411,3.33333,1.25702,0.382002,4.84164
11.568,1.157,1.324,7.638,3.33333,0,0.392628,5.18401
11.19,0.963,1.332,7.398,3.33333,0,0.257853,3.7087
8.121,0.898,1.336,4.335,3.33333,0.539398,0.774394,3.4864
11.285,0.921,1.332,7.591,3.33333,0,0.302247,4.67471
11.428,1.309,1.334,7.331,3.33333,0,0.196466,4.1831
9.636,1.05,1.35,5.739,3.33333,0.260528,0.549116,4.16525
5.505,1.143,1.343,1.507,3.33333,0.214861,12.0367,7.73414
11.107,1.146,1.373,7.138,3.33333,0,0.678962,8.77628
5.654,1.275,1.404,1.458,3.33333,0.129068,9.82953,9.25532
11.292,1.279,1.302,7.268,3.33333,0,0.831919,10.6216
11.368,1.445,1.352,7.149,3.33333,0,0.858046,11.9899
5.46,1.079,1.4,1.493,3.33333,0.0991268,15.0188,11.8304
5.484,1.125,1.336,1.504,3.33333,0.477388,14.4795,5.79789
8.852,1.402,1.331,4.583,3.33333,0.525531,2.4867,4.72526
10.166,1.228,1.439,5.985,3.33333,0.10176,1.431,5.85664
11.374,1.064,1.324,7.507,3.33333,0,0.547502,7.1452
5.478,1.143,1.311,1.447,3.33333,0.0773676,9.14946,7.03551
11.023,0.957,1.329,7.288,3.33333,0,0.6471,7.58214
5.388,0.981,1.35,1.516,3.33333,0.141321,8.5672,6.45209
11.282,1.017,1.325,7.461,3.33333,0,0.58209,6.89688
5.503,1.048,1.347,1.533,3.33333,0.0246611,8.88823,7.44649
11.486,1.381,1.388,7.192,3.33333,0.954558,0.466504,5.11187
11.434,1.584,1.383,6.971,3.33333,0,0.340217,4.8889
11.371,1.132,1.326,7.4,3.33333,0,0.315062,4.95753
11.676,1.188,1.334,7.64,3.33333,0,0.294251,4.99555
11.556,1.161,1.333,7.562,3.33333,0,0.240766,5.17747
11.614,1.269,1.339,7.503,3.33333,0,0.0635374,5.20592
5.785,1.381,1.341,1.483,3.33333,0.0542986,1.19344,5.28833
5.498,1.045,1.321,1.568,3.33333,0.286316,0.910465,5.17132
8.715,1.242,1.344,4.547,3.33333,0.090736,1.04411,5.30582
10.173,1.181,1.324,6.133,3.33333,0.103713,0.73674,5.18291
10.072,1.138,1.357,5.98,3.33333,1.06671,1.64938,4.35105
9.957,1.202,1.325,5.864,3.33333,0.612835,1.42921,4.44993
10.279,1.1,1.324,6.291,3.33333,0.459137,1.5734,5.39961
8.283,1.175,1.313,4.29,3.33333,0.49462,2.46952,4.04248
11.185,1.051,1.339,7.366,3.33333,0,0.358279,4.35721
9.481,1.09,1.333,5.602,3.33333,0.681272,1.0339,3.71668
10.966,0.836,1.328,7.369,3.33333,0,0.327818,4.45911
8.214,1.053,1.336,4.362,3.33333,0.447909,1.98684,4.39699
5.687,1.346,1.332,1.523,3.33333,0.207721,15.1897,8.79606
11.358,1.13,1.387,7.285,3.33333,1.51748,0.683574,8.52608
5.412,0.961,1.317,1.577,3.33333,0.180119,9.3932,6.76988
5.817,1.266,1.347,1.568,3.33333,0.0237348,8.0495,6.51976
11.496,1.141,1.318,7.447,3.33333,0.436952,0.559004,6.42884
5.714,1.232,1.324,1.575,3.33333,0.273535,10.5674,5.87509
10.314,1.329,1.412,5.963,3.33333,1.28719,1.46613,3.41145
8.878,1.336,1.324,4.641,3.33333,0.213413,1.86462,3.2899
11.618,1.025,1.322,7.679,3.33333,0,0.282302,3.27802
11.918,0.995,1.333,7.962,3.33333,0,0.190994,3.16884
7.45,1.231,1.334,3.18,3.33333,0.0883916,1.45502,3.26869
5.588,0.972,1.338,1.613,3.33333,0.133219,2.90123,3.2664
11.924,1.117,1.387,7.797,3.33333,0,0.220467,3.07245
12.164,1.184,1.385,7.938,3.33333,0,0.141936,3.05923
5.923,1.231,1.399,1.618,3.33333,0.0729397,1.49159,3.03194
11.735,1.14,1.321,7.67,3.33333,0,0.144118,3.03138
12.371,1.217,1.331,8.125,3.33333,0.344242,0.0739985,2.97973
12.042,1.378,1.33,7.681,3.33333,0,0.152855,2.93694
12.592,1.368,1.329,8.235,3.33333,0,0.0507012,2.94961
12.232,1.051,1.337,8.174,3.33333,0,0.00701533,2.84119
11.042,1.384,1.305,6.612,3.33333,0.044775,0.0353193,2.81929
6.247,1.503,1.329,1.69,3.33333,0.229653,0.402682,2.70806
12.374,1.091,1.411,8.24,3.33333,0,0.0513561,2.58633
7.881,1.546,1.316,3.334,3.33333,0.0920302,0.328331,2.58208
12.419,1.112,1.388,8.266,3.33333,0,0.0445787,2.53002
12.797,1.592,1.334,8.23,3.33333,0,0.0351525,2.42754
5.923,1.158,1.32,1.697,3.33333,0.493647,0.249685,2.44337
6.158,1.401,1.385,1.649,3.33333,0.678364,1.07521,2.14025
12.572,1.445,1.32,8.231,3.33333,0,0.0595052,2.12596
5.967,1.208,1.334,1.674,3.33333,0.754775,0.188335,1.94661
11.024,1.471,1.354,6.495,3.33333,0.00181239,0.0513273,1.92546
12.386,1.417,1.452,7.845,3.33333,0,0.0484163,1.83321
7.684,1.3,1.405,3.24,3.33333,0.126295,0.265137,1.84986
12.188,1.215,1.324,7.995,3.33333,0,0.0913009,1.87839
10.962,1.182,1.417,6.649,3.33333,0.31215,0.183827,1.90144
11.706,1.035,1.354,7.66,3.33333,0,0.105291,1.88836
7.731,1.301,1.326,3.39,3.33333,0.0453168,0.637517,1.90854
11.945,1.111,1.346,7.819,3.33333,0,0.068524,1.91369
6.04,1.234,1.326,1.744,3.33333,0.56971,0.688217,1.64996
12.879,1.394,1.362,8.357,3.33333,1.41714,0.0591846,1.69622
11.934,1.533,1.338,7.389,3.33333,0,0.152109,1.92374
12.399,1.592,1.302,7.845,3.33333,0,0.0917974,1.8842
12.419,1.045,1.348,8.358,3.33333,0,0.102636,2.1147
8.017,1.527,1.316,3.412,3.33333,0.188073,0.91111,1.96457
9.475,1.281,1.321,5.122,3.33333,0.276862,0.95631,2.33203
12.494,1.544,1.369,7.841,3.33333,0,0.182989,2.73627
13.051,1.598,1.385,8.358,3.33333,0,0.147677,2.91522
9.508,1.34,1.316,5.052,3.33333,0.590005,1.37718,4.25961
11.14,1.306,1.333,6.717,3.33333,0.545455,0.966712,4.27413
12.576,1.575,1.338,7.948,3.33333,0,0.338955,4.89769
6.038,1.156,1.349,1.756,3.33333,0.222027,6.24696,4.27571
12.624,1.231,1.392,8.205,3.33333,0.874904,0.398421,5.08851
8.962,1.144,1.341,4.708,3.33333,0.674325,3.87751,4.69857
11.788,1.215,1.348,7.549,3.33333,0,0.466121,5.32091
5.83,1.06,1.336,1.691,3.33333,0.423174,6.50809,2.47907
11.894,1.142,1.401,7.624,3.33333,5.0724,0.235789,1.83558
11.239,1.073,1.321,7.368,3.33333,0,0.259575,3.25577
11.488,1.165,1.33,7.513,3.33333,0,0.163349,2.32238
9.983,0.999,1.34,6.083,3.33333,0.166246,0.715743,2.85518
10.25,1.025,1.414,6.259,3.33333,0.58725,1.07432,3.30387
12.385,1.496,1.319,8.042,3.33333,0,0.175257,2.0865
11.888,1.321,1.318,7.685,3.33333,7.99752,0.318551,2.32081
5.518,1.052,1.327,1.595,3.33333,0.257699,8.0858,4.28877
12.149,1.454,1.391,7.733,3.33333,0,0.526977,5.89612
5.644,1.033,1.391,1.587,3.33333,0.158348,4.75027,3.39472
12.343,1.25,1.331,8.183,3.33333,0,0.272364,3.19614
12.073,1.167,1.346,7.902,3.33333,0.937098,0.342436,4.07298
12.074,1.327,1.346,7.835,3.33333,0,0.396923,4.59225
11.924,1.192,1.321,7.831,3.33333,0,0.384863,4.94037
12.156,1.391,1.347,7.827,3.33333,0,0.425556,5.34383
11.828,1.103,1.329,7.742,3.33333,1.73325,0.474693,5.56947
11.783,0.982,1.359,7.787,3.33333,1.81665,0.653766,6.7054
12.361,1.409,1.332,8.034,3.33333,0,0.756975,8.54353
5.714,1.229,1.319,1.506,3.33333,0.190835,20.1102,12.2794
11.467,1.076,1.375,7.58,3.33333,0,1.15387,13.2689
7.125,1.183,1.432,2.962,3.33333,0.593095,20.2327,10.6884
11.842,1.421,1.322,7.51,3.33333,1.10454,1.29483,13.3668
11.683,1.346,1.341,7.485,3.33333,0,1.36753,14.9171
5.523,1.031,1.325,1.524,3.33333,0.149268,21.5987,14.361
11.645,1.147,1.391,7.571,3.33333,1.51538,1.24993,12.3027
11.429,0.991,1.364,7.609,3.33333,0,1.20612,13.6886
11.401,1.126,1.364,7.397,3.33333,0,1.59718,18.1512
5.743,1.306,1.339,1.516,3.33333,0.0103615,22.5373,17.4756
11.304,1.035,1.38,7.359,3.33333,1.57449,1.45551,13.6258
12.007,1.382,1.431,7.712,3.33333,0,1.46845,16.3882
11.396,1.061,1.345,7.532,3.33333,0,1.93072,21.1366
11.345,1.144,1.332,7.374,3.33333,0,1.85693,20.9899
12.286,1.389,1.355,8.032,3.33333,0,2.07594,25.3036
8.307,0.965,1.354,4.442,3.33333,0.263262,12.1076,27.0639
7.262,1.336,1.392,2.977,3.33333,0.247223,27.7109,26.5432
5.549,1.069,1.334,1.592,3.33333,0.0631446,35.273,31.6359
5.8,1.389,1.38,1.456,3.33333,0.162744,45.2337,25.7184
5.611,1.289,1.309,1.486,3.33333,0.69174,35.7169,3.5403
11.436,1.046,1.357,7.508,3.33333,2.50945,0.390065,3.56807
11.561,1.102,1.323,7.638,3.33333,0,0.672566,7.55099
11.611,1.33,1.34,7.451,3.33333,0,0.7266,8.29568
11.333,1.065,1.319,7.45,3.33333,0,0.732906,9.17147
11.218,0.995,1.348,7.427,3.33333,0,0.801114,9.63468
6.751,0.901,1.386,2.914,3.33333,0.0963154,4.7685,10.2297
11.331,1.137,1.326,7.42,3.33333,0,0.946539,11.6067
7.122,1.29,1.326,2.948,3.33333,0.0677799,7.12097,13.5411
11.479,1.331,1.324,7.326,3.33333,0.207718,0.839616,14.9865
11.338,1.025,1.344,7.423,3.33333,0.84038,0.940049,15.2519
11.337,1.008,1.366,7.407,3.33333,0.544091,1.25951,16.8017
11.497,1.048,1.412,7.548,3.33333,0,1.82173,18.8227
11.435,1.098,1.372,7.467,3.33333,0,1.59001,16.4511
11.334,0.982,1.319,7.534,3.33333,0,1.72231,18.3445
11.558,1.258,1.323,7.41,3.33333,0.305789,1.79875,19.8901
11.17,1.022,1.331,7.342,3.33333,0,2.70308,28.1063
11.629,1.314,1.376,7.501,3.33333,0,2.22949,25.3871
11.193,1.106,1.35,7.281,3.33333,0,1.4268,25.867
10.935,0.916,1.343,7.169,3.33333,0.964119,0.191521,27.8887
11.462,1.172,1.364,7.437,3.33333,0,1.74957,26.738
5.355,1.087,1.317,1.459,3.33333,0.40836,12.5011,33.282
11.124,0.846,1.351,7.521,3.33333,0,2.00047,33.9923
11.184,1.159,1.325,7.244,3.33333,0,2.22734,37.1647
11.087,0.946,1.342,7.348,3.33333,0,3.67066,41.4034
10.972,0.906,1.358,7.298,3.33333,0,1.58475,37.8685
11.339,1.087,1.413,7.413,3.33333,0,2.01822,45.429
8.411,1.137,1.37,4.362,3.33333,0.0916021,12.2989,35.963
5.66,1.395,1.37,1.41,3.33333,0.0211362,30.0498,36.8866
5.297,1.085,1.308,1.424,3.33333,0.380492,47.0527,32.6779
11.225,1.063,1.33,7.422,3.33333,0,4.25648,44.2167
11.507,1.441,1.324,7.299,3.33333,0,3.31868,45.9823
5.426,1.119,1.347,1.465,3.33333,0.518518,11.8581,30.6677
5.534,1.186,1.339,1.503,3.33333,0.0173994,36.7351,30.9827
11.301,0.964,1.354,7.438,3.33333,0.218436,1.76178,32.2152
11.519,1.022,1.373,7.646,3.33333,0,3.9594,41.0242
11.488,1.077,1.453,7.468,3.33333,0,3.94466,42.8875
11.527,1.35,1.333,7.338,3.33333,0,3.31813,45.3593
11.465,1.098,1.343,7.519,3.33333,0,1.84532,46.3612
10.072,1.433,1.313,5.771,3.33333,0.00402166,5.26902,50.1725
7.077,1.351,1.38,2.802,3.33333,0.0419207,27.0467,53.5377
10.945,1.091,1.323,7.079,3.33333,0,3.50202,56.9168
5.133,0.852,1.321,1.459,3.33333,0.281839,49.2745,60.7093
9.719,1.075,1.397,5.736,3.33333,0.201466,16.5947,59.9244
11.122,1.166,1.35,7.124,3.33333,0.322143,4.64233,52.7942
11.314,0.833,1.399,7.664,3.33333,0,5.11221,54.2312
11.15,0.974,1.35,7.385,3.33333,1.58166,4.79335,50.2062
11.795,1.072,1.342,7.993,3.33333,0,4.80044,52.5669
11.282,0.967,1.342,7.579,3.33333,0,4.72773,57.4382
11.148,0.891,1.363,7.517,3.33333,0,3.01162,49.0351
10.444,0.874,1.351,6.863,3.33333,0,2.49069,48.0722
6.608,1.144,1.323,2.714,3.33333,0.034144,10.7162,49.9468
5.207,1.017,1.347,1.397,3.33333,0.259108,19.9267,39.4843
10.937,0.981,1.342,7.138,3.33333,1.43686,1.51648,35.3602
10.956,1.363,1.333,6.852,3.33333,0,0.735317,35.7625
6.815,1.243,1.328,2.795,3.33333,0.0478251,7.44678,35.5735
10.801,1.193,1.376,6.875,3.33333,0,0.869877,35.8851
11.042,1.376,1.306,6.97,3.33333,0,0.944873,34.9844
9.41,1.089,1.354,5.51,3.33333,0.300155,2.19147,36.9567
10.95,1.066,1.323,7.176,3.33333,0,1.66158,37.0636
10.701,1.053,1.321,6.916,3.33333,0,0.843547,40.1738
10.804,1.007,1.348,7.001,3.33333,0.518066,0.261108,39.4752
11.032,1.327,1.384,6.921,3.33333,0,1.38473,40.8798
10.729,1,1.327,7.002,3.33333,0,0.528457,40.0305
9.447,1.03,1.328,5.611,3.33333,0.203214,5.47647,45.7532
11.023,0.969,1.324,7.283,3.33333,0,2.40897,48.2048
11.281,1.437,1.324,7.008,3.33333,0,1.38737,48.9876
5.506,1.236,1.339,1.425,3.33333,0.0463316,10.0764,50.7549
5.274,1.041,1.35,1.417,3.33333,0.271779,10.5752,48.2896
10.819,1.098,1.372,6.945,3.33333,0,1.64468,48.3417
5.314,1.069,1.327,1.417,3.33333,0.138296,22.5857,46.8448
5.317,1.131,1.354,1.385,3.33333,0.1105,28.1787,45.2651
10.754,0.998,1.326,7.051,3.33333,0,2.73829,45.2347
5.32,1.065,1.373,1.413,3.33333,0.270623,12.9012,41.0924
10.992,1.066,1.321,7.126,3.33333,0.870225,2.75996,41.5198
11.489,1.554,1.32,7.194,3.33333,0,2.73117,41.1816
11.392,1.518,1.337,7.12,3.33333,0,1.72284,38.4019
11.001,1.117,1.431,7.043,3.33333,0,0.971517,38.1073
10.885,1.107,1.35,6.993,3.33333,0,0.20977,38.5219
10.85,1.078,1.336,7.009,3.33333,0,0.361726,38.4782
5.479,1.28,1.352,1.388,3.33333,0.035429,11.1847,38.1402
9.638,1.231,1.334,5.631,3.33333,0.0937891,5.18075,37.6737
11.112,1.222,1.418,7.057,3.33333,0,1.57209,37.0653
11.234,1.265,1.342,7.137,3.33333,0.899702,1.00385,36.2836
10.827,0.865,1.356,7.169,3.33333,0,1.2493,35.6366
7.234,1.477,1.361,2.9,3.33333,0.0686805,15.1937,35.3847
5.526,1.316,1.357,1.37,3.33333,0.402895,34.0762,22.4072
10.68,0.886,1.325,7.12,3.33333,0,1.01298,21.183
6.579,0.908,1.388,2.828,3.33333,0.28288,10.3467,18.5879
10.953,1.023,1.332,7.119,3.33333,0,1.2112,18.078
11.008,1.147,1.319,7.097,3.33333,0,0.89753,17.1712
11.125,1.248,1.353,7.064,3.33333,0.142784,0.683966,16.5102
10.659,1.076,1.404,6.76,3.33333,0,0.846871,15.7423
10.838,1.39,1.351,6.691,3.33333,0,0.76983,16.7987
9.75,1.229,1.336,5.713,3.33333,1.35327,1.1821,13.9219
5.337,1.081,1.346,1.454,3.33333,0.202341,11.6029,13.7848
10.806,0.907,1.361,7.128,3.33333,0,0.687615,13.455
11.097,1.274,1.414,6.995,3.33333,0,0.653477,13.5718
11.112,1.187,1.331,7.097,3.33333,0.632378,0.208664,13.4365
10.941,1.107,1.342,7.002,3.33333,0.434259,0.652853,13.1644
10.862,0.989,1.352,7.14,3.33333,0,0.867618,13.386
8.031,0.918,1.383,4.264,3.33333,0.421841,10.0235,19.2495
11.035,0.966,1.404,7.252,3.33333,0,1.42263,18.454
11.008,1.154,1.34,7.069,3.33333,0,1.48132,19.6052
10.972,1.045,1.332,7.099,3.33333,0.351181,1.55771,21.9006
9.694,1.147,1.344,5.689,3.33333,0.0382467,5.45945,21.3456
11.207,1.299,1.347,7.097,3.33333,0,2.15114,27.0685
5.45,1.124,1.328,1.496,3.33333,0.0187472,30.1015,26.3986
5.507,1.137,1.316,1.517,3.33333,0.267902,31.0169,18.5426
11.432,1.235,1.336,7.418,3.33333,0,0.852934,18.737
11.37,0.999,1.399,7.456,3.33333,0.817912,1.45459,18.4528
11.24,1.105,1.387,7.27,3.33333,0,1.73654,19.5554
11.504,1.127,1.361,7.495,3.33333,0,1.59527,19.5176
11.203,1.092,1.337,7.237,3.33333,0,0.856567,20.2381
8.411,1.041,1.341,4.463,3.33333,0.0557985,4.71368,19.4677
11.35,0.968,1.346,7.529,3.33333,0,1.45677,20.2564
5.615,1.183,1.329,1.492,3.33333,0.0714383,13.643,21.6558
11.291,0.952,1.32,7.436,3.33333,0.16401,1.84434,23.081
11.255,1.005,1.329,7.42,3.33333,0,2.06828,23.8561
5.647,1.252,1.322,1.511,3.33333,0.0324044,28.057,22.6111
11.256,0.982,1.381,7.393,3.33333,0,2.03197,23.0391
6.959,1.083,1.344,2.972,3.33333,0.0548952,20.2091,23.0001
11.327,1.055,1.358,7.428,3.33333,0,2.18425,23.4063
11.553,1.271,1.341,7.435,3.33333,0,1.72219,24.2773
8.506,1.162,1.361,4.442,3.33333,0.0023266,5.42445,24.6201
11.381,1.244,1.314,7.353,3.33333,0,1.71631,24.7219
11.832,1.545,1.323,7.415,3.33333,0.398971,1.41045,24.9434
11.568,1.445,1.357,7.292,3.33333,0,1.77922,25.6515
11.395,1.228,1.412,7.288,3.33333,0,1.1298,26.1243
8.698,1.312,1.36,4.441,3.33333,0.61343,0.715143,26.6221
11.521,1.105,1.404,7.461,3.33333,0.237768,1.50536,26.9385
11.48,1.097,1.353,7.466,3.33333,0.0223483,2.04419,27.6983
11.425,1.154,1.33,7.356,3.33333,0.69799,1.93481,27.1044
11.081,0.895,1.349,7.351,3.33333,0,2.60161,27.7582
5.393,1.056,1.363,1.487,3.33333,0.0459474,19.8517,26.8969
11.467,1.238,1.322,7.416,3.33333,0,1.63559,26.8839
11.793,1.565,1.328,7.303,3.33333,0.448655,1.13456,26.6332
11.792,1.346,1.31,7.63,3.33333,0,1.57539,27.3409
11.498,1.03,1.343,7.601,3.33333,0,1.68582,26.2685
9.969,1.025,1.319,6.05,3.33333,0.348592,5.41011,28.728
11.23,1.046,1.337,7.337,3.33333,0,2.11454,29.1269
11.875,1.396,1.343,7.539,3.33333,0.677451,1.42367,29.3656
11.452,1.069,1.331,7.409,3.33333,0.89515,2.51934,30.7339
11.598,1.053,1.329,7.691,3.33333,0,2.73431,30.071
11.536,1.013,1.359,7.62,3.33333,0,2.45547,30.6719
7.335,1.297,1.337,3.046,3.33333,0.0764742,22.9758,32.3662
11.258,0.947,1.357,7.47,3.33333,0,2.77237,35.3584
11.415,0.962,1.431,7.511,3.33333,0,1.86631,36.0787
11.718,1.214,1.366,7.551,3.33333,2.92378,1.59202,43.8704
5.678,1.185,1.353,1.536,3.33333,0.315654,39.7537,48.8492
9.958,1.186,1.337,5.859,3.33333,0.996075,11.2903,46.6406
5.831,1.38,1.325,1.517,3.33333,0.0229119,43.835,47.2564
11.118,0.874,1.358,7.379,3.33333,0,4.07189,43.6213
5.433,0.976,1.386,1.523,3.33333,0.088686,32.2321,37.5585
8.931,1.414,1.329,4.622,3.33333,0.068503,19.7761,36.4247
5.645,1.184,1.318,1.547,3.33333,0.318604,47.1333,25.056
11.805,1.154,1.395,7.733,3.33333,0,2.25422,26.1849
11.995,1.374,1.381,7.718,3.33333,0,1.14373,27.5367
5.759,1.173,1.433,1.57,3.33333,0.011109,11.2265,27.8048
11.735,1.315,1.315,7.561,3.33333,0,1.50828,26.8131
5.624,1.089,1.339,1.597,3.33333,0.307539,12.0291,22.5487
11.649,1.046,1.319,7.72,3.33333,0,1.13859,22.3628
11.868,1.291,1.304,7.7,3.33333,0,0.877194,22.1612
11.729,1.031,1.347,7.769,3.33333,0,0.467179,21.9014
11.961,1.252,1.32,7.782,3.33333,0,0.229937,20.1565
11.7,1.075,1.322,7.738,3.33333,0,0.0120488,18.8925
11.852,1.19,1.314,7.762,3.33333,0,0.294137,19.8271
11.683,1.099,1.327,7.69,3.33333,0,0.307439,19.5241
11.996,1.395,1.339,7.732,3.33333,0,0.221907,19.4106
5.732,1.204,1.328,1.575,3.33333,0.108502,1.12175,19.5581
7.233,1.227,1.322,3.059,3.33333,0.190939,5.64464,18.344
12.131,1.493,1.324,7.696,3.33333,0.76403,0.970055,23.9713
6.116,1.646,1.31,1.564,3.33333,0.0134923,18.7987,25.2646
11.518,0.999,1.348,7.613,3.33333,1.0387,1.99498,24.3226
11.418,0.894,1.404,7.583,3.33333,0,1.94591,26.5626
11.593,1.168,1.393,7.495,3.33333,0,1.96651,26.8993
11.349,0.984,1.343,7.528,3.33333,0,1.87321,27.5906
7.135,1.197,1.328,3.001,3.33333,0.0216527,19.577,28.6627
5.974,1.547,1.337,1.529,3.33333,0.202189,30.0882,24.6605
5.616,1.157,1.419,1.478,3.33333,0.385781,25.4584,15.6797
11.628,1.257,1.327,7.568,3.33333,0,1.12111,16.4145
11.31,1.161,1.322,7.322,3.33333,0,1.23961,17.7144
8.61,1.24,1.364,4.439,3.33333,0.0842286,7.59609,19.3281
11.821,1.54,1.339,7.467,3.33333,0,1.45605,21.3239
10.712,1.725,1.31,6.13,3.33333,0.044598,3.74391,20.491
11.506,1.357,1.415,7.233,3.33333,0,1.23763,21.7129
11.95,1.566,1.389,7.463,3.33333,0,1.18591,23.2154
